,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ADSK,2010-11-04 00:00:00+00:00,35.84,36.24,35.71,35.72,2836000,35.84,36.24,35.71,35.72,2836000,0.0,1.0
1,ADSK,2010-11-05 00:00:00+00:00,35.68,36.12,35.5,36.0,2918900,35.68,36.12,35.5,36.0,2918900,0.0,1.0
2,ADSK,2010-11-08 00:00:00+00:00,35.41,35.93,35.055,35.43,3110200,35.41,35.93,35.055,35.43,3110200,0.0,1.0
3,ADSK,2010-11-09 00:00:00+00:00,35.3,35.78,35.0275,35.48,1707500,35.3,35.78,35.0275,35.48,1707500,0.0,1.0
4,ADSK,2010-11-10 00:00:00+00:00,35.86,35.9,35.06,35.34,1508400,35.86,35.9,35.06,35.34,1508400,0.0,1.0
5,ADSK,2010-11-11 00:00:00+00:00,36.28,36.44,35.29,35.68,3340800,36.28,36.44,35.29,35.68,3340800,0.0,1.0
6,ADSK,2010-11-12 00:00:00+00:00,35.25,36.06,34.82,35.9,3226100,35.25,36.06,34.82,35.9,3226100,0.0,1.0
7,ADSK,2010-11-15 00:00:00+00:00,35.12,35.89,35.085,35.36,2969400,35.12,35.89,35.085,35.36,2969400,0.0,1.0
8,ADSK,2010-11-16 00:00:00+00:00,34.52,35.8,34.37,35.41,3542000,34.52,35.8,34.37,35.41,3542000,0.0,1.0
9,ADSK,2010-11-17 00:00:00+00:00,35.28,35.32,34.3387,34.7,3048900,35.28,35.32,34.3387,34.7,3048900,0.0,1.0
10,ADSK,2010-11-18 00:00:00+00:00,36.26,36.641,35.575,35.78,4376500,36.26,36.641,35.575,35.78,4376500,0.0,1.0
11,ADSK,2010-11-19 00:00:00+00:00,33.77,35.44,33.65,34.59,8230100,33.77,35.44,33.65,34.59,8230100,0.0,1.0
12,ADSK,2010-11-22 00:00:00+00:00,34.81,34.92,33.2,33.62,3647900,34.81,34.92,33.2,33.62,3647900,0.0,1.0
13,ADSK,2010-11-23 00:00:00+00:00,34.42,34.47,33.68,34.29,2626400,34.42,34.47,33.68,34.29,2626400,0.0,1.0
14,ADSK,2010-11-24 00:00:00+00:00,35.43,35.89,34.63,34.63,2269600,35.43,35.89,34.63,34.63,2269600,0.0,1.0
