,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ADS,2010-11-04 00:00:00+00:00,63.08,63.095,61.95,62.54,967000,59.5777483454,59.5919155335,58.510486842,59.0677295739,967000,0.0,1.0
1,ADS,2010-11-05 00:00:00+00:00,62.95,63.91,62.73,63.15,576200,59.4549660485,60.3616660868,59.2471806231,59.6438618898,576200,0.0,1.0
2,ADS,2010-11-08 00:00:00+00:00,62.52,63.37,62.17,62.87,611700,59.0488399897,59.8516473153,58.7182722675,59.379407712,611700,0.0,1.0
3,ADS,2010-11-09 00:00:00+00:00,62.07,62.84,61.95,62.6,634500,58.6238243468,59.3510733358,58.510486842,59.1243983263,634500,0.0,1.0
4,ADS,2010-11-10 00:00:00+00:00,62.77,62.85,61.99,62.13,627700,59.2849597914,59.3605181279,58.5482660103,58.6804930992,627700,0.0,1.0
5,ADS,2010-11-11 00:00:00+00:00,63.18,63.56,61.71,61.91,877500,59.672196266,60.0310983645,58.2838118325,58.4727076738,877500,0.0,1.0
6,ADS,2010-11-12 00:00:00+00:00,62.18,63.24,61.29,62.71,1688300,58.7277170595,59.7288650184,57.8871305658,59.228291039,1688300,0.0,1.0
7,ADS,2010-11-15 00:00:00+00:00,61.99,62.53,61.88,62.37,488900,58.5482660103,59.0582847818,58.4443732976,58.9071681088,488900,0.0,1.0
8,ADS,2010-11-16 00:00:00+00:00,61.59,61.67,60.89,61.51,951600,58.1704743277,58.2460326642,57.5093388832,58.0949159912,951600,0.0,1.0
9,ADS,2010-11-17 00:00:00+00:00,61.01,62.14,60.906,61.64,487700,57.6226763879,58.6899378913,57.5244505505,58.217698288,487700,0.0,1.0
10,ADS,2010-11-18 00:00:00+00:00,61.59,62.36,61.26,61.87,794000,58.1704743277,58.8977233167,57.8587961896,58.4349285055,794000,0.0,1.0
11,ADS,2010-11-19 00:00:00+00:00,61.72,61.81,60.93,61.4,788000,58.2932566245,58.3782597531,57.5471180514,57.9910232785,788000,0.0,1.0
12,ADS,2010-11-22 00:00:00+00:00,62.57,62.71,61.2001,61.39,643200,59.0960639501,59.228291039,57.8022218851,57.9815784864,643200,0.0,1.0
13,ADS,2010-11-23 00:00:00+00:00,62.6,62.92,61.72,61.72,536200,59.1243983263,59.4266316723,58.2932566245,58.2932566245,536200,0.0,1.0
14,ADS,2010-11-24 00:00:00+00:00,64.45,64.45,62.95,62.99,809900,60.8716848583,60.8716848583,59.4549660485,59.4927452168,809900,0.0,1.0
15,ADS,2010-11-26 00:00:00+00:00,63.7,64.02,63.28,63.95,216500,60.1633254534,60.4655587995,59.7666441867,60.399445255,216500,0.0,1.0
16,ADS,2010-11-29 00:00:00+00:00,62.77,63.31,62.21,63.13,716300,59.2849597914,59.7949785629,58.7560514357,59.6249723057,716300,0.0,1.0
17,ADS,2010-11-30 00:00:00+00:00,63.08,64.05,62.2,62.2,855600,59.5777483454,60.4938931757,58.7466066437,58.7466066437,855600,0.0,1.0
18,ADS,2010-12-01 00:00:00+00:00,66.16,66.625,63.66,63.78,1675800,62.4867443014,62.9259271324,60.1255462851,60.2388837899,1675800,0.0,1.0
19,ADS,2010-12-02 00:00:00+00:00,67.14,67.48,66.32,66.32,1029700,63.4123339237,63.7334568539,62.6378609744,62.6378609744,1029700,0.0,1.0
20,ADS,2010-12-03 00:00:00+00:00,68.18,68.28,66.74,66.85,774200,64.3945922985,64.4890402191,63.0345422411,63.1384349538,774200,0.0,1.0
21,ADS,2010-12-06 00:00:00+00:00,67.96,68.8,67.69,68.15,579800,64.186806873,64.9801694065,63.9317974873,64.3662579223,579800,0.0,1.0
22,ADS,2010-12-07 00:00:00+00:00,67.88,68.75,67.63,68.69,552200,64.1112485365,64.9329454462,63.8751287349,64.8762766938,552200,0.0,1.0
23,ADS,2010-12-08 00:00:00+00:00,68.24,68.37,67.51,68.01,563000,64.4512610509,64.5740433477,63.7617912301,64.2340308334,563000,0.0,1.0
24,ADS,2010-12-09 00:00:00+00:00,69.19,69.2,68.32,68.66,454100,65.348516297,65.3579610891,64.5268193874,64.8479423176,454100,0.0,1.0
25,ADS,2010-12-10 00:00:00+00:00,69.84,70.45,68.88,69.29,730600,65.9624277812,66.5385600972,65.055727743,65.4429642177,730600,0.0,1.0
26,ADS,2010-12-13 00:00:00+00:00,69.03,70.36,68.96,70.1,705800,65.197399624,66.4535569686,65.1312860795,66.2079923749,705800,0.0,1.0
27,ADS,2010-12-14 00:00:00+00:00,69.1,69.74,68.83,69.19,688000,65.2635131684,65.8679798606,65.0085037827,65.348516297,688000,0.0,1.0
28,ADS,2010-12-15 00:00:00+00:00,68.89,69.56,68.61,69.0,700700,65.0651725351,65.6979736034,64.8007183573,65.1690652478,700700,0.0,1.0
29,ADS,2010-12-16 00:00:00+00:00,70.35,71.67,69.02,69.02,1742100,66.4441121766,67.6908247291,65.1879548319,65.1879548319,1742100,0.0,1.0
30,ADS,2010-12-17 00:00:00+00:00,70.07,70.88,69.78,70.42,634800,66.1796579987,66.944686156,65.9057590289,66.510225721,634800,0.0,1.0
31,ADS,2010-12-20 00:00:00+00:00,70.73,70.75,69.41,70.33,482400,66.803014275,66.8219038591,65.5563017225,66.4252225924,482400,0.0,1.0
32,ADS,2010-12-21 00:00:00+00:00,71.34,71.5,70.65,70.8,626600,67.379146591,67.530263264,66.7274559385,66.8691278195,626600,0.0,1.0
33,ADS,2010-12-22 00:00:00+00:00,71.23,71.7,70.91,71.23,379800,67.2752538783,67.7191591053,66.9730205322,67.2752538783,379800,0.0,1.0
34,ADS,2010-12-23 00:00:00+00:00,70.68,71.76,70.56,71.03,194200,66.7557903147,67.7758278577,66.6424528099,67.086358037,194200,0.0,1.0
