,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AES,2010-11-04 00:00:00+00:00,11.95,12.11,11.87,11.96,7175900,9.2810411642,9.4053061505,9.218908671,9.2888077258,7175900,0.0,1.0
1,AES,2010-11-05 00:00:00+00:00,11.76,11.97,11.71,11.93,4493200,9.1334764929,9.2965742874,9.0946436847,9.2655080409,4493200,0.0,1.0
2,AES,2010-11-08 00:00:00+00:00,11.76,11.79,11.61,11.75,6024900,9.1334764929,9.1567761779,9.0169780683,9.1257099313,6024900,0.0,1.0
3,AES,2010-11-09 00:00:00+00:00,11.68,11.87,11.62,11.77,6237000,9.0713439998,9.218908671,9.0247446299,9.1412430546,6237000,0.0,1.0
4,AES,2010-11-10 00:00:00+00:00,11.7,11.71,11.51,11.63,4841600,9.0868771231,9.0946436847,8.9393124518,9.0325111916,4841600,0.0,1.0
5,AES,2010-11-11 00:00:00+00:00,11.7,11.73,11.52,11.59,3801500,9.0868771231,9.110176808,8.9470790135,9.001444945,3801500,0.0,1.0
6,AES,2010-11-12 00:00:00+00:00,11.46,11.66,11.4175,11.63,4713300,8.9004796436,9.0558108765,8.8674717566,9.0325111916,4713300,0.0,1.0
7,AES,2010-11-15 00:00:00+00:00,11.56,11.7,11.52,11.52,5054400,8.9781452601,9.0868771231,8.9470790135,8.9470790135,5054400,0.0,1.0
8,AES,2010-11-16 00:00:00+00:00,11.47,11.54,11.22,11.5,8100200,8.9082462053,8.9626121368,8.7140821642,8.9315458902,8100200,0.0,1.0
9,AES,2010-11-17 00:00:00+00:00,11.51,11.63,11.35,11.42,5744800,8.9393124518,9.0325111916,8.8150474655,8.869413397,5744800,0.0,1.0
10,AES,2010-11-18 00:00:00+00:00,11.47,11.64,11.46,11.61,6577500,8.9082462053,9.0402777532,8.9004796436,9.0169780683,6577500,0.0,1.0
11,AES,2010-11-19 00:00:00+00:00,11.25,11.46,11.19,11.44,6759900,8.7373818491,8.9004796436,8.6907824792,8.8849465203,6759900,0.0,1.0
12,AES,2010-11-22 00:00:00+00:00,11.27,11.33,11.01,11.21,5404300,8.7529149724,8.7995143422,8.5509843697,8.7063156025,5404300,0.0,1.0
13,AES,2010-11-23 00:00:00+00:00,10.89,11.1336,10.87,11.11,6218300,8.4577856299,8.6469790716,8.4422525066,8.6286499861,6218300,0.0,1.0
14,AES,2010-11-24 00:00:00+00:00,10.9,11.07,10.79,10.94,8759500,8.4655521916,8.5975837395,8.3801200135,8.4966184381,8759500,0.0,1.0
15,AES,2010-11-26 00:00:00+00:00,10.93,11.1,10.81,10.85,3612200,8.4888518765,8.6208834244,8.3956531368,8.4267193834,3612200,0.0,1.0
16,AES,2010-11-29 00:00:00+00:00,10.86,10.91,10.7,10.83,5658400,8.434485945,8.4733187532,8.3102209587,8.4111862601,5658400,0.0,1.0
17,AES,2010-11-30 00:00:00+00:00,10.81,10.85,10.7,10.72,5082400,8.3956531368,8.4267193834,8.3102209587,8.325754082,5082400,0.0,1.0
18,AES,2010-12-01 00:00:00+00:00,10.92,11.0,10.87,10.95,5010400,8.4810853149,8.543217808,8.4422525066,8.5043849998,5010400,0.0,1.0
19,AES,2010-12-02 00:00:00+00:00,11.27,11.3,10.91,10.95,9026500,8.7529149724,8.7762146573,8.4733187532,8.5043849998,9026500,0.0,1.0
20,AES,2010-12-03 00:00:00+00:00,11.4,11.43,11.16,11.16,6374600,8.8538802738,8.8771799587,8.6674827943,8.6674827943,6374600,0.0,1.0
21,AES,2010-12-06 00:00:00+00:00,11.49,11.57,11.28,11.36,6901900,8.9237793285,8.9859118217,8.760681534,8.8228140272,6901900,0.0,1.0
22,AES,2010-12-07 00:00:00+00:00,11.43,11.698,11.4,11.62,6437900,8.8771799587,9.0853238107,8.8538802738,9.0247446299,6437900,0.0,1.0
23,AES,2010-12-08 00:00:00+00:00,11.35,11.54,11.27,11.46,2912800,8.8150474655,8.9626121368,8.7529149724,8.9004796436,2912800,0.0,1.0
24,AES,2010-12-09 00:00:00+00:00,11.35,11.515,11.33,11.44,3719800,8.8150474655,8.9431957327,8.7995143422,8.8849465203,3719800,0.0,1.0
25,AES,2010-12-10 00:00:00+00:00,11.39,11.45,11.31,11.35,2152000,8.8461137121,8.892713082,8.783981219,8.8150474655,2152000,0.0,1.0
26,AES,2010-12-13 00:00:00+00:00,11.39,11.46,11.35,11.46,2364400,8.8461137121,8.9004796436,8.8150474655,8.9004796436,2364400,0.0,1.0
27,AES,2010-12-14 00:00:00+00:00,11.31,11.46,11.24,11.4,3297800,8.783981219,8.9004796436,8.7296152875,8.8538802738,3297800,0.0,1.0
28,AES,2010-12-15 00:00:00+00:00,11.19,11.38,11.15,11.25,3390200,8.6907824792,8.8383471505,8.6597162327,8.7373818491,3390200,0.0,1.0
29,AES,2010-12-16 00:00:00+00:00,11.31,11.32,11.09,11.19,2722200,8.783981219,8.7917477806,8.6131168628,8.6907824792,2722200,0.0,1.0
30,AES,2010-12-17 00:00:00+00:00,11.44,11.48,11.28,11.32,8934800,8.8849465203,8.9160127669,8.760681534,8.7917477806,8934800,0.0,1.0
31,AES,2010-12-20 00:00:00+00:00,11.76,11.76,11.515,11.53,5309100,9.1334764929,9.1334764929,8.9431957327,8.9548455751,5309100,0.0,1.0
32,AES,2010-12-21 00:00:00+00:00,12.12,12.28,11.75,11.76,13015300,9.4130727121,9.5373376984,9.1257099313,9.1334764929,13015300,0.0,1.0
33,AES,2010-12-22 00:00:00+00:00,12.36,12.455,12.05,12.08,8952400,9.5994701915,9.6732525272,9.3587067806,9.3820064655,8952400,0.0,1.0
34,AES,2010-12-23 00:00:00+00:00,12.23,12.41,12.23,12.35,8260700,9.4985048902,9.6383029998,9.4985048902,9.5917036299,8260700,0.0,1.0
35,AES,2010-12-27 00:00:00+00:00,12.17,12.21,12.1,12.15,2415500,9.4519055203,9.4829717669,9.3975395888,9.436372397,2415500,0.0,1.0
36,AES,2010-12-28 00:00:00+00:00,12.09,12.2,12.04,12.18,2481000,9.3897730272,9.4752052052,9.3509402189,9.459672082,2481000,0.0,1.0
37,AES,2010-12-29 00:00:00+00:00,12.15,12.17,12.09,12.12,1818000,9.436372397,9.4519055203,9.3897730272,9.4130727121,1818000,0.0,1.0
38,AES,2010-12-30 00:00:00+00:00,12.2,12.27,12.1,12.12,2636800,9.4752052052,9.5295711368,9.3975395888,9.4130727121,2636800,0.0,1.0
39,AES,2010-12-31 00:00:00+00:00,12.18,12.27,12.15,12.16,2171400,9.459672082,9.5295711368,9.436372397,9.4441389587,2171400,0.0,1.0
