,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AGN,2010-11-04 00:00:00+00:00,50.36,51.15,49.25,49.55,2388100,47.4584388539,48.2029219098,46.4123930412,46.6951081257,2388100,0.0,1.0
1,AGN,2010-11-05 00:00:00+00:00,51.24,52.0,50.9,51.08,2076500,48.2877364351,49.0039479825,47.967326006,48.1369550567,2076500,0.0,1.0
2,AGN,2010-11-08 00:00:00+00:00,51.31,51.5,50.78,50.89,926800,48.3537032882,48.532756175,47.8542399722,47.9579021698,926800,0.0,1.0
3,AGN,2010-11-09 00:00:00+00:00,51.95,52.01,51.47,51.48,1416000,48.9568288018,49.0133718187,48.5044846666,48.5139085027,1416000,0.0,1.0
4,AGN,2010-11-10 00:00:00+00:00,51.47,51.73,50.57,51.7,1284800,48.5044846666,48.7495044065,47.656339413,48.721232898,1284800,0.0,1.0
5,AGN,2010-11-11 00:00:00+00:00,50.98,51.29,49.21,49.3,7869200,48.0427166952,48.3348556159,46.3746976966,46.4595122219,7869200,0.0,1.0
6,AGN,2010-11-12 00:00:00+00:00,50.41,52.2,50.17,50.98,2376700,47.5055580346,49.1924247056,47.279385967,48.0427166952,2376700,0.0,1.0
7,AGN,2010-11-15 00:00:00+00:00,50.79,51.08,50.27,50.62,1205100,47.8636638083,48.1369550567,47.3736243285,47.7034585938,1205100,0.0,1.0
8,AGN,2010-11-16 00:00:00+00:00,49.6,50.85,49.3,50.4,1601700,46.7422273064,47.9202068252,46.4595122219,47.4961341985,1601700,0.0,1.0
9,AGN,2010-11-17 00:00:00+00:00,49.69,50.23,49.57,49.67,820200,46.8270418318,47.3359289839,46.713955798,46.8081941595,820200,0.0,1.0
10,AGN,2010-11-18 00:00:00+00:00,50.54,50.54,49.96,50.04,1107900,47.6280679046,47.6280679046,47.0814854078,47.156876097,1107900,0.0,1.0
11,AGN,2010-11-19 00:00:00+00:00,50.25,50.65,50.17,50.39,1074400,47.3547766562,47.7317301022,47.279385967,47.4867103623,1074400,0.0,1.0
12,AGN,2010-11-22 00:00:00+00:00,49.94,50.27,49.66,50.11,1399400,47.0626377355,47.3736243285,46.7987703233,47.2228429501,1399400,0.0,1.0
13,AGN,2010-11-23 00:00:00+00:00,49.39,49.69,49.29,49.56,947500,46.5443267473,46.8270418318,46.4500883858,46.7045319618,947500,0.0,1.0
