,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AJG,2010-11-04 00:00:00+00:00,28.89,28.9,28.495,28.69,501100,21.298507607,21.3058798837,21.0073026743,21.1510620714,501100,0.0,1.0
1,AJG,2010-11-05 00:00:00+00:00,28.83,29.0,28.65,28.84,444400,21.2542739463,21.3796026515,21.1215729643,21.2616462231,444400,0.0,1.0
2,AJG,2010-11-08 00:00:00+00:00,28.48,28.745,28.36,28.68,371300,20.9962442591,21.1916095937,20.9077769378,21.1436897947,371300,0.0,1.0
3,AJG,2010-11-09 00:00:00+00:00,27.97,28.6,27.97,28.5,555500,20.6202581435,21.0847115805,20.6202581435,21.0109888127,555500,0.0,1.0
4,AJG,2010-11-10 00:00:00+00:00,28.2,28.25,27.95,28.03,492000,20.7898205094,20.8266818933,20.60551359,20.6644918042,492000,0.0,1.0
5,AJG,2010-11-11 00:00:00+00:00,28.26,28.35,28.03,28.04,299900,20.8340541701,20.900404661,20.6644918042,20.671864081,299900,0.0,1.0
6,AJG,2010-11-12 00:00:00+00:00,27.97,28.26,27.97,28.16,315700,20.6202581435,20.8340541701,20.6202581435,20.7603314023,315700,0.0,1.0
7,AJG,2010-11-15 00:00:00+00:00,28.21,28.39,27.8714,28.01,361900,20.7971927862,20.9298937681,20.5475674945,20.6497472506,361900,0.0,1.0
8,AJG,2010-11-16 00:00:00+00:00,27.79,28.13,27.69,28.09,372400,20.4875571616,20.738214572,20.4138343938,20.7087254649,372400,0.0,1.0
9,AJG,2010-11-17 00:00:00+00:00,27.8,27.99,27.65,27.82,237600,20.4949294383,20.6350026971,20.3843452867,20.5096739919,237600,0.0,1.0
10,AJG,2010-11-18 00:00:00+00:00,28.26,28.35,28.0,28.0,246800,20.8340541701,20.900404661,20.6423749739,20.6423749739,246800,0.0,1.0
11,AJG,2010-11-19 00:00:00+00:00,28.26,28.27,27.97,28.19,201500,20.8340541701,20.8414264468,20.6202581435,20.7824482326,201500,0.0,1.0
12,AJG,2010-11-22 00:00:00+00:00,28.3,28.36,28.11,28.16,379300,20.8635432772,20.9077769378,20.7234700184,20.7603314023,379300,0.0,1.0
13,AJG,2010-11-23 00:00:00+00:00,28.03,28.22,27.97,28.01,301400,20.6644918042,20.804565063,20.6202581435,20.6497472506,301400,0.0,1.0
14,AJG,2010-11-24 00:00:00+00:00,28.42,28.42,28.17,28.19,235500,20.9520105985,20.9520105985,20.7677036791,20.7824482326,235500,0.0,1.0
15,AJG,2010-11-26 00:00:00+00:00,28.27,28.39,28.14,28.14,140600,20.8414264468,20.9298937681,20.7455868487,20.7455868487,140600,0.0,1.0
16,AJG,2010-11-29 00:00:00+00:00,28.3,28.38,27.96,28.15,269000,20.8635432772,20.9225214914,20.6128858668,20.7529591255,269000,0.0,1.0
17,AJG,2010-11-30 00:00:00+00:00,28.08,28.28,27.96,28.05,478400,20.7013531881,20.8487987236,20.6128858668,20.6792363578,478400,0.0,1.0
