,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ALB,2010-11-04 00:00:00+00:00,52.78,52.94,51.51,51.63,1243700,44.9745083594,45.1108463915,43.8923252291,43.9945787532,1243700,0.0,1.0
1,ALB,2010-11-05 00:00:00+00:00,53.1,53.22,52.41,52.95,880200,45.2471844237,45.3494379478,44.65922666,45.1193675185,880200,0.0,1.0
2,ALB,2010-11-08 00:00:00+00:00,52.88,53.23,52.57,52.94,350300,45.0597196295,45.3579590748,44.7955646922,45.1108463915,350300,0.0,1.0
3,ALB,2010-11-09 00:00:00+00:00,52.5,53.55,52.28,53.07,709600,44.7359168031,45.6306351392,44.5484520089,45.2216210427,709600,0.0,1.0
4,ALB,2010-11-10 00:00:00+00:00,53.0,53.23,52.02,52.53,508800,45.1619731536,45.3579590748,44.3269027066,44.7614801841,508800,0.0,1.0
5,ALB,2010-11-11 00:00:00+00:00,52.96,53.075,52.41,52.44,535600,45.1278886456,45.2258816062,44.65922666,44.684790041,535600,0.0,1.0
6,ALB,2010-11-12 00:00:00+00:00,51.96,52.84,51.7385,52.51,263900,44.2757759445,45.0256351214,44.0870329813,44.7444379301,263900,0.0,1.0
7,ALB,2010-11-15 00:00:00+00:00,52.14,52.89,52.03,52.19,363100,44.4291562307,45.0682407565,44.3354238336,44.4717618658,363100,0.0,1.0
8,ALB,2010-11-16 00:00:00+00:00,51.18,51.58,50.32,51.58,804200,43.6111280378,43.9519731182,42.8783111149,43.9519731182,804200,0.0,1.0
9,ALB,2010-11-17 00:00:00+00:00,51.24,51.73,50.795,51.23,331800,43.6622547998,44.0797900233,43.2830646479,43.6537336728,331800,0.0,1.0
10,ALB,2010-11-18 00:00:00+00:00,52.8,53.83,52.03,52.11,652500,44.9915506134,45.8692266954,44.3354238336,44.4035928497,652500,0.0,1.0
11,ALB,2010-11-19 00:00:00+00:00,53.48,53.54,52.42,52.66,289000,45.5709872501,45.6221140121,44.667747787,44.8722548353,289000,0.0,1.0
12,ALB,2010-11-22 00:00:00+00:00,53.93,53.99,52.75,53.07,440800,45.9544379655,46.0055647276,44.9489449783,45.2216210427,440800,0.0,1.0
13,ALB,2010-11-23 00:00:00+00:00,52.9,53.39,52.78,53.17,566000,45.0767618835,45.494297107,44.9745083594,45.3068323128,566000,0.0,1.0
14,ALB,2010-11-24 00:00:00+00:00,54.55,54.57,53.36,53.38,455400,46.4827478402,46.4997900942,45.468733726,45.48577598,455400,0.0,1.0
15,ALB,2010-11-26 00:00:00+00:00,54.11,54.43,53.79,54.09,113100,46.1078182517,46.380494316,45.8351421874,46.0907759977,113100,0.0,1.0
16,ALB,2010-11-29 00:00:00+00:00,54.3,54.54,52.97,53.66,522700,46.2697196649,46.4742267132,45.1364097726,45.7243675363,522700,0.0,1.0
17,ALB,2010-11-30 00:00:00+00:00,54.09,54.46,53.58,53.67,791900,46.0907759977,46.4060576971,45.6561985202,45.7328886633,791900,0.0,1.0
18,ALB,2010-12-01 00:00:00+00:00,55.37,55.49,54.85,55.02,692300,47.181480255,47.2837337791,46.7383816505,46.8832408096,692300,0.0,1.0
19,ALB,2010-12-02 00:00:00+00:00,55.0,55.43,54.35,55.37,957400,46.8661985556,47.2326070171,46.3123253,47.181480255,957400,0.0,1.0
20,ALB,2010-12-03 00:00:00+00:00,55.23,55.44,54.48,54.83,709600,47.0621844769,47.2411281441,46.4230999511,46.7213393964,709600,0.0,1.0
21,ALB,2010-12-06 00:00:00+00:00,55.36,55.63,54.95,55.21,296200,47.172959128,47.4030295573,46.8235929206,47.0451422228,296200,0.0,1.0
22,ALB,2010-12-07 00:00:00+00:00,55.57,56.13,54.9,54.9,437700,47.3519027952,47.8290859078,46.7809872855,46.7809872855,437700,0.0,1.0
23,ALB,2010-12-08 00:00:00+00:00,54.42,55.74,54.09,55.7,1319600,46.371973189,47.4967619544,46.0907759977,47.4626774463,1319600,0.0,1.0
24,ALB,2010-12-09 00:00:00+00:00,55.07,55.11,54.35,54.82,472400,46.9258464447,46.9599309527,46.3123253,46.7128182694,472400,0.0,1.0
25,ALB,2010-12-10 00:00:00+00:00,55.39,55.54,55.08,55.27,387800,47.198522509,47.3263394142,46.9343675717,47.0962689849,387800,0.0,1.0
26,ALB,2010-12-13 00:00:00+00:00,55.05,55.81,54.92,55.49,390900,47.0280999688,47.6773525751,46.9170436019,47.4039830567,390900,0.14,1.0
27,ALB,2010-12-14 00:00:00+00:00,55.64,56.06,55.17,55.24,486500,47.5321250184,47.8909225114,47.1306135382,47.1904131204,486500,0.0,1.0
28,ALB,2010-12-15 00:00:00+00:00,54.81,56.63,54.74,55.35,1106800,46.82307283,48.3778619661,46.7632732478,47.2843838923,1106800,0.0,1.0
29,ALB,2010-12-16 00:00:00+00:00,55.46,56.04,54.35,54.87,939100,47.3783546643,47.8738369165,46.4301041472,46.8743296147,939100,0.0,1.0
30,ALB,2010-12-17 00:00:00+00:00,56.3,56.42,55.08,55.6,1163300,48.0959496502,48.1984632196,47.0537283612,47.4979538286,1163300,0.0,1.0
31,ALB,2010-12-20 00:00:00+00:00,55.78,56.66,55.69,56.3,568500,47.6517241827,48.4034903585,47.5748390057,48.0959496502,568500,0.0,1.0
32,ALB,2010-12-21 00:00:00+00:00,56.73,57.34,55.87,55.97,463900,48.4632899406,48.9844005851,47.7286093598,47.8140373343,463900,0.0,1.0
33,ALB,2010-12-22 00:00:00+00:00,56.16,56.9199,55.86,56.89,334400,47.9763504859,48.6255176642,47.7200665624,48.5999746998,334400,0.0,1.0
34,ALB,2010-12-23 00:00:00+00:00,56.15,56.54,56.02,56.15,171500,47.9678076884,48.300976789,47.8567513216,47.9678076884,171500,0.0,1.0
35,ALB,2010-12-27 00:00:00+00:00,56.05,56.16,55.55,55.97,179500,47.8823797139,47.9763504859,47.4552398414,47.8140373343,179500,0.0,1.0
36,ALB,2010-12-28 00:00:00+00:00,55.93,56.21,55.58,56.2,226600,47.7798661445,48.0190644732,47.4808682337,48.0105216757,226600,0.0,1.0
37,ALB,2010-12-29 00:00:00+00:00,56.36,56.67,56.0,56.0,338700,48.1472064349,48.4120331559,47.8396657267,47.8396657267,338700,0.0,1.0
38,ALB,2010-12-30 00:00:00+00:00,56.13,56.68,56.08,56.2,153900,47.9507220935,48.4205759534,47.9080081063,48.0105216757,153900,0.0,1.0
39,ALB,2010-12-31 00:00:00+00:00,55.78,56.32,55.76,56.06,301100,47.6517241827,48.1130352451,47.6346385878,47.8909225114,301100,0.0,1.0
40,ALB,2011-01-03 00:00:00+00:00,55.86,57.12,55.73,56.12,663800,47.7200665624,48.7964590412,47.6090101955,47.9421792961,663800,0.0,1.0
41,ALB,2011-01-04 00:00:00+00:00,55.34,56.175,54.73,56.08,715400,47.2758410949,47.9891646821,46.7547304504,47.9080081063,715400,0.0,1.0
42,ALB,2011-01-05 00:00:00+00:00,55.16,55.33,54.68,55.01,503800,47.1220707408,47.2672982974,46.7120164631,46.993928779,503800,0.0,1.0
43,ALB,2011-01-06 00:00:00+00:00,54.81,55.55,54.71,55.38,651800,46.82307283,47.4552398414,46.7376448555,47.3100122847,651800,0.0,1.0
44,ALB,2011-01-07 00:00:00+00:00,54.68,55.13,54.33,54.96,486900,46.7120164631,47.0964423484,46.4130185523,46.9512147918,486900,0.0,1.0
45,ALB,2011-01-10 00:00:00+00:00,55.05,55.48,53.76,54.36,723100,47.0280999688,47.3954402592,45.9260790976,46.4386469447,723100,0.0,1.0
46,ALB,2011-01-11 00:00:00+00:00,55.8,56.18,55.19,55.4,501800,47.6688097777,47.9934360808,47.1476991331,47.3270978796,501800,0.0,1.0
47,ALB,2011-01-12 00:00:00+00:00,58.81,58.96,56.4,56.4,1443800,50.2401918105,50.3683337722,48.1813776247,48.1813776247,1443800,0.0,1.0
48,ALB,2011-01-13 00:00:00+00:00,58.44,59.28,58.29,59.28,737000,49.9241083048,50.6417032907,49.795966343,50.6417032907,737000,0.0,1.0
49,ALB,2011-01-14 00:00:00+00:00,59.86,60.54,58.22,58.48,1021700,51.1371855428,51.7180957695,49.7361667608,49.9582794946,1021700,0.0,1.0
50,ALB,2011-01-18 00:00:00+00:00,60.66,60.7,59.56,59.95,1094400,51.8206093389,51.8547805287,50.8809016193,51.2140707199,1094400,0.0,1.0
51,ALB,2011-01-19 00:00:00+00:00,57.25,59.04,56.93,58.83,1920000,48.9075154081,50.4366761518,48.6341458896,50.2572774054,1920000,0.0,1.0
52,ALB,2011-01-20 00:00:00+00:00,56.87,57.5,56.36,56.65,875200,48.5828891049,49.1210853444,48.1472064349,48.394947561,875200,0.0,1.0
53,ALB,2011-01-21 00:00:00+00:00,57.69,58.12,56.94,57.3,1010700,49.2833984959,49.6507387863,48.6426886871,48.9502293953,1010700,0.0,1.0
54,ALB,2011-01-24 00:00:00+00:00,57.7,58.02,57.285,57.56,1224700,49.2919412934,49.5653108118,48.9374151992,49.1723421291,1224700,0.0,1.0
55,ALB,2011-01-25 00:00:00+00:00,57.0,58.57,56.41,58.0,1643900,48.6939454718,50.0351646716,48.1899204222,49.5482252169,1643900,0.0,1.0
56,ALB,2011-01-26 00:00:00+00:00,57.11,58.25,56.72,56.79,1756000,48.7879162438,49.7617951532,48.4547471432,48.5145467253,1756000,0.0,1.0
57,ALB,2011-01-27 00:00:00+00:00,56.88,57.39,56.78,57.39,1066400,48.5914319024,49.0271145724,48.5060039279,49.0271145724,1066400,0.0,1.0
58,ALB,2011-01-28 00:00:00+00:00,55.58,57.01,55.39,56.72,1387300,47.4808682337,48.7024882692,47.3185550822,48.4547471432,1387300,0.0,1.0
59,ALB,2011-01-31 00:00:00+00:00,56.16,56.3,54.78,55.6,1240200,47.9763504859,48.0959496502,46.7974444376,47.4979538286,1240200,0.0,1.0
