,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ALGN,2010-11-04 00:00:00+00:00,17.8,17.9,17.45,17.58,1488300,17.8,17.9,17.45,17.58,1488300,0.0,1.0
1,ALGN,2010-11-05 00:00:00+00:00,18.5,18.67,17.7275,17.8,1559800,18.5,18.67,17.7275,17.8,1559800,0.0,1.0
2,ALGN,2010-11-08 00:00:00+00:00,18.24,18.545,18.14,18.5,695300,18.24,18.545,18.14,18.5,695300,0.0,1.0
3,ALGN,2010-11-09 00:00:00+00:00,18.25,18.36,18.03,18.24,899500,18.25,18.36,18.03,18.24,899500,0.0,1.0
4,ALGN,2010-11-10 00:00:00+00:00,18.43,18.43,18.11,18.33,439800,18.43,18.43,18.11,18.33,439800,0.0,1.0
5,ALGN,2010-11-11 00:00:00+00:00,18.5,18.54,18.19,18.2,379300,18.5,18.54,18.19,18.2,379300,0.0,1.0
6,ALGN,2010-11-12 00:00:00+00:00,18.31,18.56,18.2,18.31,606800,18.31,18.56,18.2,18.31,606800,0.0,1.0
7,ALGN,2010-11-15 00:00:00+00:00,18.27,18.46,18.065,18.35,508300,18.27,18.46,18.065,18.35,508300,0.0,1.0
8,ALGN,2010-11-16 00:00:00+00:00,17.88,18.29,17.71,18.13,1213700,17.88,18.29,17.71,18.13,1213700,0.0,1.0
9,ALGN,2010-11-17 00:00:00+00:00,17.68,18.0,17.625,17.99,650900,17.68,18.0,17.625,17.99,650900,0.0,1.0
10,ALGN,2010-11-18 00:00:00+00:00,17.91,18.2,17.8,17.91,967000,17.91,18.2,17.8,17.91,967000,0.0,1.0
11,ALGN,2010-11-19 00:00:00+00:00,17.5,18.16,17.47,17.91,1019700,17.5,18.16,17.47,17.91,1019700,0.0,1.0
12,ALGN,2010-11-22 00:00:00+00:00,17.4,17.64,17.12,17.37,737400,17.4,17.64,17.12,17.37,737400,0.0,1.0
13,ALGN,2010-11-23 00:00:00+00:00,17.45,17.54,17.01,17.12,608400,17.45,17.54,17.01,17.12,608400,0.0,1.0
14,ALGN,2010-11-24 00:00:00+00:00,17.85,17.85,17.52,17.58,426200,17.85,17.85,17.52,17.58,426200,0.0,1.0
15,ALGN,2010-11-26 00:00:00+00:00,17.57,18.04,17.5,17.67,295500,17.57,18.04,17.5,17.67,295500,0.0,1.0
16,ALGN,2010-11-29 00:00:00+00:00,17.6,17.73,17.29,17.44,361800,17.6,17.73,17.29,17.44,361800,0.0,1.0
17,ALGN,2010-11-30 00:00:00+00:00,17.49,17.84,16.73,17.36,1702800,17.49,17.84,16.73,17.36,1702800,0.0,1.0
18,ALGN,2010-12-01 00:00:00+00:00,17.97,18.32,17.7,17.84,781100,17.97,18.32,17.7,17.84,781100,0.0,1.0
19,ALGN,2010-12-02 00:00:00+00:00,17.5,18.03,17.43,17.94,1068400,17.5,18.03,17.43,17.94,1068400,0.0,1.0
20,ALGN,2010-12-03 00:00:00+00:00,17.62,17.72,17.18,17.45,1338000,17.62,17.72,17.18,17.45,1338000,0.0,1.0
21,ALGN,2010-12-06 00:00:00+00:00,17.77,17.98,17.63,17.68,484800,17.77,17.98,17.63,17.68,484800,0.0,1.0
22,ALGN,2010-12-07 00:00:00+00:00,17.8095,18.19,17.72,17.98,407400,17.8095,18.19,17.72,17.98,407400,0.0,1.0
23,ALGN,2010-12-08 00:00:00+00:00,18.1,18.335,17.63,17.83,557600,18.1,18.335,17.63,17.83,557600,0.0,1.0
24,ALGN,2010-12-09 00:00:00+00:00,18.39,18.53,18.2,18.31,477100,18.39,18.53,18.2,18.31,477100,0.0,1.0
25,ALGN,2010-12-10 00:00:00+00:00,18.67,18.79,18.33,18.45,352600,18.67,18.79,18.33,18.45,352600,0.0,1.0
26,ALGN,2010-12-13 00:00:00+00:00,18.52,18.77,18.5,18.77,299100,18.52,18.77,18.5,18.77,299100,0.0,1.0
27,ALGN,2010-12-14 00:00:00+00:00,18.71,18.94,18.58,18.62,543300,18.71,18.94,18.58,18.62,543300,0.0,1.0
28,ALGN,2010-12-15 00:00:00+00:00,18.79,19.139,18.69,18.73,390600,18.79,19.139,18.69,18.73,390600,0.0,1.0
29,ALGN,2010-12-16 00:00:00+00:00,19.42,19.4299,18.65,18.81,391800,19.42,19.4299,18.65,18.81,391800,0.0,1.0
30,ALGN,2010-12-17 00:00:00+00:00,20.11,20.16,19.2,19.4,1661100,20.11,20.16,19.2,19.4,1661100,0.0,1.0
31,ALGN,2010-12-20 00:00:00+00:00,20.07,20.65,19.97,20.3,778000,20.07,20.65,19.97,20.3,778000,0.0,1.0
32,ALGN,2010-12-21 00:00:00+00:00,20.28,20.61,19.89,20.14,618400,20.28,20.61,19.89,20.14,618400,0.0,1.0
33,ALGN,2010-12-22 00:00:00+00:00,20.37,20.6199,20.15,20.29,407400,20.37,20.6199,20.15,20.29,407400,0.0,1.0
34,ALGN,2010-12-23 00:00:00+00:00,20.24,20.4691,20.19,20.38,186600,20.24,20.4691,20.19,20.38,186600,0.0,1.0
