,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AMD,2010-11-04 00:00:00+00:00,8.0,8.0,7.67,7.71,29582400,8.0,8.0,7.67,7.71,29582400,0.0,1.0
1,AMD,2010-11-05 00:00:00+00:00,8.04,8.16,7.97,8.03,24711800,8.04,8.16,7.97,8.03,24711800,0.0,1.0
2,AMD,2010-11-08 00:00:00+00:00,8.14,8.22,8.03,8.03,28465800,8.14,8.22,8.03,8.03,28465800,0.0,1.0
3,AMD,2010-11-09 00:00:00+00:00,7.91,8.24,7.85,8.22,42726500,7.91,8.24,7.85,8.22,42726500,0.0,1.0
4,AMD,2010-11-10 00:00:00+00:00,7.75,7.94,7.7,7.89,31317300,7.75,7.94,7.7,7.89,31317300,0.0,1.0
5,AMD,2010-11-11 00:00:00+00:00,7.63,7.68,7.46,7.56,17940500,7.63,7.68,7.46,7.56,17940500,0.0,1.0
6,AMD,2010-11-12 00:00:00+00:00,7.63,7.85,7.5,7.59,34469700,7.63,7.85,7.5,7.59,34469700,0.0,1.0
7,AMD,2010-11-15 00:00:00+00:00,7.565,7.82,7.56,7.75,15867600,7.565,7.82,7.56,7.75,15867600,0.0,1.0
8,AMD,2010-11-16 00:00:00+00:00,7.43,7.65,7.42,7.49,26840800,7.43,7.65,7.42,7.49,26840800,0.0,1.0
9,AMD,2010-11-17 00:00:00+00:00,7.33,7.43,7.24,7.32,17761400,7.33,7.43,7.24,7.32,17761400,0.0,1.0
10,AMD,2010-11-18 00:00:00+00:00,7.35,7.48,7.3,7.43,13942700,7.35,7.48,7.3,7.43,13942700,0.0,1.0
11,AMD,2010-11-19 00:00:00+00:00,7.47,7.53,7.27,7.36,14476000,7.47,7.53,7.27,7.36,14476000,0.0,1.0
12,AMD,2010-11-22 00:00:00+00:00,7.41,7.56,7.3025,7.44,12073300,7.41,7.56,7.3025,7.44,12073300,0.0,1.0
13,AMD,2010-11-23 00:00:00+00:00,7.32,7.41,7.26,7.32,10386700,7.32,7.41,7.26,7.32,10386700,0.0,1.0
14,AMD,2010-11-24 00:00:00+00:00,7.62,7.67,7.37,7.38,14304900,7.62,7.67,7.37,7.38,14304900,0.0,1.0
15,AMD,2010-11-26 00:00:00+00:00,7.55,7.65,7.51,7.6,4052200,7.55,7.65,7.51,7.6,4052200,0.0,1.0
16,AMD,2010-11-29 00:00:00+00:00,7.38,7.5,7.26,7.47,15579700,7.38,7.5,7.26,7.47,15579700,0.0,1.0
17,AMD,2010-11-30 00:00:00+00:00,7.29,7.37,7.26,7.29,12917100,7.29,7.37,7.26,7.29,12917100,0.0,1.0
18,AMD,2010-12-01 00:00:00+00:00,7.51,7.6,7.37,7.41,23883600,7.51,7.6,7.37,7.41,23883600,0.0,1.0
19,AMD,2010-12-02 00:00:00+00:00,7.54,7.63,7.49,7.56,19539900,7.54,7.63,7.49,7.56,19539900,0.0,1.0
20,AMD,2010-12-03 00:00:00+00:00,7.65,7.7,7.5,7.53,17230100,7.65,7.7,7.5,7.53,17230100,0.0,1.0
21,AMD,2010-12-06 00:00:00+00:00,7.819,7.87,7.61,7.65,22908800,7.819,7.87,7.61,7.65,22908800,0.0,1.0
22,AMD,2010-12-07 00:00:00+00:00,8.02,8.14,7.9,7.91,31776500,8.02,8.14,7.9,7.91,31776500,0.0,1.0
23,AMD,2010-12-08 00:00:00+00:00,8.17,8.2,7.95,7.98,19981200,8.17,8.2,7.95,7.98,19981200,0.0,1.0
24,AMD,2010-12-09 00:00:00+00:00,7.95,8.23,7.91,8.21,16823000,7.95,8.23,7.91,8.21,16823000,0.0,1.0
25,AMD,2010-12-10 00:00:00+00:00,8.07,8.12,7.89,8.0,15130900,8.07,8.12,7.89,8.0,15130900,0.0,1.0
26,AMD,2010-12-13 00:00:00+00:00,8.23,8.43,8.1,8.13,29524200,8.23,8.43,8.1,8.13,29524200,0.0,1.0
27,AMD,2010-12-14 00:00:00+00:00,8.05,8.27,8.0,8.23,15770200,8.05,8.27,8.0,8.23,15770200,0.0,1.0
