,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AMG,2010-11-04 00:00:00+00:00,91.55,92.095,89.73,90.44,740700,88.739619914,89.2678896338,86.9754898403,87.6636944295,740700,0.0,1.0
1,AMG,2010-11-05 00:00:00+00:00,90.96,92.04,90.43,91.46,693700,88.1677315934,89.2145780107,87.6540014071,88.6523827125,693700,0.0,1.0
2,AMG,2010-11-08 00:00:00+00:00,90.87,91.23,89.78,90.62,434100,88.0804943919,88.4294431977,87.0239549522,87.8381688324,434100,0.0,1.0
3,AMG,2010-11-09 00:00:00+00:00,89.36,91.42,88.93,91.14,425000,86.6168480121,88.613610623,86.2000480497,88.3422059963,425000,0.0,1.0
4,AMG,2010-11-10 00:00:00+00:00,90.76,91.19,88.95,89.38,504600,87.9738711457,88.3906711082,86.2194340944,86.6362340569,504600,0.0,1.0
5,AMG,2010-11-11 00:00:00+00:00,89.92,90.53,89.37,89.96,292700,87.1596572656,87.7509316309,86.6265410345,87.1984293551,292700,0.0,1.0
6,AMG,2010-11-12 00:00:00+00:00,87.28,89.7,86.56,89.27,456800,84.6006993565,86.9464107731,83.902801745,86.5296108107,456800,0.0,1.0
7,AMG,2010-11-15 00:00:00+00:00,87.8,89.28,87.54,87.66,379400,85.1047365204,86.5393038331,84.8527179385,84.9690342071,379400,0.0,1.0
8,AMG,2010-11-16 00:00:00+00:00,85.22,87.89,84.87,86.81,443000,82.6039367457,85.1919737219,82.2646809623,84.1451273045,443000,0.0,1.0
9,AMG,2010-11-17 00:00:00+00:00,85.57,85.75,84.65,85.3,434700,82.9431925291,83.117666932,82.0514344699,82.6814809247,434700,0.0,1.0
10,AMG,2010-11-18 00:00:00+00:00,88.7,89.1,86.5,86.79,508400,85.9771085349,86.3648294302,83.8446436107,84.1257412598,508400,0.0,1.0
11,AMG,2010-11-19 00:00:00+00:00,89.66,89.66,87.705,88.32,356400,86.9076386836,86.9076386836,85.0126528078,85.6087736843,356400,0.0,1.0
12,AMG,2010-11-22 00:00:00+00:00,89.61,90.2,88.81,89.32,561700,86.8591735717,87.4310618923,86.0837317811,86.5780759226,561700,0.0,1.0
13,AMG,2010-11-23 00:00:00+00:00,87.12,88.77,86.49,88.56,680300,84.4456109984,86.0449596916,83.8349505883,85.8414062215,680300,0.0,1.0
14,AMG,2010-11-24 00:00:00+00:00,90.12,90.2,87.56,87.56,388200,87.3535177132,87.4310618923,84.8721039832,84.8721039832,388200,0.0,1.0
15,AMG,2010-11-26 00:00:00+00:00,89.45,90.18,89.15,89.26,103100,86.7040852136,87.4116758475,86.4132945421,86.5199177883,103100,0.0,1.0
16,AMG,2010-11-29 00:00:00+00:00,89.27,89.48,87.78,89.0,347900,86.5296108107,86.7331642807,85.0853504757,86.2678992064,347900,0.0,1.0
17,AMG,2010-11-30 00:00:00+00:00,87.41,88.95,87.16,88.01,820300,84.7267086475,86.2194340944,84.4843830879,85.3082899905,820300,0.0,1.0
18,AMG,2010-12-01 00:00:00+00:00,90.41,90.7,88.4601,89.45,622000,87.6346153623,87.9157130114,85.7445729279,86.7040852136,622000,0.0,1.0
19,AMG,2010-12-02 00:00:00+00:00,93.44,93.66,90.67,90.67,470000,90.5716011443,90.7848476367,87.8866339443,87.8866339443,470000,0.0,1.0
20,AMG,2010-12-03 00:00:00+00:00,94.09,94.41,92.22,92.58,359600,91.2016475992,91.5118243154,89.3890524136,89.7380012194,359600,0.0,1.0
21,AMG,2010-12-06 00:00:00+00:00,94.57,94.7,93.21,94.01,354500,91.6669126735,91.7929219645,90.3486616295,91.1241034201,354500,0.0,1.0
22,AMG,2010-12-07 00:00:00+00:00,95.05,97.95,94.53,96.01,422100,92.1321777479,94.9431542389,91.628140584,93.0627078967,422100,0.0,1.0
23,AMG,2010-12-08 00:00:00+00:00,96.02,96.11,95.25,95.25,285800,93.072400919,93.1596381205,92.3260381956,92.3260381956,285800,0.0,1.0
24,AMG,2010-12-09 00:00:00+00:00,96.86,96.87,95.21,96.69,414100,93.8866147992,93.8963078216,92.287266106,93.7218334187,414100,0.0,1.0
25,AMG,2010-12-10 00:00:00+00:00,98.5,99.08,95.9805,97.24,686000,95.47627047,96.0384657682,93.0341134806,94.2549496497,686000,0.0,1.0
26,AMG,2010-12-13 00:00:00+00:00,96.7,98.98,96.42,98.98,716700,93.7315264411,95.9415355443,93.4601218143,95.9415355443,716700,0.0,1.0
27,AMG,2010-12-14 00:00:00+00:00,95.82,97.12,95.51,96.99,398800,92.8785404714,94.1386333811,92.5780567775,94.0126240902,398800,0.0,1.0
28,AMG,2010-12-15 00:00:00+00:00,96.78,99.06,95.7,95.77,488500,93.8090706201,96.0190797234,92.7622242028,92.8300753595,488500,0.0,1.0
29,AMG,2010-12-16 00:00:00+00:00,98.53,98.59,96.45,96.94,357300,95.5053495371,95.5635076714,93.4892008815,93.9641589782,357300,0.0,1.0
30,AMG,2010-12-17 00:00:00+00:00,99.26,99.84,98.33,98.6,820600,96.212940171,96.7751354692,95.3114890894,95.5732006938,820600,0.0,1.0
31,AMG,2010-12-20 00:00:00+00:00,99.4,99.84,98.65,99.56,558800,96.3486424844,96.7751354692,95.6216658057,96.5037308425,558800,0.0,1.0
32,AMG,2010-12-21 00:00:00+00:00,101.86,101.98,99.75,99.87,449100,98.7331259906,98.8494422591,96.6878982678,96.8042145364,449100,0.0,1.0
33,AMG,2010-12-22 00:00:00+00:00,101.14,102.0599,100.38,101.89,374700,98.035228379,98.926889508,97.2985586779,98.7622050577,374700,0.0,1.0
34,AMG,2010-12-23 00:00:00+00:00,99.81,101.27,99.36,101.16,377500,96.7460564021,98.16123767,96.3098703949,98.0546144238,377500,0.0,1.0
35,AMG,2010-12-27 00:00:00+00:00,100.08,100.08,98.84,99.35,246500,97.0077680064,97.0077680064,95.805833231,96.3001773725,246500,0.0,1.0
36,AMG,2010-12-28 00:00:00+00:00,99.74,100.51,99.38,100.35,133000,96.6782052454,97.4245679689,96.3292564396,97.2694796108,133000,0.0,1.0
37,AMG,2010-12-29 00:00:00+00:00,99.71,100.34,99.0412,99.9,163700,96.6491261783,97.2597865884,96.0008568413,96.8332936035,163700,0.0,1.0
38,AMG,2010-12-30 00:00:00+00:00,98.78,100.18,98.66,99.81,234300,95.7476750967,97.1046982303,95.6313588281,96.7460564021,234300,0.0,1.0
39,AMG,2010-12-31 00:00:00+00:00,99.22,100.05,98.36,98.83,277600,96.1741680815,96.9786889393,95.3405681566,95.7961402086,277600,0.0,1.0
40,AMG,2011-01-03 00:00:00+00:00,100.68,102.67,100.32,100.32,576100,97.5893493494,99.5182608036,97.2404005436,97.2404005436,576100,0.0,1.0
41,AMG,2011-01-04 00:00:00+00:00,99.02,101.07,98.43,100.74,282500,95.9803076339,97.9673772223,95.4084193133,97.6475074837,282500,0.0,1.0
42,AMG,2011-01-05 00:00:00+00:00,99.25,99.65,98.78,98.78,315600,96.2032471487,96.590968044,95.7476750967,95.7476750967,315600,0.0,1.0
43,AMG,2011-01-06 00:00:00+00:00,100.0,100.15,99.18,99.71,413300,96.9302238274,97.0756191631,96.135395992,96.6491261783,413300,0.0,1.0
44,AMG,2011-01-07 00:00:00+00:00,99.59,101.29,98.68,100.29,288200,96.5328099097,98.1806237147,95.6507448728,97.2113214765,288200,0.0,1.0
45,AMG,2011-01-10 00:00:00+00:00,103.25,103.55,99.28,99.28,423200,100.0804561018,100.3712467732,96.2323262158,96.2323262158,423200,0.0,1.0
46,AMG,2011-01-11 00:00:00+00:00,102.79,104.38,102.21,103.87,244000,99.6345770721,101.175767631,99.0723817739,100.6814234895,244000,0.0,1.0
47,AMG,2011-01-12 00:00:00+00:00,104.52,104.54,101.8,103.63,275100,101.3114699444,101.3308559891,98.6749678563,100.4487909523,275100,0.0,1.0
48,AMG,2011-01-13 00:00:00+00:00,105.87,106.82,104.02,104.71,647800,102.620027966,103.5408650924,100.8268188252,101.4956373696,647800,0.0,1.0
49,AMG,2011-01-14 00:00:00+00:00,104.77,105.75,104.4,105.46,483300,101.5537955039,102.5037116974,101.1951536758,102.2226140483,483300,0.0,1.0
