,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ANSS,2010-11-04 00:00:00+00:00,45.75,46.66,45.06,45.55,1479200,45.75,46.66,45.06,45.55,1479200,0.0,1.0
1,ANSS,2010-11-05 00:00:00+00:00,46.06,46.13,45.67,45.73,886700,46.06,46.13,45.67,45.73,886700,0.0,1.0
2,ANSS,2010-11-08 00:00:00+00:00,47.67,47.85,45.96,45.96,1256700,47.67,47.85,45.96,45.96,1256700,0.0,1.0
3,ANSS,2010-11-09 00:00:00+00:00,48.17,48.66,47.48,47.59,700800,48.17,48.66,47.48,47.59,700800,0.0,1.0
4,ANSS,2010-11-10 00:00:00+00:00,49.27,49.38,47.97,48.24,762200,49.27,49.38,47.97,48.24,762200,0.0,1.0
5,ANSS,2010-11-11 00:00:00+00:00,49.09,49.13,47.85,48.71,661700,49.09,49.13,47.85,48.71,661700,0.0,1.0
6,ANSS,2010-11-12 00:00:00+00:00,48.98,49.37,48.61,48.91,651800,48.98,49.37,48.61,48.91,651800,0.0,1.0
7,ANSS,2010-11-15 00:00:00+00:00,48.97,49.1,48.59,49.0,540600,48.97,49.1,48.59,49.0,540600,0.0,1.0
8,ANSS,2010-11-16 00:00:00+00:00,47.56,48.67,47.21,48.47,765000,47.56,48.67,47.21,48.47,765000,0.0,1.0
9,ANSS,2010-11-17 00:00:00+00:00,47.69,47.91,47.32,47.71,290000,47.69,47.91,47.32,47.71,290000,0.0,1.0
10,ANSS,2010-11-18 00:00:00+00:00,48.47,48.94,48.06,48.17,299000,48.47,48.94,48.06,48.17,299000,0.0,1.0
11,ANSS,2010-11-19 00:00:00+00:00,48.3,48.84,48.11,48.48,352200,48.3,48.84,48.11,48.48,352200,0.0,1.0
12,ANSS,2010-11-22 00:00:00+00:00,48.63,48.71,47.57,47.9,319300,48.63,48.71,47.57,47.9,319300,0.0,1.0
13,ANSS,2010-11-23 00:00:00+00:00,47.71,48.14,47.11,47.98,249100,47.71,48.14,47.11,47.98,249100,0.0,1.0
14,ANSS,2010-11-24 00:00:00+00:00,48.99,49.1,47.98,47.98,238000,48.99,49.1,47.98,47.98,238000,0.0,1.0
15,ANSS,2010-11-26 00:00:00+00:00,48.88,49.08,48.66,48.66,74200,48.88,49.08,48.66,48.66,74200,0.0,1.0
16,ANSS,2010-11-29 00:00:00+00:00,48.05,48.66,47.16,48.66,518300,48.05,48.66,47.16,48.66,518300,0.0,1.0
17,ANSS,2010-11-30 00:00:00+00:00,48.5,48.72,47.13,47.59,555400,48.5,48.72,47.13,47.59,555400,0.0,1.0
18,ANSS,2010-12-01 00:00:00+00:00,50.79,50.89,49.08,49.22,942700,50.79,50.89,49.08,49.22,942700,0.0,1.0
19,ANSS,2010-12-02 00:00:00+00:00,51.09,51.21,50.36,50.64,957600,51.09,51.21,50.36,50.64,957600,0.0,1.0
20,ANSS,2010-12-03 00:00:00+00:00,51.36,51.79,50.71,50.76,355800,51.36,51.79,50.71,50.76,355800,0.0,1.0
21,ANSS,2010-12-06 00:00:00+00:00,50.92,51.33,50.62,51.0,339600,50.92,51.33,50.62,51.0,339600,0.0,1.0
22,ANSS,2010-12-07 00:00:00+00:00,51.05,51.62,50.74,51.32,348300,51.05,51.62,50.74,51.32,348300,0.0,1.0
23,ANSS,2010-12-08 00:00:00+00:00,51.07,51.33,50.77,51.03,356200,51.07,51.33,50.77,51.03,356200,0.0,1.0
24,ANSS,2010-12-09 00:00:00+00:00,51.13,51.48,50.91,51.2,455100,51.13,51.48,50.91,51.2,455100,0.0,1.0
25,ANSS,2010-12-10 00:00:00+00:00,52.36,52.5,51.16,51.36,453200,52.36,52.5,51.16,51.36,453200,0.0,1.0
26,ANSS,2010-12-13 00:00:00+00:00,51.87,52.82,51.79,52.66,310100,51.87,52.82,51.79,52.66,310100,0.0,1.0
27,ANSS,2010-12-14 00:00:00+00:00,52.02,52.55,51.84,51.84,301800,52.02,52.55,51.84,51.84,301800,0.0,1.0
28,ANSS,2010-12-15 00:00:00+00:00,51.77,52.845,51.71,51.82,342100,51.77,52.845,51.71,51.82,342100,0.0,1.0
29,ANSS,2010-12-16 00:00:00+00:00,52.15,52.19,51.4,51.92,290800,52.15,52.19,51.4,51.92,290800,0.0,1.0
30,ANSS,2010-12-17 00:00:00+00:00,53.11,53.16,51.65,52.24,670800,53.11,53.16,51.65,52.24,670800,0.0,1.0
31,ANSS,2010-12-20 00:00:00+00:00,52.98,53.51,52.43,53.33,292100,52.98,53.51,52.43,53.33,292100,0.0,1.0
32,ANSS,2010-12-21 00:00:00+00:00,52.94,53.64,52.85,53.25,252000,52.94,53.64,52.85,53.25,252000,0.0,1.0
33,ANSS,2010-12-22 00:00:00+00:00,53.25,53.58,52.71,52.97,235100,53.25,53.58,52.71,52.97,235100,0.0,1.0
34,ANSS,2010-12-23 00:00:00+00:00,52.98,53.3399,52.97,53.16,203100,52.98,53.3399,52.97,53.16,203100,0.0,1.0
35,ANSS,2010-12-27 00:00:00+00:00,52.98,53.14,52.17,52.88,230500,52.98,53.14,52.17,52.88,230500,0.0,1.0
36,ANSS,2010-12-28 00:00:00+00:00,52.82,53.16,52.47,53.16,167500,52.82,53.16,52.47,53.16,167500,0.0,1.0
37,ANSS,2010-12-29 00:00:00+00:00,52.76,53.32,52.46,52.89,291300,52.76,53.32,52.46,52.89,291300,0.0,1.0
38,ANSS,2010-12-30 00:00:00+00:00,52.54,53.18,52.5,52.73,236300,52.54,53.18,52.5,52.73,236300,0.0,1.0
39,ANSS,2010-12-31 00:00:00+00:00,52.07,53.22,52.02,52.54,798700,52.07,53.22,52.02,52.54,798700,0.0,1.0
40,ANSS,2011-01-03 00:00:00+00:00,52.57,53.46,52.48,52.55,383900,52.57,53.46,52.48,52.55,383900,0.0,1.0
41,ANSS,2011-01-04 00:00:00+00:00,52.34,53.01,51.95,52.57,408200,52.34,53.01,51.95,52.57,408200,0.0,1.0
42,ANSS,2011-01-05 00:00:00+00:00,53.2,53.39,52.05,52.36,340300,53.2,53.39,52.05,52.36,340300,0.0,1.0
43,ANSS,2011-01-06 00:00:00+00:00,53.27,53.82,53.05,53.34,424600,53.27,53.82,53.05,53.34,424600,0.0,1.0
44,ANSS,2011-01-07 00:00:00+00:00,52.45,53.25,51.81,53.25,464500,52.45,53.25,51.81,53.25,464500,0.0,1.0
45,ANSS,2011-01-10 00:00:00+00:00,53.61,53.69,51.85,52.13,509700,53.61,53.69,51.85,52.13,509700,0.0,1.0
46,ANSS,2011-01-11 00:00:00+00:00,53.97,54.24,53.75,53.9,225600,53.97,54.24,53.75,53.9,225600,0.0,1.0
47,ANSS,2011-01-12 00:00:00+00:00,53.82,54.42,53.2,54.32,309100,53.82,54.42,53.2,54.32,309100,0.0,1.0
48,ANSS,2011-01-13 00:00:00+00:00,53.96,54.08,53.69,53.72,180100,53.96,54.08,53.69,53.72,180100,0.0,1.0
49,ANSS,2011-01-14 00:00:00+00:00,54.96,54.96,53.67,53.76,248200,54.96,54.96,53.67,53.76,248200,0.0,1.0
50,ANSS,2011-01-18 00:00:00+00:00,55.99,55.99,53.6,53.93,884200,55.99,55.99,53.6,53.93,884200,0.0,1.0
51,ANSS,2011-01-19 00:00:00+00:00,54.93,56.4,54.67,55.81,531500,54.93,56.4,54.67,55.81,531500,0.0,1.0
52,ANSS,2011-01-20 00:00:00+00:00,52.15,55.23,52.09,54.52,993600,52.15,55.23,52.09,54.52,993600,0.0,1.0
53,ANSS,2011-01-21 00:00:00+00:00,52.51,53.66,52.49,52.55,583800,52.51,53.66,52.49,52.55,583800,0.0,1.0
54,ANSS,2011-01-24 00:00:00+00:00,53.31,53.55,52.46,52.5,565000,53.31,53.55,52.46,52.5,565000,0.0,1.0
55,ANSS,2011-01-25 00:00:00+00:00,51.82,53.11,51.12,53.11,860200,51.82,53.11,51.12,53.11,860200,0.0,1.0
56,ANSS,2011-01-26 00:00:00+00:00,52.97,53.45,51.9,51.97,361700,52.97,53.45,51.9,51.97,361700,0.0,1.0
57,ANSS,2011-01-27 00:00:00+00:00,52.55,52.91,52.21,52.91,411600,52.55,52.91,52.21,52.91,411600,0.0,1.0
58,ANSS,2011-01-28 00:00:00+00:00,51.85,53.22,51.61,52.61,453400,51.85,53.22,51.61,52.61,453400,0.0,1.0
59,ANSS,2011-01-31 00:00:00+00:00,52.45,52.5,51.72,51.95,442100,52.45,52.5,51.72,51.95,442100,0.0,1.0
60,ANSS,2011-02-01 00:00:00+00:00,53.53,54.0,52.51,52.68,441600,53.53,54.0,52.51,52.68,441600,0.0,1.0
61,ANSS,2011-02-02 00:00:00+00:00,54.11,54.44,53.39,53.39,198300,54.11,54.44,53.39,53.39,198300,0.0,1.0
62,ANSS,2011-02-03 00:00:00+00:00,53.89,54.28,53.4,54.06,213600,53.89,54.28,53.4,54.06,213600,0.0,1.0
63,ANSS,2011-02-04 00:00:00+00:00,54.26,54.55,53.69,54.1,160100,54.26,54.55,53.69,54.1,160100,0.0,1.0
64,ANSS,2011-02-07 00:00:00+00:00,55.04,55.25,54.24,54.29,318500,55.04,55.25,54.24,54.29,318500,0.0,1.0
65,ANSS,2011-02-08 00:00:00+00:00,54.43,55.16,54.07,55.16,267300,54.43,55.16,54.07,55.16,267300,0.0,1.0
66,ANSS,2011-02-09 00:00:00+00:00,53.65,54.35,53.5,54.35,250500,53.65,54.35,53.5,54.35,250500,0.0,1.0
67,ANSS,2011-02-10 00:00:00+00:00,54.4,54.51,53.04,53.38,409800,54.4,54.51,53.04,53.38,409800,0.0,1.0
68,ANSS,2011-02-11 00:00:00+00:00,54.37,54.77,53.9,54.13,302600,54.37,54.77,53.9,54.13,302600,0.0,1.0
69,ANSS,2011-02-14 00:00:00+00:00,54.24,54.88,54.13,54.4,329900,54.24,54.88,54.13,54.4,329900,0.0,1.0
70,ANSS,2011-02-15 00:00:00+00:00,54.12,54.35,53.68,54.13,288600,54.12,54.35,53.68,54.13,288600,0.0,1.0
71,ANSS,2011-02-16 00:00:00+00:00,54.51,54.8253,54.01,54.32,317500,54.51,54.8253,54.01,54.32,317500,0.0,1.0
72,ANSS,2011-02-17 00:00:00+00:00,54.77,54.9959,54.08,54.38,194200,54.77,54.9959,54.08,54.38,194200,0.0,1.0
73,ANSS,2011-02-18 00:00:00+00:00,55.09,55.39,54.54,54.95,170600,55.09,55.39,54.54,54.95,170600,0.0,1.0
74,ANSS,2011-02-22 00:00:00+00:00,54.02,55.14,53.99,54.0,360700,54.02,55.14,53.99,54.0,360700,0.0,1.0
75,ANSS,2011-02-23 00:00:00+00:00,53.32,54.47,53.08,53.92,606200,53.32,54.47,53.08,53.92,606200,0.0,1.0
76,ANSS,2011-02-24 00:00:00+00:00,54.11,55.0,52.78,53.98,900200,54.11,55.0,52.78,53.98,900200,0.0,1.0
77,ANSS,2011-02-25 00:00:00+00:00,55.83,56.65,54.04,54.99,1035600,55.83,56.65,54.04,54.99,1035600,0.0,1.0
78,ANSS,2011-02-28 00:00:00+00:00,56.32,56.86,55.2,56.34,914500,56.32,56.86,55.2,56.34,914500,0.0,1.0
79,ANSS,2011-03-01 00:00:00+00:00,54.93,56.53,54.31,56.53,567900,54.93,56.53,54.31,56.53,567900,0.0,1.0
80,ANSS,2011-03-02 00:00:00+00:00,55.07,55.57,54.53,54.78,531700,55.07,55.57,54.53,54.78,531700,0.0,1.0
81,ANSS,2011-03-03 00:00:00+00:00,55.28,56.08,55.18,55.52,665600,55.28,56.08,55.18,55.52,665600,0.0,1.0
82,ANSS,2011-03-04 00:00:00+00:00,55.0,55.67,54.38,55.32,560300,55.0,55.67,54.38,55.32,560300,0.0,1.0
83,ANSS,2011-03-07 00:00:00+00:00,53.93,55.28,53.7109,55.28,558600,53.93,55.28,53.7109,55.28,558600,0.0,1.0
84,ANSS,2011-03-08 00:00:00+00:00,54.73,55.1,53.44,53.87,458200,54.73,55.1,53.44,53.87,458200,0.0,1.0
85,ANSS,2011-03-09 00:00:00+00:00,54.38,54.88,53.97,54.78,299100,54.38,54.88,53.97,54.78,299100,0.0,1.0
86,ANSS,2011-03-10 00:00:00+00:00,53.05,53.94,52.72,53.63,607900,53.05,53.94,52.72,53.63,607900,0.0,1.0
