,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AON,2010-11-04 00:00:00+00:00,41.09,41.1,39.96,40.21,4543600,36.6724830132,36.68140793,35.6639674181,35.8870903374,4543600,0.0,1.0
1,AON,2010-11-05 00:00:00+00:00,41.78,41.78,40.95,41.08,3876400,37.2883022705,37.2883022705,36.5475341784,36.6635580965,3876400,0.0,1.0
2,AON,2010-11-08 00:00:00+00:00,41.47,41.48,40.96,41.44,3099600,37.0116298505,37.0205547673,36.5564590952,36.9848551002,3099600,0.0,1.0
3,AON,2010-11-09 00:00:00+00:00,41.44,41.94,41.23,41.51,3174700,36.9848551002,37.4311009388,36.797431848,37.0473295176,3174700,0.0,1.0
4,AON,2010-11-10 00:00:00+00:00,41.61,41.78,41.18,41.45,2223000,37.1365786853,37.2883022705,36.7528072642,36.993780017,2223000,0.0,1.0
5,AON,2010-11-11 00:00:00+00:00,41.4,41.58,41.14,41.28,1245400,36.9491554331,37.109803935,36.7171075971,36.8420564319,1245400,0.0,1.0
6,AON,2010-11-12 00:00:00+00:00,41.07,41.44,40.96,41.26,1786900,36.6546331797,36.9848551002,36.5564590952,36.8242065983,1786900,0.0,1.0
7,AON,2010-11-15 00:00:00+00:00,41.26,41.57,41.04,41.08,1281200,36.8242065983,37.1008790183,36.6278584294,36.6635580965,1281200,0.0,1.0
8,AON,2010-11-16 00:00:00+00:00,40.78,41.35,40.55,41.14,1710500,36.3958105933,36.9045308493,36.1905375076,36.7171075971,1710500,0.0,1.0
9,AON,2010-11-17 00:00:00+00:00,40.88,41.21,40.65,40.71,1661400,36.485059761,36.7795820145,36.2797866753,36.3333361759,1661400,0.0,1.0
10,AON,2010-11-18 00:00:00+00:00,41.04,41.41,40.97,41.21,2220200,36.6278584294,36.9580803499,36.565384012,36.7795820145,2220200,0.0,1.0
11,AON,2010-11-19 00:00:00+00:00,41.01,41.13,40.75,41.07,1658700,36.6010836791,36.7081826803,36.369035843,36.6546331797,1658700,0.0,1.0
12,AON,2010-11-22 00:00:00+00:00,40.84,41.02,40.555,40.78,1444300,36.4493600939,36.6100085958,36.194999966,36.3958105933,1444300,0.0,1.0
13,AON,2010-11-23 00:00:00+00:00,40.25,40.61,40.15,40.58,1731700,35.9227900044,36.2440870082,35.8335408367,36.2173122579,1731700,0.0,1.0
14,AON,2010-11-24 00:00:00+00:00,40.9,40.99,40.28,40.34,1601100,36.5029095946,36.5832338455,35.9495647548,36.0031142554,1601100,0.0,1.0
15,AON,2010-11-26 00:00:00+00:00,40.68,40.84,40.51,40.54,528100,36.3065614256,36.4493600939,36.1548378405,36.1816125908,528100,0.0,1.0
16,AON,2010-11-29 00:00:00+00:00,40.45,40.57,40.06,40.29,1765100,36.1012883399,36.2083873411,35.7532165858,35.9584896715,1765100,0.0,1.0
17,AON,2010-11-30 00:00:00+00:00,40.12,40.49,40.06,40.09,3314100,35.8067660864,36.136988007,35.7532165858,35.7799913361,3314100,0.0,1.0
18,AON,2010-12-01 00:00:00+00:00,41.31,41.35,40.49,40.49,2269500,36.8688311822,36.9045308493,36.136988007,36.136988007,2269500,0.0,1.0
19,AON,2010-12-02 00:00:00+00:00,42.26,42.33,41.28,41.3,3267200,37.7166982755,37.7791726929,36.8420564319,36.8599062654,3267200,0.0,1.0
20,AON,2010-12-03 00:00:00+00:00,42.78,42.92,42.06,42.14,2870500,38.1807939476,38.3057427824,37.53819994,37.6095992742,2870500,0.0,1.0
21,AON,2010-12-06 00:00:00+00:00,43.28,43.465,42.47,42.54,3504300,38.6270397861,38.7921507464,37.9041215277,37.9665959451,3504300,0.0,1.0
22,AON,2010-12-07 00:00:00+00:00,43.69,44.03,43.37,43.56,3387400,38.9929613738,39.296408544,38.7073640371,38.8769374557,3387400,0.0,1.0
23,AON,2010-12-08 00:00:00+00:00,43.34,43.71,43.23,43.68,2657200,38.6805892868,39.0108112073,38.5824152023,38.984036457,2657200,0.0,1.0
24,AON,2010-12-09 00:00:00+00:00,43.47,43.77,43.36,43.48,1829200,38.7966132048,39.0643607079,38.6984391203,38.8055381216,1829200,0.0,1.0
25,AON,2010-12-10 00:00:00+00:00,43.68,43.7685,43.44,43.65,1681800,38.984036457,39.0630219704,38.7698384545,38.9572617067,1681800,0.0,1.0
26,AON,2010-12-13 00:00:00+00:00,44.13,44.47,43.855,44.05,3640800,39.3856577117,39.6891048819,39.1402225005,39.3142583775,3640800,0.0,1.0
27,AON,2010-12-14 00:00:00+00:00,44.62,44.8225,44.0,44.14,2116700,39.8229786335,40.0037081981,39.2696337937,39.3945826285,2116700,0.0,1.0
28,AON,2010-12-15 00:00:00+00:00,44.33,44.77,44.2,44.43,1561500,39.5641560471,39.9568523851,39.4481321291,39.6534052148,1561500,0.0,1.0
29,AON,2010-12-16 00:00:00+00:00,44.49,44.62,44.21,44.38,1876500,39.7069547155,39.8229786335,39.4570570459,39.608780631,1876500,0.0,1.0
30,AON,2010-12-17 00:00:00+00:00,45.1,45.3,44.67,44.7,3253800,40.2513746385,40.4298729739,39.8676032174,39.8943779677,3253800,0.0,1.0
31,AON,2010-12-20 00:00:00+00:00,45.33,45.6,44.84,45.11,2384600,40.4566477243,40.6976204771,40.0193268025,40.2602995553,2384600,0.0,1.0
32,AON,2010-12-21 00:00:00+00:00,45.73,45.78,45.19,45.38,2672800,40.8136443951,40.858268979,40.3316988895,40.5012723081,2672800,0.0,1.0
33,AON,2010-12-22 00:00:00+00:00,45.95,45.95,45.4,45.65,2261100,41.0099925641,41.0099925641,40.5191221417,40.7422450609,2261100,0.0,1.0
34,AON,2010-12-23 00:00:00+00:00,45.87,45.98,45.69,45.84,1776800,40.9385932299,41.0367673144,40.777944728,40.9118184796,1776800,0.0,1.0
