,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AOS,2010-11-04 00:00:00+00:00,59.81,59.86,57.92,58.19,446400,8.7099301118,8.7172114444,8.4346957377,8.474014934,2678398,0.0,1.0
1,AOS,2010-11-05 00:00:00+00:00,59.78,60.36,59.27,59.9,431500,8.7055613122,8.7900247709,8.6312917192,8.7230365105,2588998,0.0,1.0
2,AOS,2010-11-08 00:00:00+00:00,59.87,60.0,59.44,59.71,228100,8.718667711,8.7375991758,8.6560482502,8.6953674465,1368599,0.0,1.0
3,AOS,2010-11-09 00:00:00+00:00,58.06,59.95,57.8,59.91,266100,8.4550834691,8.7303178432,8.4172205394,8.7244927771,1596599,0.0,1.0
4,AOS,2010-11-10 00:00:00+00:00,58.7,58.75,57.6,58.14,236200,8.548284527,8.5555658597,8.3880952088,8.4667336014,1417199,0.0,1.0
5,AOS,2010-11-11 00:00:00+00:00,58.38,58.65,57.53,58.07,110400,8.5016839981,8.5410031944,8.3779013431,8.4565397357,662399,0.0,1.0
6,AOS,2010-11-12 00:00:00+00:00,57.37,58.2,57.17,57.81,159100,8.3546010786,8.4754712006,8.325475748,8.4186768059,954599,0.0,1.0
7,AOS,2010-11-15 00:00:00+00:00,57.53,58.21,57.1,57.73,417900,8.3779013431,8.4769274671,8.3152818823,8.4070266737,2507398,0.0,1.0
8,AOS,2010-11-16 00:00:00+00:00,37.65,38.16,37.37,37.98,586600,8.2242611121,8.3356654459,8.1630979485,8.2963462693,2346400,0.0,1.49999925
9,AOS,2010-11-17 00:00:00+00:00,37.87,38.22,37.43,37.8,273300,8.2723178836,8.3487718381,8.1762043407,8.2570270926,1093200,0.0,1.0
10,AOS,2010-11-18 00:00:00+00:00,37.64,38.38,37.52,38.29,352100,8.2220767134,8.3837222173,8.195863929,8.364062629,1408400,0.0,1.0
11,AOS,2010-11-19 00:00:00+00:00,37.55,37.89,37.19,37.68,269800,8.2024171251,8.276686681,8.1237787718,8.2308143082,1079200,0.0,1.0
12,AOS,2010-11-22 00:00:00+00:00,37.08,37.37,36.39,37.27,381200,8.0997503861,8.1630979485,7.9490268757,8.1412539615,1524800,0.0,1.0
13,AOS,2010-11-23 00:00:00+00:00,36.77,36.99,36.49,36.58,236400,8.0320340264,8.0800907978,7.9708708627,7.990530451,945600,0.0,1.0
14,AOS,2010-11-24 00:00:00+00:00,37.45,37.5,36.98,37.19,292500,8.1805731381,8.1914951316,8.0779063991,8.1237787718,1170000,0.0,1.0
15,AOS,2010-11-26 00:00:00+00:00,37.38,37.65,37.08,37.08,95700,8.1652823472,8.2242611121,8.0997503861,8.0997503861,382800,0.0,1.0
16,AOS,2010-11-29 00:00:00+00:00,37.07,37.28,36.55,37.28,145300,8.0975659874,8.1434383602,7.9839772549,8.1434383602,581200,0.0,1.0
17,AOS,2010-11-30 00:00:00+00:00,39.41,39.95,37.74,37.78,1164800,8.6087152836,8.7266728135,8.2439207004,8.2526582952,4659200,0.0,1.0
18,AOS,2010-12-01 00:00:00+00:00,39.75,40.0,39.21,39.9,499000,8.6829848395,8.737594807,8.5650273096,8.71575082,1996000,0.0,1.0
19,AOS,2010-12-02 00:00:00+00:00,40.42,40.5,39.51,39.9,436300,8.8293395525,8.8468147421,8.6305592706,8.71575082,1745200,0.0,1.0
20,AOS,2010-12-03 00:00:00+00:00,41.3,41.41,40.05,40.29,305100,9.0215666383,9.045595024,8.7485168005,8.8009423694,1220400,0.0,1.0
21,AOS,2010-12-06 00:00:00+00:00,42.02,42.05,40.93,41.28,292900,9.1788433448,9.1853965409,8.9407438863,9.0171978409,1171600,0.0,1.0
22,AOS,2010-12-07 00:00:00+00:00,42.22,42.89,42.12,42.6,356800,9.2225313188,9.3688860318,9.2006873318,9.3055384695,1427200,0.0,1.0
23,AOS,2010-12-08 00:00:00+00:00,41.9,42.37,41.86,42.22,173100,9.1526305604,9.2552972994,9.1438929656,9.2225313188,692400,0.0,1.0
24,AOS,2010-12-09 00:00:00+00:00,42.0,42.3,41.71,42.16,180200,9.1744745474,9.2400065084,9.111126985,9.2094249266,720800,0.0,1.0
