,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,APC,2010-11-04 00:00:00+00:00,65.96,66.22,64.17,64.72,5100800,60.904609804,61.1446825534,59.2518012602,59.7596474608,5100800,0.0,1.0
1,APC,2010-11-05 00:00:00+00:00,67.61,67.68,66.11,66.39,6272100,62.4281484058,62.4927833768,61.0431133133,61.3016531972,6272100,0.0,1.0
2,APC,2010-11-08 00:00:00+00:00,64.71,67.53,62.76,67.53,9579400,59.7504138935,62.3542798676,57.9498682732,62.3542798676,9579400,0.0,1.0
3,APC,2010-11-09 00:00:00+00:00,63.34,66.45,62.91,65.42,6062200,58.4854151756,61.3570546009,58.0883717824,60.4059971707,6062200,0.0,1.0
4,APC,2010-11-10 00:00:00+00:00,65.57,65.57,62.58,63.93,4735000,60.5445006799,60.5445006799,57.7836640621,59.0301956454,4735000,0.0,1.0
5,APC,2010-11-11 00:00:00+00:00,65.24,66.0,64.65,65.0,3464300,60.2397929596,60.9415440731,59.6950124898,60.0181873448,3464300,0.0,1.0
6,APC,2010-11-12 00:00:00+00:00,63.98,64.38,63.136,64.38,3891300,59.0763634818,59.4457061732,58.2970504031,59.4457061732,3891300,0.0,1.0
7,APC,2010-11-15 00:00:00+00:00,64.6,65.8,64.44,65.55,4197100,59.6488446534,60.7568727275,59.5011075769,60.5260335454,4197100,0.0,1.0
8,APC,2010-11-16 00:00:00+00:00,63.03,63.8,61.98,63.62,4149600,58.1991745899,58.9101592707,57.2296500251,58.7439550596,4149600,0.0,1.0
9,APC,2010-11-17 00:00:00+00:00,62.09,63.18,61.51,62.58,3500200,57.3312192652,58.3376780991,56.7956723627,57.7836640621,3500200,0.0,1.0
10,APC,2010-11-18 00:00:00+00:00,63.69,64.46,63.2,63.2,3127100,58.8085900306,59.5195747114,58.3561452337,58.3561452337,3127100,0.0,1.0
11,APC,2010-11-19 00:00:00+00:00,63.63,63.64,62.36,62.92,4952400,58.7531886269,58.7624221942,57.5805255818,58.0976053497,4952400,0.0,1.0
12,APC,2010-11-22 00:00:00+00:00,64.88,65.45,63.35,64.03,5270000,59.9073845374,60.4336978725,58.4946487429,59.1225313182,5270000,0.0,1.0
13,APC,2010-11-23 00:00:00+00:00,63.09,63.81,62.43,63.74,4082300,58.2545759936,58.919392838,57.6451605528,58.854757867,4082300,0.0,1.0
14,APC,2010-11-24 00:00:00+00:00,64.28,64.62,63.2,63.57,3423500,59.3533705003,59.667311788,58.3561452337,58.6977872232,3423500,0.0,1.0
15,APC,2010-11-26 00:00:00+00:00,63.56,64.4497,63.3,63.31,951900,58.6885536559,59.5100641371,58.4484809065,58.4577144738,951900,0.0,1.0
16,APC,2010-11-29 00:00:00+00:00,64.04,64.1499,62.63,63.17,3274200,59.1317648855,59.23324179,57.8298318985,58.3284445318,3274200,0.0,1.0
17,APC,2010-11-30 00:00:00+00:00,64.16,64.72,62.8,63.11,3301800,59.2425676929,59.7596474608,57.9868025423,58.2730431281,3301800,0.0,1.0
18,APC,2010-12-01 00:00:00+00:00,67.28,67.64,65.34,65.38,4432900,62.1234406855,62.4558491077,60.3321286324,60.3690629015,4432900,0.0,1.0
19,APC,2010-12-02 00:00:00+00:00,69.88,70.0,67.28,67.7,5589300,64.5241681793,64.6349709867,62.1234406855,62.5112505114,5589300,0.0,1.0
20,APC,2010-12-03 00:00:00+00:00,69.88,69.88,69.88,69.88,5225400,64.5241681793,64.5241681793,64.5241681793,64.5241681793,5225400,0.0,1.0
21,APC,2010-12-06 00:00:00+00:00,70.25,70.5,68.57,68.98,4574900,64.9489122743,65.1800471934,63.3956856178,63.7747468852,4574900,0.09,1.0
22,APC,2010-12-07 00:00:00+00:00,69.01,71.89,68.86,71.65,3837100,63.8024830755,66.4651573438,63.663802124,66.2432678214,3837100,0.0,1.0
23,APC,2010-12-08 00:00:00+00:00,68.64,69.54,67.93,69.01,2009300,63.4604033951,64.292489104,62.8039802248,63.8024830755,2009300,0.0,1.0
24,APC,2010-12-09 00:00:00+00:00,69.07,69.48,67.96,69.48,1980000,63.857955456,64.2370167234,62.8317164151,64.2370167234,1980000,0.0,1.0
25,APC,2010-12-10 00:00:00+00:00,69.02,69.76,68.57,69.75,2906900,63.8117284722,64.4958878328,63.3956856178,64.4866424361,2906900,0.0,1.0
26,APC,2010-12-13 00:00:00+00:00,69.71,70.75,69.5647,69.61,2585900,64.449660849,65.4111821126,64.315325234,64.3572068814,2585900,0.0,1.0
27,APC,2010-12-14 00:00:00+00:00,68.97,70.34,68.38,69.75,2582300,63.7655014884,65.0321208452,63.2200230793,64.4866424361,2582300,0.0,1.0
28,APC,2010-12-15 00:00:00+00:00,67.41,69.55,66.79,68.85,4540100,62.323219593,64.3017345008,61.7500049936,63.6545567272,4540100,0.0,1.0
29,APC,2010-12-16 00:00:00+00:00,67.33,67.34,65.15,67.27,5436700,62.2492564189,62.2585018157,60.2337599242,62.1937840383,5436700,0.0,1.0
30,APC,2010-12-17 00:00:00+00:00,66.0,67.09,65.99,66.94,5070400,61.0196186492,62.0273668966,61.0103732524,61.8886859451,5070400,0.0,1.0
31,APC,2010-12-20 00:00:00+00:00,66.42,66.68,65.41,66.56,2926000,61.4079253133,61.6483056292,60.47414024,61.537360868,2926000,0.0,1.0
32,APC,2010-12-21 00:00:00+00:00,68.11,68.17,66.2,66.39,2926300,62.9703973666,63.0258697472,61.2045265845,61.380189123,2926300,0.0,1.0
33,APC,2010-12-22 00:00:00+00:00,67.75,68.37,67.4,68.16,2309700,62.6375630831,63.2107776825,62.3139741963,63.0166243504,2309700,0.0,1.0
34,APC,2010-12-23 00:00:00+00:00,68.54,68.6,67.4,67.69,1868600,63.3679494275,63.4234218081,62.3139741963,62.5820907025,1868600,0.0,1.0
35,APC,2010-12-27 00:00:00+00:00,68.76,68.98,67.82,68.05,1581500,63.5713481563,63.7747468852,62.7022808604,62.914924986,1581500,0.0,1.0
36,APC,2010-12-28 00:00:00+00:00,69.16,69.72,68.61,68.9,2011800,63.9411640269,64.4589062458,63.4326672049,63.700783711,2011800,0.0,1.0
37,APC,2010-12-29 00:00:00+00:00,70.73,70.75,69.22,69.6,2310500,65.392691319,65.4111821126,63.9966364075,64.3479614846,2310500,0.0,1.0
38,APC,2010-12-30 00:00:00+00:00,75.59,76.5,73.88,74.87,16658500,69.8859541468,70.7272852525,68.3049913,69.2202855798,16658500,0.0,1.0
39,APC,2010-12-31 00:00:00+00:00,76.16,78.98,75.88,76.28,9157300,70.4129417624,73.0201436502,70.154070653,70.5238865236,9157300,0.0,1.0
40,APC,2011-01-03 00:00:00+00:00,76.63,78.3375,76.44,77.33,6224400,70.8474754104,72.426126908,70.6718128719,71.494653184,6224400,0.0,1.0
41,APC,2011-01-04 00:00:00+00:00,76.11,77.07,73.73,76.75,5266500,70.3667147786,71.2542728681,68.1663103485,70.9584201716,5266500,0.0,1.0
42,APC,2011-01-05 00:00:00+00:00,76.28,76.75,74.22,75.36,4039300,70.5238865236,70.9584201716,68.61933479,69.6733100212,4039300,0.0,1.0
43,APC,2011-01-06 00:00:00+00:00,74.46,76.66,73.8,76.39,3733600,68.8412243124,70.8752116007,68.2310281259,70.625585888,3733600,0.0,1.0
44,APC,2011-01-07 00:00:00+00:00,74.67,74.75,73.27,74.26,3056600,69.0353776445,69.1093408186,67.7410220974,68.6563163771,3056600,0.0,1.0
45,APC,2011-01-10 00:00:00+00:00,74.88,75.43,73.02,74.1,2989200,69.2295309765,69.7380277986,67.5098871782,68.5083900289,2989200,0.0,1.0
46,APC,2011-01-11 00:00:00+00:00,77.52,78.19,75.45,75.45,4390500,71.6703157225,72.2897573057,69.7565185921,69.7565185921,4390500,0.0,1.0
47,APC,2011-01-12 00:00:00+00:00,78.53,78.72,77.435,78.31,3578800,72.6041007958,72.7797633343,71.59172985,72.4007020669,3578800,0.0,1.0
48,APC,2011-01-13 00:00:00+00:00,77.14,78.9376,76.75,78.87,5014200,71.3189906454,72.9809431679,70.9584201716,72.9184442858,5014200,0.0,1.0
