,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,APD,2010-11-04 00:00:00+00:00,86.86,86.87,86.08,86.63,998000,67.3979310467,67.4056904217,66.7926997986,67.2194654223,998000,0.0,1.0
1,APD,2010-11-05 00:00:00+00:00,86.65,87.1,86.21,86.87,529300,67.2349841722,67.5841560462,66.8935716733,67.4056904217,529300,0.0,1.0
2,APD,2010-11-08 00:00:00+00:00,87.21,87.41,86.34,86.37,777900,67.6695091709,67.8246966704,66.9944435479,67.0177216729,777900,0.0,1.0
3,APD,2010-11-09 00:00:00+00:00,85.58,87.68,85.24,87.6,758100,66.4047310497,68.0341997948,66.1409123005,67.972124795,758100,0.0,1.0
4,APD,2010-11-10 00:00:00+00:00,85.27,85.94,84.41,85.52,815400,66.1641904255,66.6840685489,65.4968841775,66.3581747999,815400,0.0,1.0
5,APD,2010-11-11 00:00:00+00:00,85.49,85.59,84.02,84.16,704500,66.3348966749,66.4124904247,65.1942685534,65.302899803,704500,0.0,1.0
6,APD,2010-11-12 00:00:00+00:00,84.0,85.14,83.09,84.44,843400,65.1787498034,66.0633185508,64.4726466806,65.5201623024,843400,0.0,1.0
7,APD,2010-11-15 00:00:00+00:00,84.52,85.14,83.85,84.21,701000,65.5822373022,66.0633185508,65.0623591788,65.3416966779,701000,0.0,1.0
8,APD,2010-11-16 00:00:00+00:00,83.21,84.05,82.93,83.71,931700,64.5657591803,65.2175466783,64.3484966809,64.9537279291,931700,0.0,1.0
9,APD,2010-11-17 00:00:00+00:00,83.74,84.53,83.13,83.51,1046100,64.977006054,65.5899966772,64.5036841805,64.7985404296,1046100,0.0,1.0
10,APD,2010-11-18 00:00:00+00:00,85.65,86.1,84.67,84.68,922600,66.4590466746,66.8082185485,65.6986279269,65.7063873018,922600,0.0,1.0
11,APD,2010-11-19 00:00:00+00:00,86.01,86.02,85.27,85.88,987800,66.7383841737,66.7461435487,66.1641904255,66.637512299,987800,0.0,1.0
12,APD,2010-11-22 00:00:00+00:00,85.5,85.61,83.52,83.5204,663600,66.3426560499,66.4280091747,64.8062998045,64.8066101795,663600,0.0,1.0
13,APD,2010-11-23 00:00:00+00:00,84.57,84.82,83.09,84.59,2152700,65.6210341771,65.8150185515,64.4726466806,65.636552927,2152700,0.0,1.0
14,APD,2010-11-24 00:00:00+00:00,86.55,86.69,83.6,83.6,1291900,67.1573904225,67.2660216721,64.8683748044,64.8683748044,1291900,0.0,1.0
15,APD,2010-11-26 00:00:00+00:00,85.62,85.95,85.411,85.95,340200,66.4357685496,66.6918279239,66.2735976126,66.6918279239,340200,0.0,1.0
16,APD,2010-11-29 00:00:00+00:00,85.82,86.06,82.86,84.93,1025900,66.5909560492,66.7771810486,64.2941810561,65.9003716762,1025900,0.0,1.0
17,APD,2010-11-30 00:00:00+00:00,86.22,86.4,84.7,84.7,878000,66.9013310482,67.0409997978,65.7219060518,65.7219060518,878000,0.0,1.0
18,APD,2010-12-01 00:00:00+00:00,86.39,88.22,86.18,87.89,1611100,67.0332404228,68.4532060435,66.8702935483,68.1971466693,1611100,0.0,1.0
19,APD,2010-12-02 00:00:00+00:00,88.63,88.67,86.56,86.6,1238100,68.7713404176,68.8023779175,67.1651497974,67.1961872973,1238100,0.0,1.0
20,APD,2010-12-03 00:00:00+00:00,87.61,88.29,87.08,88.14,1081200,67.97988417,68.5075216684,67.5686372962,68.3911310437,1081200,0.0,1.0
21,APD,2010-12-06 00:00:00+00:00,87.69,87.96,87.42,87.69,550000,68.0419591698,68.2514622942,67.8324560454,68.0419591698,550000,0.0,1.0
22,APD,2010-12-07 00:00:00+00:00,87.52,89.05,87.49,88.5,919500,67.9100497952,69.0972341666,67.8867716703,68.6704685429,919500,0.0,1.0
23,APD,2010-12-08 00:00:00+00:00,87.06,87.81,86.19,87.52,830900,67.5531185463,68.1350716695,66.8780529233,67.9100497952,830900,0.0,1.0
24,APD,2010-12-09 00:00:00+00:00,88.75,89.92,86.02,87.49,3317500,68.8644529173,69.7722997896,66.7461435487,67.8867716703,3317500,0.0,1.0
25,APD,2010-12-10 00:00:00+00:00,88.84,89.5,88.335,89.11,1670900,68.9342872921,69.4464060406,68.5424388558,69.1437904165,1670900,0.0,1.0
26,APD,2010-12-13 00:00:00+00:00,88.68,89.99,88.46,89.99,1448500,68.8101372925,69.8266154144,68.639431043,69.8266154144,1448500,0.0,1.0
27,APD,2010-12-14 00:00:00+00:00,87.59,89.2299,87.48,88.47,1269900,67.96436542,69.2368253224,67.8790122953,68.647190418,1269900,0.0,1.0
28,APD,2010-12-15 00:00:00+00:00,88.02,88.4248,87.27,87.34,964000,68.298018544,68.6121180431,67.7160654208,67.7703810456,964000,0.0,1.0
29,APD,2010-12-16 00:00:00+00:00,88.58,88.68,87.68,88.33,737700,68.7325435427,68.8101372925,68.0341997948,68.5385591683,737700,0.0,1.0
30,APD,2010-12-17 00:00:00+00:00,89.33,89.4,87.79,88.45,1226000,69.3144966659,69.3688122908,68.1195529196,68.631671668,1226000,0.0,1.0
31,APD,2010-12-20 00:00:00+00:00,89.93,90.0,89.1,89.3,804100,69.7800591645,69.8343747894,69.1360310415,69.291218541,804100,0.0,1.0
32,APD,2010-12-21 00:00:00+00:00,90.53,90.9,89.93,90.0,788400,70.2456216631,70.5327185373,69.7800591645,69.8343747894,788400,0.0,1.0
33,APD,2010-12-22 00:00:00+00:00,90.57,91.0,90.15,90.4,928500,70.276659163,70.610312287,69.950765414,70.1447497884,928500,0.0,1.0
34,APD,2010-12-23 00:00:00+00:00,90.8,91.0,90.21,90.21,407400,70.4551247875,70.610312287,69.9973216639,69.9973216639,407400,0.0,1.0
35,APD,2010-12-27 00:00:00+00:00,90.89,90.96,90.15,90.48,336000,70.5249591623,70.5792747871,69.950765414,70.2068247883,336000,0.0,1.0
36,APD,2010-12-28 00:00:00+00:00,91.22,91.35,90.5407,91.15,475600,70.7810185365,70.8818904112,70.2539241944,70.7267029117,475600,0.0,1.0
37,APD,2010-12-29 00:00:00+00:00,91.25,91.39,90.86,91.19,703500,70.8042966615,70.9129279111,70.5016810374,70.7577404116,703500,0.0,1.0
38,APD,2010-12-30 00:00:00+00:00,90.95,91.25,90.7,90.99,520100,70.951724786,71.1857601619,70.7566953061,70.9829295028,520100,0.49,1.0
39,APD,2010-12-31 00:00:00+00:00,90.95,91.1,90.56,90.7,406400,70.951724786,71.0687424739,70.6474787974,70.7566953061,406400,0.0,1.0
40,APD,2011-01-03 00:00:00+00:00,90.53,91.71,90.31,91.54,1099100,70.6240752598,71.5446144049,70.4524493175,71.4119943586,1099100,0.0,1.0
41,APD,2011-01-04 00:00:00+00:00,89.19,90.65,88.95,90.5,1096700,69.5787172475,70.7176894101,69.3914889468,70.6006717222,1096700,0.0,1.0
42,APD,2011-01-05 00:00:00+00:00,88.8,89.38,88.6,89.04,1214300,69.2744712589,69.7269396523,69.118447675,69.4616995596,1214300,0.0,1.0
43,APD,2011-01-06 00:00:00+00:00,88.34,88.83,87.7,88.69,1557800,68.9156170159,69.2978747965,68.4163415474,69.1886582878,1557800,0.0,1.0
44,APD,2011-01-07 00:00:00+00:00,88.5,89.78,87.96,88.59,1081100,69.040435883,70.0389868201,68.6191722065,69.1106464958,1081100,0.0,1.0
45,APD,2011-01-10 00:00:00+00:00,88.51,88.7199,87.78,88.7199,822200,69.0482370622,69.2119838136,68.4787509809,69.2119838136,822200,0.0,1.0
46,APD,2011-01-11 00:00:00+00:00,88.32,88.89,87.96,88.63,968000,68.9000146575,69.3446818717,68.6191722065,69.1418512126,968000,0.0,1.0
47,APD,2011-01-12 00:00:00+00:00,88.65,89.0,88.21,88.59,878800,69.157453571,69.4304948428,68.8142016864,69.1106464958,878800,0.0,1.0
48,APD,2011-01-13 00:00:00+00:00,88.86,89.15,88.59,89.0899,1854700,69.3212783341,69.5475125308,69.1106464958,69.5006274438,1854700,0.0,1.0
49,APD,2011-01-14 00:00:00+00:00,88.73,88.79,87.75,88.56,1330000,69.2198630045,69.2666700797,68.4553474433,69.0872429582,1330000,0.0,1.0
50,APD,2011-01-18 00:00:00+00:00,89.1,89.2,87.52,87.91,1212800,69.5085066348,69.5865184267,68.2759203218,68.5801663105,1212800,0.0,1.0
51,APD,2011-01-19 00:00:00+00:00,88.51,89.61,88.19,89.61,875200,69.0482370622,69.9063667738,68.798599328,69.9063667738,875200,0.0,1.0
52,APD,2011-01-20 00:00:00+00:00,87.26,88.44,86.96,88.11,1439000,68.0730896628,68.9936288079,67.8390542869,68.7361898944,1439000,0.0,1.0
53,APD,2011-01-21 00:00:00+00:00,86.51,88.18,86.23,87.55,2024300,67.4880012231,68.7907981488,67.2695682056,68.2993238594,2024300,0.0,1.0
54,APD,2011-01-24 00:00:00+00:00,86.5,86.91,86.3,86.38,1908100,67.4802000439,67.8000483909,67.32417646,67.3865858935,1908100,0.0,1.0
55,APD,2011-01-25 00:00:00+00:00,86.68,87.13,86.17,86.48,2183800,67.6206212694,67.9716743332,67.2227611304,67.4645976855,2183800,0.0,1.0
56,APD,2011-01-26 00:00:00+00:00,86.92,87.21,86.68,87.0,3023600,67.8078495701,68.0340837668,67.6206212694,67.8702590037,3023600,0.0,1.0
57,APD,2011-01-27 00:00:00+00:00,86.34,87.69,86.27,87.01,1702200,67.3553811767,68.4085403682,67.3007729224,67.8780601829,1702200,0.0,1.0
58,APD,2011-01-28 00:00:00+00:00,85.77,87.3,85.54,86.57,2515600,66.9107139626,68.1042943795,66.7312868411,67.5348082982,2515600,0.0,1.0
59,APD,2011-01-31 00:00:00+00:00,87.25,87.34,85.98,86.15,1809300,68.0652884836,68.1354990963,67.0745387257,67.207158772,1809300,0.0,1.0
60,APD,2011-02-01 00:00:00+00:00,89.62,89.7,87.87,88.44,1149200,69.914167953,69.9765773865,68.5489615937,68.9936288079,1149200,0.0,1.0
61,APD,2011-02-02 00:00:00+00:00,89.04,89.7399,88.56,89.7399,762100,69.4616995596,70.0077040915,69.0872429582,70.0077040915,762100,0.0,1.0
62,APD,2011-02-03 00:00:00+00:00,88.59,89.51,88.0101,89.04,1246600,69.1106464958,69.8283549818,68.6582561142,69.4616995596,1246600,0.0,1.0
63,APD,2011-02-04 00:00:00+00:00,88.61,88.95,88.17,88.7,879000,69.1262488542,69.3914889468,68.7829969696,69.196459467,879000,0.0,1.0
64,APD,2011-02-07 00:00:00+00:00,89.25,89.5,88.7,88.95,949800,69.6255243227,69.8205538026,69.196459467,69.3914889468,949800,0.0,1.0
65,APD,2011-02-08 00:00:00+00:00,89.55,89.67,88.89,89.48,1452500,69.8595596986,69.9531738489,69.3446818717,69.8049514442,1452500,0.0,1.0
66,APD,2011-02-09 00:00:00+00:00,88.49,89.33,88.24,89.14,953300,69.0326347038,69.6879337563,68.8376052239,69.5397113516,953300,0.0,1.0
