,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AVGO,2010-11-04 00:00:00+00:00,25.29,25.37,24.67,24.96,983100,20.2452754096,20.3093174038,19.7489499547,19.9811021836,983100,0.0,1.0
1,AVGO,2010-11-05 00:00:00+00:00,25.37,25.7,25.1501,25.36,629500,20.3093174038,20.5734906298,20.1332819723,20.3013121545,629500,0.0,1.0
2,AVGO,2010-11-08 00:00:00+00:00,25.25,25.58,24.93,25.15,374400,20.2132544125,20.4774276385,19.9570864358,20.1332019198,374400,0.0,1.0
3,AVGO,2010-11-09 00:00:00+00:00,24.83,25.45,24.78,25.33,407900,19.8770339431,20.373359398,19.8370076967,20.2772964067,407900,0.0,1.0
4,AVGO,2010-11-10 00:00:00+00:00,24.61,24.93,24.38,24.85,268000,19.7009184591,19.9570864358,19.5167977258,19.8930444416,268000,0.0,1.0
5,AVGO,2010-11-11 00:00:00+00:00,24.85,25.1,23.85,24.4,1211800,19.8930444416,20.0931756734,19.0925195144,19.5328082244,1211800,0.0,1.0
6,AVGO,2010-11-12 00:00:00+00:00,25.72,25.81,24.56,24.81,1007500,20.5895011283,20.6615483718,19.6608922127,19.8610234445,1007500,0.0,1.0
7,AVGO,2010-11-15 00:00:00+00:00,25.17,25.96,25.08,25.95,498700,20.1492124184,20.7816271109,20.0771651749,20.7736218616,498700,0.0,1.0
8,AVGO,2010-11-16 00:00:00+00:00,24.9,25.07,24.42,25.02,569700,19.933070688,20.0691599256,19.5488187229,20.0291336793,569700,0.0,1.0
9,AVGO,2010-11-17 00:00:00+00:00,24.6,25.2,24.5,24.87,637800,19.6929132098,20.1732281662,19.6128607171,19.9090549402,637800,0.0,1.0
10,AVGO,2010-11-18 00:00:00+00:00,25.07,25.16,24.68,24.77,664000,20.0691599256,20.1412071691,19.756955204,19.8290024475,664000,0.0,1.0
11,AVGO,2010-11-19 00:00:00+00:00,25.27,25.33,24.84,24.93,345400,20.2292649111,20.2772964067,19.8850391924,19.9570864358,345400,0.0,1.0
12,AVGO,2010-11-22 00:00:00+00:00,26.01,26.01,25.33,25.33,907800,20.8216533572,20.8216533572,20.2772964067,20.2772964067,907800,0.0,1.0
13,AVGO,2010-11-23 00:00:00+00:00,25.98,26.0599,25.66,25.9,645400,20.7976376094,20.8615995511,20.5414696327,20.7335956152,645400,0.0,1.0
14,AVGO,2010-11-24 00:00:00+00:00,26.3,26.4,26.07,26.12,823900,21.0538055861,21.1338580788,20.8696848529,20.9097110992,823900,0.0,1.0
15,AVGO,2010-11-26 00:00:00+00:00,27.01,27.05,26.17,26.25,626800,21.6221782845,21.6541992815,20.9497373456,21.0137793398,626800,0.0,1.0
16,AVGO,2010-11-29 00:00:00+00:00,26.92,27.1,26.36,27.07,1020500,21.550131041,21.6942255279,21.1018370818,21.6702097801,1020500,0.0,1.0
17,AVGO,2010-11-30 00:00:00+00:00,26.11,27.25,26.0912,26.92,5435500,20.9017058499,21.814304267,20.8866559813,21.550131041,5435500,0.0,1.0
18,AVGO,2010-12-01 00:00:00+00:00,26.86,27.0,26.29,26.48,1652200,21.5020995454,21.6141730352,21.0458003368,21.197900073,1652200,0.0,1.0
19,AVGO,2010-12-02 00:00:00+00:00,28.41,28.48,26.83,26.96,1906000,22.7429131826,22.7989499275,21.4780837976,21.5821520381,1906000,0.0,1.0
20,AVGO,2010-12-03 00:00:00+00:00,26.55,28.0,26.45,28.0,2627900,21.2539368179,22.4146979624,21.1738843252,22.4146979624,2627900,0.0,1.0
21,AVGO,2010-12-06 00:00:00+00:00,26.85,26.89,26.294,26.85,897100,21.4940942961,21.5261152932,21.0490024366,21.4940942961,897100,0.0,1.0
22,AVGO,2010-12-07 00:00:00+00:00,24.86,25.29,24.48,24.76,11738100,19.9010496909,20.2452754096,19.5968502186,19.8209971982,11738100,0.0,1.0
23,AVGO,2010-12-08 00:00:00+00:00,25.4,25.74,24.86,24.99,4907700,20.3333331516,20.6055116269,19.9010496909,20.0051179314,4907700,0.0,1.0
24,AVGO,2010-12-09 00:00:00+00:00,26.41,26.51,25.57,25.74,3405100,21.1418633281,21.2219158208,20.4694223892,20.6055116269,3405100,0.0,1.0
25,AVGO,2010-12-10 00:00:00+00:00,26.4,26.7,26.16,26.7,1405200,21.1338580788,21.374015557,20.9417320963,21.374015557,1405200,0.0,1.0
26,AVGO,2010-12-13 00:00:00+00:00,26.58,26.7001,26.35,26.6,1217700,21.3339893106,21.4303855528,21.1493836846,21.3500419738,1217700,0.07,1.0
27,AVGO,2010-12-14 00:00:00+00:00,26.29,26.75,25.97,26.65,946000,21.1012256951,21.4704369473,20.8443830849,21.3901736316,946000,0.0,1.0
28,AVGO,2010-12-15 00:00:00+00:00,26.4,26.87,25.91,26.3,1800500,21.1895153424,21.5667529262,20.7962250955,21.1092520267,1800500,0.0,1.0
29,AVGO,2010-12-16 00:00:00+00:00,27.64,27.65,26.42,26.6,2442500,22.184780457,22.1928067885,21.2055680055,21.3500419738,2442500,0.0,1.0
30,AVGO,2010-12-17 00:00:00+00:00,28.17,28.4,27.53,27.72,3640100,22.6101760301,22.7947816562,22.0964908097,22.2489911095,3640100,0.0,1.0
31,AVGO,2010-12-20 00:00:00+00:00,27.81,28.4401,27.7,27.89,1460200,22.3212280936,22.8269672458,22.2329384464,22.3854387462,1460200,0.0,1.0
32,AVGO,2010-12-21 00:00:00+00:00,27.88,28.09,27.67,27.95,1495000,22.3774124146,22.5459653776,22.2088594517,22.4335967356,1495000,0.0,1.0
33,AVGO,2010-12-22 00:00:00+00:00,28.14,28.19,27.39,27.95,960000,22.5860970354,22.6262286933,21.9841221677,22.4335967356,960000,0.0,1.0
34,AVGO,2010-12-23 00:00:00+00:00,28.13,28.46,27.91,28.13,588500,22.5780707039,22.8429396456,22.4014914093,22.5780707039,588500,0.0,1.0
35,AVGO,2010-12-27 00:00:00+00:00,28.76,28.94,27.82,28.1,1331100,23.0837295927,23.228203561,22.3292544252,22.5539917092,1331100,0.0,1.0
36,AVGO,2010-12-28 00:00:00+00:00,28.3,28.8,28.22,28.77,583600,22.7145183405,23.115834919,22.650307688,23.0917559243,583600,0.0,1.0
37,AVGO,2010-12-29 00:00:00+00:00,28.63,28.67,28.15,28.45,629600,22.9793872823,23.0114926086,22.594123367,22.8349133141,629600,0.0,1.0
38,AVGO,2010-12-30 00:00:00+00:00,28.88,28.93,28.35,28.64,681500,23.1800455715,23.2201772294,22.7546499984,22.9874136139,681500,0.0,1.0
39,AVGO,2010-12-31 00:00:00+00:00,28.4125,28.9,28.29,28.9,617700,22.8048145707,23.1960982347,22.706492009,23.1960982347,617700,0.0,1.0
40,AVGO,2011-01-03 00:00:00+00:00,27.8,28.7,27.68,28.7,1443600,22.3132017621,23.0355716033,22.2168857832,23.0355716033,1443600,0.0,1.0
41,AVGO,2011-01-04 00:00:00+00:00,28.0,28.3,26.97,27.8,1626200,22.4737283935,22.7145183405,21.6470162418,22.3132017621,1626200,0.0,1.0
42,AVGO,2011-01-05 00:00:00+00:00,27.99,28.17,27.75,27.85,953700,22.4657020619,22.6101760301,22.2730701042,22.3533334199,953700,0.0,1.0
43,AVGO,2011-01-06 00:00:00+00:00,28.52,28.53,27.77,28.04,959800,22.8910976351,22.8991239666,22.2891227674,22.5058337197,959800,0.0,1.0
44,AVGO,2011-01-07 00:00:00+00:00,28.275,28.51,27.78,28.47,877400,22.6944525116,22.8830713035,22.2971490989,22.8509659772,877400,0.0,1.0
45,AVGO,2011-01-10 00:00:00+00:00,28.9,29.1,27.93,28.26,1538500,23.1960982347,23.3566248661,22.4175440725,22.6824130143,1538500,0.0,1.0
46,AVGO,2011-01-11 00:00:00+00:00,29.24,29.26,28.84,29.14,1354900,23.468993508,23.4850461712,23.1479402453,23.3887301923,1354900,0.0,1.0
47,AVGO,2011-01-12 00:00:00+00:00,28.17,29.33,28.02,29.28,1559900,22.6101760301,23.5412304921,22.4897810566,23.5010988343,1559900,0.0,1.0
48,AVGO,2011-01-13 00:00:00+00:00,28.35,28.66,28.02,28.4,964500,22.7546499984,23.003466277,22.4897810566,22.7947816562,964500,0.0,1.0
