,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,AWK,2010-11-04 00:00:00+00:00,24.54,24.88,24.37,24.66,1994400,19.3709328244,19.6393157568,19.2367413582,19.4656562123,1994400,0.0,1.0
1,AWK,2010-11-05 00:00:00+00:00,24.81,24.82,24.45,24.73,1336400,19.5840604471,19.5919540628,19.2998902835,19.5209115219,1336400,0.0,1.0
2,AWK,2010-11-08 00:00:00+00:00,24.72,24.75,24.53,24.75,847800,19.5130179062,19.5366987532,19.3630392087,19.5366987532,847800,0.0,1.0
3,AWK,2010-11-09 00:00:00+00:00,24.44,24.85,24.34,24.77,955400,19.2919966678,19.6156349098,19.2130605112,19.5524859845,955400,0.0,1.0
4,AWK,2010-11-10 00:00:00+00:00,24.75,24.8,24.4,24.45,750600,19.5366987532,19.5761668315,19.2604222052,19.2998902835,750600,0.0,1.0
5,AWK,2010-11-11 00:00:00+00:00,24.88,24.89,24.57,24.77,1132300,19.6393157568,19.6472093724,19.3946136714,19.5524859845,1132300,0.0,1.0
6,AWK,2010-11-12 00:00:00+00:00,24.5,24.89,24.46,24.85,989600,19.3393583618,19.6472093724,19.3077838991,19.6156349098,989600,0.0,1.0
7,AWK,2010-11-15 00:00:00+00:00,24.86,24.93,24.66,24.78,934600,19.6235285254,19.678783835,19.4656562123,19.5603796002,934600,0.0,1.0
8,AWK,2010-11-16 00:00:00+00:00,24.02,24.68,23.9,24.68,1612300,19.1341243546,19.6598746492,19.038533392,19.6598746492,1612300,0.22,1.0
9,AWK,2010-11-17 00:00:00+00:00,24.12,24.37,24.07,24.15,1596400,19.2137834902,19.412931329,19.1739539224,19.2376812308,1596400,0.0,1.0
10,AWK,2010-11-18 00:00:00+00:00,23.93,24.3,23.93,24.17,835800,19.0624311327,19.3571699341,19.0624311327,19.2536130579,835800,0.0,1.0
11,AWK,2010-11-19 00:00:00+00:00,24.25,24.25,23.84,23.98,1233500,19.3173403664,19.3173403664,18.9907379107,19.1022607004,1233500,0.0,1.0
12,AWK,2010-11-22 00:00:00+00:00,24.29,24.4,24.09,24.2,810800,19.3492040206,19.4368290697,19.1898857495,19.2775107986,810800,0.0,1.0
13,AWK,2010-11-23 00:00:00+00:00,24.44,24.54,24.05,24.22,817100,19.4686927239,19.5483518594,19.1580220953,19.2934426257,817100,0.0,1.0
14,AWK,2010-11-24 00:00:00+00:00,24.64,24.73,24.41,24.59,504800,19.6280109949,19.6997042169,19.4447949832,19.5881814272,504800,0.0,1.0
15,AWK,2010-11-26 00:00:00+00:00,24.79,24.81,24.54,24.54,667100,19.7474996982,19.7634315253,19.5483518594,19.5483518594,667100,0.0,1.0
16,AWK,2010-11-29 00:00:00+00:00,24.54,24.64,23.93,24.62,1315900,19.5483518594,19.6280109949,19.0624311327,19.6120791678,1315900,0.0,1.0
17,AWK,2010-11-30 00:00:00+00:00,24.51,24.53,24.17,24.39,1414600,19.5244541188,19.5403859459,19.2536130579,19.4288631561,1414600,0.0,1.0
18,AWK,2010-12-01 00:00:00+00:00,24.78,24.98,24.5,24.68,1359200,19.7395337847,19.8988520558,19.5164882052,19.6598746492,1359200,0.0,1.0
19,AWK,2010-12-02 00:00:00+00:00,25.0,25.14,24.65,24.82,1172200,19.9147838829,20.0263066726,19.6359769085,19.7713974389,1172200,0.0,1.0
20,AWK,2010-12-03 00:00:00+00:00,24.92,25.07,24.83,24.95,729800,19.8510565744,19.9705452777,19.7793633525,19.8749543151,729800,0.0,1.0
21,AWK,2010-12-06 00:00:00+00:00,24.96,25.05,24.86,24.95,503900,19.8829202286,19.9546134506,19.8032610931,19.8749543151,503900,0.0,1.0
22,AWK,2010-12-07 00:00:00+00:00,24.78,25.21,24.7,25.2,717000,19.7395337847,20.0820680675,19.6758064763,20.0741021539,717000,0.0,1.0
23,AWK,2010-12-08 00:00:00+00:00,24.76,24.89,24.56,24.73,710700,19.7236019576,19.8271588338,19.5642836865,19.6997042169,710700,0.0,1.0
24,AWK,2010-12-09 00:00:00+00:00,24.9,24.96,24.65,24.9,765600,19.8351247473,19.8829202286,19.6359769085,19.8351247473,765600,0.0,1.0
25,AWK,2010-12-10 00:00:00+00:00,24.72,24.98,24.6,24.91,1284400,19.6917383034,19.8988520558,19.5961473407,19.8430906609,1284400,0.0,1.0
26,AWK,2010-12-13 00:00:00+00:00,25.0,25.1,24.72,24.89,699500,19.9147838829,19.9944430184,19.6917383034,19.8271588338,699500,0.0,1.0
27,AWK,2010-12-14 00:00:00+00:00,24.94,25.25,24.78,25.16,1382600,19.8669884015,20.1139317217,19.7395337847,20.0422384997,1382600,0.0,1.0
28,AWK,2010-12-15 00:00:00+00:00,24.91,25.14,24.8,24.93,1358800,19.8430906609,20.0263066726,19.7554656118,19.859022488,1358800,0.0,1.0
29,AWK,2010-12-16 00:00:00+00:00,25.21,25.38,24.9,25.01,1939100,20.0820680675,20.2174885979,19.8351247473,19.9227497964,1939100,0.0,1.0
30,AWK,2010-12-17 00:00:00+00:00,25.23,25.31,24.81,25.23,1131900,20.0979998946,20.161727203,19.7634315253,20.0979998946,1131900,0.0,1.0
31,AWK,2010-12-20 00:00:00+00:00,25.52,25.7,25.11,25.37,1068800,20.3290113876,20.4723978316,20.0024089319,20.2095226843,1068800,0.0,1.0
32,AWK,2010-12-21 00:00:00+00:00,25.24,25.69,25.17,25.55,868000,20.1059658081,20.464431918,20.0502044133,20.3529091283,868000,0.0,1.0
33,AWK,2010-12-22 00:00:00+00:00,25.2,25.4,25.0,25.38,833600,20.0741021539,20.233420425,19.9147838829,20.2174885979,833600,0.0,1.0
34,AWK,2010-12-23 00:00:00+00:00,25.4,25.56,25.1,25.1,652900,20.233420425,20.3608750418,19.9944430184,19.9944430184,652900,0.0,1.0
35,AWK,2010-12-27 00:00:00+00:00,25.41,25.53,25.2,25.27,310000,20.2413863385,20.3369773012,20.0741021539,20.1298635488,310000,0.0,1.0
36,AWK,2010-12-28 00:00:00+00:00,25.51,25.53,25.21,25.46,491100,20.3210454741,20.3369773012,20.0820680675,20.2812159063,491100,0.0,1.0
37,AWK,2010-12-29 00:00:00+00:00,25.73,25.75,25.5,25.56,424000,20.4962955722,20.5122273993,20.3130795605,20.3608750418,424000,0.0,1.0
38,AWK,2010-12-30 00:00:00+00:00,25.44,25.82,25.28,25.75,667300,20.2652840792,20.5679887942,20.1378294623,20.5122273993,667300,0.0,1.0
39,AWK,2010-12-31 00:00:00+00:00,25.29,25.56,25.29,25.53,504000,20.1457953759,20.3608750418,20.1457953759,20.3369773012,504000,0.0,1.0
40,AWK,2011-01-03 00:00:00+00:00,25.54,25.57,25.27,25.49,722900,20.3449432147,20.3688409554,20.1298635488,20.305113647,722900,0.0,1.0
41,AWK,2011-01-04 00:00:00+00:00,25.67,25.72,25.48,25.64,1095100,20.4485000909,20.4883296587,20.2971477334,20.4246023503,1095100,0.0,1.0
42,AWK,2011-01-05 00:00:00+00:00,25.53,25.74,25.43,25.57,755100,20.3369773012,20.5042614858,20.2573181656,20.3688409554,755100,0.0,1.0
43,AWK,2011-01-06 00:00:00+00:00,25.23,25.67,25.17,25.67,862900,20.0979998946,20.4485000909,20.0502044133,20.4485000909,862900,0.0,1.0
44,AWK,2011-01-07 00:00:00+00:00,25.67,25.67,25.24,25.32,821900,20.4485000909,20.4485000909,20.1059658081,20.1696931166,821900,0.0,1.0
45,AWK,2011-01-10 00:00:00+00:00,25.51,25.69,25.31,25.69,528000,20.3210454741,20.464431918,20.161727203,20.464431918,528000,0.0,1.0
46,AWK,2011-01-11 00:00:00+00:00,25.36,25.69,25.28,25.62,587000,20.2015567708,20.464431918,20.1378294623,20.4086705232,587000,0.0,1.0
47,AWK,2011-01-12 00:00:00+00:00,25.58,25.59,25.41,25.43,606300,20.3768068689,20.3847727825,20.2413863385,20.2573181656,606300,0.0,1.0
48,AWK,2011-01-13 00:00:00+00:00,25.68,25.73,25.49,25.49,972100,20.4564660045,20.4962955722,20.305113647,20.305113647,972100,0.0,1.0
49,AWK,2011-01-14 00:00:00+00:00,25.98,25.98,25.6,25.62,524900,20.6954434111,20.6954434111,20.392738696,20.4086705232,524900,0.0,1.0
50,AWK,2011-01-18 00:00:00+00:00,25.42,25.99,25.32,25.88,853900,20.2493522521,20.7034093246,20.1696931166,20.6157842755,853900,0.0,1.0
51,AWK,2011-01-19 00:00:00+00:00,25.53,25.68,25.27,25.5,1116600,20.3369773012,20.4564660045,20.1298635488,20.3130795605,1116600,0.0,1.0
52,AWK,2011-01-20 00:00:00+00:00,25.66,25.85,25.39,25.39,861100,20.4405341774,20.5918865349,20.2254545114,20.2254545114,861100,0.0,1.0
53,AWK,2011-01-21 00:00:00+00:00,25.59,25.83,25.56,25.83,1009400,20.3847727825,20.5759547078,20.3608750418,20.5759547078,1009400,0.0,1.0
54,AWK,2011-01-24 00:00:00+00:00,25.9,26.11,25.57,25.57,743900,20.6317161026,20.7990002873,20.3688409554,20.3688409554,743900,0.0,1.0
55,AWK,2011-01-25 00:00:00+00:00,25.95,26.19,25.84,25.95,1436500,20.6715456704,20.8627275957,20.5839206213,20.6715456704,1436500,0.0,1.0
56,AWK,2011-01-26 00:00:00+00:00,26.15,26.34,26.01,26.08,981200,20.8308639415,20.982216299,20.7193411517,20.7751025466,981200,0.0,1.0
57,AWK,2011-01-27 00:00:00+00:00,25.89,26.23,25.87,26.21,1107200,20.6237501891,20.8945912499,20.607818362,20.8786594228,1107200,0.0,1.0
58,AWK,2011-01-28 00:00:00+00:00,25.38,26.1,25.38,25.97,1001300,20.2174885979,20.7910343737,20.2174885979,20.6874774975,1001300,0.0,1.0
59,AWK,2011-01-31 00:00:00+00:00,25.5,25.63,25.41,25.52,1007200,20.3130795605,20.4166364367,20.2413863385,20.3290113876,1007200,0.0,1.0
60,AWK,2011-02-01 00:00:00+00:00,25.67,25.81,25.58,25.75,1131600,20.4485000909,20.5600228807,20.3768068689,20.5122273993,1131600,0.0,1.0
61,AWK,2011-02-02 00:00:00+00:00,26.2,26.23,25.69,25.8,1155200,20.8706935092,20.8945912499,20.464431918,20.5520569671,1155200,0.0,1.0
62,AWK,2011-02-03 00:00:00+00:00,26.64,26.66,26.1,26.33,2002400,21.2211937056,21.2371255327,20.7910343737,20.9742503854,2002400,0.0,1.0
63,AWK,2011-02-04 00:00:00+00:00,26.73,26.85,26.56,26.6,1740600,21.2928869276,21.3884778902,21.1574663971,21.1893300514,1740600,0.0,1.0
64,AWK,2011-02-07 00:00:00+00:00,26.8,26.86,26.65,26.86,1196600,21.3486483224,21.3964438037,21.2291596191,21.3964438037,1196600,0.0,1.0
65,AWK,2011-02-08 00:00:00+00:00,26.63,26.88,26.61,26.88,548100,21.213227792,21.4123756308,21.1972959649,21.4123756308,548100,0.0,1.0
66,AWK,2011-02-09 00:00:00+00:00,26.56,26.65,26.5,26.56,684400,21.1574663971,21.2291596191,21.1096709158,21.1574663971,684400,0.0,1.0
67,AWK,2011-02-10 00:00:00+00:00,26.46,26.66,26.43,26.58,560100,21.0778072616,21.2371255327,21.053909521,21.1733982243,560100,0.0,1.0
68,AWK,2011-02-11 00:00:00+00:00,26.62,26.64,26.31,26.53,923800,21.2052618785,21.2211937056,20.9583185583,21.1335686565,923800,0.0,1.0
69,AWK,2011-02-14 00:00:00+00:00,27.0,27.1,26.61,26.73,1771300,21.5079665935,21.587625729,21.1972959649,21.2928869276,1771300,0.0,1.0
70,AWK,2011-02-15 00:00:00+00:00,27.27,27.38,26.95,27.08,1503400,21.7230462594,21.8106713085,21.4681370257,21.5716939019,1503400,0.0,1.0
71,AWK,2011-02-16 00:00:00+00:00,27.23,27.37,27.05,27.28,1063100,21.8664327034,21.9788565219,21.7218877938,21.9065840671,1063100,0.22,1.0
72,AWK,2011-02-17 00:00:00+00:00,27.32,27.35,27.2,27.31,1123900,21.9387051581,21.9627959764,21.8423418851,21.9306748854,1123900,0.0,1.0
73,AWK,2011-02-18 00:00:00+00:00,27.83,27.93,27.4,27.45,2263700,22.3482490685,22.428551796,22.0029473402,22.0430987039,2263700,0.0,1.0
74,AWK,2011-02-22 00:00:00+00:00,27.48,27.83,27.29,27.76,1248600,22.0671895222,22.3482490685,21.9146143399,22.2920371592,1248600,0.0,1.0
75,AWK,2011-02-23 00:00:00+00:00,27.4,27.67,27.26,27.41,1309700,22.0029473402,22.2197647045,21.8905235216,22.0109776129,1309700,0.0,1.0
76,AWK,2011-02-24 00:00:00+00:00,27.08,27.49,26.98,27.41,1513500,21.7459786121,22.0752197949,21.6656758846,22.0109776129,1513500,0.0,1.0
77,AWK,2011-02-25 00:00:00+00:00,27.37,27.42,27.08,27.3,1204400,21.9788565219,22.0190078857,21.7459786121,21.9226446126,1204400,0.0,1.0
78,AWK,2011-02-28 00:00:00+00:00,27.74,27.85,27.32,27.32,1234600,22.2759766137,22.364309614,21.9387051581,21.9387051581,1234600,0.0,1.0
79,AWK,2011-03-01 00:00:00+00:00,27.46,27.9,27.4,27.81,1571100,22.0511289767,22.4044609778,22.0029473402,22.332188523,1571100,0.0,1.0
80,AWK,2011-03-02 00:00:00+00:00,27.69,27.74,27.43,27.55,1543700,22.23582525,22.2759766137,22.0270381584,22.1234014314,1543700,0.0,1.0
81,AWK,2011-03-03 00:00:00+00:00,28.2,28.29,27.76,27.86,1684100,22.6453691603,22.7176416151,22.2920371592,22.3723398867,1684100,0.0,1.0
82,AWK,2011-03-04 00:00:00+00:00,27.69,28.19,27.54,28.19,1272200,22.23582525,22.6373388876,22.1153711587,22.6373388876,1272200,0.0,1.0
83,AWK,2011-03-07 00:00:00+00:00,27.65,27.99,27.5,27.86,1260600,22.203704159,22.4767334325,22.0832500677,22.3723398867,1260600,0.0,1.0
84,AWK,2011-03-08 00:00:00+00:00,27.89,28.02,27.68,27.71,1347700,22.396430705,22.5008242508,22.2277949772,22.2518857955,1347700,0.0,1.0
85,AWK,2011-03-09 00:00:00+00:00,27.87,27.96,27.79,27.84,1123800,22.3803701595,22.4526426143,22.3161279775,22.3562793412,1123800,0.0,1.0
86,AWK,2011-03-10 00:00:00+00:00,27.4,27.83,27.39,27.81,856300,22.0029473402,22.3482490685,21.9949170674,22.332188523,856300,0.0,1.0
87,AWK,2011-03-11 00:00:00+00:00,27.45,27.61,27.3,27.3,1023600,22.0430987039,22.1715830679,21.9226446126,21.9226446126,1023600,0.0,1.0
88,AWK,2011-03-14 00:00:00+00:00,27.5,27.59,27.3,27.3,904000,22.0832500677,22.1555225224,21.9226446126,21.9226446126,904000,0.0,1.0
89,AWK,2011-03-15 00:00:00+00:00,26.94,27.16,26.82,27.02,974800,21.6335547936,21.8102207941,21.5371915205,21.6977969756,974800,0.0,1.0
90,AWK,2011-03-16 00:00:00+00:00,27.12,27.35,26.8,26.9,2229100,21.7780997031,21.9627959764,21.521130975,21.6014337026,2229100,0.0,1.0
91,AWK,2011-03-17 00:00:00+00:00,27.0,27.45,26.8,27.39,966800,21.6817364301,22.0430987039,21.521130975,21.9949170674,966800,0.0,1.0
92,AWK,2011-03-18 00:00:00+00:00,27.03,27.36,26.95,27.25,1354700,21.7058272483,21.9708262492,21.6415850663,21.8824932489,1354700,0.0,1.0
93,AWK,2011-03-21 00:00:00+00:00,27.5,27.82,27.25,27.25,1246500,22.0832500677,22.3402187957,21.8824932489,21.8824932489,1246500,0.0,1.0
94,AWK,2011-03-22 00:00:00+00:00,27.42,27.77,27.41,27.45,1576800,22.0190078857,22.300067432,22.0109776129,22.0430987039,1576800,0.0,1.0
95,AWK,2011-03-23 00:00:00+00:00,27.4,27.53,27.26,27.53,930400,22.0029473402,22.1073408859,21.8905235216,22.1073408859,930400,0.0,1.0
96,AWK,2011-03-24 00:00:00+00:00,27.69,27.8,27.42,27.61,1524300,22.23582525,22.3241582502,22.0190078857,22.1715830679,1524300,0.0,1.0
97,AWK,2011-03-25 00:00:00+00:00,27.78,27.98,27.7,27.79,639100,22.3080977047,22.4687031598,22.2438555227,22.3161279775,639100,0.0,1.0
98,AWK,2011-03-28 00:00:00+00:00,27.5,27.93,27.5,27.8,532800,22.0832500677,22.428551796,22.0832500677,22.3241582502,532800,0.0,1.0
99,AWK,2011-03-29 00:00:00+00:00,27.67,27.68,27.41,27.45,998300,22.2197647045,22.2277949772,22.0109776129,22.0430987039,998300,0.0,1.0
100,AWK,2011-03-30 00:00:00+00:00,27.95,28.04,27.75,27.85,1629800,22.4446123415,22.5168847963,22.2840068865,22.364309614,1629800,0.0,1.0
101,AWK,2011-03-31 00:00:00+00:00,28.05,28.33,27.76,28.03,1012900,22.524915069,22.7497627061,22.2920371592,22.5088545235,1012900,0.0,1.0
102,AWK,2011-04-01 00:00:00+00:00,28.31,28.55,28.11,28.11,862000,22.7337021606,22.9264287066,22.5730967055,22.5730967055,862000,0.0,1.0
103,AWK,2011-04-04 00:00:00+00:00,28.45,28.5,28.2,28.35,509700,22.8461259791,22.8862773429,22.6453691603,22.7658232516,509700,0.0,1.0
104,AWK,2011-04-05 00:00:00+00:00,28.42,28.51,28.21,28.29,625100,22.8220351609,22.8943076156,22.6533994331,22.7176416151,625100,0.0,1.0
105,AWK,2011-04-06 00:00:00+00:00,28.72,28.93,28.51,28.54,979300,23.0629433434,23.2315790712,22.8943076156,22.9183984339,979300,0.0,1.0
106,AWK,2011-04-07 00:00:00+00:00,28.61,28.79,28.42,28.64,1250900,22.9746103431,23.1191552527,22.8220351609,22.9987011614,1250900,0.0,1.0
107,AWK,2011-04-08 00:00:00+00:00,28.52,28.69,28.38,28.58,678000,22.9023378884,23.0388525252,22.7899140698,22.9505195249,678000,0.0,1.0
108,AWK,2011-04-11 00:00:00+00:00,28.36,28.62,28.3,28.6,839300,22.7738535243,22.9826406159,22.7256718878,22.9665800704,839300,0.0,1.0
109,AWK,2011-04-12 00:00:00+00:00,27.9,28.32,27.87,28.29,1120800,22.4044609778,22.7417324333,22.3803701595,22.7176416151,1120800,0.0,1.0
110,AWK,2011-04-13 00:00:00+00:00,28.17,28.26,28.04,28.07,861200,22.6212783421,22.6935507968,22.5168847963,22.5409756145,861200,0.0,1.0
111,AWK,2011-04-14 00:00:00+00:00,28.36,28.41,28.07,28.22,578300,22.7738535243,22.8140048881,22.5409756145,22.6614297058,578300,0.0,1.0
112,AWK,2011-04-15 00:00:00+00:00,28.67,28.83,28.37,28.51,728500,23.0227919796,23.1512763437,22.7818837971,22.8943076156,728500,0.0,1.0
113,AWK,2011-04-18 00:00:00+00:00,28.37,28.68,28.19,28.68,902300,22.7818837971,23.0308222524,22.6373388876,23.0308222524,902300,0.0,1.0
114,AWK,2011-04-19 00:00:00+00:00,28.38,28.51,28.18,28.39,893200,22.7899140698,22.8943076156,22.6293086148,22.7979443426,893200,0.0,1.0
115,AWK,2011-04-20 00:00:00+00:00,28.48,28.63,28.47,28.61,849300,22.8702167974,22.9906708886,22.8621865246,22.9746103431,849300,0.0,1.0
116,AWK,2011-04-21 00:00:00+00:00,28.31,28.61,28.19,28.55,1063200,22.7337021606,22.9746103431,22.6373388876,22.9264287066,1063200,0.0,1.0
117,AWK,2011-04-25 00:00:00+00:00,28.33,28.5,28.31,28.31,562000,22.7497627061,22.8862773429,22.7337021606,22.7337021606,562000,0.0,1.0
118,AWK,2011-04-26 00:00:00+00:00,28.66,28.71,28.34,28.37,769700,23.0147617069,23.0549130707,22.7577929788,22.7818837971,769700,0.0,1.0
119,AWK,2011-04-27 00:00:00+00:00,29.09,29.1,28.63,28.85,774300,23.3600634352,23.368093708,22.9906708886,23.1673368892,774300,0.0,1.0
120,AWK,2011-04-28 00:00:00+00:00,29.19,29.28,29.03,29.03,1372600,23.4403661627,23.5126386175,23.3118817987,23.3118817987,1372600,0.0,1.0
121,AWK,2011-04-29 00:00:00+00:00,29.38,29.42,29.04,29.14,878000,23.592941345,23.625062436,23.3199120715,23.400214799,878000,0.0,1.0
122,AWK,2011-05-02 00:00:00+00:00,29.51,29.91,29.35,29.91,1008500,23.6973348908,24.0185458009,23.5688505268,24.0185458009,1008500,0.0,1.0
123,AWK,2011-05-03 00:00:00+00:00,29.54,29.75,29.37,29.41,1042400,23.7214257091,23.8900614369,23.5849110723,23.6170321633,1042400,0.0,1.0
124,AWK,2011-05-04 00:00:00+00:00,29.33,29.55,29.1,29.48,1274200,23.5527899813,23.7294559818,23.368093708,23.6732440726,1274200,0.0,1.0
125,AWK,2011-05-05 00:00:00+00:00,29.2,29.64,28.77,29.34,1445000,23.4483964355,23.8017284366,23.1030947072,23.560820254,1445000,0.0,1.0
126,AWK,2011-05-06 00:00:00+00:00,29.28,29.5,29.15,29.44,1676500,23.5126386175,23.6893046181,23.4082450717,23.6411229815,1676500,0.0,1.0
127,AWK,2011-05-09 00:00:00+00:00,29.64,29.71,29.36,29.7,1848900,23.8017284366,23.8579403458,23.5768807995,23.8499100731,1848900,0.0,1.0
128,AWK,2011-05-10 00:00:00+00:00,30.61,30.7,29.65,29.65,2042000,24.5806648935,24.6529373483,23.8097587093,23.8097587093,2042000,0.0,1.0
129,AWK,2011-05-11 00:00:00+00:00,29.67,30.67,29.55,30.65,2130100,23.8258192548,24.62884653,23.7294559818,24.6127859845,2130100,0.0,1.0
130,AWK,2011-05-12 00:00:00+00:00,29.71,29.8,29.29,29.57,1414600,23.8579403458,23.9302128006,23.5206688903,23.7455165273,1414600,0.0,1.0
131,AWK,2011-05-13 00:00:00+00:00,29.37,29.76,29.25,29.66,1042200,23.5849110723,23.8980917096,23.4885477993,23.8177889821,1042200,0.0,1.0
132,AWK,2011-05-16 00:00:00+00:00,28.78,29.64,28.72,29.12,1137200,23.2877909805,23.9836735462,23.239241034,23.5629073437,1137200,0.22,1.0
133,AWK,2011-05-17 00:00:00+00:00,28.76,28.94,28.71,28.87,1947600,23.271607665,23.4172575043,23.2311493763,23.3606159001,1947600,0.0,1.0
134,AWK,2011-05-18 00:00:00+00:00,28.92,29.16,28.78,29.16,2470400,23.4010741888,23.5952739746,23.2877909805,23.5952739746,2470400,0.0,1.0
135,AWK,2011-05-19 00:00:00+00:00,29.33,29.4,28.91,28.92,1102100,23.7328321563,23.7894737604,23.3929825311,23.4010741888,1102100,0.0,1.0
136,AWK,2011-05-20 00:00:00+00:00,29.4,29.58,29.21,29.41,767400,23.7894737604,23.9351235998,23.6357322634,23.7975654182,767400,0.0,1.0
137,AWK,2011-05-23 00:00:00+00:00,29.02,29.24,28.93,29.12,698800,23.4819907663,23.6600072366,23.4091658466,23.5629073437,698800,0.0,1.0
138,AWK,2011-05-24 00:00:00+00:00,29.01,29.24,28.98,29.24,879100,23.4738991085,23.6600072366,23.4496241353,23.6600072366,879100,0.0,1.0
139,AWK,2011-05-25 00:00:00+00:00,29.77,29.9,29.01,29.03,1757200,24.0888650969,24.1940566475,23.4738991085,23.490082424,1757200,0.0,1.0
140,AWK,2011-05-26 00:00:00+00:00,29.88,29.88,29.51,29.81,1842700,24.177873332,24.177873332,23.8784819956,24.1212317278,1842700,0.0,1.0
141,AWK,2011-05-27 00:00:00+00:00,29.82,30.0,29.72,29.97,1340700,24.1293233856,24.2749732249,24.0484068082,24.2506982517,1340700,0.0,1.0
142,AWK,2011-05-31 00:00:00+00:00,30.01,30.14,29.62,29.91,1643900,24.2830648827,24.3882564333,23.9674902308,24.2021483053,1643900,0.0,1.0
143,AWK,2011-06-01 00:00:00+00:00,29.61,30.15,29.58,29.9,1409500,23.959398573,24.3963480911,23.9351235998,24.1940566475,1409500,0.0,1.0
