,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,BAC,2010-11-04 00:00:00+00:00,12.13,12.24,11.7,11.79,310826500,10.7081501484,10.8052562091,10.3285537293,10.4080041426,310826500,0.0,1.0
1,BAC,2010-11-05 00:00:00+00:00,12.36,12.71,12.16,12.17,405644600,10.9111900935,11.220163923,10.7346336195,10.7434614432,405644600,0.0,1.0
2,BAC,2010-11-08 00:00:00+00:00,12.6,12.73,12.43,12.62,247865900,11.1230578623,11.2378195704,10.9729848594,11.1407135097,247865900,0.0,1.0
3,BAC,2010-11-09 00:00:00+00:00,12.27,12.74,12.23,12.73,225038100,10.8317396802,11.2466473942,10.7964283854,11.2378195704,225038100,0.0,1.0
4,BAC,2010-11-10 00:00:00+00:00,12.57,12.57,12.2,12.35,191612200,11.0965743912,11.0965743912,10.7699449143,10.9023622698,191612200,0.0,1.0
5,BAC,2010-11-11 00:00:00+00:00,12.37,12.56,12.31,12.5,130702300,10.9200179172,11.0877465675,10.867050975,11.0347796253,130702300,0.0,1.0
6,BAC,2010-11-12 00:00:00+00:00,12.12,12.33,12.03,12.29,170642600,10.6993223247,10.8847066224,10.6198719114,10.8493953276,170642600,0.0,1.0
7,BAC,2010-11-15 00:00:00+00:00,12.1,12.29,12.07,12.22,112735900,10.6816666773,10.8493953276,10.6551832062,10.7876005617,112735900,0.0,1.0
8,BAC,2010-11-16 00:00:00+00:00,11.94,12.05,11.72,11.99,219262600,10.5404214981,10.6375275588,10.3462093767,10.5845606166,219262600,0.0,1.0
9,BAC,2010-11-17 00:00:00+00:00,11.62,11.99,11.6,11.9,170058200,10.2579311397,10.5845606166,10.2402754923,10.5051102033,170058200,0.0,1.0
10,BAC,2010-11-18 00:00:00+00:00,11.7,11.82,11.63,11.78,138773700,10.3285537293,10.4344876137,10.2667589634,10.3991763189,138773700,0.0,1.0
11,BAC,2010-11-19 00:00:00+00:00,11.66,11.66,11.53,11.64,104569300,10.2932424345,10.2932424345,10.1784807264,10.2755867871,104569300,0.0,1.0
12,BAC,2010-11-22 00:00:00+00:00,11.3,11.59,11.21,11.56,223150100,9.9754407813,10.2314476686,9.895990368,10.2049641975,223150100,0.0,1.0
13,BAC,2010-11-23 00:00:00+00:00,11.09,11.39,11.06,11.18,199123000,9.7900564836,10.0548911946,9.7635730125,9.8695068969,199123000,0.0,1.0
14,BAC,2010-11-24 00:00:00+00:00,11.28,11.3,11.1,11.18,109514300,9.9577851339,9.9754407813,9.7988843073,9.8695068969,109514300,0.0,1.0
15,BAC,2010-11-26 00:00:00+00:00,11.12,11.21,11.1,11.17,54441000,9.8165399547,9.895990368,9.7988843073,9.8606790732,54441000,0.0,1.0
16,BAC,2010-11-29 00:00:00+00:00,11.31,11.36,11.08,11.14,144663800,9.984268605,10.0284077235,9.7812286599,9.8341956021,144663800,0.0,1.0
17,BAC,2010-11-30 00:00:00+00:00,10.95,11.3,10.91,11.2,267119300,9.6664669518,9.9754407813,9.631155657,9.8871625443,267119300,0.0,1.0
18,BAC,2010-12-01 00:00:00+00:00,11.29,11.3,10.97,11.17,289105800,9.9754407813,9.9842764242,9.69270021,9.8694130671,289105800,0.01,1.0
19,BAC,2010-12-02 00:00:00+00:00,11.68,11.74,11.35,11.37,284454000,10.3200308526,10.3730447097,10.0284546384,10.0461259241,284454000,0.0,1.0
20,BAC,2010-12-03 00:00:00+00:00,11.86,11.88,11.53,11.59,164553900,10.4790724239,10.4967437097,10.1874962098,10.2405100669,164553900,0.0,1.0
21,BAC,2010-12-06 00:00:00+00:00,11.64,11.86,11.63,11.78,132238800,10.2846882812,10.4790724239,10.2758526383,10.4083872811,132238800,0.0,1.0
22,BAC,2010-12-07 00:00:00+00:00,11.57,11.87,11.5,11.84,215071600,10.2228387812,10.4879080668,10.1609892812,10.4614011382,215071600,0.0,1.0
23,BAC,2010-12-08 00:00:00+00:00,12.0,12.07,11.6,11.61,235158100,10.6027714239,10.6646209239,10.2493457098,10.2581813526,235158100,0.0,1.0
24,BAC,2010-12-09 00:00:00+00:00,12.65,12.69,12.25,12.26,328639000,11.1770882094,11.2124307808,10.8236624952,10.8324981381,328639000,0.0,1.0
25,BAC,2010-12-10 00:00:00+00:00,12.8,12.85,12.47,12.65,224667700,11.3096228522,11.3538010664,11.018046638,11.1770882094,224667700,0.0,1.0
26,BAC,2010-12-13 00:00:00+00:00,12.54,12.881,12.515,12.86,189201500,11.079896138,11.3811915593,11.0578070308,11.3626367093,189201500,0.0,1.0
27,BAC,2010-12-14 00:00:00+00:00,12.4,12.71,12.33,12.57,161365800,10.956197138,11.2301020665,10.894347638,11.1064030665,161365800,0.0,1.0
28,BAC,2010-12-15 00:00:00+00:00,12.29,12.54,12.28,12.38,160612500,10.8590050666,11.079896138,10.8501694238,10.9385258523,160612500,0.0,1.0
29,BAC,2010-12-16 00:00:00+00:00,12.52,12.77,12.38,12.47,309278400,11.0622248523,11.2831159236,10.9385258523,11.018046638,309278400,0.0,1.0
30,BAC,2010-12-17 00:00:00+00:00,12.57,12.65,12.45,12.55,154544200,11.1064030665,11.1770882094,11.0003753523,11.0887317808,154544200,0.0,1.0
