,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,BLK,2010-11-04 00:00:00+00:00,169.01,169.96,166.705,167.4908,2337800,128.657227728,129.380406039,126.9025687735,127.5007514227,2337800,0.0,1.0
1,BLK,2010-11-05 00:00:00+00:00,173.15,173.96,169.03,169.09,1184600,131.8087626833,132.4253673485,128.6724525346,128.7181269542,1184600,0.0,1.0
2,BLK,2010-11-08 00:00:00+00:00,169.09,172.28,168.89,171.99,2274300,128.7181269542,131.1464835985,128.5658788888,130.9257239036,2274300,0.0,1.0
3,BLK,2010-11-09 00:00:00+00:00,164.51,167.5,164.34,165.61,16343600,125.2316462549,127.5077548337,125.1022353992,126.069010615,16343600,0.0,1.0
4,BLK,2010-11-10 00:00:00+00:00,168.48,168.95,165.11,165.63,5091100,128.2537703545,128.6115533084,125.6883904513,126.0842354215,5091100,0.0,1.0
5,BLK,2010-11-11 00:00:00+00:00,171.2,172.41,166.04,168.0,3135500,130.324344045,131.2454448411,126.3963439558,127.8883749974,3135500,0.0,1.0
6,BLK,2010-11-12 00:00:00+00:00,173.07,173.08,167.5,170.32,3350200,131.7478634571,131.7554758604,127.5077548337,129.6544525569,3350200,0.0,1.0
7,BLK,2010-11-15 00:00:00+00:00,173.08,173.75,170.92,173.72,1715400,131.7554758604,132.2655068798,130.1111967533,132.2426696699,1715400,0.0,1.0
8,BLK,2010-11-16 00:00:00+00:00,167.28,172.35,165.78,170.86,2319400,127.3402819617,131.1997704214,126.1984214707,130.0655223337,2319400,0.0,1.0
9,BLK,2010-11-17 00:00:00+00:00,168.93,170.01,167.04,168.25,1929800,128.5963285019,129.4184680554,127.1575842831,128.0786850792,1929800,0.0,1.0
10,BLK,2010-11-18 00:00:00+00:00,169.15,171.92,168.87,171.33,2262700,128.7638013739,130.8724370807,128.5506540822,130.4233052875,2262700,0.0,1.0
11,BLK,2010-11-19 00:00:00+00:00,168.98,170.0,166.81,169.63,842100,128.6343905182,129.4108556521,126.9824990078,129.129196731,842100,0.0,1.0
12,BLK,2010-11-22 00:00:00+00:00,166.87,169.8,166.26,168.56,1077000,127.0281734275,129.2586075867,126.5638168278,128.3146695807,1077000,0.0,1.0
13,BLK,2010-11-23 00:00:00+00:00,163.03,166.07,162.55,166.0,1200500,124.1050105704,126.4191811656,123.7396152133,126.3658943427,1200500,0.0,1.0
14,BLK,2010-11-24 00:00:00+00:00,165.89,166.45,164.43,165.06,948900,126.2821579067,126.70845249,125.1707470287,125.6503284349,948900,0.0,1.0
15,BLK,2010-11-26 00:00:00+00:00,164.6,165.97,164.01,165.14,230900,125.3001578844,126.3430571329,124.8510260912,125.7112276611,230900,0.0,1.0
16,BLK,2010-11-29 00:00:00+00:00,163.1,164.43,161.53,164.14,1046000,124.1582973933,125.1707470287,122.9631500794,124.9499873338,1046000,0.0,1.0
17,BLK,2010-11-30 00:00:00+00:00,163.0,164.0,162.0,162.28,1147600,124.0821733606,124.8434136879,123.3209330332,123.5340803249,1147600,0.0,1.0
18,BLK,2010-12-01 00:00:00+00:00,167.62,167.75,163.75,164.5,1506800,128.3603440004,128.4598956334,125.3967684647,125.9711048089,1506800,1.0,1.0
19,BLK,2010-12-02 00:00:00+00:00,171.85,171.88,168.09,168.12,1048400,131.5996009812,131.6225744349,128.7202614427,128.7432348964,1048400,0.0,1.0
20,BLK,2010-12-03 00:00:00+00:00,172.35,172.76,168.06,170.54,719600,131.9824918772,132.296462412,128.6972879889,130.5964268335,719600,0.0,1.0
21,BLK,2010-12-06 00:00:00+00:00,171.48,172.95,169.95,172.69,747600,131.3162617181,132.4419609525,130.1446155761,132.2428576866,747600,0.0,1.0
22,BLK,2010-12-07 00:00:00+00:00,171.39,174.47,169.6,173.01,1323500,131.2473413568,133.6059492766,129.8765919488,132.4879078601,1323500,0.0,1.0
23,BLK,2010-12-08 00:00:00+00:00,173.7,174.3,171.25,171.51,848900,133.0162972967,133.4757663719,131.1401319059,131.3392351718,848900,0.0,1.0
24,BLK,2010-12-09 00:00:00+00:00,179.82,179.9,175.13,178.13,1489600,137.7028818646,137.764144408,134.1113652594,136.4087106359,1489600,0.0,1.0
25,BLK,2010-12-10 00:00:00+00:00,183.05,183.11,178.5,179.8,1982000,140.1763570533,140.2223039608,136.692049899,137.6875662288,1982000,0.0,1.0
26,BLK,2010-12-13 00:00:00+00:00,181.88,185.28,181.57,184.0,925700,139.2803923564,141.8840504498,139.0430000009,140.9038497558,925700,0.0,1.0
27,BLK,2010-12-14 00:00:00+00:00,182.66,184.23,181.34,181.94,713800,139.8777021543,141.079979568,138.8668701887,139.326339264,713800,0.0,1.0
28,BLK,2010-12-15 00:00:00+00:00,180.9,184.13,180.65,183.09,753100,138.5299262001,141.0034013888,138.3384807521,140.2069883249,753100,0.0,1.0
29,BLK,2010-12-16 00:00:00+00:00,183.11,183.3,178.23,181.65,937900,140.2223039608,140.3678025013,136.4852888151,139.1042625443,937900,0.0,1.0
30,BLK,2010-12-17 00:00:00+00:00,187.2,189.03,181.25,182.72,3979700,143.3543514907,144.7557321703,138.7979498274,139.9236490619,3979700,0.0,1.0
31,BLK,2010-12-20 00:00:00+00:00,188.5,189.0,185.46,187.53,1502200,144.3498678205,144.7327587166,142.0218911723,143.6070594821,1502200,0.0,1.0
32,BLK,2010-12-21 00:00:00+00:00,192.51,192.58,188.74,189.44,888800,147.420652807,147.4742575325,144.5336554506,145.0697027051,888800,0.0,1.0
33,BLK,2010-12-22 00:00:00+00:00,190.96,193.7399,190.31,193.39,678600,146.2336910292,148.3624878332,145.7359328643,148.0945407841,678600,0.0,1.0
34,BLK,2010-12-23 00:00:00+00:00,188.67,191.7399,188.41,190.72,356200,144.4800507252,146.8309242489,144.2809474592,146.0499033991,356200,0.0,1.0
