,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,BLL,2010-11-04 00:00:00+00:00,65.73,65.936,64.97,65.0,715200,15.0687772094,15.116003257,14.8945451894,14.9014227691,2860800,0.0,1.0
1,BLL,2010-11-05 00:00:00+00:00,66.06,66.12,65.61,65.7,409700,15.1444305866,15.1581857461,15.0412668905,15.0618996297,1638800,0.0,1.0
2,BLL,2010-11-08 00:00:00+00:00,65.55,66.26,65.44,65.73,718000,15.027511731,15.1902811182,15.0022939386,15.0687772094,2872000,0.0,1.0
3,BLL,2010-11-09 00:00:00+00:00,65.48,65.72,65.11,65.62,565900,15.011464045,15.0664846829,14.9266405615,15.0435594171,2263600,0.0,1.0
4,BLL,2010-11-10 00:00:00+00:00,65.69,65.69,64.8719,65.53,708600,15.0596071031,15.0596071031,14.8720555036,15.0229266779,2834400,0.0,1.0
5,BLL,2010-11-11 00:00:00+00:00,65.75,65.93,65.2,65.23,559900,15.0733622626,15.114627741,14.9472733007,14.9541508805,2239600,0.0,1.0
6,BLL,2010-11-12 00:00:00+00:00,64.88,65.58,64.77,65.31,515800,14.8739124502,15.0343893108,14.8486946578,14.9724910931,2063200,0.0,1.0
7,BLL,2010-11-15 00:00:00+00:00,65.29,65.83,65.13,65.25,593200,14.9679060399,15.0917024752,14.9312256147,14.9587359336,2372800,0.0,1.0
8,BLL,2010-11-16 00:00:00+00:00,64.49,64.83,63.95,64.58,729500,14.7845039135,14.8624498173,14.6607074782,14.8051366528,2918000,0.0,1.0
9,BLL,2010-11-17 00:00:00+00:00,64.4,64.91,64.27,64.47,465000,14.7638711743,14.8807900299,14.7340683288,14.7799188604,1860000,0.0,1.0
10,BLL,2010-11-18 00:00:00+00:00,65.44,65.63,64.89,64.89,530700,15.0022939386,15.0458519437,14.8762049767,14.8762049767,2122800,0.0,1.0
11,BLL,2010-11-19 00:00:00+00:00,65.45,65.75,65.17,65.47,528700,15.0045864652,15.0733622626,14.940395721,15.0091715184,2114800,0.0,1.0
12,BLL,2010-11-22 00:00:00+00:00,65.7,65.86,64.75,65.06,383300,15.0618996297,15.098580055,14.8441096046,14.9151779286,1533200,0.0,1.0
13,BLL,2010-11-23 00:00:00+00:00,64.33,65.03,64.05,65.03,882000,14.7478234883,14.9083003489,14.683632744,14.9083003489,3528000,0.0,1.0
14,BLL,2010-11-24 00:00:00+00:00,65.5,65.52,64.53,64.53,352400,15.0160490981,15.0206341513,14.7936740199,14.7936740199,1409600,0.0,1.0
15,BLL,2010-11-26 00:00:00+00:00,64.87,65.13,64.64,65.04,193300,14.8716199236,14.9312256147,14.8188918122,14.9105928754,773200,0.0,1.0
16,BLL,2010-11-29 00:00:00+00:00,64.55,64.68,63.58,64.38,475200,14.8211843388,14.8510333545,14.5984647601,14.7821510106,1900800,0.1,1.0
17,BLL,2010-11-30 00:00:00+00:00,65.88,66.09,63.82,63.94,1197500,15.1265627303,15.1747803711,14.6535706352,14.6811235728,4790000,0.0,1.0
18,BLL,2010-12-01 00:00:00+00:00,67.94,68.15,66.75,66.77,1027500,15.5995548254,15.6477724662,15.3263215278,15.330913684,4110000,0.0,1.0
19,BLL,2010-12-02 00:00:00+00:00,69.06,69.58,67.85,68.03,820500,15.8567155761,15.976111639,15.5788901222,15.6202195286,3282000,0.0,1.0
20,BLL,2010-12-03 00:00:00+00:00,68.85,69.355,68.64,68.81,579300,15.8084979354,15.924449881,15.7602802946,15.7993136228,2317200,0.0,1.0
