,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CAH,2010-11-04 00:00:00+00:00,35.69,35.74,35.32,35.57,4147700,27.4881332232,27.5266427963,27.2031623829,27.395710248,4147700,0.0,1.0
1,CAH,2010-11-05 00:00:00+00:00,35.21,35.7,35.06,35.69,2500200,27.1184413222,27.4958351378,27.0029126032,27.4881332232,2500200,0.0,1.0
2,CAH,2010-11-08 00:00:00+00:00,35.22,35.43,35.09,35.21,1840200,27.1261432368,27.2878834435,27.026018347,27.1184413222,1840200,0.0,1.0
3,CAH,2010-11-09 00:00:00+00:00,35.62,35.95,35.2,35.22,3911100,27.434219821,27.688383003,27.1107394076,27.1261432368,3911100,0.0,1.0
4,CAH,2010-11-10 00:00:00+00:00,35.27,35.53,35.0,35.51,2851800,27.1646528099,27.3649025896,26.9567011155,27.3494987604,2851800,0.0,1.0
5,CAH,2010-11-11 00:00:00+00:00,35.4,35.45,34.98,35.19,1659200,27.2647776997,27.3032872727,26.9412972863,27.103037493,1659200,0.0,1.0
6,CAH,2010-11-12 00:00:00+00:00,35.02,35.27,34.81,35.1,1571700,26.9721049447,27.1646528099,26.810364738,27.0337202616,1571700,0.0,1.0
7,CAH,2010-11-15 00:00:00+00:00,34.89,35.18,34.81,35.14,1596400,26.8719800549,27.0953355784,26.810364738,27.06452792,1596400,0.0,1.0
8,CAH,2010-11-16 00:00:00+00:00,34.41,34.96,34.22,34.74,2750400,26.5022881539,26.9258934571,26.3559517764,26.7564513358,2750400,0.0,1.0
9,CAH,2010-11-17 00:00:00+00:00,34.47,34.53,34.1,34.48,1443700,26.5484996415,26.5947111291,26.2635288011,26.5562015561,1443700,0.0,1.0
10,CAH,2010-11-18 00:00:00+00:00,36.56,36.79,35.02,35.13,6803500,28.1581997938,28.3353438297,26.9721049447,27.0568260054,6803500,0.0,1.0
11,CAH,2010-11-19 00:00:00+00:00,36.2,36.61,35.95,36.61,3173500,27.8809308681,28.1967093668,27.688383003,28.1967093668,3173500,0.0,1.0
12,CAH,2010-11-22 00:00:00+00:00,36.18,36.42,35.71,36.42,1684300,27.8655270389,28.0503729894,27.5035370524,28.0503729894,1684300,0.0,1.0
13,CAH,2010-11-23 00:00:00+00:00,35.93,36.01,35.6,35.75,2788900,27.6729791737,27.7345944906,27.4188159918,27.5343447109,2788900,0.0,1.0
14,CAH,2010-11-24 00:00:00+00:00,36.16,36.38,35.8,36.17,1259300,27.8501232096,28.0195653309,27.5728542839,27.8578251243,1259300,0.0,1.0
15,CAH,2010-11-26 00:00:00+00:00,35.88,35.94,35.64,35.82,596400,27.6344696007,27.6806810883,27.4496236502,27.5882581131,596400,0.0,1.0
16,CAH,2010-11-29 00:00:00+00:00,35.65,35.81,35.07,35.48,2675200,27.4573255648,27.5805561985,27.0106145178,27.3263930165,2675200,0.0,1.0
17,CAH,2010-11-30 00:00:00+00:00,35.58,36.26,35.31,35.66,3860100,27.4034121626,27.9271423557,27.1954604683,27.4650274794,3860100,0.0,1.0
18,CAH,2010-12-01 00:00:00+00:00,36.62,36.95,35.99,36.0,2689800,28.2044112815,28.4585744634,27.7191906614,27.726892576,2689800,0.0,1.0
19,CAH,2010-12-02 00:00:00+00:00,37.36,37.51,36.54,36.56,3050100,28.7743529622,28.8898816812,28.1427959646,28.1581997938,3050100,0.0,1.0
20,CAH,2010-12-03 00:00:00+00:00,37.24,37.35,36.82,37.33,2124400,28.6819299869,28.7666510476,28.3584495735,28.7512472184,2124400,0.0,1.0
21,CAH,2010-12-06 00:00:00+00:00,37.17,37.26,36.98,37.03,1380400,28.6280165847,28.6973338161,28.4816802072,28.5201897802,1380400,0.0,1.0
22,CAH,2010-12-07 00:00:00+00:00,37.41,38.0,37.34,37.56,5071500,28.8128625352,29.2672754969,28.758949133,28.9283912543,5071500,0.0,1.0
23,CAH,2010-12-08 00:00:00+00:00,36.76,37.6,36.48,37.52,5422700,28.3122380859,28.9591989127,28.096584477,28.8975835959,5422700,0.0,1.0
24,CAH,2010-12-09 00:00:00+00:00,36.59,36.97,36.4,36.87,3348100,28.1813055376,28.4739782926,28.0349691602,28.3969591466,3348100,0.0,1.0
25,CAH,2010-12-10 00:00:00+00:00,37.15,37.2,36.57,36.6,2459100,28.6126127555,28.6511223285,28.1659017084,28.1890074522,2459100,0.0,1.0
26,CAH,2010-12-13 00:00:00+00:00,37.0,37.39,36.7,37.39,2376800,28.4970840364,28.797458706,28.2660265983,28.797458706,2376800,0.0,1.0
27,CAH,2010-12-14 00:00:00+00:00,37.26,37.45,37.04,37.2,2064600,28.6973338161,28.8436701936,28.5278916948,28.6511223285,2064600,0.0,1.0
28,CAH,2010-12-15 00:00:00+00:00,37.08,37.39,36.86,37.13,2742200,28.5586993533,28.797458706,28.389257232,28.5972089263,2742200,0.0,1.0
29,CAH,2010-12-16 00:00:00+00:00,37.98,38.41,36.78,37.2,3943700,29.2518716677,29.5830539956,28.3276419151,28.6511223285,3943700,0.0,1.0
30,CAH,2010-12-17 00:00:00+00:00,38.71,38.76,37.97,37.99,4604600,29.8141114338,29.8526210068,29.2441697531,29.2595735823,4604600,0.0,1.0
31,CAH,2010-12-20 00:00:00+00:00,38.53,38.94,38.31,38.84,3217800,29.6754769709,29.9912554697,29.5060348496,29.9142363236,3217800,0.0,1.0
32,CAH,2010-12-21 00:00:00+00:00,38.7,38.84,38.4,38.73,2734700,29.8064095192,29.9142363236,29.575352081,29.829515263,2734700,0.0,1.0
33,CAH,2010-12-22 00:00:00+00:00,39.11,39.17,38.65,38.76,2836700,30.122188018,30.1683995056,29.7678999462,29.8526210068,2836700,0.0,1.0
34,CAH,2010-12-23 00:00:00+00:00,38.94,39.29,38.88,39.12,2179500,29.9912554697,30.2608224808,29.9450439821,30.1298899326,2179500,0.0,1.0
35,CAH,2010-12-27 00:00:00+00:00,38.82,38.95,38.65,38.89,1171800,29.8988324944,29.9989573843,29.7678999462,29.9527458967,1171800,0.0,1.0
36,CAH,2010-12-28 00:00:00+00:00,38.75,38.965,38.6,38.85,1539000,29.8449190922,30.0105102562,29.7293903731,29.9219382382,1539000,0.0,1.0
37,CAH,2010-12-29 00:00:00+00:00,38.56,38.87,38.55,38.61,1564600,29.8487700495,30.0887368212,29.8410291859,29.8874743675,1564600,0.195,1.0
38,CAH,2010-12-30 00:00:00+00:00,38.51,38.64,38.36,38.4,1608300,29.8100657315,29.9106969583,29.6939527775,29.7249162319,1608300,0.0,1.0
39,CAH,2010-12-31 00:00:00+00:00,38.31,38.59,38.25,38.4,1122300,29.6552484594,29.8719926403,29.6088032778,29.7249162319,1122300,0.0,1.0
40,CAH,2011-01-03 00:00:00+00:00,38.87,39.14,38.64,38.64,2113200,30.0887368212,30.2977401384,29.9106969583,29.9106969583,2113200,0.0,1.0
41,CAH,2011-01-04 00:00:00+00:00,38.58,39.06,38.48,38.96,2888900,29.8642517767,30.2358132296,29.7868431407,30.1584045936,2888900,0.0,1.0
42,CAH,2011-01-05 00:00:00+00:00,38.88,39.01,38.28,38.55,2850500,30.0964776848,30.1971089116,29.6320258686,29.8410291859,2850500,0.0,1.0
43,CAH,2011-01-06 00:00:00+00:00,39.35,39.41,38.88,38.95,2225400,30.4602982741,30.5067434557,30.0964776848,30.15066373,2225400,0.0,1.0
44,CAH,2011-01-07 00:00:00+00:00,38.8,39.53,38.75,39.4,4855800,30.0345507759,30.5996338189,29.9958464579,30.4990025921,4855800,0.0,1.0
