,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CBG,2010-11-04 00:00:00+00:00,19.69,19.69,19.09,19.09,4069800,19.69,19.69,19.09,19.09,4069800,0.0,1.0
1,CBG,2010-11-05 00:00:00+00:00,19.85,20.0,19.5,19.72,2650900,19.85,20.0,19.5,19.72,2650900,0.0,1.0
2,CBG,2010-11-08 00:00:00+00:00,19.9,19.98,19.62,19.74,2759100,19.9,19.98,19.62,19.74,2759100,0.0,1.0
3,CBG,2010-11-09 00:00:00+00:00,19.5,19.99,19.38,19.93,3800500,19.5,19.99,19.38,19.93,3800500,0.0,1.0
4,CBG,2010-11-10 00:00:00+00:00,20.19,20.23,19.31,19.45,4347700,20.19,20.23,19.31,19.45,4347700,0.0,1.0
5,CBG,2010-11-11 00:00:00+00:00,20.16,20.32,19.805,19.96,2589300,20.16,20.32,19.805,19.96,2589300,0.0,1.0
6,CBG,2010-11-12 00:00:00+00:00,19.8,20.23,19.55,19.98,2822400,19.8,20.23,19.55,19.98,2822400,0.0,1.0
7,CBG,2010-11-15 00:00:00+00:00,19.92,20.4,19.81,19.88,2992100,19.92,20.4,19.81,19.88,2992100,0.0,1.0
8,CBG,2010-11-16 00:00:00+00:00,19.04,19.72,18.93,19.57,3568200,19.04,19.72,18.93,19.57,3568200,0.0,1.0
9,CBG,2010-11-17 00:00:00+00:00,18.91,19.33,18.85,19.04,3190900,18.91,19.33,18.85,19.04,3190900,0.0,1.0
10,CBG,2010-11-18 00:00:00+00:00,18.97,19.4,18.8,19.28,4638800,18.97,19.4,18.8,19.28,4638800,0.0,1.0
11,CBG,2010-11-19 00:00:00+00:00,18.55,18.96,18.37,18.82,4802600,18.55,18.96,18.37,18.82,4802600,0.0,1.0
12,CBG,2010-11-22 00:00:00+00:00,18.78,19.16,18.19,18.32,5380700,18.78,19.16,18.19,18.32,5380700,0.0,1.0
13,CBG,2010-11-23 00:00:00+00:00,18.52,18.7,18.36,18.42,2470600,18.52,18.7,18.36,18.42,2470600,0.0,1.0
14,CBG,2010-11-24 00:00:00+00:00,18.95,18.98,18.53,18.71,2949000,18.95,18.98,18.53,18.71,2949000,0.0,1.0
15,CBG,2010-11-26 00:00:00+00:00,19.08,19.13,18.74,18.92,2384100,19.08,19.13,18.74,18.92,2384100,0.0,1.0
16,CBG,2010-11-29 00:00:00+00:00,18.96,19.06,18.65,18.83,5088700,18.96,19.06,18.65,18.83,5088700,0.0,1.0
17,CBG,2010-11-30 00:00:00+00:00,19.19,19.36,18.81,18.85,13008600,19.19,19.36,18.81,18.85,13008600,0.0,1.0
18,CBG,2010-12-01 00:00:00+00:00,19.08,19.71,18.86,19.57,5403200,19.08,19.71,18.86,19.57,5403200,0.0,1.0
19,CBG,2010-12-02 00:00:00+00:00,19.38,19.39,18.97,19.16,3548100,19.38,19.39,18.97,19.16,3548100,0.0,1.0
20,CBG,2010-12-03 00:00:00+00:00,19.92,19.98,19.13,19.3,2948500,19.92,19.98,19.13,19.3,2948500,0.0,1.0
21,CBG,2010-12-06 00:00:00+00:00,19.98,20.1,19.65,19.85,2733600,19.98,20.1,19.65,19.85,2733600,0.0,1.0
22,CBG,2010-12-07 00:00:00+00:00,20.05,20.24,19.78,20.24,3380600,20.05,20.24,19.78,20.24,3380600,0.0,1.0
23,CBG,2010-12-08 00:00:00+00:00,19.82,20.17,19.6,20.03,2269400,19.82,20.17,19.6,20.03,2269400,0.0,1.0
24,CBG,2010-12-09 00:00:00+00:00,19.7,20.0,19.65,19.94,2230900,19.7,20.0,19.65,19.94,2230900,0.0,1.0
25,CBG,2010-12-10 00:00:00+00:00,20.2,20.28,19.74,19.74,2816700,20.2,20.28,19.74,19.74,2816700,0.0,1.0
26,CBG,2010-12-13 00:00:00+00:00,20.17,20.38,20.07,20.29,3220400,20.17,20.38,20.07,20.29,3220400,0.0,1.0
27,CBG,2010-12-14 00:00:00+00:00,20.4,20.78,20.08,20.19,3718000,20.4,20.78,20.08,20.19,3718000,0.0,1.0
28,CBG,2010-12-15 00:00:00+00:00,20.24,20.62,20.22,20.4,2510500,20.24,20.62,20.22,20.4,2510500,0.0,1.0
29,CBG,2010-12-16 00:00:00+00:00,20.45,20.49,19.84,20.31,3673900,20.45,20.49,19.84,20.31,3673900,0.0,1.0
30,CBG,2010-12-17 00:00:00+00:00,20.5,20.6,20.34,20.44,5355600,20.5,20.6,20.34,20.44,5355600,0.0,1.0
31,CBG,2010-12-20 00:00:00+00:00,20.89,20.98,20.52,20.7,2003300,20.89,20.98,20.52,20.7,2003300,0.0,1.0
32,CBG,2010-12-21 00:00:00+00:00,21.31,21.53,20.89,20.98,3116700,21.31,21.53,20.89,20.98,3116700,0.0,1.0
33,CBG,2010-12-22 00:00:00+00:00,21.28,21.43,21.02,21.39,2756000,21.28,21.43,21.02,21.39,2756000,0.0,1.0
34,CBG,2010-12-23 00:00:00+00:00,20.94,21.31,20.94,21.27,1585300,20.94,21.31,20.94,21.27,1585300,0.0,1.0
35,CBG,2010-12-27 00:00:00+00:00,21.01,21.08,20.705,20.85,1205100,21.01,21.08,20.705,20.85,1205100,0.0,1.0
36,CBG,2010-12-28 00:00:00+00:00,20.7,21.21,20.67,21.07,2341700,20.7,21.21,20.67,21.07,2341700,0.0,1.0
37,CBG,2010-12-29 00:00:00+00:00,20.74,20.86,20.665,20.72,1028900,20.74,20.86,20.665,20.72,1028900,0.0,1.0
38,CBG,2010-12-30 00:00:00+00:00,20.78,20.91,20.7,20.73,909100,20.78,20.91,20.7,20.73,909100,0.0,1.0
39,CBG,2010-12-31 00:00:00+00:00,20.48,20.82,20.44,20.76,1474800,20.48,20.82,20.44,20.76,1474800,0.0,1.0
40,CBG,2011-01-03 00:00:00+00:00,21.01,21.02,20.65,20.68,3042600,21.01,21.02,20.65,20.68,3042600,0.0,1.0
41,CBG,2011-01-04 00:00:00+00:00,20.43,21.14,20.29,21.07,3851700,20.43,21.14,20.29,21.07,3851700,0.0,1.0
42,CBG,2011-01-05 00:00:00+00:00,20.62,20.71,20.29,20.3,2591500,20.62,20.71,20.29,20.3,2591500,0.0,1.0
43,CBG,2011-01-06 00:00:00+00:00,20.74,21.27,20.56,20.62,5175600,20.74,21.27,20.56,20.62,5175600,0.0,1.0
44,CBG,2011-01-07 00:00:00+00:00,20.7,20.85,20.34,20.82,3461000,20.7,20.85,20.34,20.82,3461000,0.0,1.0
45,CBG,2011-01-10 00:00:00+00:00,20.58,20.73,20.38,20.64,2278300,20.58,20.73,20.38,20.64,2278300,0.0,1.0
46,CBG,2011-01-11 00:00:00+00:00,20.86,21.04,20.49,20.68,2721700,20.86,21.04,20.49,20.68,2721700,0.0,1.0
47,CBG,2011-01-12 00:00:00+00:00,21.16,21.17,20.88,21.11,2667500,21.16,21.17,20.88,21.11,2667500,0.0,1.0
48,CBG,2011-01-13 00:00:00+00:00,21.31,21.31,20.96,21.12,2599400,21.31,21.31,20.96,21.12,2599400,0.0,1.0
49,CBG,2011-01-14 00:00:00+00:00,21.97,21.97,21.15,21.3,4571300,21.97,21.97,21.15,21.3,4571300,0.0,1.0
50,CBG,2011-01-18 00:00:00+00:00,22.44,22.46,21.84,22.15,4191800,22.44,22.46,21.84,22.15,4191800,0.0,1.0
51,CBG,2011-01-19 00:00:00+00:00,22.01,22.58,21.91,22.36,3823900,22.01,22.58,21.91,22.36,3823900,0.0,1.0
