,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CB,2010-11-04 00:00:00+00:00,62.26,62.41,61.0,61.25,860154,44.2881109869,44.3948121858,43.3918209155,43.5696562471,860154,0.0,1.0
1,CB,2010-11-05 00:00:00+00:00,61.88,62.49,61.51,62.08,550459,44.0178012828,44.451719492,43.754604992,44.1600695481,550459,0.0,1.0
2,CB,2010-11-08 00:00:00+00:00,61.11,61.78,60.85,61.7,3352100,43.4700684614,43.9466671501,43.2851197165,43.889759844,3352100,0.0,1.0
3,CB,2010-11-09 00:00:00+00:00,60.24,61.19,60.03,61.1,3925600,42.8512015074,43.5269757675,42.7018198288,43.4629550481,3925600,0.0,1.0
4,CB,2010-11-10 00:00:00+00:00,61.08,61.09,60.15,60.17,3444400,43.4487282216,43.4558416349,42.787180788,42.8014076145,3444400,0.0,1.0
5,CB,2010-11-11 00:00:00+00:00,60.16,60.83,60.12,60.72,2920200,42.7942942012,43.27089289,42.7658405482,43.1926453441,2920200,0.0,1.0
6,CB,2010-11-12 00:00:00+00:00,59.8,60.33,59.79,60.0,2728700,42.5382113237,42.9152222267,42.5310979104,42.680479589,2728700,0.0,1.0
7,CB,2010-11-15 00:00:00+00:00,60.07,60.65,59.93,59.93,1974600,42.7302734819,43.1428514512,42.6306856962,42.6306856962,1974600,0.0,1.0
8,CB,2010-11-16 00:00:00+00:00,58.89,60.0,58.76,59.8,5001300,41.8908907166,42.680479589,41.7984163442,42.5382113237,5001300,0.0,1.0
9,CB,2010-11-17 00:00:00+00:00,58.99,59.17,58.65,58.92,2674800,41.9620248493,42.090066288,41.7201687983,41.9122309564,2674800,0.0,1.0
10,CB,2010-11-18 00:00:00+00:00,60.27,60.43,59.34,59.55,2196200,42.8725417472,42.9863563594,42.2109943135,42.3603759921,2196200,0.0,1.0
11,CB,2010-11-19 00:00:00+00:00,60.45,60.53,59.83,60.17,2580300,43.0005831859,43.057490492,42.5595515635,42.8014076145,2580300,0.0,1.0
12,CB,2010-11-22 00:00:00+00:00,60.14,60.23,59.75,60.0,2020000,42.7800673747,42.8440880941,42.5026442574,42.680479589,2020000,0.0,1.0
13,CB,2010-11-23 00:00:00+00:00,58.77,59.68,58.72,59.25,3408900,41.8055297574,42.4528503645,41.7699626911,42.1469735941,3408900,0.0,1.0
14,CB,2010-11-24 00:00:00+00:00,59.68,59.68,58.82,59.0,1868900,42.4528503645,42.4528503645,41.8410968238,41.9691382625,1868900,0.0,1.0
15,CB,2010-11-26 00:00:00+00:00,58.91,59.31,58.91,59.05,630400,41.9051175431,42.1896540737,41.9051175431,42.0047053288,630400,0.0,1.0
16,CB,2010-11-29 00:00:00+00:00,59.27,59.4,58.36,58.52,2094900,42.1612004207,42.2536747931,41.5138798136,41.6276944258,2094900,0.0,1.0
17,CB,2010-11-30 00:00:00+00:00,58.52,59.28,58.43,58.93,3797900,41.6276944258,42.1683138339,41.5636737064,41.9193443697,3797900,0.0,1.0
18,CB,2010-12-01 00:00:00+00:00,59.48,59.61,58.91,59.43,2705800,42.3105820992,42.4030564717,41.9051175431,42.2750150329,2705800,0.0,1.0
19,CB,2010-12-02 00:00:00+00:00,59.84,60.17,59.49,59.49,2780400,42.5666649768,42.8014076145,42.3176955125,42.3176955125,2780400,0.0,1.0
20,CB,2010-12-03 00:00:00+00:00,59.43,59.8,59.12,59.67,1609700,42.2750150329,42.5382113237,42.0544992217,42.4457369513,1609700,0.0,1.0
21,CB,2010-12-06 00:00:00+00:00,59.06,59.41,59.03,59.3,1619400,42.0118187421,42.2607882064,41.9904785023,42.1825406605,1619400,0.0,1.0
22,CB,2010-12-07 00:00:00+00:00,59.24,59.7,59.12,59.52,1944100,42.1398601809,42.4670771911,42.0544992217,42.3390357523,1944100,0.0,1.0
23,CB,2010-12-08 00:00:00+00:00,59.4,59.56,59.04,59.21,2040700,42.2536747931,42.3674894054,41.9975919156,42.1185199411,2040700,0.0,1.0
24,CB,2010-12-09 00:00:00+00:00,59.5,59.68,59.06,59.58,2648100,42.3248089258,42.4528503645,42.0118187421,42.3817162319,2648100,0.0,1.0
25,CB,2010-12-10 00:00:00+00:00,60.28,60.37,59.62,59.77,2777200,42.8796551604,42.9436758798,42.4101698849,42.5168710839,2777200,0.0,1.0
26,CB,2010-12-13 00:00:00+00:00,60.95,61.57,60.5,60.52,1980200,43.3562538492,43.7972854716,43.0361502522,43.0503770788,1980200,0.0,1.0
27,CB,2010-12-14 00:00:00+00:00,60.68,61.49,60.63,60.68,2271600,43.3989343288,43.9782543157,43.3631738357,43.3989343288,2271600,0.33,1.0
28,CB,2010-12-15 00:00:00+00:00,60.78,61.35,60.46,60.48,2172900,43.4704553148,43.8781249352,43.2415881595,43.2558923567,2172900,0.0,1.0
29,CB,2010-12-16 00:00:00+00:00,61.49,61.49,60.78,60.96,2162600,43.9782543157,43.9782543157,43.4704553148,43.5991930897,2162600,0.0,1.0
30,CB,2010-12-17 00:00:00+00:00,61.05,61.58,60.98,61.48,3545100,43.6635619771,44.0426232031,43.6134972869,43.9711022171,3545100,0.0,1.0
31,CB,2010-12-20 00:00:00+00:00,60.96,61.6,60.29,61.54,1731100,43.5991930897,44.0569274003,43.1200024832,44.0140148087,1731100,0.0,1.0
32,CB,2010-12-21 00:00:00+00:00,61.8,62.03,60.82,61.06,2333800,44.4645970207,44.6300801488,43.7594949968,43.9321730435,2333800,0.37,1.0
33,CB,2010-12-22 00:00:00+00:00,62.14,62.28,61.74,61.82,2213100,44.7092242535,44.8099531141,44.4214275091,44.478986858,2213100,0.0,1.0
34,CB,2010-12-23 00:00:00+00:00,62.13,62.29,61.92,61.92,1062700,44.7020293349,44.8171480327,44.5509360441,44.5509360441,1062700,0.0,1.0
35,CB,2010-12-27 00:00:00+00:00,62.06,62.19,61.79,61.79,1458600,44.6516649046,44.7451988466,44.4574021021,44.4574021021,1458600,0.0,1.0
36,CB,2010-12-28 00:00:00+00:00,62.29,62.33,61.94,62.14,1128400,44.8171480327,44.8459277072,44.5653258813,44.7092242535,1128400,0.0,1.0
37,CB,2010-12-29 00:00:00+00:00,62.28,62.51,62.0,62.29,957800,44.8099531141,44.9754362422,44.608495393,44.8171480327,957800,0.0,1.0
38,CB,2010-12-30 00:00:00+00:00,62.37,62.62,62.0,62.23,1003700,44.8747073816,45.0545803469,44.608495393,44.773978521,1003700,0.0,1.0
39,CB,2010-12-31 00:00:00+00:00,62.25,62.55,62.0,62.19,971300,44.7883683583,45.0042159166,44.608495393,44.7451988466,971300,0.0,1.0
40,CB,2011-01-03 00:00:00+00:00,62.24,62.83,62.09,62.68,2060900,44.7811734397,45.2056736378,44.6732496605,45.0977498586,2060900,0.0,1.0
41,CB,2011-01-04 00:00:00+00:00,62.2,62.66,61.94,62.15,2019200,44.7523937652,45.0833600214,44.5653258813,44.7164191722,2019200,0.0,1.0
42,CB,2011-01-05 00:00:00+00:00,61.99,62.48,61.92,62.02,3151900,44.6013004744,44.9538514863,44.5509360441,44.6228852302,3151900,0.0,1.0
43,CB,2011-01-06 00:00:00+00:00,61.72,62.06,61.6,61.91,3132300,44.4070376718,44.6516649046,44.3206986485,44.5437411255,3132300,0.0,1.0
44,CB,2011-01-07 00:00:00+00:00,61.26,61.81,60.85,61.81,2990000,44.0760714157,44.4717919394,43.7810797526,44.4717919394,2990000,0.0,1.0
45,CB,2011-01-10 00:00:00+00:00,60.46,61.25,60.27,60.95,2433200,43.5004779268,44.0688764971,43.3637744731,43.8530289387,2433200,0.0,1.0
46,CB,2011-01-11 00:00:00+00:00,60.74,61.23,60.55,60.69,2178200,43.7019356479,44.0544866599,43.5652321943,43.6659610548,2178200,0.0,1.0
47,CB,2011-01-12 00:00:00+00:00,60.85,61.6,60.76,61.06,2063200,43.7810797526,44.3206986485,43.7163254851,43.9321730435,2063200,0.0,1.0
48,CB,2011-01-13 00:00:00+00:00,60.87,60.89,60.46,60.75,3044800,43.7954695898,43.8098594271,43.5004779268,43.7091305665,3044800,0.0,1.0
49,CB,2011-01-14 00:00:00+00:00,60.79,60.9,60.41,60.73,2575900,43.737910241,43.8170543457,43.4645033337,43.6947407293,2575900,0.0,1.0
50,CB,2011-01-18 00:00:00+00:00,60.66,61.03,60.6,60.83,2305200,43.644376299,43.9105882876,43.6012067873,43.7666899154,2305200,0.0,1.0
51,CB,2011-01-19 00:00:00+00:00,60.57,60.78,60.25,60.55,2048600,43.5796220315,43.7307153223,43.3493846359,43.5652321943,2048600,0.0,1.0
52,CB,2011-01-20 00:00:00+00:00,60.71,61.12,60.57,60.57,2349500,43.6803508921,43.9753425551,43.5796220315,43.5796220315,2349500,0.0,1.0
53,CB,2011-01-21 00:00:00+00:00,60.51,60.51,59.55,59.96,2449500,43.5364525198,43.5364525198,42.8457403331,43.1407319962,2449500,0.0,1.0
54,CB,2011-01-24 00:00:00+00:00,60.7,60.85,60.17,60.35,2073300,43.6731559734,43.7810797526,43.291825287,43.421333822,2073300,0.0,1.0
55,CB,2011-01-25 00:00:00+00:00,62.13,62.29,60.64,60.64,2909100,44.7020293349,44.8171480327,43.6299864618,43.6299864618,2909100,0.0,1.0
56,CB,2011-01-26 00:00:00+00:00,62.45,62.68,61.93,62.22,2593600,44.9322667305,45.0977498586,44.5581309627,44.7667836024,2593600,0.0,1.0
57,CB,2011-01-27 00:00:00+00:00,63.19,63.28,62.22,62.42,1946500,45.4646907078,45.5294449753,44.7667836024,44.9106819747,1946500,0.0,1.0
58,CB,2011-01-28 00:00:00+00:00,61.17,63.27,61.11,63.04,2706500,44.0113171482,45.5222500567,43.9681476365,45.3567669286,2706500,0.0,1.0
59,CB,2011-01-31 00:00:00+00:00,61.59,62.24,61.38,61.38,1927400,44.3135037299,44.7811734397,44.162410439,44.162410439,1927400,0.0,1.0
60,CB,2011-02-01 00:00:00+00:00,62.16,62.42,61.4,62.24,2888600,44.7236140908,44.9106819747,44.1768002763,44.7811734397,2888600,0.0,1.0
61,CB,2011-02-02 00:00:00+00:00,62.5,62.71,61.93,62.03,2453200,44.9682413236,45.1193346144,44.5581309627,44.6300801488,2453200,0.0,1.0
62,CB,2011-02-03 00:00:00+00:00,63.29,63.34,61.84,61.84,3232800,45.5366398939,45.572614487,44.4933766952,44.4933766952,3232800,0.0,1.0
63,CB,2011-02-04 00:00:00+00:00,63.06,63.44,62.88,63.25,1730400,45.3711567658,45.6445636731,45.2416482308,45.5078602194,1730400,0.0,1.0
64,CB,2011-02-07 00:00:00+00:00,62.83,63.27,62.69,62.88,1574400,45.2056736378,45.5222500567,45.1049447772,45.2416482308,1574400,0.0,1.0
65,CB,2011-02-08 00:00:00+00:00,64.27,64.28,62.83,62.84,1968100,46.2417419179,46.2489368365,45.2056736378,45.2128685564,1968100,0.0,1.0
66,CB,2011-02-09 00:00:00+00:00,64.08,64.44,63.62,63.84,1487900,46.1050384642,46.3640555343,45.7740722081,45.9323604175,1487900,0.0,1.0
67,CB,2011-02-10 00:00:00+00:00,63.75,64.01,63.42,63.79,1247200,45.86760615,46.0546740339,45.6301738358,45.8963858245,1247200,0.0,1.0
68,CB,2011-02-11 00:00:00+00:00,63.44,63.69,63.27,63.58,1752500,45.6445636731,45.8244366384,45.5222500567,45.7452925336,1752500,0.0,1.0
69,CB,2011-02-14 00:00:00+00:00,62.5,63.51,62.23,63.25,1468400,44.9682413236,45.6949281034,44.773978521,45.5078602194,1468400,0.0,1.0
70,CB,2011-02-15 00:00:00+00:00,62.38,62.85,62.02,62.25,1374400,44.8819023002,45.220063475,44.6228852302,44.7883683583,1374400,0.0,1.0
71,CB,2011-02-16 00:00:00+00:00,62.88,63.09,62.16,62.46,1923200,45.2416482308,45.3927415217,44.7236140908,44.9394616491,1923200,0.0,1.0
72,CB,2011-02-17 00:00:00+00:00,63.34,63.65,62.76,62.76,1726800,45.572614487,45.7956569639,45.1553092075,45.1553092075,1726800,0.0,1.0
73,CB,2011-02-18 00:00:00+00:00,65.74,65.78,63.3,63.57,2936900,47.2993949538,47.3281746282,45.5438348125,45.738097615,2936900,0.0,1.0
74,CB,2011-02-22 00:00:00+00:00,64.84,65.69,64.6,64.6,2410300,46.6518522787,47.2634203607,46.479174232,46.479174232,2410300,0.0,1.0
75,CB,2011-02-23 00:00:00+00:00,64.29,64.97,64.14,64.8,2390100,46.2561317551,46.7453862207,46.1482079759,46.6230726043,2390100,0.0,1.0
76,CB,2011-02-24 00:00:00+00:00,62.64,64.25,61.73,63.96,2384300,45.0689701841,46.2273520806,44.4142325905,46.0186994409,2384300,0.0,1.0
77,CB,2011-02-25 00:00:00+00:00,63.28,63.46,62.45,62.69,1295200,45.5294449753,45.6589535103,44.9322667305,45.1049447772,1295200,0.0,1.0
78,CB,2011-02-28 00:00:00+00:00,63.25,63.53,62.89,63.0,2369400,45.5078602194,45.7093179406,45.2488431494,45.3279872542,2369400,0.0,1.0
79,CB,2011-03-01 00:00:00+00:00,62.58,63.33,62.57,63.25,1922200,45.0258006725,45.5654195683,45.0186057538,45.5078602194,1922200,0.0,1.0
80,CB,2011-03-02 00:00:00+00:00,61.53,62.41,61.36,62.41,1916500,44.2703342182,44.9034870561,44.1480206018,44.9034870561,1916500,0.0,1.0
81,CB,2011-03-03 00:00:00+00:00,62.74,63.28,62.07,62.07,2119200,45.1409193702,45.5294449753,44.6588598233,44.6588598233,2119200,0.0,1.0
82,CB,2011-03-04 00:00:00+00:00,62.69,62.71,61.94,62.62,2101000,45.1049447772,45.1193346144,44.5653258813,45.0545803469,2101000,0.0,1.0
83,CB,2011-03-07 00:00:00+00:00,62.11,62.64,61.88,62.5,1185300,44.6876394977,45.0689701841,44.5221563696,44.9682413236,1185300,0.0,1.0
84,CB,2011-03-08 00:00:00+00:00,62.59,63.03,62.22,62.32,1874200,45.0329955911,45.34957201,44.7667836024,44.8387327886,1874200,0.0,1.0
85,CB,2011-03-09 00:00:00+00:00,62.28,62.5,61.94,62.42,1132000,44.8099531141,44.9682413236,44.5653258813,44.9106819747,1132000,0.0,1.0
86,CB,2011-03-10 00:00:00+00:00,61.05,61.97,61.02,61.63,1927200,43.9249781249,44.5869106371,43.903393369,44.3422834043,1927200,0.0,1.0
87,CB,2011-03-11 00:00:00+00:00,61.39,61.52,59.55,60.6,1855100,44.1696053577,44.2631392996,42.8457403331,43.6012067873,1855100,0.0,1.0
88,CB,2011-03-14 00:00:00+00:00,61.09,61.64,60.76,60.76,1992000,43.9537577993,44.349478323,43.7163254851,43.7163254851,1992000,0.0,1.0
89,CB,2011-03-15 00:00:00+00:00,60.15,60.46,59.58,59.96,2417500,43.2774354498,43.5004779268,42.8673250889,43.1407319962,2417500,0.0,1.0
90,CB,2011-03-16 00:00:00+00:00,60.29,60.97,59.94,59.99,4367200,43.6587661362,44.151185459,43.4053150142,43.4415223173,4367200,0.39,1.0
91,CB,2011-03-17 00:00:00+00:00,60.81,61.22,60.42,60.82,4677200,44.035322089,44.3322219748,43.7529051244,44.0425635496,4677200,0.0,1.0
92,CB,2011-03-18 00:00:00+00:00,60.83,61.91,60.72,61.22,4164000,44.0498050102,44.8318827582,43.9701489433,44.3322219748,4164000,0.0,1.0
93,CB,2011-03-21 00:00:00+00:00,62.09,62.13,61.15,61.39,1778000,44.9622290496,44.9911948921,44.2815317504,44.4553268055,1778000,0.0,1.0
94,CB,2011-03-22 00:00:00+00:00,61.75,62.5,61.74,62.02,1586100,44.7160193882,45.2591289354,44.7087779275,44.9115388252,1586100,0.0,1.0
95,CB,2011-03-23 00:00:00+00:00,61.75,62.01,61.29,61.56,1826000,44.7160193882,44.9042973645,44.3829121992,44.5784316362,1826000,0.0,1.0
96,CB,2011-03-24 00:00:00+00:00,62.14,62.18,61.47,61.95,2684700,44.9984363527,45.0274021952,44.5132584905,44.8608486007,2684700,0.0,1.0
