,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CCL,2010-11-04 00:00:00+00:00,44.56,44.75,43.77,43.84,5141600,33.4955907095,33.6384130218,32.901750569,32.9543693156,5141600,0.0,1.0
1,CCL,2010-11-05 00:00:00+00:00,44.7,44.9,44.38,44.67,3359200,33.6008282028,33.7511674788,33.360285361,33.5782773114,3359200,0.0,1.0
2,CCL,2010-11-08 00:00:00+00:00,43.95,44.51,43.66,44.36,3726200,33.0370559175,33.4580058905,32.8190639672,33.3452514334,3726200,0.0,1.0
3,CCL,2010-11-09 00:00:00+00:00,43.37,44.15,43.11,43.95,4080200,32.6010720169,33.1873951936,32.405630958,33.0370559175,4080200,0.0,1.0
4,CCL,2010-11-10 00:00:00+00:00,43.5,43.51,42.78,43.34,2795500,32.6987925463,32.7063095101,32.1575711524,32.5785211255,2795500,0.0,1.0
5,CCL,2010-11-11 00:00:00+00:00,42.82,43.27,42.63,42.88,4145700,32.1876390077,32.5259023788,32.0448166954,32.2327407905,4145700,0.0,1.0
6,CCL,2010-11-12 00:00:00+00:00,42.54,43.19,42.16,42.73,4397300,31.9771640212,32.4657666684,31.6915193966,32.1199863334,4397300,0.0,1.0
7,CCL,2010-11-15 00:00:00+00:00,42.12,42.62,42.07,42.57,2449400,31.6614515414,32.0372997316,31.6238667224,31.9997149126,2449400,0.0,1.0
8,CCL,2010-11-16 00:00:00+00:00,41.32,42.215,41.14,41.59,3741600,31.0600944371,31.7328626975,30.9247890886,31.2630524598,3741600,0.0,1.0
9,CCL,2010-11-17 00:00:00+00:00,41.61,41.82,40.97,41.12,3424800,31.3532560254,31.5114916362,30.871014164,30.9840396002,3424800,0.1,1.0
10,CCL,2010-11-18 00:00:00+00:00,42.09,42.32,41.885,42.08,3217500,31.7149374216,31.8882430905,31.5604693253,31.7074023925,3217500,0.0,1.0
11,CCL,2010-11-19 00:00:00+00:00,41.92,42.02,41.52,41.92,3032000,31.5868419271,31.662192218,31.2854407637,31.5868419271,3032000,0.0,1.0
12,CCL,2010-11-22 00:00:00+00:00,42.1,42.16,41.5,41.79,2531700,31.7224724506,31.7676826252,31.2703707055,31.488886549,2531700,0.0,1.0
13,CCL,2010-11-23 00:00:00+00:00,40.94,41.39,40.79,41.39,4817400,30.8484090767,31.1874853856,30.7353836404,31.1874853856,4817400,0.0,1.0
14,CCL,2010-11-24 00:00:00+00:00,42.49,42.51,41.22,41.29,3869900,32.016338585,32.0314086432,31.0593898911,31.1121350947,3869900,0.0,1.0
15,CCL,2010-11-26 00:00:00+00:00,41.76,42.01,41.4,41.45,1616300,31.4662814617,31.6546571889,31.1950204146,31.2326955601,1616300,0.0,1.0
16,CCL,2010-11-29 00:00:00+00:00,41.14,41.39,40.64,41.19,3725700,30.9991096584,31.1874853856,30.6223582041,31.0367848038,3725700,0.0,1.0
17,CCL,2010-11-30 00:00:00+00:00,41.31,41.72,40.56,40.74,5985800,31.1272051529,31.4361413454,30.5620779715,30.697708495,5985800,0.0,1.0
18,CCL,2010-12-01 00:00:00+00:00,42.57,42.66,41.62,42.05,3970100,32.0766188177,32.1444340794,31.3607910545,31.6847973052,3970100,0.0,1.0
19,CCL,2010-12-02 00:00:00+00:00,43.22,43.46,42.43,42.48,2989400,32.5663957082,32.7472364063,31.9711284105,32.0088035559,2989400,0.0,1.0
20,CCL,2010-12-03 00:00:00+00:00,43.29,43.42,42.76,43.26,2474600,32.6191409118,32.71709629,32.2197843703,32.5965358246,2474600,0.0,1.0
21,CCL,2010-12-06 00:00:00+00:00,42.99,43.24,42.77,42.9,2723500,32.3930900393,32.5814657664,32.2273193994,32.3252747775,2723500,0.0,1.0
22,CCL,2010-12-07 00:00:00+00:00,43.0,43.59,42.94,43.48,3102800,32.4006250684,32.8451917844,32.3554148938,32.7623064645,3102800,0.0,1.0
23,CCL,2010-12-08 00:00:00+00:00,43.55,43.59,43.0,43.31,2579200,32.8150516681,32.8451917844,32.4006250684,32.63421097,2579200,0.0,1.0
24,CCL,2010-12-09 00:00:00+00:00,43.74,43.96,43.5,43.71,2203300,32.9582172207,33.1239878606,32.7773765226,32.9356121334,2203300,0.0,1.0
25,CCL,2010-12-10 00:00:00+00:00,43.97,44.44,43.592,43.92,3283800,33.1315228897,33.4856692567,32.8466987902,33.0938477442,3283800,0.0,1.0
26,CCL,2010-12-13 00:00:00+00:00,43.38,44.47,43.38,44.47,3575300,32.6869561736,33.5082743439,32.6869561736,33.5082743439,3575300,0.0,1.0
27,CCL,2010-12-14 00:00:00+00:00,42.8,43.38,42.69,43.28,3021400,32.2499244866,32.6869561736,32.1670391667,32.6116058828,3021400,0.0,1.0
28,CCL,2010-12-15 00:00:00+00:00,42.15,42.82,42.09,42.71,4260900,31.7601475961,32.2649945448,31.7149374216,32.1821092249,4260900,0.0,1.0
29,CCL,2010-12-16 00:00:00+00:00,42.54,42.72,42.15,42.58,4014400,32.0540137304,32.189644254,31.7601475961,32.0841538468,4014400,0.0,1.0
30,CCL,2010-12-17 00:00:00+00:00,42.51,42.73,42.299,42.33,5274000,32.0314086432,32.197179283,31.8724195294,31.8957781196,5274000,0.0,1.0
31,CCL,2010-12-20 00:00:00+00:00,43.25,43.38,42.58,43.07,4836000,32.5890007955,32.6869561736,32.0841538468,32.453370272,4836000,0.0,1.0
32,CCL,2010-12-21 00:00:00+00:00,45.18,45.26,43.8,44.39,7597800,34.043261409,34.1035416417,33.0034273952,33.4479941113,7597800,0.0,1.0
33,CCL,2010-12-22 00:00:00+00:00,46.59,47.22,45.8,45.8,4983800,35.1057005101,35.5804073425,34.5104332123,34.5104332123,4983800,0.0,1.0
34,CCL,2010-12-23 00:00:00+00:00,46.3,46.75,46.02,46.61,2634500,34.8871846666,35.2262609755,34.6762038522,35.1207705683,2634500,0.0,1.0
35,CCL,2010-12-27 00:00:00+00:00,45.96,46.2,45.69,46.04,1819000,34.6309936777,34.8118343758,34.4275478924,34.6912739104,1819000,0.0,1.0
36,CCL,2010-12-28 00:00:00+00:00,45.98,46.25,45.7754,46.08,1486500,34.6460637359,34.8495095212,34.4918970408,34.7214140267,1486500,0.0,1.0
37,CCL,2010-12-29 00:00:00+00:00,46.12,46.39,45.95,46.03,1481600,34.7515541431,34.9549999284,34.6234586486,34.6837388813,1481600,0.0,1.0
38,CCL,2010-12-30 00:00:00+00:00,45.92,46.1,45.8,45.97,1214300,34.6008535614,34.7364840849,34.5104332123,34.6385287068,1214300,0.0,1.0
39,CCL,2010-12-31 00:00:00+00:00,46.11,46.34,45.66,45.9,1952100,34.744019114,34.917324783,34.4049428051,34.5857835032,1952100,0.0,1.0
40,CCL,2011-01-03 00:00:00+00:00,46.81,47.06,46.32,46.44,2633800,35.27147115,35.4598468771,34.9022547248,34.9926750738,2633800,0.0,1.0
41,CCL,2011-01-04 00:00:00+00:00,47.09,47.95,46.82,47.85,4401600,35.4824519644,36.1304644658,35.2790061791,36.0551141749,4401600,0.0,1.0
42,CCL,2011-01-05 00:00:00+00:00,47.55,47.96,47.37,47.48,3530300,35.8290633023,36.1379994948,35.6934327788,35.7763180987,3530300,0.0,1.0
43,CCL,2011-01-06 00:00:00+00:00,47.27,48.14,47.015,48.12,2333700,35.6180824879,36.2736300184,35.4259392462,36.2585599602,2333700,0.0,1.0
44,CCL,2011-01-07 00:00:00+00:00,47.14,47.83,46.52,47.62,3242400,35.5201271098,36.0400441167,35.0529553065,35.8818085059,3242400,0.0,1.0
45,CCL,2011-01-10 00:00:00+00:00,46.37,46.705,46.03,46.53,3036200,34.9399298702,35.1923533446,34.6837388813,35.0604903356,3036200,0.0,1.0
46,CCL,2011-01-11 00:00:00+00:00,46.29,46.89,46.17,46.88,2588500,34.8796496375,35.3317513827,34.7892292885,35.3242163536,2588500,0.0,1.0
47,CCL,2011-01-12 00:00:00+00:00,47.31,47.6,46.81,46.95,2819100,35.6482226043,35.8667384478,35.27147115,35.3769615572,2819100,0.0,1.0
48,CCL,2011-01-13 00:00:00+00:00,47.02,47.6,46.84,47.04,4013600,35.4297067608,35.8667384478,35.2940762372,35.444776819,4013600,0.0,1.0
49,CCL,2011-01-14 00:00:00+00:00,47.85,48.0,46.98,47.26,3010600,36.0551141749,36.1681396112,35.3995666444,35.6105474588,3010600,0.0,1.0
50,CCL,2011-01-18 00:00:00+00:00,47.09,48.13,46.98,47.99,2620200,35.4824519644,36.2660949893,35.3995666444,36.1606045821,2620200,0.0,1.0
51,CCL,2011-01-19 00:00:00+00:00,46.26,47.0,46.13,46.78,2902600,34.8570445503,35.4146367026,34.7590891722,35.2488660627,2902600,0.0,1.0
52,CCL,2011-01-20 00:00:00+00:00,46.03,46.1001,45.45,45.64,3729800,34.6837388813,34.7365594352,34.2467071943,34.389872747,3729800,0.0,1.0
53,CCL,2011-01-21 00:00:00+00:00,46.12,46.41,45.78,45.89,3625000,34.7515541431,34.9700699866,34.4953631542,34.5782484741,3625000,0.0,1.0
54,CCL,2011-01-24 00:00:00+00:00,46.21,46.25,45.6,45.79,3286500,34.8193694049,34.8495095212,34.3597326306,34.5028981833,3286500,0.0,1.0
55,CCL,2011-01-25 00:00:00+00:00,46.22,46.23,45.42,45.45,3557900,34.8269044339,34.834439463,34.2241021071,34.2467071943,3557900,0.0,1.0
56,CCL,2011-01-26 00:00:00+00:00,47.29,47.54,46.38,46.44,3540900,35.6331525461,35.8215282732,34.9474648993,34.9926750738,3540900,0.0,1.0
57,CCL,2011-01-27 00:00:00+00:00,46.26,47.0,45.65,46.48,5992500,34.8570445503,35.4146367026,34.3974077761,35.0228151902,5992500,0.0,1.0
58,CCL,2011-01-28 00:00:00+00:00,44.61,46.67,44.5,45.92,3830500,33.6137647511,35.1659807428,33.5308794312,34.6008535614,3830500,0.0,1.0
59,CCL,2011-01-31 00:00:00+00:00,44.71,45.29,44.63,44.76,4414700,33.689115042,34.126146729,33.6288348093,33.7267901874,4414700,0.0,1.0
60,CCL,2011-02-01 00:00:00+00:00,45.76,45.87,44.677,45.1,3980800,34.480293096,34.5631784159,33.664249446,33.9829811763,3980800,0.0,1.0
61,CCL,2011-02-02 00:00:00+00:00,45.7,45.88,44.99,45.2,2455600,34.4350829215,34.570713445,33.9000958564,34.0583314672,2455600,0.0,1.0
62,CCL,2011-02-03 00:00:00+00:00,45.55,45.84,45.24,45.62,2846600,34.3220574852,34.5405733287,34.0884715835,34.3748026888,2846600,0.0,1.0
63,CCL,2011-02-04 00:00:00+00:00,45.79,45.95,45.19,45.54,2755800,34.5028981833,34.6234586486,34.0507964381,34.3145224561,2755800,0.0,1.0
64,CCL,2011-02-07 00:00:00+00:00,46.41,46.83,45.68,45.76,2777300,34.9700699866,35.2865412082,34.4200128633,34.480293096,2777300,0.0,1.0
65,CCL,2011-02-08 00:00:00+00:00,46.83,46.97,46.4,46.65,2209900,35.2865412082,35.3920316154,34.9625349575,35.1509106846,2209900,0.0,1.0
66,CCL,2011-02-09 00:00:00+00:00,46.95,47.22,46.7,47.06,2924700,35.3769615572,35.5804073425,35.18858583,35.4598468771,2924700,0.0,1.0
67,CCL,2011-02-10 00:00:00+00:00,47.09,47.11,46.28,46.44,2374900,35.4824519644,35.4975220226,34.8721146085,34.9926750738,2374900,0.0,1.0
68,CCL,2011-02-11 00:00:00+00:00,47.63,47.71,46.62,46.73,2183100,35.889343535,35.9496237677,35.1283055974,35.2111909173,2183100,0.0,1.0
69,CCL,2011-02-14 00:00:00+00:00,46.85,47.48,46.49,47.46,2336500,35.3016112663,35.7763180987,35.0303502193,35.7612480406,2336500,0.0,1.0
70,CCL,2011-02-15 00:00:00+00:00,46.85,46.96,46.24,46.64,2439200,35.3016112663,35.3844965863,34.8419744921,35.1433756555,2439200,0.0,1.0
71,CCL,2011-02-16 00:00:00+00:00,46.95,47.33,46.74,46.97,2941400,35.5653372843,35.8531930494,35.4062590984,35.5804875878,2941400,0.25,1.0
72,CCL,2011-02-17 00:00:00+00:00,45.96,46.62,45.795,46.59,3009600,34.8153972649,35.3153572779,34.6904072617,35.2926318227,3009600,0.0,1.0
73,CCL,2011-02-18 00:00:00+00:00,45.7,46.18,45.44,46.15,2876500,34.6184433204,34.9820506026,34.4214893759,34.9593251474,2876500,0.0,1.0
74,CCL,2011-02-22 00:00:00+00:00,42.09,44.11,41.9,43.13,10212300,31.8838135527,33.4139941983,31.7398856701,32.6716293306,10212300,0.0,1.0
75,CCL,2011-02-23 00:00:00+00:00,42.04,42.2,40.52,41.8,6938100,31.8459377941,31.9671402215,30.694514734,31.664134153,6938100,0.0,1.0
76,CCL,2011-02-24 00:00:00+00:00,41.91,42.08,41.46,41.99,6012500,31.7474608219,31.876238401,31.4065789949,31.8080620356,6012500,0.0,1.0
77,CCL,2011-02-25 00:00:00+00:00,42.78,43.11,42.2,42.66,4321100,32.4064990207,32.6564790272,31.9671402215,32.3155972002,4321100,0.0,1.0
78,CCL,2011-02-28 00:00:00+00:00,42.67,43.37,42.61,43.28,4088100,32.3231723519,32.8534329717,32.2777214416,32.7852566063,4088100,0.0,1.0
79,CCL,2011-03-01 00:00:00+00:00,40.08,42.58,39.87,42.49,11999900,30.3612080587,32.2549959865,30.2021298728,32.1868196211,11999900,0.0,1.0
80,CCL,2011-03-02 00:00:00+00:00,40.6,40.915,40.04,40.33,7919900,30.7551159477,30.9937332266,30.3309074519,30.5505868515,7919900,0.0,1.0
81,CCL,2011-03-03 00:00:00+00:00,41.09,41.63,41.04,41.59,6223500,31.1262983815,31.5353565739,31.088422623,31.5050559671,6223500,0.0,1.0
82,CCL,2011-03-04 00:00:00+00:00,40.36,41.08,39.74,40.98,5343400,30.5733123066,31.1187232298,30.1036529005,31.0429717127,5343400,0.0,1.0
83,CCL,2011-03-07 00:00:00+00:00,39.93,40.75,39.47,40.64,5864600,30.247580783,30.8687432234,29.8991238043,30.7854165545,5864600,0.0,1.0
84,CCL,2011-03-08 00:00:00+00:00,40.88,41.17,39.84,40.05,11114200,30.9672201956,31.1868995952,30.1794044176,30.3384826036,11114200,0.0,1.0
85,CCL,2011-03-09 00:00:00+00:00,41.24,41.5,40.65,41.14,5069200,31.2399256572,31.4368796017,30.7929917062,31.1641741401,5069200,0.0,1.0
86,CCL,2011-03-10 00:00:00+00:00,40.45,41.76,40.44,40.61,6550500,30.641488672,31.6338335462,30.6339135203,30.7626910994,6550500,0.0,1.0
87,CCL,2011-03-11 00:00:00+00:00,39.94,40.63,39.12,39.3,10365400,30.2551559347,30.7778414028,29.6339934944,29.7703462252,10365400,0.0,1.0
88,CCL,2011-03-14 00:00:00+00:00,39.86,40.08,39.41,39.43,4495200,30.1945547211,30.3612080587,29.853672894,29.8688231975,4495200,0.0,1.0
89,CCL,2011-03-15 00:00:00+00:00,39.11,39.365,38.08,38.19,7192500,29.6264183427,29.8195847113,28.8461777165,28.9295043853,7192500,0.0,1.0
90,CCL,2011-03-16 00:00:00+00:00,38.82,39.34,38.51,38.77,9440100,29.4067389431,29.8006468321,29.17190924,29.3688631845,9440100,0.0,1.0
91,CCL,2011-03-17 00:00:00+00:00,39.11,40.04,39.05,39.57,5551900,29.6264183427,30.3309074519,29.5809674324,29.9748753214,5551900,0.0,1.0
92,CCL,2011-03-18 00:00:00+00:00,39.63,40.16,39.41,39.98,5554500,30.0203262317,30.4218092724,29.853672894,30.2854565416,5554500,0.0,1.0
93,CCL,2011-03-21 00:00:00+00:00,41.0075,41.11,40.15,40.25,6872900,31.0638033799,31.141448685,30.4142341207,30.4899856378,6872900,0.0,1.0
94,CCL,2011-03-22 00:00:00+00:00,39.16,41.28,38.77,40.7,11455200,29.6642941013,31.2702262641,29.3688631845,30.8308674648,11455200,0.0,1.0
95,CCL,2011-03-23 00:00:00+00:00,38.95,39.32,38.61,39.01,7617000,29.5052159153,29.7854965286,29.2476607571,29.5506668256,7617000,0.0,1.0
96,CCL,2011-03-24 00:00:00+00:00,39.03,39.38,38.66,39.07,6065900,29.565817129,29.8309474389,29.2855365157,29.5961177359,6065900,0.0,1.0
97,CCL,2011-03-25 00:00:00+00:00,38.78,39.11,38.66,39.07,4875400,29.3764383362,29.6264183427,29.2855365157,29.5961177359,4875400,0.0,1.0
98,CCL,2011-03-28 00:00:00+00:00,38.31,39.205,38.115,39.08,4458000,29.0204062058,29.698382284,28.8726907474,29.6036928876,4458000,0.0,1.0
99,CCL,2011-03-29 00:00:00+00:00,38.04,38.565,37.86,38.41,5341700,28.8158771096,29.2135725744,28.6795243788,29.0961577229,5341700,0.0,1.0
100,CCL,2011-03-30 00:00:00+00:00,38.8075,38.92,38.02,38.37,5598100,29.3972700034,29.4824904602,28.8007268062,29.0658571161,5598100,0.0,1.0
101,CCL,2011-03-31 00:00:00+00:00,38.36,38.675,38.31,38.52,5527700,29.0582819644,29.2968992433,29.0204062058,29.1794843917,5527700,0.0,1.0
102,CCL,2011-04-01 00:00:00+00:00,38.25,38.96,38.04,38.91,5582400,28.9749552955,29.512791067,28.8158771096,29.4749153085,5582400,0.0,1.0
103,CCL,2011-04-04 00:00:00+00:00,38.38,39.16,38.185,39.16,5295300,29.0734322678,29.6642941013,28.9257168094,29.6642941013,5295300,0.0,1.0
104,CCL,2011-04-05 00:00:00+00:00,38.48,38.62,38.11,38.39,3723700,29.1491837849,29.2552359089,28.8689031716,29.0810074195,3723700,0.0,1.0
105,CCL,2011-04-06 00:00:00+00:00,38.83,39.06,38.41,38.73,4262600,29.4143140948,29.5885425842,29.0961577229,29.3385625777,4262600,0.0,1.0
106,CCL,2011-04-07 00:00:00+00:00,38.13,38.67,38.06,38.5,4760200,28.884053475,29.2931116674,28.831027413,29.1643340883,4760200,0.0,1.0
107,CCL,2011-04-08 00:00:00+00:00,37.4,38.21,37.09,38.03,6169800,28.3310674001,28.9446546887,28.096237697,28.8083019579,6169800,0.0,1.0
108,CCL,2011-04-11 00:00:00+00:00,37.85,37.89,37.4,37.48,4342800,28.6719492271,28.7022498339,28.3310674001,28.3916686138,4342800,0.0,1.0
109,CCL,2011-04-12 00:00:00+00:00,38.43,39.19,38.04,38.12,7954200,29.1113080263,29.6870195564,28.8158771096,28.8764783233,7954200,0.0,1.0
110,CCL,2011-04-13 00:00:00+00:00,37.63,38.81,37.6,38.73,5043500,28.5052958894,29.3991637914,28.4825704343,29.3385625777,5043500,0.0,1.0
111,CCL,2011-04-14 00:00:00+00:00,37.47,37.805,37.215,37.76,4666600,28.3840934621,28.6378610444,28.1909270934,28.6037728617,4666600,0.0,1.0
112,CCL,2011-04-15 00:00:00+00:00,37.98,38.05,37.51,37.81,3667600,28.7704261993,28.8234522613,28.4143940689,28.6416486202,3667600,0.0,1.0
113,CCL,2011-04-18 00:00:00+00:00,37.55,37.78,37.16,37.24,4117200,28.4446946758,28.6189231651,28.149263759,28.2098649727,4117200,0.0,1.0
114,CCL,2011-04-19 00:00:00+00:00,38.01,38.08,37.59,37.78,4725900,28.7931516545,28.8461777165,28.4749952826,28.6189231651,4725900,0.0,1.0
115,CCL,2011-04-20 00:00:00+00:00,37.55,38.7,37.51,38.67,5620800,28.4446946758,29.3158371225,28.4143940689,29.2931116674,5620800,0.0,1.0
116,CCL,2011-04-21 00:00:00+00:00,37.61,37.83,37.43,37.73,3853300,28.490145586,28.6567989237,28.3537928552,28.5810474066,3853300,0.0,1.0
117,CCL,2011-04-25 00:00:00+00:00,37.02,37.5,37.0,37.49,2477300,28.0432116351,28.4068189172,28.0280613316,28.3992437655,2477300,0.0,1.0
118,CCL,2011-04-26 00:00:00+00:00,37.07,37.47,36.9,37.3,5400000,28.0810873936,28.3840934621,27.9523098145,28.255315883,5400000,0.0,1.0
119,CCL,2011-04-27 00:00:00+00:00,38.21,38.52,37.82,37.97,6548600,28.9446546887,29.1794843917,28.649223772,28.7628510476,6548600,0.0,1.0
120,CCL,2011-04-28 00:00:00+00:00,38.33,39.4,37.96,39.25,5012900,29.0355565092,29.8460977423,28.7552758959,29.7324704667,5012900,0.0,1.0
121,CCL,2011-04-29 00:00:00+00:00,38.07,38.46,37.9002,38.21,2464800,28.8386025647,29.1340334815,28.7099764887,28.9446546887,2464800,0.0,1.0
122,CCL,2011-05-02 00:00:00+00:00,38.05,38.67,38.03,38.32,3410000,28.8234522613,29.2931116674,28.8083019579,29.0279813575,3410000,0.0,1.0
123,CCL,2011-05-03 00:00:00+00:00,38.81,38.9399,38.32,38.39,3638000,29.3991637914,29.4975650121,29.0279813575,29.0810074195,3638000,0.0,1.0
124,CCL,2011-05-04 00:00:00+00:00,38.9,39.05,38.4,38.81,4203200,29.4673401568,29.5809674324,29.0885825712,29.3991637914,4203200,0.0,1.0
125,CCL,2011-05-05 00:00:00+00:00,40.94,41.37,38.52,38.63,9191200,31.0126711059,31.3384026295,29.1794843917,29.2628110606,9191200,0.0,1.0
126,CCL,2011-05-06 00:00:00+00:00,40.18,41.953,40.17,41.8,7276000,30.4369595758,31.7800339742,30.4293844241,31.664134153,7276000,0.0,1.0
127,CCL,2011-05-09 00:00:00+00:00,39.61,40.18,39.45,39.99,3281000,30.0051759283,30.4369595758,29.8839735009,30.2930316933,3281000,0.0,1.0
128,CCL,2011-05-10 00:00:00+00:00,40.6,40.91,40.11,40.28,3761400,30.7551159477,30.9899456507,30.3839335138,30.5127110929,3761400,0.0,1.0
129,CCL,2011-05-11 00:00:00+00:00,40.34,40.87,40.18,40.75,2921200,30.5581620032,30.9596450439,30.4369595758,30.8687432234,2921200,0.0,1.0
130,CCL,2011-05-12 00:00:00+00:00,41.34,41.83,40.36,40.72,4883900,31.3156771743,31.6868596082,30.5733123066,30.8460177682,4883900,0.0,1.0
131,CCL,2011-05-13 00:00:00+00:00,41.02,41.47,40.875,41.15,3758900,31.0732723196,31.4141541466,30.9634326197,31.1717492918,3758900,0.0,1.0
132,CCL,2011-05-16 00:00:00+00:00,39.82,40.99,39.75,40.66,4786000,30.1642541142,31.0505468644,30.1112280522,30.800566858,4786000,0.0,1.0
133,CCL,2011-05-17 00:00:00+00:00,40.37,40.38,39.68,39.96,4098900,30.5808874583,30.58846261,30.0582019903,30.2703062382,4098900,0.0,1.0
134,CCL,2011-05-18 00:00:00+00:00,40.22,40.24,39.5,39.9,2479900,30.6566389754,30.6718834503,30.1078378799,30.4127273774,2479900,0.25,1.0
135,CCL,2011-05-19 00:00:00+00:00,40.14,40.41,39.95,40.34,3154600,30.5956610759,30.8014614868,30.4508385646,30.7481058247,3154600,0.0,1.0
136,CCL,2011-05-20 00:00:00+00:00,39.56,40.111,39.53,40.0,3193600,30.1535713045,30.5735565874,30.1307045922,30.4889497518,3193600,0.0,1.0
137,CCL,2011-05-23 00:00:00+00:00,38.79,39.0,38.47,38.66,2880100,29.5666590218,29.726726008,29.3227474238,29.4675699351,2880100,0.0,1.0
138,CCL,2011-05-24 00:00:00+00:00,38.05,38.8,38.03,38.49,4208500,29.0026134514,29.5742812593,28.9873689765,29.3379918987,4208500,0.0,1.0
139,CCL,2011-05-25 00:00:00+00:00,38.2,38.49,37.95,38.17,2903900,29.116947013,29.3379918987,28.926391077,29.0940803007,2903900,0.0,1.0
140,CCL,2011-05-26 00:00:00+00:00,38.08,38.39,37.6,38.15,3432100,29.0254801637,29.2617695243,28.6596127667,29.0788358258,3432100,0.0,1.0
141,CCL,2011-05-27 00:00:00+00:00,38.4,38.81,38.12,38.36,2189800,29.2693917617,29.5819034967,29.0559691135,29.238902812,2189800,0.0,1.0
142,CCL,2011-05-31 00:00:00+00:00,38.81,39.05,38.47,39.05,3145200,29.5819034967,29.7648371952,29.3227474238,29.7648371952,3145200,0.0,1.0
143,CCL,2011-06-01 00:00:00+00:00,37.17,38.5,37.15,38.5,3538800,28.3318565569,29.3456141361,28.316612082,29.3456141361,3538800,0.0,1.0
144,CCL,2011-06-02 00:00:00+00:00,37.57,37.78,37.2423,37.46,3279700,28.6367460544,28.7968130406,28.3869653335,28.5529014426,3279700,0.0,1.0
145,CCL,2011-06-03 00:00:00+00:00,36.65,37.48,36.49,36.86,4271600,27.9355002101,28.5681459174,27.8135444111,28.0955671963,4271600,0.0,1.0
