,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CERN,2010-11-04 00:00:00+00:00,87.4,88.72,87.12,88.46,742500,21.5098153074,21.8346775066,21.440905144,21.7706894976,2970000,0.0,1.0
1,CERN,2010-11-05 00:00:00+00:00,87.82,88.37,87.48,87.64,656300,21.6131805526,21.7485398022,21.5295039255,21.5688811618,2625200,0.0,1.0
2,CERN,2010-11-08 00:00:00+00:00,88.09,88.41,86.83,87.2,707900,21.6796296388,21.7583841113,21.3695339032,21.4605937621,2831600,0.0,1.0
3,CERN,2010-11-09 00:00:00+00:00,87.82,88.3,87.32,87.9,736300,21.6131805526,21.7313122614,21.4901266893,21.6328691707,2945200,0.0,1.0
4,CERN,2010-11-10 00:00:00+00:00,88.1,88.1,86.79,87.65,509700,21.6820907161,21.6820907161,21.3596895942,21.5713422391,2038800,0.0,1.0
5,CERN,2010-11-11 00:00:00+00:00,88.09,88.12,86.44,87.27,614800,21.6796296388,21.6870128706,21.2735518899,21.477821303,2459200,0.0,1.0
6,CERN,2010-11-12 00:00:00+00:00,86.72,88.12,86.09,87.52,398600,21.3424620533,21.6870128706,21.1874141855,21.5393482346,1594400,0.0,1.0
7,CERN,2010-11-15 00:00:00+00:00,86.16,87.3,85.96,86.89,405700,21.2046417264,21.4852045348,21.1554201811,21.3843003668,1622800,0.0,1.0
8,CERN,2010-11-16 00:00:00+00:00,85.21,85.9,84.45,85.75,620600,20.9708393861,21.1406537175,20.7837975139,21.1037375585,2482400,0.0,1.0
9,CERN,2010-11-17 00:00:00+00:00,85.31,85.466,84.57,84.89,440000,20.9954501588,21.0338429641,20.8133304411,20.8920849136,1760000,0.0,1.0
10,CERN,2010-11-18 00:00:00+00:00,86.38,87.68,85.4,85.8,502500,21.2587854263,21.5787254709,21.0175998542,21.1160429448,2010000,0.0,1.0
11,CERN,2010-11-19 00:00:00+00:00,86.87,87.15,85.94,86.34,500200,21.3793782123,21.4482883758,21.1504980265,21.2489411172,2000800,0.0,1.0
12,CERN,2010-11-22 00:00:00+00:00,87.35,87.98,85.92,86.39,370900,21.4975099211,21.6525577889,21.145575872,21.2612465035,1483600,0.0,1.0
13,CERN,2010-11-23 00:00:00+00:00,86.05,86.67,85.26,86.67,432200,21.1775698765,21.330156667,20.9831447724,21.330156667,1728800,0.0,1.0
14,CERN,2010-11-24 00:00:00+00:00,88.78,89.55,86.525,86.72,647800,21.8494439702,22.0389469197,21.2944710466,21.3424620533,2591200,0.0,1.0
15,CERN,2010-11-26 00:00:00+00:00,88.03,88.4,87.47,87.93,178600,21.6648631752,21.755923034,21.5270428483,21.6402524025,714400,0.0,1.0
16,CERN,2010-11-29 00:00:00+00:00,88.24,88.74,87.17,87.42,501000,21.7165457978,21.8395996611,21.4532105303,21.5147374619,2004000,0.0,1.0
17,CERN,2010-11-30 00:00:00+00:00,87.86,88.22,86.95,87.3,461000,21.6230248617,21.7116236433,21.3990668304,21.4852045348,1844000,0.0,1.0
18,CERN,2010-12-01 00:00:00+00:00,91.58,93.41,88.81,88.81,1697600,22.5385456047,22.9889227445,21.856827202,21.856827202,6790400,0.0,1.0
19,CERN,2010-12-02 00:00:00+00:00,92.03,92.03,91.041,91.23,515400,22.6492940817,22.6492940817,22.4058935401,22.4524079004,2061600,0.0,1.0
20,CERN,2010-12-03 00:00:00+00:00,91.22,92.21,90.89,92.05,512900,22.4499468231,22.6935934725,22.3687312734,22.6542162362,2051600,0.0,1.0
21,CERN,2010-12-06 00:00:00+00:00,91.91,92.05,90.68,90.87,576900,22.6197611545,22.6542162362,22.3170486508,22.3638091188,2307600,0.0,1.0
22,CERN,2010-12-07 00:00:00+00:00,91.79,93.01,91.6301,92.77,495200,22.5902282273,22.8904796538,22.5508756018,22.8314137994,1980800,0.0,1.0
23,CERN,2010-12-08 00:00:00+00:00,92.44,92.8883,91.83,91.85,453200,22.7501982496,22.8605283435,22.6000725364,22.6049946909,1812800,0.0,1.0
24,CERN,2010-12-09 00:00:00+00:00,92.34,92.94,92.02,92.43,326900,22.725587477,22.8732521129,22.6468330044,22.7477371724,1307600,0.0,1.0
25,CERN,2010-12-10 00:00:00+00:00,91.82,92.72,91.09,92.42,742800,22.5976114591,22.8191084131,22.4179528187,22.7452760951,2971200,0.0,1.0
26,CERN,2010-12-13 00:00:00+00:00,92.22,92.79,91.261,91.94,470500,22.6960545498,22.8363359539,22.4600372399,22.6271443863,1882000,0.0,1.0
27,CERN,2010-12-14 00:00:00+00:00,92.91,93.57,92.35,92.46,590300,22.8658688811,23.0282999807,22.7280485542,22.7551204042,2361200,0.0,1.0
28,CERN,2010-12-15 00:00:00+00:00,92.49,93.7,92.23,92.89,556200,22.762503636,23.0602939852,22.698515627,22.8609467266,2224800,0.0,1.0
29,CERN,2010-12-16 00:00:00+00:00,94.11,94.5,92.4301,92.6,729100,23.1611981531,23.2571801665,22.7477617831,22.7895754859,2916400,0.0,1.0
30,CERN,2010-12-17 00:00:00+00:00,97.01,97.76,93.87,94.08,1641500,23.8749105603,24.0594913553,23.1021322987,23.1538149213,6566000,0.0,1.0
31,CERN,2010-12-20 00:00:00+00:00,96.06,97.49,95.35,97.2,554800,23.64110822,23.9930422691,23.4663717341,23.9216710284,2219200,0.0,1.0
32,CERN,2010-12-21 00:00:00+00:00,96.0,96.59,95.7019,96.59,293800,23.6263417564,23.7715453151,23.5529770431,23.7715453151,1175200,0.0,1.0
33,CERN,2010-12-22 00:00:00+00:00,95.62,96.31,95.09,96.18,410300,23.5328208203,23.7026351517,23.4023837252,23.6706411472,1641200,0.0,1.0
34,CERN,2010-12-23 00:00:00+00:00,95.15,95.7522,94.93,95.39,253300,23.4171501888,23.5653562618,23.3630064889,23.4762160432,1013200,0.0,1.0
35,CERN,2010-12-27 00:00:00+00:00,95.84,96.2,94.06,95.14,225600,23.5869645202,23.6755633018,23.1488927668,23.4146891115,902400,0.0,1.0
36,CERN,2010-12-28 00:00:00+00:00,96.01,96.34,95.06,95.75,336800,23.6288028337,23.7100183835,23.3950004934,23.5648148248,1347200,0.0,1.0
37,CERN,2010-12-29 00:00:00+00:00,96.16,96.39,95.89,96.07,163100,23.6657189927,23.7223237698,23.5992699065,23.6435692973,652400,0.0,1.0
38,CERN,2010-12-30 00:00:00+00:00,95.64,96.26,95.35,95.9,227600,23.5377429748,23.6903297654,23.4663717341,23.6017309838,910400,0.0,1.0
39,CERN,2010-12-31 00:00:00+00:00,94.74,95.76,94.57,95.6,277100,23.3162460209,23.567275902,23.2744077073,23.5278986658,1108400,0.0,1.0
40,CERN,2011-01-03 00:00:00+00:00,95.9,97.59,95.27,95.27,580200,23.6017309838,24.0176530418,23.446683116,23.446683116,2320800,0.0,1.0
