,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,COG,2010-11-04 00:00:00+00:00,31.86,31.9999,31.45,31.52,1428500,7.4585033109,7.4912542403,7.362521316,7.3789084858,5714000,0.0,1.0
1,COG,2010-11-05 00:00:00+00:00,32.21,32.26,31.72,32.03,979900,7.5404391602,7.5521442815,7.4257289711,7.4983007234,3919600,0.0,1.0
2,COG,2010-11-08 00:00:00+00:00,32.54,32.78,31.94,31.99,968900,7.6247160337,7.680952415,7.4841250804,7.4958409932,3875600,0.03,1.0
3,COG,2010-11-09 00:00:00+00:00,33.84,36.3,33.54,34.36,4966400,7.9293297659,8.5057526744,7.8590342892,8.0511752587,19865600,0.0,1.0
4,COG,2010-11-10 00:00:00+00:00,34.72,34.74,33.17,33.77,1999800,8.1355298307,8.1402161958,7.7723365347,7.912927488,7999200,0.0,1.0
5,COG,2010-11-11 00:00:00+00:00,35.26,35.28,34.22,34.32,1306200,8.2620616887,8.2667480538,8.018370703,8.0418025285,5224800,0.0,1.0
6,COG,2010-11-12 00:00:00+00:00,34.37,34.9,33.86,34.85,1238700,8.0535184413,8.1777071167,7.934016131,8.1659912039,4954800,0.0,1.0
7,COG,2010-11-15 00:00:00+00:00,34.26,34.73,34.18,34.6,1235100,8.0277434332,8.1378730133,8.0089979727,8.10741164,4940400,0.0,1.0
8,COG,2010-11-16 00:00:00+00:00,33.48,34.1,33.13,33.87,1557700,7.8449751939,7.9902525123,7.7629638045,7.9363593135,6230800,0.0,1.0
9,COG,2010-11-17 00:00:00+00:00,33.36,33.65,33.28,33.43,958000,7.8168570032,7.8848092973,7.7981115428,7.8332592811,3832000,0.0,1.0
10,COG,2010-11-18 00:00:00+00:00,34.42,34.6,33.75,33.78,1530600,8.0652343541,8.10741164,7.9082411229,7.9152706705,6122400,0.0,1.0
11,COG,2010-11-19 00:00:00+00:00,35.83,35.87,34.32,34.6,2496200,8.3956230943,8.4049958245,8.0418025285,8.10741164,9984800,0.0,1.0
12,COG,2010-11-22 00:00:00+00:00,35.89,35.93,34.62,35.47,1317400,8.4096821896,8.4190549198,8.1120980051,8.3112685223,5269600,0.0,1.0
13,COG,2010-11-23 00:00:00+00:00,34.8,35.37,34.6,35.37,1342400,8.1542752911,8.2878366968,8.10741164,8.2878366968,5369600,0.0,1.0
14,COG,2010-11-24 00:00:00+00:00,35.23,35.43,34.67,35.38,1065700,8.255032141,8.3018957921,8.1238139179,8.2901798793,4262800,0.0,1.0
15,COG,2010-11-26 00:00:00+00:00,35.01,35.32,34.76,34.78,521700,8.2034821248,8.276120784,8.1449025609,8.149588926,2086800,0.0,1.0
16,COG,2010-11-29 00:00:00+00:00,34.88,35.03,34.51,34.67,1743200,8.1730207516,8.2081684899,8.086322997,8.1238139179,6972800,0.0,1.0
17,COG,2010-11-30 00:00:00+00:00,34.97,35.32,34.34,34.47,951900,8.1941093946,8.276120784,8.0464888936,8.0769502668,3807600,0.0,1.0
18,COG,2010-12-01 00:00:00+00:00,36.0,36.04,35.5,35.74,1565000,8.4354571977,8.4448299279,8.31829807,8.3745344513,6260000,0.0,1.0
19,COG,2010-12-02 00:00:00+00:00,36.94,37.115,36.02,36.06,1608000,8.6557163579,8.6967220526,8.4401435628,8.4495162931,6432000,0.0,1.0
20,COG,2010-12-03 00:00:00+00:00,37.69,37.77,36.7,36.7,1220200,8.8314550495,8.85020051,8.5994799766,8.5994799766,4880800,0.0,1.0
21,COG,2010-12-06 00:00:00+00:00,37.37,37.8,37.25,37.65,1647000,8.7564732078,8.8572300576,8.7283550171,8.8220823193,6588000,0.0,1.0
22,COG,2010-12-07 00:00:00+00:00,37.25,38.31,37.11,37.88,1068200,8.7283550171,8.9767323679,8.6955504613,8.8759755181,4272800,0.0,1.0
23,COG,2010-12-08 00:00:00+00:00,36.11,37.38,36.04,37.38,1433800,8.4612322058,8.7588163903,8.4448299279,8.7588163903,5735200,0.0,1.0
24,COG,2010-12-09 00:00:00+00:00,35.9,36.68,34.99,36.44,1891100,8.4120253722,8.5947936115,8.1987957597,8.5385572301,7564400,0.0,1.0
