,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,COL,2010-11-04 00:00:00+00:00,60.6,60.75,60.0,60.47,1573700,52.9030985689,53.0340468326,52.3793055137,52.7896100736,1573700,0.0,1.0
1,COL,2010-11-05 00:00:00+00:00,60.28,60.75,60.24,60.6,1648000,52.6237422728,53.0340468326,52.5888227358,52.9030985689,1648000,0.0,1.0
2,COL,2010-11-08 00:00:00+00:00,60.32,60.53,59.78,59.9,1224400,52.6586618098,52.8419893791,52.1872480602,52.2920066712,1224400,0.0,1.0
3,COL,2010-11-09 00:00:00+00:00,59.76,60.54,59.49,60.37,1043500,52.1697882917,52.8507192633,51.9340814168,52.702311231,1043500,0.0,1.0
4,COL,2010-11-10 00:00:00+00:00,58.06,59.28,57.85,59.28,1721200,50.8952251908,51.9646736017,50.7111398086,51.9646736017,1721200,0.24,1.0
5,COL,2010-11-11 00:00:00+00:00,57.39,58.12,56.94,57.53,1540700,50.3079051619,50.9478210143,49.9134364858,50.4306287501,1540700,0.0,1.0
6,COL,2010-11-12 00:00:00+00:00,55.97,57.11,55.88,57.02,1352900,49.0631373395,50.0624579857,48.9842436043,49.9835642504,1352900,0.0,1.0
7,COL,2010-11-15 00:00:00+00:00,55.69,56.44,55.4002,56.21,1625200,48.8176901632,49.4751379568,48.5636523358,49.2735206334,1625200,0.0,1.0
8,COL,2010-11-16 00:00:00+00:00,55.16,55.75,54.49,55.35,1499800,48.3530937225,48.8702859867,47.7657736936,48.5196471635,1499800,0.0,1.0
9,COL,2010-11-17 00:00:00+00:00,54.97,55.36,54.82,55.2,876700,48.1865402814,48.5284131341,48.0550507227,48.3881576048,876700,0.0,1.0
10,COL,2010-11-18 00:00:00+00:00,55.65,56.05,55.25,55.53,946700,48.7826262809,49.1332651041,48.4319874577,48.6774346339,946700,0.0,1.0
11,COL,2010-11-19 00:00:00+00:00,55.75,56.08,55.25,55.51,1262000,48.8702859867,49.1595630159,48.4319874577,48.6599026928,1262000,0.0,1.0
12,COL,2010-11-22 00:00:00+00:00,54.87,55.772,54.59,55.31,1510300,48.0988805756,48.889571122,47.8534333994,48.4845832812,1510300,0.0,1.0
13,COL,2010-11-23 00:00:00+00:00,55.2,55.28,54.1,54.13,1851500,48.3881576048,48.4582853694,47.4239008409,47.4501987527,1851500,0.0,1.0
14,COL,2010-11-24 00:00:00+00:00,56.8,56.815,55.48,55.48,1172700,49.7907128977,49.8038618535,48.633604781,48.633604781,1172700,0.0,1.0
15,COL,2010-11-26 00:00:00+00:00,56.41,56.71,55.79,55.95,542900,49.448840045,49.7118191624,48.905349869,49.0456053983,542900,0.0,1.0
16,COL,2010-11-29 00:00:00+00:00,56.4,56.56,55.73,55.96,1572500,49.4400740744,49.5803296037,48.8527540456,49.0543713689,1572500,0.0,1.0
17,COL,2010-11-30 00:00:00+00:00,56.06,56.45,55.74,55.81,3468500,49.1420310747,49.4839039274,48.8615200161,48.9228818102,3468500,0.0,1.0
18,COL,2010-12-01 00:00:00+00:00,57.37,57.49,56.9,56.98,1202200,50.2903732208,50.3955648677,49.8783726035,49.9485003681,1202200,0.0,1.0
19,COL,2010-12-02 00:00:00+00:00,58.34,58.39,57.27,57.5,1835800,51.1406723671,51.18450222,50.202713515,50.4043308383,1835800,0.0,1.0
20,COL,2010-12-03 00:00:00+00:00,58.14,58.38,57.75,58.2,1825600,50.9653529555,51.1757362494,50.6234801028,51.017948779,1825600,0.0,1.0
21,COL,2010-12-06 00:00:00+00:00,58.3,58.41,57.75,58.09,826000,51.1056084848,51.2020341611,50.6234801028,50.9215231026,826000,0.0,1.0
22,COL,2010-12-07 00:00:00+00:00,58.22,59.01,58.09,58.79,1373400,51.0354807201,51.727992396,50.9215231026,51.5351410432,1373400,0.0,1.0
23,COL,2010-12-08 00:00:00+00:00,58.24,58.5,57.77,58.2,888100,51.0530126613,51.2809278964,50.641012044,51.017948779,888100,0.0,1.0
24,COL,2010-12-09 00:00:00+00:00,57.9,58.52,57.79,58.51,727600,50.7549696615,51.2984598375,50.6585439851,51.289693867,727600,0.0,1.0
25,COL,2010-12-10 00:00:00+00:00,58.19,58.4,57.79,58.08,620500,51.0091828084,51.1932681906,50.6585439851,50.912757132,620500,0.0,1.0
26,COL,2010-12-13 00:00:00+00:00,57.93,58.45,57.9,58.33,629300,50.7812675733,51.2370980435,50.7549696615,51.1319063965,629300,0.0,1.0
27,COL,2010-12-14 00:00:00+00:00,58.24,58.405,58.01,58.1,752900,51.0530126613,51.1976511759,50.8513953379,50.9302890731,752900,0.0,1.0
28,COL,2010-12-15 00:00:00+00:00,57.54,58.21,57.5,58.05,577300,50.4393947206,51.0267147495,50.4043308383,50.8864592202,577300,0.0,1.0
29,COL,2010-12-16 00:00:00+00:00,58.15,58.18,57.36,57.56,484900,50.9741189261,51.0004168378,50.2816072502,50.4569266618,484900,0.0,1.0
30,COL,2010-12-17 00:00:00+00:00,58.33,58.42,57.67,58.04,948500,51.1319063965,51.2108001317,50.5533523382,50.8776932497,948500,0.0,1.0
31,COL,2010-12-20 00:00:00+00:00,57.69,58.72,57.53,58.56,810500,50.5708842793,51.4737792491,50.4306287501,51.3335237199,810500,0.0,1.0
32,COL,2010-12-21 00:00:00+00:00,57.96,58.29,57.66,58.04,541200,50.807565485,51.0968425142,50.5445863676,50.8776932497,541200,0.0,1.0
33,COL,2010-12-22 00:00:00+00:00,58.32,58.32,57.79,57.96,544800,51.1231404259,51.1231404259,50.6585439851,50.807565485,544800,0.0,1.0
34,COL,2010-12-23 00:00:00+00:00,58.31,58.365,58.03,58.16,587100,51.1143744553,51.1625872935,50.8689272791,50.9828848966,587100,0.0,1.0
35,COL,2010-12-27 00:00:00+00:00,57.98,58.21,57.52,58.21,512700,50.8250974262,51.0267147495,50.4218627795,51.0267147495,512700,0.0,1.0
36,COL,2010-12-28 00:00:00+00:00,58.27,58.27,57.66,58.07,365400,51.079310573,51.079310573,50.5445863676,50.9039911614,365400,0.0,1.0
37,COL,2010-12-29 00:00:00+00:00,58.13,58.4,58.08,58.3,465900,50.9565869849,51.1932681906,50.912757132,51.1056084848,465900,0.0,1.0
38,COL,2010-12-30 00:00:00+00:00,58.14,58.39,58.07,58.13,515400,50.9653529555,51.18450222,50.9039911614,50.9565869849,515400,0.0,1.0
39,COL,2010-12-31 00:00:00+00:00,58.26,58.34,57.94,58.07,397200,51.0705446024,51.1406723671,50.7900335439,50.9039911614,397200,0.0,1.0
40,COL,2011-01-03 00:00:00+00:00,58.65,58.96,58.24,58.69,1002900,51.4124174551,51.6841625431,51.0530126613,51.4474813374,1002900,0.0,1.0
41,COL,2011-01-04 00:00:00+00:00,58.59,58.86,58.15,58.86,1264200,51.3598216316,51.5965028373,50.9741189261,51.5965028373,1264200,0.0,1.0
42,COL,2011-01-05 00:00:00+00:00,58.95,58.96,57.87,58.26,1268500,51.6753965725,51.6841625431,50.7286717498,51.0705446024,1268500,0.0,1.0
43,COL,2011-01-06 00:00:00+00:00,59.43,59.6,58.77,58.87,1217900,52.0961631604,52.2451846602,51.517609102,51.6052688079,1217900,0.0,1.0
44,COL,2011-01-07 00:00:00+00:00,60.1,60.37,59.31,59.56,1408700,52.6834831893,52.9201643949,51.9909715134,52.2101207779,1408700,0.0,1.0
45,COL,2011-01-10 00:00:00+00:00,60.2,60.32,59.496,59.88,1168400,52.7711428951,52.876334542,52.1540185662,52.4906318365,1168400,0.0,1.0
46,COL,2011-01-11 00:00:00+00:00,60.22,60.67,59.89,60.34,1073000,52.7886748362,53.1831435124,52.4993978071,52.8938664832,1073000,0.0,1.0
47,COL,2011-01-12 00:00:00+00:00,60.84,60.95,60.47,60.47,1611700,53.3321650122,53.4285906886,53.0078241007,53.0078241007,1611700,0.0,1.0
48,COL,2011-01-13 00:00:00+00:00,61.95,62.41,60.84,60.91,2099000,54.3051877467,54.7084223934,53.3321650122,53.3935268063,2099000,0.0,1.0
49,COL,2011-01-14 00:00:00+00:00,62.17,62.45,61.63,61.83,1190200,54.4980390994,54.7434862757,54.0246766881,54.1999960997,1190200,0.0,1.0
50,COL,2011-01-18 00:00:00+00:00,63.42,63.58,62.21,62.21,1450600,55.593785422,55.7340409513,54.5331029818,54.5331029818,1450600,0.0,1.0
51,COL,2011-01-19 00:00:00+00:00,63.26,64.2,63.07,63.31,2916700,55.4535298927,56.2775311273,55.2869764517,55.4973597456,2916700,0.0,1.0
52,COL,2011-01-20 00:00:00+00:00,62.84,64.49,62.64,63.08,2372600,55.0853591283,56.5317442741,54.9100397167,55.2957424223,2372600,0.0,1.0
53,COL,2011-01-21 00:00:00+00:00,63.71,64.15,63.36,63.98,2947700,55.8479985689,56.2337012744,55.5411895985,56.0846797745,2947700,0.0,1.0
