,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,COTY,2013-06-13 00:00:00+00:00,17.36,17.52,16.9,17.5,46263100,14.5996351407,14.7341939899,14.2127784492,14.7173741338,46263100,0.0,1.0
1,COTY,2013-06-14 00:00:00+00:00,17.52,17.55,17.2,17.45,9049500,14.7341939899,14.7594237742,14.4650762915,14.6753244934,9049500,0.0,1.0
2,COTY,2013-06-17 00:00:00+00:00,17.39,17.65,17.31,17.61,5489500,14.624864925,14.8435230549,14.5575855003,14.8098833426,5489500,0.0,1.0
3,COTY,2013-06-18 00:00:00+00:00,17.3,17.42,17.16,17.39,6717200,14.5491755723,14.6500947092,14.4314365792,14.624864925,6717200,0.0,1.0
4,COTY,2013-06-19 00:00:00+00:00,17.19,17.35,16.4,17.25,7128600,14.4566663634,14.5912252126,13.7922820454,14.5071259319,7128600,0.0,1.0
5,COTY,2013-06-20 00:00:00+00:00,16.75,16.85,16.31,16.8,2785200,14.0866295281,14.1707288088,13.7165926927,14.1286791684,2785200,0.0,1.0
6,COTY,2013-06-21 00:00:00+00:00,16.99,17.07,16.5,16.75,2542800,14.2884678019,14.3557472265,13.8763813261,14.0866295281,2542800,0.0,1.0
7,COTY,2013-06-24 00:00:00+00:00,16.61,16.82,16.46,16.8,1206100,13.968890535,14.1454990246,13.8427416138,14.1286791684,1206100,0.0,1.0
8,COTY,2013-06-25 00:00:00+00:00,16.75,16.88,16.55,16.7,1074800,14.0866295281,14.1959585931,13.9184309665,14.0445798877,1074800,0.0,1.0
9,COTY,2013-06-26 00:00:00+00:00,17.02,17.14,16.8,16.8,3420800,14.3136975861,14.414616723,14.1286791684,14.1286791684,3420800,0.0,1.0
10,COTY,2013-06-27 00:00:00+00:00,17.24,17.24,16.97,17.07,1773800,14.4987160038,14.4987160038,14.2716479457,14.3557472265,1773800,0.0,1.0
11,COTY,2013-06-28 00:00:00+00:00,17.18,17.23,16.91,17.2,1904600,14.4482564353,14.4903060757,14.2211883773,14.4650762915,1904600,0.0,1.0
12,COTY,2013-07-01 00:00:00+00:00,17.18,17.25,17.07,17.18,1188800,14.4482564353,14.5071259319,14.3557472265,14.4482564353,1188800,0.0,1.0
13,COTY,2013-07-02 00:00:00+00:00,17.26,17.35,17.1,17.18,665300,14.51553586,14.5912252126,14.3809770107,14.4482564353,665300,0.0,1.0
14,COTY,2013-07-03 00:00:00+00:00,17.25,17.28,17.14,17.2,332000,14.5071259319,14.5323557161,14.414616723,14.4650762915,332000,0.0,1.0
15,COTY,2013-07-05 00:00:00+00:00,17.26,17.31,17.19,17.3,573400,14.51553586,14.5575855003,14.4566663634,14.5491755723,573400,0.0,1.0
16,COTY,2013-07-08 00:00:00+00:00,17.27,17.34,17.02,17.34,855900,14.523945788,14.5828152846,14.3136975861,14.5828152846,855900,0.0,1.0
17,COTY,2013-07-09 00:00:00+00:00,17.38,17.4,17.24,17.25,521300,14.6164549969,14.633274853,14.4987160038,14.5071259319,521300,0.0,1.0
18,COTY,2013-07-10 00:00:00+00:00,17.39,17.48,17.3,17.4,524300,14.624864925,14.7005542776,14.5491755723,14.633274853,524300,0.0,1.0
19,COTY,2013-07-11 00:00:00+00:00,17.45,17.49,17.26,17.45,990200,14.6753244934,14.7089642057,14.51553586,14.6753244934,990200,0.0,1.0
20,COTY,2013-07-12 00:00:00+00:00,17.5,17.52,17.35,17.4,1258600,14.7173741338,14.7341939899,14.5912252126,14.633274853,1258600,0.0,1.0
21,COTY,2013-07-15 00:00:00+00:00,17.18,17.55,17.12,17.5,242900,14.4482564353,14.7594237742,14.3977968669,14.7173741338,242900,0.0,1.0
22,COTY,2013-07-16 00:00:00+00:00,17.32,17.34,17.2,17.29,507600,14.5659954284,14.5828152846,14.4650762915,14.5407656442,507600,0.0,1.0
23,COTY,2013-07-17 00:00:00+00:00,17.3,17.4,17.05,17.13,995700,14.5491755723,14.633274853,14.3389273704,14.406206795,995700,0.0,1.0
24,COTY,2013-07-18 00:00:00+00:00,17.15,17.43,17.11,17.35,682700,14.4230266511,14.6585046373,14.3893869388,14.5912252126,682700,0.0,1.0
25,COTY,2013-07-19 00:00:00+00:00,17.08,17.27,17.05,17.15,599500,14.3641571546,14.523945788,14.3389273704,14.4230266511,599500,0.0,1.0
26,COTY,2013-07-22 00:00:00+00:00,16.95,17.08,16.93,17.08,462000,14.2548280896,14.3641571546,14.2380082334,14.3641571546,462000,0.0,1.0
27,COTY,2013-07-23 00:00:00+00:00,17.06,17.22,16.85,17.15,1619500,14.3473372984,14.4818961477,14.1707288088,14.4230266511,1619500,0.0,1.0
28,COTY,2013-07-24 00:00:00+00:00,17.13,17.22,16.9201,17.18,373600,14.406206795,14.4818961477,14.2296824046,14.4482564353,373600,0.0,1.0
29,COTY,2013-07-25 00:00:00+00:00,17.35,17.4,16.97,17.06,743800,14.5912252126,14.633274853,14.2716479457,14.3473372984,743800,0.0,1.0
