,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CPB,2010-11-04 00:00:00+00:00,36.66,36.99,36.51,36.55,2124700,27.1659032158,27.4104408061,27.0547497656,27.0843906857,2124700,0.0,1.0
1,CPB,2010-11-05 00:00:00+00:00,36.61,36.62,36.36,36.59,1501900,27.1288520657,27.1362622958,26.9435963155,27.1140316057,1501900,0.0,1.0
2,CPB,2010-11-08 00:00:00+00:00,36.39,36.5,36.36,36.45,1293100,26.9658270055,27.0473395356,26.9435963155,27.0102883856,1293100,0.0,1.0
3,CPB,2010-11-09 00:00:00+00:00,36.05,36.36,36.01,36.33,1430700,26.7138791852,26.9435963155,26.6842382652,26.9213656255,1430700,0.0,1.0
4,CPB,2010-11-10 00:00:00+00:00,34.85,35.86,34.54,35.1,6114700,25.824651584,26.573084815,25.5949344537,26.0099073343,6114700,0.0,1.0
5,CPB,2010-11-11 00:00:00+00:00,34.5,34.72,34.18,34.65,3639700,25.5652935337,25.7283185939,25.3281661734,25.6764469838,3639700,0.0,1.0
6,CPB,2010-11-12 00:00:00+00:00,34.52,34.68,34.25,34.39,2555200,25.5801139937,25.6986776739,25.3800377834,25.4837810036,2555200,0.0,1.0
7,CPB,2010-11-15 00:00:00+00:00,34.67,34.78,34.52,34.64,1703400,25.6912674439,25.772779974,25.5801139937,25.6690367538,1703400,0.0,1.0
8,CPB,2010-11-16 00:00:00+00:00,34.47,34.73,34.39,34.56,2601300,25.5430628437,25.7357288239,25.4837810036,25.6097549137,2601300,0.0,1.0
9,CPB,2010-11-17 00:00:00+00:00,34.44,34.59,34.35,34.39,2783500,25.5208321536,25.6319856038,25.4541400835,25.4837810036,2783500,0.0,1.0
10,CPB,2010-11-18 00:00:00+00:00,34.62,34.76,34.38,34.62,703504,25.6542162938,25.7579595139,25.4763707736,25.6542162938,703504,0.0,1.0
11,CPB,2010-11-19 00:00:00+00:00,34.65,34.71,34.36,34.65,786597,25.6764469838,25.7209083639,25.4615503135,25.6764469838,786597,0.0,1.0
12,CPB,2010-11-22 00:00:00+00:00,34.83,34.88,34.53,34.67,3272200,25.809831124,25.8468822741,25.5875242237,25.6912674439,3272200,0.0,1.0
13,CPB,2010-11-23 00:00:00+00:00,34.0,34.65,33.93,34.48,4915100,25.1947820332,25.6764469838,25.1429104231,25.5504730737,4915100,0.0,1.0
14,CPB,2010-11-24 00:00:00+00:00,33.98,33.99,33.435,33.79,3894700,25.1799615732,25.1873718032,24.7761040376,25.039167203,3894700,0.0,1.0
15,CPB,2010-11-26 00:00:00+00:00,34.14,34.22,33.69,33.83,1369100,25.2985252533,25.3578070934,24.9650649029,25.068808123,1369100,0.0,1.0
16,CPB,2010-11-29 00:00:00+00:00,34.03,34.07,33.7,33.92,2444600,25.2170127232,25.2466536433,24.9724751329,25.1355001931,2444600,0.0,1.0
17,CPB,2010-11-30 00:00:00+00:00,33.9,34.09,33.7,33.75,3030800,25.1206797331,25.2614741033,24.9724751329,25.009526283,3030800,0.0,1.0
18,CPB,2010-12-01 00:00:00+00:00,34.23,34.28,33.81,34.16,3342300,25.3652173234,25.4022684735,25.053987663,25.3133457134,3342300,0.0,1.0
19,CPB,2010-12-02 00:00:00+00:00,34.06,34.25,33.92,34.13,2532400,25.2392434133,25.3800377834,25.1355001931,25.2911150233,2532400,0.0,1.0
20,CPB,2010-12-03 00:00:00+00:00,34.06,34.18,33.77,34.03,3075000,25.2392434133,25.3281661734,25.024346743,25.2170127232,3075000,0.0,1.0
21,CPB,2010-12-06 00:00:00+00:00,34.07,34.6,33.89,34.06,1964500,25.2466536433,25.6393958338,25.1132695031,25.2392434133,1964500,0.0,1.0
22,CPB,2010-12-07 00:00:00+00:00,33.9,34.24,33.82,34.22,2446300,25.1206797331,25.3726275534,25.061397893,25.3578070934,2446300,0.0,1.0
23,CPB,2010-12-08 00:00:00+00:00,33.87,34.0,33.64,33.83,2548100,25.0984490431,25.1947820332,24.9280137528,25.068808123,2548100,0.0,1.0
24,CPB,2010-12-09 00:00:00+00:00,34.49,34.6,33.99,34.01,5677000,25.5578833037,25.6393958338,25.1873718032,25.2021922632,5677000,0.0,1.0
25,CPB,2010-12-10 00:00:00+00:00,34.48,34.65,34.25,34.53,2757600,25.5504730737,25.6764469838,25.3800377834,25.5875242237,2757600,0.0,1.0
26,CPB,2010-12-13 00:00:00+00:00,34.52,34.53,34.28,34.44,2765400,25.5801139937,25.5875242237,25.4022684735,25.5208321536,2765400,0.0,1.0
27,CPB,2010-12-14 00:00:00+00:00,34.74,34.83,34.43,34.43,1842900,25.7431390539,25.809831124,25.5134219236,25.5134219236,1842900,0.0,1.0
28,CPB,2010-12-15 00:00:00+00:00,34.78,34.8,34.61,34.62,1964100,25.772779974,25.787600434,25.6468060638,25.6542162938,1964100,0.0,1.0
29,CPB,2010-12-16 00:00:00+00:00,35.1,35.17,34.78,34.82,2047800,26.0099073343,26.0617789443,25.772779974,25.802420894,2047800,0.0,1.0
30,CPB,2010-12-17 00:00:00+00:00,35.39,35.4,34.94,35.14,2368900,26.2248040046,26.2322142346,25.8913436541,26.0395482543,2368900,0.0,1.0
31,CPB,2010-12-20 00:00:00+00:00,34.77,35.37,34.74,35.32,2817300,25.7653697439,26.2099835445,25.7431390539,26.1729323945,2817300,0.0,1.0
32,CPB,2010-12-21 00:00:00+00:00,34.85,34.97,34.71,34.91,1777400,25.824651584,25.9135743441,25.7209083639,25.8691129641,1777400,0.0,1.0
33,CPB,2010-12-22 00:00:00+00:00,34.33,34.73,34.13,34.56,2098600,25.6542162938,25.9531293878,25.5047597468,25.8260913229,2098600,0.29,1.0
