,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CTL,2010-11-04 00:00:00+00:00,43.05,43.09,41.95,42.1,5366900,19.1308429301,19.1486183939,18.6420176752,18.7086756645,5366900,0.0,1.0
1,CTL,2010-11-05 00:00:00+00:00,42.57,43.28,42.3,42.76,3048200,18.9175373643,19.233051847,18.7975529836,19.0019708174,3048200,0.0,1.0
2,CTL,2010-11-08 00:00:00+00:00,42.43,42.45,41.95,42.44,1936700,18.855323241,18.8642109729,18.6420176752,18.8597671069,1936700,0.0,1.0
3,CTL,2010-11-09 00:00:00+00:00,42.28,42.65,42.18,42.57,2985300,18.7886652517,18.9530882919,18.7442265921,18.9175373643,2985300,0.0,1.0
4,CTL,2010-11-10 00:00:00+00:00,42.93,43.0,42.18,42.29,2723500,19.0775165386,19.1086236003,18.7442265921,18.7931091176,2723500,0.0,1.0
5,CTL,2010-11-11 00:00:00+00:00,42.37,42.84,42.25,42.51,2410600,18.8286600452,19.0375217451,18.7753336538,18.8908741686,2410600,0.0,1.0
6,CTL,2010-11-12 00:00:00+00:00,42.08,42.34,41.88,42.19,1849100,18.6997879326,18.8153284474,18.6109106135,18.7486704581,1849100,0.0,1.0
7,CTL,2010-11-15 00:00:00+00:00,42.33,42.68,42.0,42.49,2289800,18.8108845814,18.9664198898,18.664237005,18.8819864367,2289800,0.0,1.0
8,CTL,2010-11-16 00:00:00+00:00,41.69,42.21,41.4,42.08,3135200,18.5264771604,18.75755819,18.3976050477,18.6997879326,3135200,0.0,1.0
9,CTL,2010-11-17 00:00:00+00:00,41.9,42.17,41.48,41.64,2322100,18.6197983454,18.7397827262,18.4331559754,18.5042578306,2322100,0.0,1.0
10,CTL,2010-11-18 00:00:00+00:00,42.57,42.64,42.22,42.26,2787100,18.9175373643,18.948644426,18.7620020559,18.7797775198,2787100,0.0,1.0
11,CTL,2010-11-19 00:00:00+00:00,42.97,42.98,42.39,42.62,2167700,19.0952920025,19.0997358684,18.8375477771,18.9397566941,2167700,0.0,1.0
12,CTL,2010-11-22 00:00:00+00:00,42.53,42.77,42.35,42.74,2899200,18.8997619005,19.0064146834,18.8197723133,18.9930830855,2899200,0.0,1.0
13,CTL,2010-11-23 00:00:00+00:00,42.08,42.3,41.81,42.24,3440700,18.6997879326,18.7975529836,18.5798035518,18.7708897878,3440700,0.0,1.0
14,CTL,2010-11-24 00:00:00+00:00,42.66,42.73,42.239,42.29,3182300,18.9575321579,18.9886392196,18.7704454012,18.7931091176,3182300,0.0,1.0
15,CTL,2010-11-26 00:00:00+00:00,43.04,43.04,42.35,42.52,2220200,19.1263990641,19.1263990641,18.8197723133,18.8953180345,2220200,0.0,1.0
16,CTL,2010-11-29 00:00:00+00:00,42.9,42.92,42.22,42.92,3468900,19.0641849408,19.0730726727,18.7620020559,19.0730726727,3468900,0.0,1.0
17,CTL,2010-11-30 00:00:00+00:00,42.99,43.04,42.505,42.66,9805500,19.1041797344,19.1263990641,18.8886522356,18.9575321579,9805500,0.0,1.0
18,CTL,2010-12-01 00:00:00+00:00,43.91,43.91,43.14,43.49,10393300,19.5130154021,19.5130154021,19.1708377237,19.326373032,10393300,0.0,1.0
19,CTL,2010-12-02 00:00:00+00:00,43.98,44.05,43.55,44.05,4130100,19.5441224638,19.5752295254,19.3530362278,19.5752295254,4130100,0.0,1.0
20,CTL,2010-12-03 00:00:00+00:00,43.43,43.51,42.93,43.02,5370300,19.621890118,19.6580345161,19.3959876298,19.4366500777,5370300,0.725,1.0
21,CTL,2010-12-06 00:00:00+00:00,43.81,44.06,43.22,43.24,4473000,19.7935760089,19.906527253,19.5270110729,19.5360471725,4473000,0.0,1.0
22,CTL,2010-12-07 00:00:00+00:00,43.74,44.18,43.53,43.95,3809000,19.7619496606,19.9607438501,19.6670706156,19.8568287056,3809000,0.0,1.0
23,CTL,2010-12-08 00:00:00+00:00,43.46,43.74,43.11,43.74,4017700,19.6354442672,19.7619496606,19.4773125256,19.7619496606,4017700,0.0,1.0
24,CTL,2010-12-09 00:00:00+00:00,44.15,44.16,43.34,43.59,3117100,19.9471897008,19.9517077506,19.5812276701,19.6941789141,3117100,0.0,1.0
25,CTL,2010-12-10 00:00:00+00:00,44.63,44.69,43.95,44.17,3452300,20.1640560894,20.191164388,19.8568287056,19.9562258004,3452300,0.0,1.0
26,CTL,2010-12-13 00:00:00+00:00,45.22,45.35,44.6499,44.81,4345600,20.4306210254,20.4893556723,20.1730470085,20.2453809852,4345600,0.0,1.0
27,CTL,2010-12-14 00:00:00+00:00,45.92,45.92,45.22,45.22,4446800,20.7468845088,20.7468845088,20.4306210254,20.4306210254,4446800,0.0,1.0
