,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,CVX,2010-11-04 00:00:00+00:00,85.14,85.31,83.8805,84.16,16295400,57.9497636716,58.0654726195,57.0924964959,57.282735619,16295400,0.0,1.0
1,CVX,2010-11-05 00:00:00+00:00,84.98,85.32,84.05,84.71,14513200,57.8408611324,58.0722790282,57.2078651233,57.6570880975,14513200,0.0,1.0
2,CVX,2010-11-08 00:00:00+00:00,84.8,85.0,83.79,84.62,11799200,57.7183457758,57.8544739498,57.0308984971,57.5958304192,11799200,0.0,1.0
3,CVX,2010-11-09 00:00:00+00:00,83.56,84.2667,83.1,83.91,13597200,56.874351097,57.3553599999,56.5612562968,57.1125754015,13597200,0.0,1.0
4,CVX,2010-11-10 00:00:00+00:00,85.17,85.22,83.25,83.78,11795500,57.9701828977,58.0042149412,56.6633524273,57.0240920884,11795500,0.0,1.0
5,CVX,2010-11-11 00:00:00+00:00,86.09,86.19,85.0,85.0,11297200,58.5963724981,58.6644365851,57.8544739498,57.8544739498,11297200,0.0,1.0
6,CVX,2010-11-12 00:00:00+00:00,85.44,85.61,84.56,85.46,10571300,58.1539559326,58.2696648805,57.554991967,58.16756875,10571300,0.0,1.0
7,CVX,2010-11-15 00:00:00+00:00,84.86,85.97,84.83,85.74,9252400,57.759184228,58.5146955937,57.7387650019,58.3581481936,9252400,0.0,1.0
8,CVX,2010-11-16 00:00:00+00:00,82.48,83.58,81.93,83.55,12360200,56.6293203838,57.3845610776,56.251700037,57.3639636041,12360200,0.72,1.0
9,CVX,2010-11-17 00:00:00+00:00,82.46,83.13,82.1,82.41,7847300,56.6155887349,57.0755989756,56.3684190533,56.5812596124,7847300,0.0,1.0
10,CVX,2010-11-18 00:00:00+00:00,83.82,83.98,82.95,83.04,7590000,57.5493408653,57.6591940572,56.9520141348,57.0138065552,7590000,0.0,1.0
11,CVX,2010-11-19 00:00:00+00:00,83.94,83.96,82.82,83.69,8130900,57.6317307592,57.6454624082,56.8627584165,57.460085147,8130900,0.0,1.0
12,CVX,2010-11-22 00:00:00+00:00,83.45,83.58,82.05,83.47,6791900,57.2953053593,57.3845610776,56.3340899308,57.3090370082,6791900,0.0,1.0
13,CVX,2010-11-23 00:00:00+00:00,81.75,82.5,81.15,82.47,9507700,56.1281151962,56.6430520328,55.7161657268,56.6224545594,9507700,0.0,1.0
14,CVX,2010-11-24 00:00:00+00:00,82.93,83.01,82.0,82.15,8042600,56.9382824858,56.9932090818,56.2997608084,56.4027481757,8042600,0.0,1.0
15,CVX,2010-11-26 00:00:00+00:00,82.05,82.57,81.79,82.44,2789700,56.3340899308,56.6911128042,56.1555784941,56.6018570859,2789700,0.0,1.0
16,CVX,2010-11-29 00:00:00+00:00,81.69,82.05,80.41,81.3,9070100,56.0869202492,56.3340899308,55.2080947147,55.8191530942,9070100,0.0,1.0
17,CVX,2010-11-30 00:00:00+00:00,80.97,81.61,80.47,80.64,10366000,55.592580886,56.0319936533,55.2492896616,55.3660086779,10366000,0.0,1.0
18,CVX,2010-12-01 00:00:00+00:00,82.7,83.22,81.75,82.15,10629600,56.7803685226,57.137391396,56.1281151962,56.4027481757,10629600,0.0,1.0
