,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,C,2010-11-04 00:00:00+00:00,4.33,4.33,4.19,4.22,659278000,38.3859932104,38.3859932104,37.144875647,37.4108294106,65927800,0.0,1.0
1,C,2010-11-05 00:00:00+00:00,4.49,4.51,4.32,4.33,1054407000,39.8044132828,39.9817157919,38.2973419559,38.3859932104,105440700,0.0,1.0
2,C,2010-11-08 00:00:00+00:00,4.438,4.52,4.41,4.515,426877000,39.3434267593,40.0703670464,39.0952032466,40.0260414192,42687700,0.0,1.0
3,C,2010-11-09 00:00:00+00:00,4.3,4.47,4.3,4.47,541059000,38.1200394468,39.6271107738,38.1200394468,39.6271107738,54105900,0.0,1.0
4,C,2010-11-10 00:00:00+00:00,4.42,4.46,4.31,4.33,502885000,39.1838545012,39.5384595193,38.2086907013,38.3859932104,50288500,0.0,1.0
5,C,2010-11-11 00:00:00+00:00,4.36,4.41,4.35,4.375,381632000,38.651946974,39.0952032466,38.5632957195,38.7849238558,38163200,0.0,1.0
6,C,2010-11-12 00:00:00+00:00,4.29,4.39,4.23,4.33,497402000,38.0313881923,38.9179007376,37.4994806651,38.3859932104,49740200,0.0,1.0
7,C,2010-11-15 00:00:00+00:00,4.32,4.37,4.3,4.33,353741000,38.2973419559,38.7405982285,38.1200394468,38.3859932104,35374100,0.0,1.0
8,C,2010-11-16 00:00:00+00:00,4.22,4.29,4.19,4.28,500204000,37.4108294106,38.0313881923,37.144875647,37.9427369378,50020400,0.0,1.0
9,C,2010-11-17 00:00:00+00:00,4.19,4.24,4.15,4.23,391755000,37.144875647,37.5881319197,36.7902706289,37.4994806651,39175500,0.0,1.0
10,C,2010-11-18 00:00:00+00:00,4.3,4.33,4.22,4.26,488764000,38.1200394468,38.3859932104,37.4108294106,37.7654344287,48876400,0.0,1.0
11,C,2010-11-19 00:00:00+00:00,4.268,4.27,4.22,4.26,290416000,37.8363554323,37.8540856832,37.4108294106,37.7654344287,29041600,0.0,1.0
12,C,2010-11-22 00:00:00+00:00,4.18,4.25,4.16,4.25,368273000,37.0562243925,37.6767831742,36.8789218834,37.6767831742,36827300,0.0,1.0
13,C,2010-11-23 00:00:00+00:00,4.1,4.15,4.1,4.145,387894000,36.3470143563,36.7902706289,36.3470143563,36.7459450016,38789400,0.0,1.0
14,C,2010-11-24 00:00:00+00:00,4.168,4.19,4.11,4.14,304299000,36.9498428871,37.144875647,36.4356656108,36.7016193744,30429900,0.0,1.0
15,C,2010-11-26 00:00:00+00:00,4.11,4.16,4.1,4.14,156725000,36.4356656108,36.8789218834,36.3470143563,36.7016193744,15672500,0.0,1.0
