,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,DFS,2010-11-04 00:00:00+00:00,18.74,18.77,18.15,18.36,5162600,15.6446297265,15.6696744913,15.1520826861,15.3273960394,5162600,0.0,1.0
1,DFS,2010-11-05 00:00:00+00:00,18.91,19.02,18.48,18.77,5957200,15.7865500602,15.8783808644,15.4275750985,15.6696744913,5957200,0.0,1.0
2,DFS,2010-11-08 00:00:00+00:00,18.94,19.03,18.69,18.79,4595700,15.811594825,15.8867291193,15.6028884519,15.6863710012,4595700,0.0,1.0
3,DFS,2010-11-09 00:00:00+00:00,18.47,18.95,18.38,18.95,3750000,15.4192268436,15.8199430799,15.3440925493,15.8199430799,3750000,0.0,1.0
4,DFS,2010-11-10 00:00:00+00:00,18.72,18.72,18.37,18.44,2824700,15.6279332167,15.6279332167,15.3357442944,15.3941820788,2824700,0.0,1.0
5,DFS,2010-11-11 00:00:00+00:00,19.09,19.16,18.3,18.49,6811900,15.9368186489,15.9952564333,15.2773065099,15.4359233535,6811900,0.0,1.0
6,DFS,2010-11-12 00:00:00+00:00,18.6,19.01,18.4396,18.7,4299100,15.5277541576,15.8700326095,15.3938481486,15.6112367068,4299100,0.0,1.0
7,DFS,2010-11-15 00:00:00+00:00,18.87,19.16,18.38,18.61,5682700,15.7531570405,15.9952564333,15.3440925493,15.5361024125,5682700,0.0,1.0
8,DFS,2010-11-16 00:00:00+00:00,18.1,18.7,17.985,18.68,5846600,15.1103414114,15.6112367068,15.0143364798,15.594540197,5846600,0.0,1.0
9,DFS,2010-11-17 00:00:00+00:00,18.35,18.4,18.04,18.1,3630200,15.3190477845,15.3607890591,15.0602518819,15.1103414114,3630200,0.0,1.0
10,DFS,2010-11-18 00:00:00+00:00,18.38,18.61,18.34,18.57,3930100,15.3440925493,15.5361024125,15.3106995296,15.5027093928,3930100,0.0,1.0
11,DFS,2010-11-19 00:00:00+00:00,18.4,18.42,18.09,18.3,3340600,15.3607890591,15.377485569,15.1019931565,15.2773065099,3340600,0.0,1.0
12,DFS,2010-11-22 00:00:00+00:00,18.43,18.47,18.15,18.19,4184900,15.3858338239,15.4192268436,15.1520826861,15.1854757058,4184900,0.0,1.0
