,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,DISCA,2010-11-04 00:00:00+00:00,41.95,43.13,41.69,42.99,5138900,21.4917969675,22.0963338072,21.3585939351,22.0246090974,5138900,0.0,1.0
1,DISCA,2010-11-05 00:00:00+00:00,41.11,42.15,41.07,41.99,4863300,21.0614487088,21.5942608387,21.0409559346,21.5122897418,4863300,0.0,1.0
2,DISCA,2010-11-08 00:00:00+00:00,40.97,41.5,40.73,41.15,4050800,20.9897239991,21.2612532575,20.8667673537,21.0819414831,4050800,0.0,1.0
3,DISCA,2010-11-09 00:00:00+00:00,40.53,41.18,40.4,41.02,4371500,20.7643034826,21.0973110637,20.6977019664,21.0153399668,4371500,0.0,1.0
4,DISCA,2010-11-10 00:00:00+00:00,41.16,41.34,40.1701,40.57,5476500,21.0870646766,21.1792821606,20.5799197465,20.7847962568,5476500,0.0,1.0
5,DISCA,2010-11-11 00:00:00+00:00,40.6,40.99,40.29,40.92,5125800,20.8001658375,20.9999703862,20.6413468372,20.9641080313,5125800,0.0,1.0
6,DISCA,2010-11-12 00:00:00+00:00,40.4,40.82,40.22,40.51,3337500,20.6977019664,20.9128760957,20.6054844824,20.7540570955,3337500,0.0,1.0
7,DISCA,2010-11-15 00:00:00+00:00,40.23,40.63,40.01,40.6,4203400,20.6106076759,20.8155354181,20.4978974177,20.8001658375,4203400,0.0,1.0
8,DISCA,2010-11-16 00:00:00+00:00,40.27,40.33,39.6245,40.0,4793100,20.6311004501,20.6618396115,20.3003983061,20.4927742241,4793100,0.0,1.0
9,DISCA,2010-11-17 00:00:00+00:00,41.66,41.66,40.47,40.69,9117500,21.3432243544,21.3432243544,20.7335643213,20.8462745795,9117500,0.0,1.0
10,DISCA,2010-11-18 00:00:00+00:00,42.39,42.73,42.0,42.17,4676600,21.717217484,21.8914060649,21.5174129353,21.6045072258,4676600,0.0,1.0
11,DISCA,2010-11-19 00:00:00+00:00,42.34,42.62,41.98,42.42,2615500,21.6916015162,21.8350509358,21.5071665482,21.7325870647,2615500,0.0,1.0
12,DISCA,2010-11-22 00:00:00+00:00,42.09,42.27,41.68,42.2,2954300,21.5635216773,21.6557391613,21.3534707415,21.6198768064,2954300,0.0,1.0
13,DISCA,2010-11-23 00:00:00+00:00,41.2,41.71,40.93,41.71,2924500,21.1075574508,21.3688403222,20.9692312248,21.3688403222,2924500,0.0,1.0
14,DISCA,2010-11-24 00:00:00+00:00,42.09,42.255,41.43,41.43,2047800,21.5635216773,21.648054371,21.2253909026,21.2253909026,2047800,0.0,1.0
15,DISCA,2010-11-26 00:00:00+00:00,42.13,42.32,41.59,41.74,1295100,21.5840144516,21.6813551291,21.3073619995,21.3842099029,1295100,0.0,1.0
16,DISCA,2010-11-29 00:00:00+00:00,41.44,41.72,40.8,41.72,3924400,21.2305140962,21.3739635158,20.9026297086,21.3739635158,3924400,0.0,1.0
17,DISCA,2010-11-30 00:00:00+00:00,40.78,41.48,40.74,40.96,7355000,20.8923833215,21.2510068704,20.8718905473,20.9846008055,7355000,0.0,1.0
