,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,DVN,2010-11-04 00:00:00+00:00,69.6,69.99,69.1,69.13,8515100,58.5372834776,58.8652941178,58.1167570159,58.1419886036,8515100,0.0,1.0
1,DVN,2010-11-05 00:00:00+00:00,70.78,70.81,69.43,69.68,3740000,59.5297259274,59.5549575151,58.3943044806,58.6045677115,3740000,0.0,1.0
2,DVN,2010-11-08 00:00:00+00:00,71.56,72.349,70.24,70.24,4533500,60.1857472078,60.8493379644,59.0755573487,59.0755573487,4533500,0.0,1.0
3,DVN,2010-11-09 00:00:00+00:00,70.83,72.2599,70.56,72.08,5376200,59.5717785736,60.7744001489,59.3446942842,60.623094728,5376200,0.0,1.0
4,DVN,2010-11-10 00:00:00+00:00,71.9,71.96,70.27,70.66,4733400,60.4717052018,60.5221683772,59.1007889364,59.4287995766,4733400,0.0,1.0
5,DVN,2010-11-11 00:00:00+00:00,72.76,72.84,71.31,71.31,4350400,61.195010716,61.2622949499,59.9754839769,59.9754839769,4350400,0.0,1.0
6,DVN,2010-11-12 00:00:00+00:00,72.48,73.0,71.72,72.06,4112500,60.9595158974,61.3968634176,60.3203156755,60.6062736695,4112500,0.0,1.0
7,DVN,2010-11-15 00:00:00+00:00,71.43,73.2,71.43,72.99,5498100,60.0764103277,61.5650740023,60.0764103277,61.3884528884,5498100,0.0,1.0
8,DVN,2010-11-16 00:00:00+00:00,70.44,70.93,69.43,70.74,4014000,59.2437679334,59.6558838659,58.3943044806,59.4960838105,4014000,0.0,1.0
9,DVN,2010-11-17 00:00:00+00:00,70.35,70.85,69.95,70.33,2425300,59.1680731703,59.5885996321,58.8316520009,59.1512521118,2425300,0.0,1.0
10,DVN,2010-11-18 00:00:00+00:00,71.93,72.14,70.85,71.03,3206100,60.4969367895,60.6735579034,59.5885996321,59.7399891583,3206100,0.0,1.0
11,DVN,2010-11-19 00:00:00+00:00,73.2,73.25,71.44,72.38,5635400,61.5650740023,61.6071266485,60.0848208569,60.8754106051,5635400,0.0,1.0
12,DVN,2010-11-22 00:00:00+00:00,72.41,72.96,71.09,72.83,3352000,60.9006421928,61.3632213007,59.7904523337,61.2538844206,3352000,0.0,1.0
13,DVN,2010-11-23 00:00:00+00:00,70.87,71.53,70.6719,71.5,2526700,59.6054206905,60.1605156201,59.4388081064,60.1352840323,2526700,0.0,1.0
14,DVN,2010-11-24 00:00:00+00:00,71.72,71.96,70.4,71.06,3164900,60.3203156755,60.5221683772,59.2101258165,59.765220746,3164900,0.0,1.0
15,DVN,2010-11-26 00:00:00+00:00,70.94,71.53,70.81,71.04,1039100,59.6642943952,60.1605156201,59.5549575151,59.7483996875,1039100,0.0,1.0
16,DVN,2010-11-29 00:00:00+00:00,70.46,70.9,70.1,70.37,3388100,59.2605889919,59.6306522782,58.9578099394,59.1848942288,3388100,0.0,1.0
17,DVN,2010-11-30 00:00:00+00:00,70.57,71.25,69.66,69.78,4973800,59.3531048135,59.9250208015,58.5877466531,58.6886730039,4973800,0.0,1.0
18,DVN,2010-12-01 00:00:00+00:00,72.01,72.37,71.24,71.68,2783100,60.5642210233,60.8670000758,59.9166102722,60.2866735586,2783100,0.0,1.0
19,DVN,2010-12-02 00:00:00+00:00,73.43,73.53,72.01,72.01,4269500,61.7585161748,61.8426214671,60.5642210233,60.5642210233,4269500,0.0,1.0
20,DVN,2010-12-03 00:00:00+00:00,73.91,73.99,72.89,72.93,1873200,62.1622215781,62.2295058119,61.3043475961,61.337989713,1873200,0.0,1.0
21,DVN,2010-12-06 00:00:00+00:00,73.93,74.9,73.6,73.96,2359100,62.1790426365,62.9948639723,61.9014951718,62.2042742242,2359100,0.0,1.0
22,DVN,2010-12-07 00:00:00+00:00,73.68,74.9,73.67,74.61,2565800,61.9687794056,62.9948639723,61.9603688764,62.7509586245,2565800,0.0,1.0
23,DVN,2010-12-08 00:00:00+00:00,73.18,74.04,72.5,73.6,2463900,61.5482529439,62.2715584581,60.9763369559,61.9014951718,2463900,0.0,1.0
24,DVN,2010-12-09 00:00:00+00:00,72.77,73.51,71.62,73.24,3843600,61.2034212452,61.8258004086,60.2362103832,61.5987161193,3843600,0.0,1.0
25,DVN,2010-12-10 00:00:00+00:00,73.29,73.74,72.56,72.9,2966100,61.6407687655,62.0192425811,61.0268001313,61.3127581253,2966100,0.0,1.0
26,DVN,2010-12-13 00:00:00+00:00,73.88,74.57,73.22,73.22,2708400,62.2715584581,62.8531417734,61.7152613739,61.7152613739,2708400,0.16,1.0
27,DVN,2010-12-14 00:00:00+00:00,73.61,74.3,73.22,73.61,2682600,62.0439823782,62.6255656935,61.7152613739,62.0439823782,2682600,0.0,1.0
28,DVN,2010-12-15 00:00:00+00:00,73.17,73.965,72.81,73.29,3209700,61.6731176554,62.3432027796,61.3696828822,61.7742625798,3209700,0.0,1.0
29,DVN,2010-12-16 00:00:00+00:00,73.35,73.42,72.68,73.42,2349200,61.824835042,61.8838362479,61.2601092141,61.8838362479,2349200,0.0,1.0
30,DVN,2010-12-17 00:00:00+00:00,73.09,73.4297,72.8,73.08,3347500,61.6056877058,61.8920121293,61.3612541385,61.5972589621,3347500,0.0,1.0
31,DVN,2010-12-20 00:00:00+00:00,73.98,74.08,72.85,73.21,1926500,62.3558458951,62.4401333321,61.403397857,61.7068326302,1926500,0.0,1.0
32,DVN,2010-12-21 00:00:00+00:00,74.4,74.87,74.04,74.14,2152900,62.7098531305,63.1060040844,62.4064183573,62.4907057943,2152900,0.0,1.0
33,DVN,2010-12-22 00:00:00+00:00,76.02,76.6,74.79,74.84,3160700,64.07530961,64.5641767446,63.0385741348,63.0807178533,3160700,0.0,1.0
34,DVN,2010-12-23 00:00:00+00:00,77.38,77.73,76.0,76.02,3113400,65.2216187532,65.5166247827,64.0584521226,64.07530961,3113400,0.0,1.0
35,DVN,2010-12-27 00:00:00+00:00,77.14,77.3,76.55,77.25,1834200,65.0193289044,65.1541888036,64.5220330261,65.1120450851,1834200,0.0,1.0
36,DVN,2010-12-28 00:00:00+00:00,77.56,77.84,77.24,77.24,1557700,65.3733361398,65.6093409634,65.1036163414,65.1036163414,1557700,0.0,1.0
37,DVN,2010-12-29 00:00:00+00:00,78.0,78.5,77.53,77.61,1969600,65.7442008627,66.1656380477,65.3480499087,65.4154798583,1969600,0.0,1.0
38,DVN,2010-12-30 00:00:00+00:00,78.2,78.79,77.9,78.0,2070500,65.9127757367,66.410071615,65.6599134256,65.7442008627,2070500,0.0,1.0
39,DVN,2010-12-31 00:00:00+00:00,78.51,78.86,78.01,78.15,1692600,66.1740667914,66.4690728209,65.7526296064,65.8706320182,1692600,0.0,1.0
40,DVN,2011-01-03 00:00:00+00:00,78.68,79.34,78.57,79.13,2557400,66.3173554343,66.8736525185,66.2246392536,66.6966489008,2557400,0.0,1.0
41,DVN,2011-01-04 00:00:00+00:00,78.2,79.46,77.13,79.34,2875400,65.9127757367,66.9747974429,65.0109001607,66.8736525185,2875400,0.0,1.0
42,DVN,2011-01-05 00:00:00+00:00,78.7,78.77,76.96,77.74,2885000,66.3342129217,66.3932141276,64.8676115178,65.5250535264,2885000,0.0,1.0
43,DVN,2011-01-06 00:00:00+00:00,78.23,79.0,77.69,78.63,2462300,65.9380619678,66.5870752327,65.4829098079,66.2752117158,2462300,0.0,1.0
44,DVN,2011-01-07 00:00:00+00:00,78.46,78.86,77.9,78.49,1830900,66.1319230729,66.4690728209,65.6599134256,66.157209304,1830900,0.0,1.0
45,DVN,2011-01-10 00:00:00+00:00,78.3,78.65,77.64,78.43,1901700,65.9970631737,66.2920692032,65.4407660894,66.1066368418,1901700,0.0,1.0
46,DVN,2011-01-11 00:00:00+00:00,80.86,80.91,78.5,78.5,3711400,68.1548215609,68.1969652795,66.1656380477,66.1656380477,3711400,0.0,1.0
47,DVN,2011-01-12 00:00:00+00:00,81.99,82.02,80.85,81.23,3336400,69.1072695991,69.1325558302,68.1463928172,68.4666850779,3336400,0.0,1.0
48,DVN,2011-01-13 00:00:00+00:00,81.94,82.18,80.85,81.78,3185300,69.0651258806,69.2674157294,68.1463928172,68.9302659814,3185300,0.0,1.0
49,DVN,2011-01-14 00:00:00+00:00,82.79,82.85,81.12,81.38,2344300,69.7815690951,69.8321415573,68.3739688972,68.5931162334,2344300,0.0,1.0
50,DVN,2011-01-18 00:00:00+00:00,84.02,84.11,82.07,82.25,3641900,70.8183045703,70.8941632636,69.1746995487,69.3264169353,3641900,0.0,1.0
51,DVN,2011-01-19 00:00:00+00:00,82.49,84.38,82.31,84.06,4431500,69.5287067841,71.1217393435,69.3769893975,70.8520195451,4431500,0.0,1.0
52,DVN,2011-01-20 00:00:00+00:00,82.33,82.6,80.301,81.36,3960200,69.3938468849,69.6214229648,67.6836547881,68.576258746,3960200,0.0,1.0
53,DVN,2011-01-21 00:00:00+00:00,83.51,83.54,82.44,82.81,3021800,70.3884386415,70.4137248726,69.4865630656,69.7984265825,3021800,0.0,1.0
54,DVN,2011-01-24 00:00:00+00:00,85.7,85.73,83.08,83.54,4570600,72.2343335119,72.259619743,70.0260026624,70.4137248726,4570600,0.0,1.0
55,DVN,2011-01-25 00:00:00+00:00,84.53,85.95,83.41,85.09,3857000,71.248170499,72.4450521044,70.3041512045,71.7201801462,3857000,0.0,1.0
56,DVN,2011-01-26 00:00:00+00:00,85.76,86.37,84.69,84.7,3006300,72.2849059741,72.7990593398,71.3830303982,71.3914591419,3006300,0.0,1.0
57,DVN,2011-01-27 00:00:00+00:00,83.9,86.74,83.47,86.01,3672200,70.7171596459,73.1109228567,70.3547236667,72.4956245666,3672200,0.0,1.0
58,DVN,2011-01-28 00:00:00+00:00,85.13,85.15,83.77,84.02,3744400,71.753895121,71.7707526084,70.6075859777,70.8183045703,3744400,0.0,1.0
59,DVN,2011-01-31 00:00:00+00:00,88.69,89.38,85.51,85.61,5399600,74.7545278783,75.3361111936,72.0741873816,72.1584748186,5399600,0.0,1.0
60,DVN,2011-02-01 00:00:00+00:00,89.45,89.99,87.82,88.59,4265000,75.3951123995,75.8502645594,74.0212271764,74.6702404413,4265000,0.0,1.0
61,DVN,2011-02-02 00:00:00+00:00,89.49,90.1,88.44,88.45,3394000,75.4288273743,75.9429807401,74.5438092858,74.5522380295,3394000,0.0,1.0
62,DVN,2011-02-03 00:00:00+00:00,88.99,89.734,87.75,89.41,2491200,75.0073901893,75.6344887206,73.9622259705,75.3613974247,2491200,0.0,1.0
63,DVN,2011-02-04 00:00:00+00:00,88.69,89.5,87.52,88.93,1992100,74.7545278783,75.437256118,73.7683648654,74.9568177271,1992100,0.0,1.0
64,DVN,2011-02-07 00:00:00+00:00,86.98,88.35,86.59,87.51,3793500,73.3132127056,74.4679505925,72.9844917012,73.7599361217,3793500,0.0,1.0
65,DVN,2011-02-08 00:00:00+00:00,86.66,87.25,86.02,86.99,2881500,73.0434929071,73.5407887855,72.5040533103,73.3216414493,2881500,0.0,1.0
66,DVN,2011-02-09 00:00:00+00:00,85.87,86.89,85.3,86.55,2600700,72.3776221548,73.2373540123,71.8971837639,72.9507767264,2600700,0.0,1.0
67,DVN,2011-02-10 00:00:00+00:00,86.88,87.06,85.62,85.77,2271800,73.2289252686,73.3806426552,72.1669035623,72.2933347178,2271800,0.0,1.0
68,DVN,2011-02-11 00:00:00+00:00,86.44,86.965,85.9706,86.72,2045300,72.8580605457,73.30056959,72.4624153164,73.0940653693,2045300,0.0,1.0
69,DVN,2011-02-14 00:00:00+00:00,88.24,89.18,87.3,87.95,3148800,74.3752344118,75.1675363196,73.582932504,74.1308008445,3148800,0.0,1.0
70,DVN,2011-02-15 00:00:00+00:00,88.1,88.31,87.01,88.12,3138100,74.257232,74.4342356177,73.3384989367,74.2740894874,3138100,0.0,1.0
71,DVN,2011-02-16 00:00:00+00:00,86.22,88.3399,85.5,88.25,6743400,72.6726281843,74.4594375614,72.0657586379,74.3836631555,6743400,0.0,1.0
72,DVN,2011-02-17 00:00:00+00:00,87.12,87.57,86.1,86.1,2622600,73.4312151174,73.8105085839,72.5714832599,72.5714832599,2622600,0.0,1.0
73,DVN,2011-02-18 00:00:00+00:00,88.2,88.5,87.04,87.35,3145700,74.341519437,74.594381748,73.3637851678,73.6250762225,3145700,0.0,1.0
74,DVN,2011-02-22 00:00:00+00:00,87.46,89.7,86.87,88.51,3148600,73.7177924032,75.6058309921,73.2204965249,74.6028104917,3148600,0.0,1.0
75,DVN,2011-02-23 00:00:00+00:00,89.67,90.17,87.61,87.61,4991700,75.5805447609,76.001981946,73.8442235587,73.8442235587,4991700,0.0,1.0
76,DVN,2011-02-24 00:00:00+00:00,88.35,89.709,87.97,89.32,4250200,74.4679505925,75.6134168614,74.1476583319,75.2855387314,4250200,0.0,1.0
77,DVN,2011-02-25 00:00:00+00:00,90.35,90.47,88.67,88.67,3408100,76.1536993326,76.254844257,74.7376703909,74.7376703909,3408100,0.0,1.0
78,DVN,2011-02-28 00:00:00+00:00,91.44,91.5,90.04,90.51,2968900,77.0724323959,77.1230048581,75.8924082779,76.2885592318,2968900,0.0,1.0
79,DVN,2011-03-01 00:00:00+00:00,88.76,92.1,88.6,91.82,3900300,74.8135290842,77.6287294801,74.678669185,77.3927246565,3900300,0.0,1.0
80,DVN,2011-03-02 00:00:00+00:00,89.39,89.79,87.53,88.63,3114000,75.3445399373,75.6816896854,73.7767936091,74.7039554161,3114000,0.0,1.0
81,DVN,2011-03-03 00:00:00+00:00,90.16,90.26,88.8519,90.0,2062500,75.9935532023,76.0778406393,74.8909892388,75.8586933031,2062500,0.0,1.0
82,DVN,2011-03-04 00:00:00+00:00,91.12,91.14,89.74,90.39,3260200,76.8027125975,76.8195700849,75.6395459669,76.1874143074,3260200,0.0,1.0
83,DVN,2011-03-07 00:00:00+00:00,90.53,92.0,89.66,91.35,2850300,76.3054167192,77.5444420431,75.5721160172,76.9965737026,2850300,0.0,1.0
84,DVN,2011-03-08 00:00:00+00:00,89.96,90.99,88.53,90.69,2338600,75.8249783283,76.6931389294,74.6196679791,76.4402766184,2338600,0.0,1.0
85,DVN,2011-03-09 00:00:00+00:00,89.71,90.67,89.07,89.93,2253900,75.6142597358,76.423419131,75.0748201389,75.7996920972,2253900,0.0,1.0
86,DVN,2011-03-10 00:00:00+00:00,86.08,88.65,85.67,88.65,3747100,72.5546257725,74.7208129035,72.2090472808,74.7208129035,3747100,0.0,1.0
