,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,D,2010-11-04 00:00:00+00:00,43.53,43.53,43.11,43.24,2843400,28.9728771315,28.9728771315,28.6933317974,28.7798577341,2843400,0.0,1.0
1,D,2010-11-05 00:00:00+00:00,43.5,43.58,43.2,43.44,2374500,28.9529096076,29.0061563379,28.753234369,28.9129745599,2374500,0.0,1.0
2,D,2010-11-08 00:00:00+00:00,43.09,43.46,42.8,43.34,2022100,28.6800201148,28.9262862425,28.4870007174,28.846416147,2022100,0.0,1.0
3,D,2010-11-09 00:00:00+00:00,43.07,43.46,42.9,43.25,2014300,28.6667084322,28.9262862425,28.5535591303,28.7865135754,2014300,0.0,1.0
4,D,2010-11-10 00:00:00+00:00,42.98,43.08,42.58,43.08,1933000,28.6068058606,28.6733642735,28.340572209,28.6733642735,1933000,0.0,1.0
5,D,2010-11-11 00:00:00+00:00,42.84,43.02,42.6,42.79,1658300,28.5136240826,28.6334292258,28.3538838916,28.4803448761,1658300,0.0,1.0
6,D,2010-11-12 00:00:00+00:00,42.86,42.96,42.42,42.68,2148900,28.5269357651,28.593494178,28.2340787484,28.4071306219,2148900,0.0,1.0
7,D,2010-11-15 00:00:00+00:00,43.12,43.3,42.85,42.9,2464700,28.6999876386,28.8197927819,28.5202799238,28.5535591303,2464700,0.0,1.0
8,D,2010-11-16 00:00:00+00:00,42.79,43.37,42.4701,42.96,3843800,28.4803448761,28.8663836709,28.2674245133,28.593494178,3843800,0.0,1.0
9,D,2010-11-17 00:00:00+00:00,42.45,42.96,42.42,42.86,2560200,28.2540462723,28.593494178,28.2340787484,28.5269357651,2560200,0.0,1.0
10,D,2010-11-18 00:00:00+00:00,42.8,42.85,42.44,42.85,7885200,28.4870007174,28.5202799238,28.247390431,28.5202799238,7885200,0.0,1.0
11,D,2010-11-19 00:00:00+00:00,42.76,42.87,42.46,42.68,7915800,28.4603773522,28.5335916064,28.2607021136,28.4071306219,7915800,0.0,1.0
12,D,2010-11-22 00:00:00+00:00,43.01,43.03,42.62,42.73,7714000,28.6267733845,28.640085067,28.3671955742,28.4404098284,7714000,0.0,1.0
13,D,2010-11-23 00:00:00+00:00,42.49,42.82,42.37,42.76,2552600,28.2806696374,28.5003124,28.200799542,28.4603773522,2552600,0.0,1.0
14,D,2010-11-24 00:00:00+00:00,42.03,42.2,41.87,42.2,2465700,28.2790056771,28.3933866185,28.1713530264,28.3933866185,2465700,0.4575,1.0
15,D,2010-11-26 00:00:00+00:00,41.84,42.18,41.66,41.83,848300,28.1511681544,28.3799300371,28.0300589224,28.1444398638,848300,0.0,1.0
16,D,2010-11-29 00:00:00+00:00,41.61,41.72,41.13,41.6,1956900,27.9964174691,28.0704286664,27.673459517,27.9896891784,1956900,0.0,1.0
17,D,2010-11-30 00:00:00+00:00,41.53,41.81,41.19,41.3,2971700,27.9425911437,28.1309832824,27.713829261,27.7878404584,2971700,0.0,1.0
18,D,2010-12-01 00:00:00+00:00,42.05,42.075,41.64,41.93,1942100,28.2924622584,28.3092829851,28.0166023411,28.2117227704,1942100,0.0,1.0
19,D,2010-12-02 00:00:00+00:00,42.1,42.1,41.76,42.04,1678800,28.3261037118,28.3261037118,28.0973418291,28.2857339678,1678800,0.0,1.0
20,D,2010-12-03 00:00:00+00:00,42.42,42.44,41.91,42.09,2237800,28.5414090132,28.5548655945,28.1982661891,28.3193754211,2237800,0.0,1.0
21,D,2010-12-06 00:00:00+00:00,42.04,42.4647,41.97,42.25,1824700,28.2857339678,28.5714844724,28.2386359331,28.4270280718,1824700,0.0,1.0
22,D,2010-12-07 00:00:00+00:00,41.9,42.42,41.88,42.38,2280300,28.1915378984,28.5414090132,28.1780813171,28.5144958505,2280300,0.0,1.0
23,D,2010-12-08 00:00:00+00:00,41.83,42.35,41.74,42.06,1891500,28.1444398638,28.4943109785,28.0838852477,28.2991905491,1891500,0.0,1.0
24,D,2010-12-09 00:00:00+00:00,41.77,42.0,41.54,41.96,2649200,28.1040701197,28.2588208051,27.9493194344,28.2319076424,2649200,0.0,1.0
25,D,2010-12-10 00:00:00+00:00,41.62,42.04,41.32,41.87,3943700,28.0031457597,28.2857339678,27.8012970397,28.1713530264,3943700,0.0,1.0
26,D,2010-12-13 00:00:00+00:00,42.05,42.16,41.52,41.63,2640600,28.2924622584,28.3664734558,27.935862853,28.0098740504,2640600,0.0,1.0
27,D,2010-12-14 00:00:00+00:00,42.0,42.27,41.84,42.03,2278800,28.2588208051,28.4404846531,28.1511681544,28.2790056771,2278800,0.0,1.0
28,D,2010-12-15 00:00:00+00:00,41.72,42.07,41.7,41.99,1950100,28.0704286664,28.3059188398,28.0569720851,28.2520925144,1950100,0.0,1.0
29,D,2010-12-16 00:00:00+00:00,42.31,42.36,41.68,41.82,2303900,28.4673978158,28.5010392692,28.0435155037,28.1377115731,2303900,0.0,1.0
30,D,2010-12-17 00:00:00+00:00,42.57,42.62,41.97,42.25,7026500,28.6423333732,28.6759748265,28.2386359331,28.4270280718,7026500,0.0,1.0
31,D,2010-12-20 00:00:00+00:00,42.93,45.0,42.74,42.9,3792900,28.8845518372,30.2773080055,28.7567143145,28.8643669652,3792900,0.0,1.0
32,D,2010-12-21 00:00:00+00:00,42.96,43.185,42.78,43.05,2214800,28.9047367092,29.0561232493,28.7836274772,28.9652913252,2214800,0.0,1.0
33,D,2010-12-22 00:00:00+00:00,42.92,43.02,42.78,42.99,1755300,28.8778235466,28.9451064532,28.7836274772,28.9249215812,1755300,0.0,1.0
34,D,2010-12-23 00:00:00+00:00,42.96,43.1,42.82,42.92,1079200,28.9047367092,28.9989327786,28.8105406399,28.8778235466,1079200,0.0,1.0
35,D,2010-12-27 00:00:00+00:00,42.89,43.18,42.75,42.85,908000,28.8576386745,29.0527591039,28.7634426052,28.8307255119,908000,0.0,1.0
36,D,2010-12-28 00:00:00+00:00,42.92,43.0,42.68,42.84,1458500,28.8778235466,28.9316498719,28.7163445705,28.8239972212,1458500,0.0,1.0
37,D,2010-12-29 00:00:00+00:00,42.94,43.07,42.76,42.93,1155300,28.8912801279,28.9787479066,28.7701708959,28.8845518372,1155300,0.0,1.0
38,D,2010-12-30 00:00:00+00:00,42.9,43.02,42.74,42.9,1181200,28.8643669652,28.9451064532,28.7567143145,28.8643669652,1181200,0.0,1.0
39,D,2010-12-31 00:00:00+00:00,42.72,43.02,42.67,42.82,1235500,28.7432577332,28.9451064532,28.7096162799,28.8105406399,1235500,0.0,1.0
40,D,2011-01-03 00:00:00+00:00,42.75,42.94,42.6,42.93,1793000,28.7634426052,28.8912801279,28.6625182452,28.8845518372,1793000,0.0,1.0
41,D,2011-01-04 00:00:00+00:00,43.14,43.18,42.36,42.69,2339700,29.0258459412,29.0527591039,28.5010392692,28.7230728612,2339700,0.0,1.0
42,D,2011-01-05 00:00:00+00:00,43.03,43.1798,42.76,42.92,1621100,28.9518347439,29.0526245381,28.7701708959,28.8778235466,1621100,0.0,1.0
43,D,2011-01-06 00:00:00+00:00,43.19,43.21,42.78,42.95,1748000,29.0594873946,29.0729439759,28.7836274772,28.8980084186,1748000,0.0,1.0
44,D,2011-01-07 00:00:00+00:00,43.23,43.34,42.7964,43.29,1988300,29.0864005573,29.1604117546,28.7946618739,29.1267703013,1988300,0.0,1.0
45,D,2011-01-10 00:00:00+00:00,42.44,43.0,42.43,42.94,3736000,28.5548655945,28.9316498719,28.5481373038,28.8912801279,3736000,0.0,1.0
46,D,2011-01-11 00:00:00+00:00,42.33,42.61,42.19,42.61,2106400,28.4808543971,28.6692465358,28.3866583278,28.6692465358,2106400,0.0,1.0
47,D,2011-01-12 00:00:00+00:00,42.26,42.6,42.06,42.56,1812400,28.4337563625,28.6625182452,28.2991905491,28.6356050825,1812400,0.0,1.0
48,D,2011-01-13 00:00:00+00:00,42.61,42.64,42.16,42.27,1845500,28.6692465358,28.6894314079,28.3664734558,28.4404846531,1845500,0.0,1.0
49,D,2011-01-14 00:00:00+00:00,42.98,43.41,42.59,42.9,3749100,28.9181932906,29.2075097893,28.6557899545,28.8643669652,3749100,0.0,1.0
50,D,2011-01-18 00:00:00+00:00,42.98,43.13,42.86,42.92,1661300,28.9181932906,29.0191176506,28.8374538025,28.8778235466,1661300,0.0,1.0
51,D,2011-01-19 00:00:00+00:00,42.97,43.17,42.82,43.0,1863200,28.9114649999,29.0460308132,28.8105406399,28.9316498719,1863200,0.0,1.0
52,D,2011-01-20 00:00:00+00:00,43.37,43.5,42.91,42.95,2008500,29.1805966266,29.2680644053,28.8710952559,28.8980084186,2008500,0.0,1.0
53,D,2011-01-21 00:00:00+00:00,43.35,43.47,43.12,43.39,1599200,29.1671400453,29.2478795333,29.0123893599,29.1940532079,1599200,0.0,1.0
54,D,2011-01-24 00:00:00+00:00,43.58,43.77,43.28,43.28,1311200,29.3218907306,29.4497282533,29.1200420106,29.1200420106,1311200,0.0,1.0
55,D,2011-01-25 00:00:00+00:00,43.57,43.85,43.45,43.58,1773100,29.31516244,29.5035545787,29.2344229519,29.3218907306,1773100,0.0,1.0
56,D,2011-01-26 00:00:00+00:00,43.55,43.655,43.33,43.64,1358900,29.3017058586,29.3723529106,29.1536834639,29.3622604746,1358900,0.0,1.0
57,D,2011-01-27 00:00:00+00:00,43.79,44.0,43.47,43.47,2142000,29.4631848347,29.6044789387,29.2478795333,29.2478795333,2142000,0.0,1.0
58,D,2011-01-28 00:00:00+00:00,43.39,43.88,43.21,43.63,2942200,29.1940532079,29.5237394507,29.0729439759,29.355532184,2942200,0.0,1.0
59,D,2011-01-31 00:00:00+00:00,43.54,43.56,43.25,43.48,1936300,29.294977568,29.3084341493,29.0998571386,29.254607824,1936300,0.0,1.0
60,D,2011-02-01 00:00:00+00:00,43.78,43.84,43.43,43.7,1644200,29.456456544,29.496826288,29.2209663706,29.4026302186,1644200,0.0,1.0
61,D,2011-02-02 00:00:00+00:00,43.51,43.63,43.34,43.55,2075700,29.274792696,29.355532184,29.1604117546,29.3017058586,2075700,0.0,1.0
62,D,2011-02-03 00:00:00+00:00,43.69,43.77,43.36,43.42,6894900,29.395901928,29.4497282533,29.1738683359,29.2142380799,6894900,0.0,1.0
63,D,2011-02-04 00:00:00+00:00,43.61,43.79,43.23,43.68,6684600,29.3420756026,29.4631848347,29.0864005573,29.3891736373,6684600,0.0,1.0
64,D,2011-02-07 00:00:00+00:00,43.42,43.88,43.26,43.38,7921600,29.2142380799,29.5237394507,29.1065854293,29.1873249173,7921600,0.0,1.0
65,D,2011-02-08 00:00:00+00:00,43.54,43.54,43.18,43.52,1888900,29.294977568,29.294977568,29.0527591039,29.2815209866,1888900,0.0,1.0
66,D,2011-02-09 00:00:00+00:00,43.54,43.6,43.2545,43.5,2155200,29.294977568,29.335347312,29.1028848694,29.2680644053,2155200,0.0,1.0
67,D,2011-02-10 00:00:00+00:00,43.9,43.92,43.34,43.51,2045800,29.537196032,29.5506526133,29.1604117546,29.274792696,2045800,0.0,1.0
68,D,2011-02-11 00:00:00+00:00,44.12,44.19,43.68,43.75,2632800,29.6852184267,29.7323164614,29.3891736373,29.436271672,2632800,0.0,1.0
69,D,2011-02-14 00:00:00+00:00,43.68,44.12,43.3,44.12,2201900,29.3891736373,29.6852184267,29.1334985919,29.6852184267,2201900,0.0,1.0
70,D,2011-02-15 00:00:00+00:00,43.74,43.78,43.35,43.6,1767800,29.4295433813,29.456456544,29.1671400453,29.335347312,1767800,0.0,1.0
71,D,2011-02-16 00:00:00+00:00,44.09,44.1898,43.74,43.77,2286500,29.6650335547,29.7321818956,29.4295433813,29.4497282533,2286500,0.0,1.0
72,D,2011-02-17 00:00:00+00:00,44.18,44.26,43.87,44.06,2278100,29.7255881707,29.779414496,29.51701116,29.6448486827,2278100,0.0,1.0
73,D,2011-02-18 00:00:00+00:00,44.37,44.42,44.02,44.15,2286300,29.8534256934,29.8870671467,29.61793552,29.7054032987,2286300,0.0,1.0
74,D,2011-02-22 00:00:00+00:00,44.29,44.4,44.0,44.08,1909100,29.7995993681,29.8736105654,29.6044789387,29.658305264,1909100,0.0,1.0
75,D,2011-02-23 00:00:00+00:00,44.64,44.82,44.24,44.3,4229100,30.0350895414,30.1561987734,29.7659579147,29.8063276587,4229100,0.0,1.0
76,D,2011-02-24 00:00:00+00:00,44.74,44.94,44.58,44.64,3519800,30.1023724481,30.2369382615,29.9947197974,30.0350895414,3519800,0.0,1.0
77,D,2011-02-25 00:00:00+00:00,45.0,45.0,44.76,44.84,1856900,30.2773080055,30.2773080055,30.1158290294,30.1696553548,1856900,0.0,1.0
78,D,2011-02-28 00:00:00+00:00,45.63,45.63,44.97,45.04,3514600,30.7011903175,30.7011903175,30.2571231335,30.3042211681,3514600,0.0,1.0
79,D,2011-03-01 00:00:00+00:00,45.57,46.17,45.44,45.72,3737500,30.6608205735,31.0645180136,30.5733527949,30.7617449336,3737500,0.0,1.0
80,D,2011-03-02 00:00:00+00:00,44.79,45.35,44.54,44.99,2803600,30.4673822168,30.848309523,30.2973253837,30.6034276833,2803600,0.4925,1.0
81,D,2011-03-03 00:00:00+00:00,45.53,45.65,44.93,45.13,2179900,30.9707504428,31.0523777227,30.5626140434,30.6986595098,2179900,0.0,1.0
82,D,2011-03-04 00:00:00+00:00,45.54,45.62,45.09,45.58,2596000,30.9775527161,31.0319709027,30.6714504165,31.0047618094,2596000,0.0,1.0
83,D,2011-03-07 00:00:00+00:00,45.42,45.86,45.35,45.58,2879000,30.8959254362,31.1952254625,30.848309523,31.0047618094,2879000,0.0,1.0
84,D,2011-03-08 00:00:00+00:00,46.14,46.43,45.54,45.59,3016700,31.3856891155,31.5829550419,30.9775527161,31.0115640827,3016700,0.0,1.0
85,D,2011-03-09 00:00:00+00:00,46.34,46.56,46.0,46.0,2799300,31.521734582,31.6713845951,31.290457289,31.290457289,2799300,0.0,1.0
86,D,2011-03-10 00:00:00+00:00,45.66,46.17,45.61,46.0,3103600,31.059179996,31.4060959355,31.0251686294,31.290457289,3103600,0.0,1.0
87,D,2011-03-11 00:00:00+00:00,45.51,46.0,45.25,45.49,4399700,30.9571458961,31.290457289,30.7802867897,30.9435413495,4399700,0.0,1.0
88,D,2011-03-14 00:00:00+00:00,45.16,45.29,44.74,45.14,3397000,30.7190663298,30.807495883,30.4333708502,30.7054617832,3397000,0.0,1.0
89,D,2011-03-15 00:00:00+00:00,44.73,45.01,44.28,44.28,4011200,30.4265685769,30.61703223,30.1204662773,30.1204662773,4011200,0.0,1.0
90,D,2011-03-16 00:00:00+00:00,43.72,44.75,43.45,44.74,4672100,29.7395389712,30.4401731235,29.5558775915,30.4333708502,4672100,0.0,1.0
91,D,2011-03-17 00:00:00+00:00,43.61,44.24,42.91,44.18,3745200,29.6647139646,30.093257184,29.188554832,30.0524435441,3745200,0.0,1.0
