,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,EBAY,2010-11-04 00:00:00+00:00,30.15,30.46,30.0,30.35,15213500,12.5335603128,12.6624294238,12.4712042913,12.6167016747,35656141,0.0,1.0
1,EBAY,2010-11-05 00:00:00+00:00,30.865,30.93,30.14,30.18,16735000,12.8307906817,12.8578116244,12.5294032447,12.5460315171,39222107,0.0,1.0
2,EBAY,2010-11-08 00:00:00+00:00,30.84,31.25,30.65,30.79,14434200,12.8203980115,12.9908378035,12.7414137177,12.799612671,33829682,0.0,1.0
3,EBAY,2010-11-09 00:00:00+00:00,30.53,30.84,30.25,30.79,13806100,12.6915289005,12.8203980115,12.5751309938,12.799612671,32357593,0.0,1.0
4,EBAY,2010-11-10 00:00:00+00:00,30.93,30.93,30.2,30.78,14230000,12.8578116244,12.8578116244,12.5543456533,12.7954556029,33351095,0.0,1.0
5,EBAY,2010-11-11 00:00:00+00:00,30.79,30.9225,30.21,30.44,10531900,12.799612671,12.8546938233,12.5585027214,12.6541152876,24683795,0.0,1.0
6,EBAY,2010-11-12 00:00:00+00:00,30.14,30.8,30.075,30.6,16159900,12.5294032447,12.8037697391,12.5023823021,12.7206283772,37874235,0.0,1.0
7,EBAY,2010-11-15 00:00:00+00:00,30.06,30.44,29.85,30.17,14071500,12.4961466999,12.6541152876,12.4088482699,12.541874449,32979616,0.0,1.0
8,EBAY,2010-11-16 00:00:00+00:00,29.77,30.2,29.55,29.64,15273000,12.3755917251,12.5543456533,12.284136227,12.3215498398,35795592,0.0,1.0
9,EBAY,2010-11-17 00:00:00+00:00,30.14,30.17,29.42,29.67,14851300,12.5294032447,12.541874449,12.2300943417,12.3340210441,34807247,0.0,1.0
10,EBAY,2010-11-18 00:00:00+00:00,30.57,30.85,30.23,30.33,10495000,12.7081571729,12.8245550796,12.5668168576,12.6083875385,24597311,0.0,1.0
11,EBAY,2010-11-19 00:00:00+00:00,30.3,30.56,30.0675,30.55,11883400,12.5959163343,12.7040001048,12.499264501,12.6998430367,27851328,0.0,1.0
12,EBAY,2010-11-22 00:00:00+00:00,30.64,30.6625,29.89,30.07,11677300,12.7372566496,12.7466100528,12.4254765423,12.500303768,27368288,0.0,1.0
13,EBAY,2010-11-23 00:00:00+00:00,30.18,30.36,29.65,30.24,12051100,12.5460315171,12.6208587428,12.3257069079,12.5709739257,28244370,0.0,1.0
14,EBAY,2010-11-24 00:00:00+00:00,31.21,31.24,30.39,30.39,15135100,12.9742095311,12.9866807354,12.6333299471,12.6333299471,35472393,0.0,1.0
15,EBAY,2010-11-26 00:00:00+00:00,31.15,31.48,30.93,31.0,5586400,12.9492671225,13.0864503697,12.8578116244,12.8869111011,13092941,0.0,1.0
16,EBAY,2010-11-29 00:00:00+00:00,30.23,31.64,30.16,30.82,25728800,12.5668168576,13.1529634593,12.5377173809,12.8120838753,60301030,0.0,1.0
17,EBAY,2010-11-30 00:00:00+00:00,29.14,29.66,28.7875,29.57,21152600,12.113696435,12.329863976,11.9671597846,12.2924503632,49575712,0.0,1.0
18,EBAY,2010-12-01 00:00:00+00:00,29.26,30.11,29.16,29.62,18363900,12.1635812522,12.5169320404,12.1220105712,12.3132357037,43039788,0.0,1.0
19,EBAY,2010-12-02 00:00:00+00:00,29.91,30.07,29.26,29.39,11318700,12.4337906785,12.500303768,12.1635812522,12.2176231374,26527831,0.0,1.0
20,EBAY,2010-12-03 00:00:00+00:00,29.61,29.7,29.26,29.44,8918400,12.3090786356,12.3464922484,12.1635812522,12.2384084779,20902207,0.0,1.0
21,EBAY,2010-12-06 00:00:00+00:00,29.485,29.82,29.41,29.48,8583700,12.2571152843,12.3963770656,12.2259372736,12.2550367503,20117765,0.0,1.0
22,EBAY,2010-12-07 00:00:00+00:00,30.0,30.42,29.83,29.85,14911800,12.4712042913,12.6458011514,12.4005341337,12.4088482699,34949041,0.0,1.0
23,EBAY,2010-12-08 00:00:00+00:00,30.15,30.23,29.63,30.1062,10526200,12.5335603128,12.5668168576,12.3173927717,12.5153523545,24670435,0.0,1.0
24,EBAY,2010-12-09 00:00:00+00:00,30.35,30.4601,30.18,30.24,8745500,12.6167016747,12.6624709945,12.5460315171,12.5709739257,20496978,0.0,1.0
25,EBAY,2010-12-10 00:00:00+00:00,30.69,30.81,30.33,30.5,10072300,12.75804199,12.8079268072,12.6083875385,12.6790576962,23606622,0.0,1.0
26,EBAY,2010-12-13 00:00:00+00:00,30.28,30.8199,30.28,30.73,10751500,12.5876021981,12.8120423046,12.5876021981,12.7746702624,25198475,0.0,1.0
27,EBAY,2010-12-14 00:00:00+00:00,30.75,30.81,30.26,30.38,9925200,12.7829843986,12.8079268072,12.5792880619,12.629172879,23261861,0.0,1.0
28,EBAY,2010-12-15 00:00:00+00:00,30.19,30.82,30.12,30.73,13860400,12.5501885852,12.8120838753,12.5210891085,12.7746702624,32484857,0.0,1.0
29,EBAY,2010-12-16 00:00:00+00:00,30.53,30.53,29.95,30.31,9922700,12.6915289005,12.6915289005,12.4504189509,12.6000734024,23256002,0.0,1.0
30,EBAY,2010-12-17 00:00:00+00:00,29.82,30.63,29.7782,30.59,18081400,12.3963770656,12.7330995815,12.3790005209,12.7164713091,42377687,0.0,1.0
31,EBAY,2010-12-20 00:00:00+00:00,29.58,29.89,29.49,29.85,10602700,12.2966074313,12.4254765423,12.2591938184,12.4088482699,24849730,0.0,1.0
32,EBAY,2010-12-21 00:00:00+00:00,28.65,29.69,28.61,29.59,17132800,11.9100000982,12.3423351803,11.8933718258,12.3007644994,40154437,0.0,1.0
33,EBAY,2010-12-22 00:00:00+00:00,28.5725,28.99,28.55,28.78,10561500,11.8777828205,12.0513404135,11.8684294173,11.9640419835,24753169,0.0,1.0
34,EBAY,2010-12-23 00:00:00+00:00,28.32,28.56,28.19,28.53,7288000,11.772816851,11.8725864854,11.7187749658,11.8601152811,17081010,0.0,1.0
35,EBAY,2010-12-27 00:00:00+00:00,28.31,28.46,28.0,28.18,5227400,11.7686597829,11.8310158044,11.6397906719,11.7146178977,12251547,0.0,1.0
36,EBAY,2010-12-28 00:00:00+00:00,28.35,28.35,28.08,28.31,7917300,11.7852880553,11.7852880553,11.6730472167,11.7686597829,18555912,0.0,1.0
37,EBAY,2010-12-29 00:00:00+00:00,28.36,28.495,28.13,28.37,4513700,11.7894451234,11.8455655427,11.6938325572,11.7936021915,10578836,0.0,1.0
38,EBAY,2010-12-30 00:00:00+00:00,28.13,28.33,28.0,28.28,4357000,11.6938325572,11.7769739191,11.6397906719,11.7561885786,10211575,0.0,1.0
39,EBAY,2010-12-31 00:00:00+00:00,27.83,28.11,27.69,28.06,7080700,11.5691205143,11.685518421,11.5109215609,11.6647330805,16595158,0.0,1.0
40,EBAY,2011-01-03 00:00:00+00:00,28.68,28.85,28.13,28.21,13156100,11.9224713025,11.9931414602,11.6938325572,11.727089102,30834177,0.0,1.0
41,EBAY,2011-01-04 00:00:00+00:00,28.47,29.33,28.45,28.88,11799100,11.8351728725,12.1926807288,11.8268587363,12.0056126645,27653753,0.0,1.0
42,EBAY,2011-01-05 00:00:00+00:00,28.73,28.84,28.32,28.39,6684000,11.943256643,11.9889843921,11.772816851,11.8019163277,15665405,0.0,1.0
43,EBAY,2011-01-06 00:00:00+00:00,28.42,28.89,28.3,28.81,7349400,11.814387532,12.0097697326,11.7645027148,11.9765131878,17224915,0.0,1.0
44,EBAY,2011-01-07 00:00:00+00:00,27.695,28.58,27.22,28.54,18112800,11.513000095,11.8809006216,11.3155393603,11.8642723492,42451280,0.0,1.0
