,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,EL,2010-11-04 00:00:00+00:00,72.13,73.14,71.69,71.79,1781800,30.4621589332,30.8887051764,30.2763368075,30.3185691088,3741779,0.0,1.0
1,EL,2010-11-05 00:00:00+00:00,72.16,72.46,71.76,72.01,960600,30.4748286236,30.6015255275,30.3058994184,30.4114801716,2017259,0.0,1.0
2,EL,2010-11-08 00:00:00+00:00,71.83,72.91,71.33,72.7,1094200,30.3354620293,30.7915708834,30.1243005228,30.7028830507,2297819,0.0,1.0
3,EL,2010-11-09 00:00:00+00:00,71.02,71.81,70.5,71.81,1452200,29.9933803887,30.327015569,29.7737724219,30.327015569,3049619,0.0,1.0
4,EL,2010-11-10 00:00:00+00:00,70.49,70.85,70.07,70.84,1559900,29.7695491918,29.9215854765,29.5921735263,29.9173622463,3275789,0.0,1.0
5,EL,2010-11-11 00:00:00+00:00,71.88,71.88,69.77,70.1,1314000,30.3565781799,30.3565781799,29.4654766224,29.6048432167,2759399,0.0,1.0
6,EL,2010-11-12 00:00:00+00:00,71.78,71.91,70.7,71.21,1284600,30.3143458786,30.3692478703,29.8582370245,30.0736217612,2697659,0.0,1.0
7,EL,2010-11-15 00:00:00+00:00,72.72,73.11,71.32,71.88,1487000,30.7113295109,30.876035486,30.1200772926,30.3565781799,3122699,0.0,1.0
8,EL,2010-11-16 00:00:00+00:00,70.98,72.2,70.65,72.11,1213600,29.9764874682,30.4917215441,29.8371208739,30.453712473,2548559,0.0,1.0
9,EL,2010-11-17 00:00:00+00:00,72.34,72.39,70.23,70.37,1180200,30.550846766,30.5719629166,29.6597452084,29.7188704302,2478419,0.0,1.0
10,EL,2010-11-18 00:00:00+00:00,74.48,75.14,73.11,73.87,3596100,31.4546180139,31.7333512026,30.876035486,31.197000976,7551809,0.0,1.0
11,EL,2010-11-19 00:00:00+00:00,75.37,75.64,74.02,74.25,3516700,31.8304854956,31.9445127091,31.2603494279,31.3574837209,7385069,0.0,1.0
12,EL,2010-11-22 00:00:00+00:00,76.26,76.29,74.81,75.05,2719700,32.2063529772,32.2190226676,31.5939846083,31.6953421314,5711369,0.0,1.0
13,EL,2010-11-23 00:00:00+00:00,75.54,75.87,75.17,75.61,1436200,31.9022804078,32.0416470021,31.746020893,31.9318430187,3016019,0.0,1.0
14,EL,2010-11-24 00:00:00+00:00,75.91,76.18,75.32,75.59,1328900,32.3752821825,32.4904359987,32.1236497692,32.2388035855,2790689,0.75,1.0
15,EL,2010-11-26 00:00:00+00:00,75.79,76.36,75.29,75.31,464500,32.3241027086,32.5672052095,32.1108549008,32.1193848131,975449,0.0,1.0
16,EL,2010-11-29 00:00:00+00:00,74.9,75.29,74.1,75.1,1432700,31.9445216107,32.1108549008,31.6033251182,32.0298207338,3008669,0.0,1.0
17,EL,2010-11-30 00:00:00+00:00,74.92,75.19,74.0,74.48,1738100,31.953051523,32.0682053392,31.5606755566,31.7653934521,3650009,0.0,1.0
18,EL,2010-12-01 00:00:00+00:00,77.15,77.15,76.28,76.28,1495600,32.9041367458,32.9041367458,32.5330855602,32.5330855602,3140759,0.0,1.0
19,EL,2010-12-02 00:00:00+00:00,78.04,78.04,76.64,76.83,1412900,33.2837178437,33.2837178437,32.6866239819,32.7676581488,2967089,0.0,1.0
20,EL,2010-12-03 00:00:00+00:00,77.33,77.96,77.0625,77.85,1280000,32.9809059566,33.2495981945,32.8668183795,33.2026836768,2687999,0.0,1.0
21,EL,2010-12-06 00:00:00+00:00,77.89,78.09,77.22,77.32,1222800,33.2197435014,33.3050426245,32.9339914389,32.9766410005,2567879,0.0,1.0
22,EL,2010-12-07 00:00:00+00:00,78.04,78.82,77.84,78.48,1015600,33.2837178437,33.6163844239,33.1984187206,33.4713759146,2132759,0.0,1.0
23,EL,2010-12-08 00:00:00+00:00,77.41,78.23,77.26,77.82,832600,33.0150256059,33.3647520107,32.9510512636,33.1898888083,1748459,0.0,1.0
24,EL,2010-12-09 00:00:00+00:00,78.23,78.57,77.44,77.7,1239000,33.3647520107,33.50976052,33.0278204744,33.1387093344,2601899,0.0,1.0
