,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,EOG,2010-11-04 00:00:00+00:00,88.29,89.76,86.31,89.76,6261900,40.1347196496,40.8029497763,39.234654581,40.8029497763,12523800,0.0,1.0
1,EOG,2010-11-05 00:00:00+00:00,88.61,88.86,87.0,88.66,3639100,40.2801847112,40.3938292906,39.5483136201,40.3029136271,7278200,0.0,1.0
2,EOG,2010-11-08 00:00:00+00:00,89.46,91.34,88.75,89.205,4667400,40.666576281,41.5211835179,40.3438256756,40.5506588101,9334800,0.0,1.0
3,EOG,2010-11-09 00:00:00+00:00,91.99,92.8099,89.86,90.14,4432000,41.8166594242,42.1893681867,40.848407608,40.9756895369,8864000,0.0,1.0
4,EOG,2010-11-10 00:00:00+00:00,93.88,94.09,92.07,92.41,2815100,42.6758124443,42.7712738909,41.8530256896,42.0075823176,5630200,0.0,1.0
5,EOG,2010-11-11 00:00:00+00:00,94.11,95.0,93.22,93.22,2208000,42.7803654573,43.1849401598,42.3757907547,42.3757907547,4416000,0.0,1.0
6,EOG,2010-11-12 00:00:00+00:00,92.05,93.45,91.23,93.11,2354900,41.8439341233,42.4803437678,41.471179903,42.3257871398,4709800,0.0,1.0
7,EOG,2010-11-15 00:00:00+00:00,92.43,94.22,92.08,93.5,2132400,42.0166738839,42.8303690722,41.8575714728,42.5030726836,4264800,0.0,1.0
8,EOG,2010-11-16 00:00:00+00:00,91.05,91.42,89.6,91.42,2616100,41.3893558058,41.5575497833,40.7302172455,41.5575497833,5232200,0.0,1.0
9,EOG,2010-11-17 00:00:00+00:00,90.17,91.92,89.98,91.28,2018100,40.9893268864,41.784838942,40.9029570061,41.4939088188,4036200,0.0,1.0
10,EOG,2010-11-18 00:00:00+00:00,92.11,92.7155,90.05,90.51,2425700,41.8712088223,42.1464559936,40.9347774884,41.1438835144,4851400,0.0,1.0
11,EOG,2010-11-19 00:00:00+00:00,92.96,93.07,91.14,91.65,2210200,42.2576003922,42.3076040071,41.4302678544,41.6621027963,4420400,0.0,1.0
12,EOG,2010-11-22 00:00:00+00:00,92.5,93.63,90.98,92.69,1272000,42.0484943662,42.5621678649,41.3575353236,42.1348642465,2544000,0.0,1.0
13,EOG,2010-11-23 00:00:00+00:00,88.7,91.2,88.5,91.15,2949800,40.3210967598,41.4575425534,40.2301810963,41.4348136376,5899600,0.0,1.0
14,EOG,2010-11-24 00:00:00+00:00,89.8,90.05,88.54,89.3,1756400,40.821132909,40.9347774884,40.248364229,40.5938437502,3512800,0.0,1.0
15,EOG,2010-11-26 00:00:00+00:00,88.92,89.8,88.84,88.97,462000,40.4211039896,40.821132909,40.3847377242,40.4438329055,924000,0.0,1.0
16,EOG,2010-11-29 00:00:00+00:00,89.22,89.63,87.61,88.64,1800100,40.5574774848,40.743854595,39.8256063937,40.2938220607,3600200,0.0,1.0
17,EOG,2010-11-30 00:00:00+00:00,88.95,89.87,88.01,88.42,2228200,40.4347413391,40.8529533912,40.0074377207,40.1938148309,4456400,0.0,1.0
18,EOG,2010-12-01 00:00:00+00:00,91.63,91.72,89.56,90.49,2405600,41.65301123,41.6939232785,40.7120341128,41.134791948,4811200,0.0,1.0
19,EOG,2010-12-02 00:00:00+00:00,93.86,93.99,91.53,91.53,1986600,42.6667208779,42.7258160592,41.6075533982,41.6075533982,3973200,0.0,1.0
20,EOG,2010-12-03 00:00:00+00:00,93.74,94.0,92.78,93.46,1668900,42.6121714798,42.7303618424,42.175776295,42.4848895509,3337800,0.0,1.0
21,EOG,2010-12-06 00:00:00+00:00,94.38,94.7,93.51,93.55,1466700,42.903101603,43.0485666646,42.5076184668,42.5258015995,2933400,0.0,1.0
22,EOG,2010-12-07 00:00:00+00:00,92.71,96.07,92.43,95.55,2378600,42.1439558128,43.6713389595,42.0166738839,43.4349582344,4757200,0.0,1.0
23,EOG,2010-12-08 00:00:00+00:00,92.2,93.53,91.41,93.17,1494300,41.9121208709,42.5167100332,41.5530040001,42.3530618389,2988600,0.0,1.0
24,EOG,2010-12-09 00:00:00+00:00,92.23,93.41,91.77,92.35,2057600,41.9257582204,42.4621606351,41.7166521944,41.9803076185,4115200,0.0,1.0
25,EOG,2010-12-10 00:00:00+00:00,90.75,92.43,90.73,91.93,1978000,41.2529823106,42.0166738839,41.2438907442,41.7893847252,3956000,0.0,1.0
26,EOG,2010-12-13 00:00:00+00:00,90.7,92.5,90.59,91.5,2266400,41.2302533947,42.0484943662,41.1802497798,41.5939160487,4532800,0.0,1.0
27,EOG,2010-12-14 00:00:00+00:00,91.65,92.0889,90.1826,90.82,1839000,41.6621027963,41.8616172198,40.9950545732,41.2848027928,3678000,0.0,1.0
28,EOG,2010-12-15 00:00:00+00:00,90.12,92.19,89.85,91.35,1800400,40.9665979706,41.9075750877,40.8438618249,41.5257293011,3600800,0.0,1.0
29,EOG,2010-12-16 00:00:00+00:00,90.51,90.71,89.76,90.17,1001900,41.1438835144,41.2347991779,40.8029497763,40.9893268864,2003800,0.0,1.0
30,EOG,2010-12-17 00:00:00+00:00,91.67,91.8,90.08,90.41,2423500,41.6711943627,41.7302895439,40.9484148379,41.0984256826,4847000,0.0,1.0
31,EOG,2010-12-20 00:00:00+00:00,91.46,92.0,89.88,91.87,2033500,41.575732916,41.8212052074,40.8574991744,41.7621100261,4067000,0.0,1.0
32,EOG,2010-12-21 00:00:00+00:00,91.65,92.4481,91.09,91.73,850000,41.6621027963,42.0249017515,41.4075389385,41.6984690617,1700000,0.0,1.0
33,EOG,2010-12-22 00:00:00+00:00,92.2,92.57,91.46,91.91,883400,41.9121208709,42.0803148484,41.575732916,41.7802931588,1766800,0.0,1.0
34,EOG,2010-12-23 00:00:00+00:00,91.45,92.06,90.31,90.59,2342900,41.5711871328,41.8484799065,41.0529678509,41.1802497798,4685800,0.0,1.0
35,EOG,2010-12-27 00:00:00+00:00,90.12,91.43,89.53,91.25,1357900,40.9665979706,41.5620955665,40.6983967633,41.4802714693,2715800,0.0,1.0
36,EOG,2010-12-28 00:00:00+00:00,89.98,90.65,89.92,90.51,1348100,40.9029570061,41.2075244788,40.8756823071,41.1438835144,2696200,0.0,1.0
37,EOG,2010-12-29 00:00:00+00:00,91.19,91.54,89.97,90.47,1055100,41.4529967703,41.6120991814,40.898411223,41.1257003817,2110200,0.0,1.0
38,EOG,2010-12-30 00:00:00+00:00,91.75,92.06,90.87,91.22,1164200,41.7075606281,41.8484799065,41.3075317087,41.4666341198,2328400,0.0,1.0
39,EOG,2010-12-31 00:00:00+00:00,91.41,92.12,91.31,91.65,1021200,41.5530040001,41.8757546055,41.5075461684,41.6621027963,2042400,0.0,1.0
40,EOG,2011-01-03 00:00:00+00:00,92.35,93.5,92.27,92.45,1750400,41.9803076185,42.5030726836,41.9439413531,42.0257654503,3500800,0.0,1.0
41,EOG,2011-01-04 00:00:00+00:00,92.14,93.28,91.39,93.08,2062700,41.8848461719,42.4030654538,41.5439124338,42.3121497903,4125400,0.0,1.0
42,EOG,2011-01-05 00:00:00+00:00,92.33,92.99,90.84,91.26,1736300,41.9712160522,42.2712377417,41.2938943592,41.4848172525,3472600,0.0,1.0
43,EOG,2011-01-06 00:00:00+00:00,92.82,94.43,92.3,93.35,2589200,42.1939594277,42.9258305189,41.9575787027,42.434885936,5178400,0.0,1.0
44,EOG,2011-01-07 00:00:00+00:00,94.26,94.35,92.91,93.26,2415100,42.8485522049,42.8894642535,42.2348714763,42.3939738874,4830200,0.0,1.0
45,EOG,2011-01-10 00:00:00+00:00,94.95,95.0,93.82,94.15,2574800,43.162211244,43.1849401598,42.6485377452,42.79854859,5149600,0.0,1.0
46,EOG,2011-01-11 00:00:00+00:00,96.73,96.87,94.78,95.44,2919200,43.9713606491,44.0350016135,43.08493293,43.3849546195,5838400,0.0,1.0
47,EOG,2011-01-12 00:00:00+00:00,98.49,99.3199,96.93,97.49,2588400,44.841878127,45.2197263823,44.1316199295,44.3865844106,5176800,0.155,1.0
48,EOG,2011-01-13 00:00:00+00:00,97.86,98.58,97.04,98.23,1668200,44.5550430857,44.8828545615,44.1817022383,44.7235017608,3336400,0.0,1.0
49,EOG,2011-01-14 00:00:00+00:00,100.58,100.71,97.25,97.8,2180600,45.7934419943,45.8526301774,44.2773139187,44.5277254627,4361200,0.0,1.0
50,EOG,2011-01-18 00:00:00+00:00,102.88,103.21,100.33,100.83,3007300,46.840617542,46.9908644684,45.6796185652,45.9072654234,6014600,0.0,1.0
51,EOG,2011-01-19 00:00:00+00:00,101.44,102.9999,100.77,102.85,2897400,46.1849945904,46.8952072586,45.8799478004,46.8269587305,5794800,0.0,1.0
52,EOG,2011-01-20 00:00:00+00:00,101.36,101.49,99.23,99.78,2445800,46.1485710931,46.2077592762,45.1787954771,45.4292070212,4891600,0.0,1.0
53,EOG,2011-01-21 00:00:00+00:00,101.72,102.58,100.5,101.99,2406000,46.312476831,46.704029427,45.757018497,46.4354061344,4812000,0.0,1.0
54,EOG,2011-01-24 00:00:00+00:00,101.73,102.13,100.61,101.35,1642300,46.3170297681,46.4991472547,45.8071008058,46.1440181559,3284600,0.0,1.0
55,EOG,2011-01-25 00:00:00+00:00,99.87,101.58,98.94,101.58,1973800,45.4701834556,46.2487357107,45.0467602994,46.2487357107,3947600,0.0,1.0
56,EOG,2011-01-26 00:00:00+00:00,102.28,102.94,100.25,100.38,2319200,46.5674413121,46.8679351649,45.6431950679,45.702383251,4638400,0.0,1.0
57,EOG,2011-01-27 00:00:00+00:00,103.25,104.1399,101.73,101.91,2591100,47.009076217,47.4142420952,46.3170297681,46.3989826371,5182200,0.0,1.0
58,EOG,2011-01-28 00:00:00+00:00,102.53,105.15,102.17,103.37,2829400,46.6812647412,47.8741342782,46.5173590033,47.063711463,5658800,0.0,1.0
59,EOG,2011-01-31 00:00:00+00:00,106.39,106.58,102.74,102.74,2308000,48.4386984865,48.5252042926,46.7768764217,46.7768764217,4616000,0.0,1.0
60,EOG,2011-02-01 00:00:00+00:00,107.38,108.27,105.85,106.72,2264000,48.8894392657,49.2946506733,48.1928398796,48.5889454129,4528000,0.0,1.0
61,EOG,2011-02-02 00:00:00+00:00,107.24,108.29,106.34,107.01,1494800,48.8256981454,49.3037565476,48.4159338007,48.7209805906,2989600,0.0,1.0
62,EOG,2011-02-03 00:00:00+00:00,107.05,107.24,105.62,106.89,974500,48.7391923393,48.8256981454,48.0881223249,48.6663453447,1949000,0.0,1.0
63,EOG,2011-02-04 00:00:00+00:00,106.78,107.49,105.71,107.3,1654200,48.6162630359,48.9395215745,48.1290987593,48.8530157684,3308400,0.0,1.0
64,EOG,2011-02-07 00:00:00+00:00,105.59,108.47,105.44,107.36,1741800,48.0744635134,49.3857094166,48.0061694559,48.8803333914,3483600,0.0,1.0
65,EOG,2011-02-08 00:00:00+00:00,104.76,105.82,103.55,105.82,2116000,47.6965697288,48.1791810681,47.1456643319,48.1791810681,4232000,0.0,1.0
66,EOG,2011-02-09 00:00:00+00:00,103.95,105.32,102.76,104.3,1704100,47.3277818185,47.9515342099,46.785982296,47.4871346192,3408200,0.0,1.0
67,EOG,2011-02-10 00:00:00+00:00,104.24,104.69,103.09,103.47,1822800,47.4598169963,47.6646991686,46.9362292224,47.1092408346,3645600,0.0,1.0
68,EOG,2011-02-11 00:00:00+00:00,103.3,104.508,103.05,103.83,1520200,47.0318409028,47.5818357122,46.9180174737,47.2731465725,3040400,0.0,1.0
69,EOG,2011-02-14 00:00:00+00:00,104.9,106.53,103.35,103.35,2121500,47.7603108491,48.5024396068,47.0546055887,47.0546055887,4243000,0.0,1.0
70,EOG,2011-02-15 00:00:00+00:00,103.55,106.19,103.16,104.79,2116000,47.1456643319,48.3476397432,46.9680997826,47.7102285403,4232000,0.0,1.0
71,EOG,2011-02-16 00:00:00+00:00,102.99,105.35,102.94,104.07,2324200,46.8906998508,47.9651930214,46.8679351649,47.3824170645,4648400,0.0,1.0
72,EOG,2011-02-17 00:00:00+00:00,104.22,104.58,102.34,103.28,3063200,47.4507111219,47.6146168598,46.5947589351,47.0227350285,6126400,0.0,1.0
73,EOG,2011-02-18 00:00:00+00:00,108.89,109.8,106.81,106.84,3826100,49.5769327775,49.9912500594,48.6299218474,48.6435806589,7652200,0.0,1.0
74,EOG,2011-02-22 00:00:00+00:00,108.32,111.629,108.09,109.86,2898900,49.3174153591,50.8239822666,49.2126978043,50.0185676823,5797800,0.0,1.0
75,EOG,2011-02-23 00:00:00+00:00,114.39,114.74,108.51,108.51,4150000,52.0810482176,52.2404010183,49.4039211652,49.4039211652,8300000,0.0,1.0
76,EOG,2011-02-24 00:00:00+00:00,110.17,115.17,109.8,114.59,3623500,50.1597087344,52.4361773164,49.9912500594,52.1721069609,7247000,0.0,1.0
77,EOG,2011-02-25 00:00:00+00:00,111.75,112.49,110.04,110.7,1648900,50.8790728063,51.2159901564,50.1005205513,50.4010144041,3297800,0.0,1.0
78,EOG,2011-02-28 00:00:00+00:00,112.31,113.241,111.55,112.09,1750100,51.1340372875,51.5579157375,50.788014063,51.0338726699,3500200,0.0,1.0
79,EOG,2011-03-01 00:00:00+00:00,107.93,112.19,107.87,109.5,4536500,49.1398508097,51.0794020415,49.1125331867,49.8546619445,9073000,0.0,1.0
80,EOG,2011-03-02 00:00:00+00:00,108.69,108.95,104.38,105.85,7781800,49.4858740342,49.6042504004,47.5235581165,48.1928398796,15563600,0.0,1.0
81,EOG,2011-03-03 00:00:00+00:00,111.09,111.27,107.98,109.31,3034900,50.5785789535,50.6605318225,49.1626154955,49.7681561383,6069800,0.0,1.0
82,EOG,2011-03-04 00:00:00+00:00,109.38,111.58,108.39,110.81,2174400,49.8000266985,50.8016728745,49.3492859193,50.4510967129,4348800,0.0,1.0
83,EOG,2011-03-07 00:00:00+00:00,108.58,111.39,108.18,110.24,1858500,49.4357917254,50.7151670684,49.2536742388,50.1915792946,3717000,0.0,1.0
84,EOG,2011-03-08 00:00:00+00:00,106.2,108.9,106.07,108.54,1746600,48.3521926804,49.5814857146,48.2930044972,49.4175799767,3493200,0.0,1.0
85,EOG,2011-03-09 00:00:00+00:00,105.8,107.63,105.2,106.14,1736200,48.1700751938,49.0032626948,47.896898964,48.3248750574,3472400,0.0,1.0
86,EOG,2011-03-10 00:00:00+00:00,102.83,104.53,102.41,104.53,2630900,46.8178528561,47.591852174,46.6266294953,47.591852174,5261800,0.0,1.0
87,EOG,2011-03-11 00:00:00+00:00,105.65,106.55,102.0,102.61,1883600,48.1017811364,48.5115454811,46.4399590715,46.7176882385,3767200,0.0,1.0
88,EOG,2011-03-14 00:00:00+00:00,106.53,107.1,104.13,105.07,1975600,48.5024396068,48.7619570251,47.4097346874,47.8377107809,3951200,0.0,1.0
89,EOG,2011-03-15 00:00:00+00:00,105.44,106.48,102.6501,103.28,2425900,48.0061694559,48.479674921,46.7359455166,47.0227350285,4851800,0.0,1.0
90,EOG,2011-03-16 00:00:00+00:00,104.49,107.51,103.07,105.8,2536100,47.5736404253,48.9486274488,46.9271233481,48.1700751938,5072200,0.0,1.0
91,EOG,2011-03-17 00:00:00+00:00,108.68,109.16,105.87,106.77,2100000,49.481321097,49.6998620809,48.201945754,48.6117100987,4200000,0.0,1.0
92,EOG,2011-03-18 00:00:00+00:00,107.93,110.45,107.04,109.76,2968300,49.1398508097,50.287190975,48.7346394021,49.9730383107,5936600,0.0,1.0
93,EOG,2011-03-21 00:00:00+00:00,111.4,111.46,109.0,109.49,2263000,50.7197200056,50.7470376286,49.6270150863,49.8501090073,4526000,0.0,1.0
94,EOG,2011-03-22 00:00:00+00:00,113.36,114.43,112.006,112.34,3279100,51.6120956897,52.0992599662,50.9956279977,51.147696099,6558200,0.0,1.0
95,EOG,2011-03-23 00:00:00+00:00,114.07,114.07,112.0,113.43,4043800,51.9353542283,51.9353542283,50.9928962354,51.6439662499,8087600,0.0,1.0
96,EOG,2011-03-24 00:00:00+00:00,115.55,115.699,113.02,114.91,2877900,52.6091889286,52.6770276923,51.4572958261,52.3178009501,5755800,0.0,1.0
