,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,EQIX,2010-11-04 00:00:00+00:00,84.38,85.99,83.95,85.31,1621800,69.3162709862,70.6388497523,68.9630356636,70.0802450561,1621800,0.0,1.0
1,EQIX,2010-11-05 00:00:00+00:00,83.27,84.48,82.58,84.19,2310300,68.4044309673,69.3984187356,67.8376114961,69.1601902622,2310300,0.0,1.0
2,EQIX,2010-11-08 00:00:00+00:00,84.92,85.8,82.68,82.68,848300,69.7598688332,70.4827690284,67.9197592455,67.9197592455,848300,0.0,1.0
3,EQIX,2010-11-09 00:00:00+00:00,83.41,86.0,83.0,85.14,1175800,68.5194378165,70.6470645273,68.1826320438,69.940593882,1175800,0.0,1.0
4,EQIX,2010-11-10 00:00:00+00:00,83.93,84.46,82.22,83.31,1145100,68.9466061137,69.3819891857,67.5418795981,68.4372900671,1145100,0.0,1.0
5,EQIX,2010-11-11 00:00:00+00:00,85.79,86.88,81.63,83.25,1267100,70.4745542534,71.3699647224,67.0572078763,68.3880014174,1267100,0.0,1.0
6,EQIX,2010-11-12 00:00:00+00:00,83.78,85.29,82.7,85.02,1092600,68.8233844895,70.0638155062,67.9361887954,69.8420165827,1092600,0.0,1.0
7,EQIX,2010-11-15 00:00:00+00:00,83.19,84.42,82.9,83.73,734800,68.3387127677,69.349130086,68.1004842943,68.7823106148,734800,0.0,1.0
8,EQIX,2010-11-16 00:00:00+00:00,81.17,83.42,80.93,82.53,1093800,66.6793282288,68.5276525915,66.4821736302,67.7965376214,1093800,0.0,1.0
9,EQIX,2010-11-17 00:00:00+00:00,81.38,82.77,80.76,81.62,651100,66.8518385027,67.99369222,66.3425224561,67.0489931014,651100,0.0,1.0
10,EQIX,2010-11-18 00:00:00+00:00,81.82,83.6,81.8,82.5,1076200,67.2132886003,68.6755185405,67.1968590504,67.7718932965,1076200,0.0,1.0
11,EQIX,2010-11-19 00:00:00+00:00,82.41,82.92,81.47,82.24,765000,67.697960322,68.1169138442,66.9257714772,67.558309148,765000,0.0,1.0
12,EQIX,2010-11-22 00:00:00+00:00,82.52,82.95,81.85,82.14,867400,67.7883228464,68.141558169,67.2379329251,67.4761613985,867400,0.0,1.0
13,EQIX,2010-11-23 00:00:00+00:00,80.86,82.45,80.15,81.75,1019000,66.4246702055,67.7308194218,65.8414211844,67.1557851756,1019000,0.0,1.0
14,EQIX,2010-11-24 00:00:00+00:00,80.32,82.33,79.77,81.56,1498000,65.9810723585,67.6322421225,65.5292597365,66.9997044517,1498000,0.0,1.0
15,EQIX,2010-11-26 00:00:00+00:00,79.96,80.64,79.23,79.78,422700,65.6853404605,66.2439451567,65.0856618895,65.5374745115,422700,0.0,1.0
16,EQIX,2010-11-29 00:00:00+00:00,79.33,81.12,78.66,79.78,920600,65.1678096389,66.6382543541,64.6174197176,65.5374745115,920600,0.0,1.0
17,EQIX,2010-11-30 00:00:00+00:00,77.6,78.92,77.45,78.51,1392200,63.7466535735,64.8310038662,63.6234319493,64.4941980935,1392200,0.0,1.0
18,EQIX,2010-12-01 00:00:00+00:00,79.6,80.19,78.83,78.83,1167000,65.3896085625,65.8742802842,64.7570708917,64.7570708917,1167000,0.0,1.0
19,EQIX,2010-12-02 00:00:00+00:00,81.52,81.73,79.55,79.59,1053300,66.9668453519,67.1393556258,65.3485346877,65.3813937875,1053300,0.0,1.0
20,EQIX,2010-12-03 00:00:00+00:00,82.59,82.8,80.66,80.95,823600,67.845826271,68.0183365449,66.2603747066,66.49860318,823600,0.0,1.0
21,EQIX,2010-12-06 00:00:00+00:00,83.9,84.2,82.28,82.29,933900,68.9219617888,69.1684050372,67.5911682477,67.5993830227,933900,0.0,1.0
22,EQIX,2010-12-07 00:00:00+00:00,84.31,85.65,84.17,85.24,1221400,69.2587675616,70.3595474042,69.1437607123,70.0227416315,1221400,0.0,1.0
23,EQIX,2010-12-08 00:00:00+00:00,83.74,85.07,82.67,84.62,1018200,68.7905253897,69.8830904574,67.9115444706,69.5134255849,1018200,0.0,1.0
24,EQIX,2010-12-09 00:00:00+00:00,83.39,84.77,82.91,84.4,797200,68.5030082666,69.636647209,68.1086990693,69.3327005361,797200,0.0,1.0
