,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,EQR,2010-11-04 00:00:00+00:00,50.41,50.6,48.99,49.46,3222100,31.1670663779,31.2845379631,30.2891208461,30.5797084517,3222100,0.0,1.0
1,EQR,2010-11-05 00:00:00+00:00,50.84,51.1,49.94,50.49,3049100,31.4329231234,31.5936737137,30.8764787723,31.216528098,3049100,0.0,1.0
2,EQR,2010-11-08 00:00:00+00:00,50.17,50.79,49.64,50.62,1520600,31.0186812176,31.4020095483,30.6909973219,31.2969033931,1520600,0.0,1.0
3,EQR,2010-11-09 00:00:00+00:00,48.42,50.44,48.11,50.44,3671200,29.9367060904,31.1856145229,29.745041925,31.1856145229,3671200,0.0,1.0
4,EQR,2010-11-10 00:00:00+00:00,49.96,50.08,48.7,48.81,2863700,30.8888442023,30.9630367825,30.1098221107,30.1778319759,2863700,0.0,1.0
5,EQR,2010-11-11 00:00:00+00:00,49.51,50.085,49.34,49.49,1668300,30.6106220267,30.96612814,30.5055158715,30.5982565967,1668300,0.0,1.0
6,EQR,2010-11-12 00:00:00+00:00,49.31,49.61,48.99,49.14,2242100,30.4869677265,30.6724491769,30.2891208461,30.3818615713,2242100,0.0,1.0
7,EQR,2010-11-15 00:00:00+00:00,49.2,49.91,49.12,49.49,1701000,30.4189578614,30.8579306272,30.3694961413,30.5982565967,1701000,0.0,1.0
8,EQR,2010-11-16 00:00:00+00:00,47.36,48.83,47.01,48.54,3032700,29.2813382991,30.1901974059,29.0649432736,30.0108986705,3032700,0.0,1.0
9,EQR,2010-11-17 00:00:00+00:00,48.31,48.3925,47.0501,47.52,2669300,29.8686962252,29.9197036241,29.0897359608,29.3802617393,2669300,0.0,1.0
10,EQR,2010-11-18 00:00:00+00:00,49.22,49.33,48.56,48.97,4965800,30.4313232914,30.4993331565,30.0232641006,30.2767554161,4965800,0.0,1.0
11,EQR,2010-11-19 00:00:00+00:00,49.91,49.99,48.82,49.12,2380900,30.8579306272,30.9073923473,30.1840146909,30.3694961413,2380900,0.0,1.0
12,EQR,2010-11-22 00:00:00+00:00,50.0,50.07,49.6,49.65,1809600,30.9135750624,30.9568540674,30.6662664619,30.6971800369,1809600,0.0,1.0
13,EQR,2010-11-23 00:00:00+00:00,49.63,49.76,49.25,49.25,2296000,30.6848146069,30.7651899021,30.4498714364,30.4498714364,2296000,0.0,1.0
14,EQR,2010-11-24 00:00:00+00:00,50.31,50.4,49.82,50.03,2784500,31.1052392277,31.1608836629,30.8022861921,30.9321232074,2784500,0.0,1.0
15,EQR,2010-11-26 00:00:00+00:00,50.01,50.41,49.83,49.96,949400,30.9197577774,31.1670663779,30.8084689071,30.8888442023,949400,0.0,1.0
16,EQR,2010-11-29 00:00:00+00:00,50.0,50.12,49.14,49.69,2589400,30.9135750624,30.9877676425,30.3818615713,30.721910897,2589400,0.0,1.0
17,EQR,2010-11-30 00:00:00+00:00,49.98,50.41,49.27,49.27,3801700,30.9012096323,31.1670663779,30.4622368664,30.4622368664,3801700,0.0,1.0
18,EQR,2010-12-01 00:00:00+00:00,50.67,50.85,50.15,50.52,2570400,31.3278169682,31.4391058384,31.0063157875,31.235076243,2570400,0.0,1.0
19,EQR,2010-12-02 00:00:00+00:00,51.66,51.72,50.72,50.81,3005600,31.9399057544,31.9770020445,31.3587305433,31.4143749784,3005600,0.0,1.0
20,EQR,2010-12-03 00:00:00+00:00,52.0,52.085,51.21,51.47,2440200,32.1501180648,32.2026711425,31.6616835789,31.8224341692,2440200,0.0,1.0
21,EQR,2010-12-06 00:00:00+00:00,51.85,52.1,51.24,51.71,1854300,32.0573773397,32.211945215,31.6802317239,31.9708193295,1854300,0.0,1.0
22,EQR,2010-12-07 00:00:00+00:00,52.06,52.64,51.915,52.43,2330700,32.1872143549,32.5458118256,32.0975649872,32.4159748104,2330700,0.0,1.0
23,EQR,2010-12-08 00:00:00+00:00,51.28,52.18,50.89,52.11,2169200,31.7049625839,32.2614069351,31.4638366985,32.21812793,2169200,0.0,1.0
24,EQR,2010-12-09 00:00:00+00:00,51.2,52.24,51.01,51.44,2531000,31.6555008639,32.2985032251,31.5380292786,31.8038860241,2531000,0.0,1.0
25,EQR,2010-12-10 00:00:00+00:00,51.56,51.91,51.11,51.27,1713400,31.8780786043,32.0944736297,31.5998564287,31.6987798689,1713400,0.0,1.0
26,EQR,2010-12-13 00:00:00+00:00,51.22,51.72,51.07,51.69,1933500,31.6678662939,31.9770020445,31.5751255687,31.9584538995,1933500,0.0,1.0
27,EQR,2010-12-14 00:00:00+00:00,50.49,51.66,50.19,51.24,1664700,31.216528098,31.9399057544,31.0310466476,31.6802317239,1664700,0.0,1.0
28,EQR,2010-12-15 00:00:00+00:00,49.96,50.83,49.93,50.38,2039100,30.8888442023,31.4267404084,30.8702960573,31.1485182328,2039100,0.0,1.0
29,EQR,2010-12-16 00:00:00+00:00,49.5,50.02,49.15,49.88,1970200,30.8872985236,31.2117711545,30.6689034835,31.1244131385,1970200,0.4575,1.0
30,EQR,2010-12-17 00:00:00+00:00,49.83,50.02,49.42,49.55,2966200,31.093213847,31.2117711545,30.8373796573,30.918497815,2966200,0.0,1.0
31,EQR,2010-12-20 00:00:00+00:00,50.69,50.88,50.12,50.12,1417900,31.6298416598,31.7483989672,31.2741697374,31.2741697374,1417900,0.0,1.0
32,EQR,2010-12-21 00:00:00+00:00,51.08,51.11,50.64,50.895,1420700,31.873196133,31.8919157079,31.5986423683,31.7577587547,1420700,0.0,1.0
33,EQR,2010-12-22 00:00:00+00:00,51.48,51.78,51.08,51.22,1795300,32.1227904645,32.3099862131,31.873196133,31.960554149,1795300,0.0,1.0
34,EQR,2010-12-23 00:00:00+00:00,51.34,51.78,51.29,51.36,1277300,32.0354324485,32.3099862131,32.004233157,32.047912165,1277300,0.0,1.0
35,EQR,2010-12-27 00:00:00+00:00,52.13,52.15,51.13,51.21,1226500,32.5283812532,32.5408609698,31.9043954244,31.9543142907,1226500,0.0,1.0
36,EQR,2010-12-28 00:00:00+00:00,51.97,52.29,51.46,52.18,1124600,32.4285435206,32.6282189858,32.1103107479,32.5595805446,1124600,0.0,1.0
37,EQR,2010-12-29 00:00:00+00:00,52.25,52.38,51.67,52.09,1159900,32.6032595526,32.6843777104,32.241347772,32.50342182,1159900,0.0,1.0
38,EQR,2010-12-30 00:00:00+00:00,52.29,52.58,52.06,52.32,1029900,32.6282189858,32.8091748761,32.4847022452,32.6469385606,1029900,0.0,1.0
39,EQR,2010-12-31 00:00:00+00:00,51.95,52.48,51.855,52.29,1298100,32.416063804,32.7467762933,32.3567851503,32.6282189858,1298100,0.0,1.0
40,EQR,2011-01-03 00:00:00+00:00,52.52,52.79,52.0,52.27,2901800,32.7717357264,32.9402119002,32.4472630954,32.6157392692,2901800,0.0,1.0
41,EQR,2011-01-04 00:00:00+00:00,51.2,52.59,50.84,52.54,3108100,31.9480744324,32.8154147344,31.7234395341,32.784215443,3108100,0.0,1.0
42,EQR,2011-01-05 00:00:00+00:00,51.17,51.44,50.91,51.01,2101200,31.9293548576,32.0978310313,31.7671185421,31.829517125,2101200,0.0,1.0
43,EQR,2011-01-06 00:00:00+00:00,50.55,51.29,50.35,51.29,1854000,31.5424836437,32.004233157,31.417686478,32.004233157,1854000,0.0,1.0
44,EQR,2011-01-07 00:00:00+00:00,50.38,50.98,49.99,50.73,2196100,31.4364060529,31.8107975501,31.1930515796,31.6548010929,2196100,0.0,1.0
45,EQR,2011-01-10 00:00:00+00:00,50.26,50.69,49.65,50.0,2132500,31.3615277534,31.6298416598,30.9808963979,31.1992914379,2132500,0.0,1.0
46,EQR,2011-01-11 00:00:00+00:00,49.94,50.6,49.6,50.53,1263900,31.1618522882,31.5736829352,30.9496971064,31.5300039272,1263900,0.0,1.0
47,EQR,2011-01-12 00:00:00+00:00,50.06,50.41,49.79,50.14,2445800,31.2367305877,31.4551256277,31.0682544139,31.286649454,2445800,0.0,1.0
48,EQR,2011-01-13 00:00:00+00:00,50.23,50.4,49.83,50.05,1810300,31.3428081785,31.4488857694,31.093213847,31.2304907294,1810300,0.0,1.0
49,EQR,2011-01-14 00:00:00+00:00,50.91,51.01,50.25,50.51,1738500,31.7671185421,31.829517125,31.3552878951,31.5175242106,1738500,0.0,1.0
50,EQR,2011-01-18 00:00:00+00:00,51.61,51.635,50.85,50.91,1713200,32.2039086222,32.219508268,31.7296793924,31.7671185421,1713200,0.0,1.0
51,EQR,2011-01-19 00:00:00+00:00,50.9,51.61,50.68,51.48,1714700,31.7608786838,32.2039086222,31.6236018015,32.1227904645,1714700,0.0,1.0
52,EQR,2011-01-20 00:00:00+00:00,51.18,51.44,50.9,51.08,1729500,31.9355947159,32.0978310313,31.7608786838,31.873196133,1729500,0.0,1.0
53,EQR,2011-01-21 00:00:00+00:00,51.48,51.56,51.02,51.54,1411700,32.1227904645,32.1727093308,31.8357569833,32.1602296142,1411700,0.0,1.0
54,EQR,2011-01-24 00:00:00+00:00,51.74,51.88,51.14,51.52,1278100,32.28502678,32.372384796,31.9106352827,32.1477498976,1278100,0.0,1.0
55,EQR,2011-01-25 00:00:00+00:00,52.6,52.69,51.32,51.52,2218300,32.8216545927,32.8778133173,32.0229527319,32.1477498976,2218300,0.0,1.0
56,EQR,2011-01-26 00:00:00+00:00,52.95,53.28,52.41,52.66,1694100,33.0400496328,33.2459649563,32.7030972852,32.8590937424,1694100,0.0,1.0
57,EQR,2011-01-27 00:00:00+00:00,53.81,53.84,52.8001,53.14,2145800,33.5766774455,33.5953970204,32.946514157,33.1586069402,2145800,0.0,1.0
58,EQR,2011-01-28 00:00:00+00:00,52.89,53.98,52.63,53.86,2122800,33.002610483,33.6827550364,32.8403741676,33.6078767369,2122800,0.0,1.0
59,EQR,2011-01-31 00:00:00+00:00,54.19,54.34,53.15,53.19,2283100,33.8137920604,33.9073899347,33.1648467985,33.1898062317,2283100,0.0,1.0
60,EQR,2011-02-01 00:00:00+00:00,54.6,54.73,53.72,54.52,2258100,34.0696262502,34.150744408,33.5205187209,34.0197073839,2258100,0.0,1.0
61,EQR,2011-02-02 00:00:00+00:00,54.8,54.98,54.21,54.21,1766800,34.194423416,34.3067408651,33.826271777,33.826271777,1766800,0.0,1.0
62,EQR,2011-02-03 00:00:00+00:00,54.41,55.29,53.59,54.645,2404900,33.9510689428,34.5001764721,33.4394005632,34.0977056125,2404900,0.0,1.0
63,EQR,2011-02-04 00:00:00+00:00,53.08,54.43,52.99,54.42,2507700,33.1211677905,33.9635486593,33.0650090659,33.957308801,2507700,0.0,1.0
64,EQR,2011-02-07 00:00:00+00:00,53.71,53.94,53.15,53.34,1154700,33.5142788626,33.6577956032,33.1648467985,33.283404106,1154700,0.0,1.0
