,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ETFC,2010-11-04 00:00:00+00:00,14.95,14.95,14.37,14.45,3926300,14.5907042983,14.5907042983,14.0246435296,14.102720877,3926300,0.0,1.0
1,ETFC,2010-11-05 00:00:00+00:00,15.3,15.8,14.89,14.9,5033700,14.9322926933,15.4202761146,14.5321462878,14.5419059562,5033700,0.0,1.0
2,ETFC,2010-11-08 00:00:00+00:00,15.2,15.488,15.05,15.3,2744600,14.834696009,15.1157744597,14.6883009826,14.9322926933,2744600,0.0,1.0
3,ETFC,2010-11-09 00:00:00+00:00,15.03,15.25,14.975,15.2,2940800,14.6687816457,14.8834943511,14.6151034694,14.834696009,2940800,0.0,1.0
4,ETFC,2010-11-10 00:00:00+00:00,15.28,15.39,14.86,15.0,2778200,14.9127733564,15.0201297091,14.5028672825,14.6395026405,2778200,0.0,1.0
5,ETFC,2010-11-11 00:00:00+00:00,15.33,15.45,14.96,15.12,2683700,14.9615716985,15.0786877197,14.6004639667,14.7566186616,2683700,0.0,1.0
6,ETFC,2010-11-12 00:00:00+00:00,14.98,15.32,14.86,15.31,2922000,14.6199833036,14.9518120301,14.5028672825,14.9420523617,2922000,0.0,1.0
7,ETFC,2010-11-15 00:00:00+00:00,15.04,15.26,15.0,15.05,1596600,14.6785413142,14.8932540196,14.6395026405,14.6883009826,1596600,0.0,1.0
8,ETFC,2010-11-16 00:00:00+00:00,14.76,15.05,14.68,15.0,2755500,14.4052705982,14.6883009826,14.3271932508,14.6395026405,2755500,0.0,1.0
9,ETFC,2010-11-17 00:00:00+00:00,14.68,14.93,14.66,14.88,1752700,14.3271932508,14.5711849615,14.3076739139,14.5223866193,1752700,0.0,1.0
10,ETFC,2010-11-18 00:00:00+00:00,14.9,14.98,14.8,14.8,2405900,14.5419059562,14.6199833036,14.4443092719,14.4443092719,2405900,0.0,1.0
11,ETFC,2010-11-19 00:00:00+00:00,15.1475,15.23,14.71,14.89,3767700,14.7834577498,14.8639750143,14.3564722561,14.5321462878,3767700,0.0,1.0
12,ETFC,2010-11-22 00:00:00+00:00,15.04,15.2,14.96,15.08,1907700,14.6785413142,14.834696009,14.6004639667,14.7175799879,1907700,0.0,1.0
13,ETFC,2010-11-23 00:00:00+00:00,14.7,15.03,14.65,14.79,3244500,14.3467125876,14.6687816457,14.2979142455,14.4345496035,3244500,0.0,1.0
14,ETFC,2010-11-24 00:00:00+00:00,15.0,15.01,14.75,14.83,1932800,14.6395026405,14.6492623089,14.3955109298,14.4735882772,1932800,0.0,1.0
15,ETFC,2010-11-26 00:00:00+00:00,14.84,14.95,14.75,14.84,658000,14.4833479456,14.5907042983,14.3955109298,14.4833479456,658000,0.0,1.0
16,ETFC,2010-11-29 00:00:00+00:00,14.9,14.95,14.66,14.74,1715900,14.5419059562,14.5907042983,14.3076739139,14.3857512614,1715900,0.0,1.0
17,ETFC,2010-11-30 00:00:00+00:00,14.75,14.84,14.495,14.68,2810400,14.3955109298,14.4833479456,14.1466393849,14.3271932508,2810400,0.0,1.0
18,ETFC,2010-12-01 00:00:00+00:00,15.28,15.37,14.91,14.96,3245000,14.9127733564,15.0006103723,14.5516656246,14.6004639667,3245000,0.0,1.0
19,ETFC,2010-12-02 00:00:00+00:00,15.64,15.77,15.28,15.31,3951300,15.2641214198,15.3909971093,14.9127733564,14.9420523617,3951300,0.0,1.0
20,ETFC,2010-12-03 00:00:00+00:00,15.59,15.65,15.32,15.51,2602300,15.2153230776,15.2738810882,14.9518120301,15.1372457302,2602300,0.0,1.0
21,ETFC,2010-12-06 00:00:00+00:00,15.64,15.68,15.4,15.54,1472100,15.2641214198,15.3031600935,15.0298893775,15.1665247355,1472100,0.0,1.0
22,ETFC,2010-12-07 00:00:00+00:00,15.57,15.88,15.55,15.81,486134,15.1958037408,15.498353462,15.1762844039,15.430035783,486134,0.0,1.0
23,ETFC,2010-12-08 00:00:00+00:00,15.82,15.85,15.56,15.56,748686,15.4397954515,15.4690744567,15.1860440724,15.1860440724,748686,0.0,1.0
24,ETFC,2010-12-09 00:00:00+00:00,15.99,16.08,15.87,15.89,2595100,15.6057098147,15.6935468306,15.4885937936,15.5081131305,2595100,0.0,1.0
25,ETFC,2010-12-10 00:00:00+00:00,15.9725,16.05,15.77,16.03,1779500,15.588630395,15.6642678253,15.3909971093,15.6447484884,1779500,0.0,1.0
26,ETFC,2010-12-13 00:00:00+00:00,15.92,16.15,15.91,16.04,1936000,15.5373921357,15.7618645096,15.5276324673,15.6545081569,1936000,0.0,1.0
27,ETFC,2010-12-14 00:00:00+00:00,15.61,15.93,15.54,15.92,2395800,15.2348424145,15.5471518042,15.1665247355,15.5373921357,2395800,0.0,1.0
28,ETFC,2010-12-15 00:00:00+00:00,15.04,15.52,14.88,15.52,5654500,14.6785413142,15.1470053987,14.5223866193,15.1470053987,5654500,0.0,1.0
29,ETFC,2010-12-16 00:00:00+00:00,15.1,15.19,14.9,15.04,1895900,14.7370993247,14.8249363406,14.5419059562,14.6785413142,1895900,0.0,1.0
30,ETFC,2010-12-17 00:00:00+00:00,15.42,15.5,15.02,15.11,2629000,15.0494087144,15.1274860618,14.6590219773,14.7468589932,2629000,0.0,1.0
31,ETFC,2010-12-20 00:00:00+00:00,15.53,15.69,15.37,15.5,2172800,15.1567650671,15.3129197619,15.0006103723,15.1274860618,2172800,0.0,1.0
32,ETFC,2010-12-21 00:00:00+00:00,16.03,16.03,15.5,15.58,2362700,15.6447484884,15.6447484884,15.1274860618,15.2055634092,2362700,0.0,1.0
33,ETFC,2010-12-22 00:00:00+00:00,16.03,16.07,15.89,16.01,2032700,15.6447484884,15.6837871621,15.5081131305,15.6252291516,2032700,0.0,1.0
34,ETFC,2010-12-23 00:00:00+00:00,15.96,16.05,15.8,15.93,1322400,15.5764308094,15.6642678253,15.4202761146,15.5471518042,1322400,0.0,1.0
35,ETFC,2010-12-27 00:00:00+00:00,16.08,16.08,15.77,15.87,1103500,15.6935468306,15.6935468306,15.3909971093,15.4885937936,1103500,0.0,1.0
36,ETFC,2010-12-28 00:00:00+00:00,16.17,16.22,16.041,16.08,1518700,15.7813838464,15.8301821885,15.6554841237,15.6935468306,1518700,0.0,1.0
37,ETFC,2010-12-29 00:00:00+00:00,15.97,16.24,15.92,16.15,1722100,15.5861904779,15.8497015254,15.5373921357,15.7618645096,1722100,0.0,1.0
38,ETFC,2010-12-30 00:00:00+00:00,15.92,16.02,15.75,15.96,1778700,15.5373921357,15.63498882,15.3714777725,15.5764308094,1778700,0.0,1.0
39,ETFC,2010-12-31 00:00:00+00:00,16.0,16.1,15.75,15.87,1739300,15.6154694832,15.7130661674,15.3714777725,15.4885937936,1739300,0.0,1.0
40,ETFC,2011-01-03 00:00:00+00:00,16.28,16.49,16.11,16.13,4866200,15.8887401991,16.0936932361,15.7228258358,15.7423451727,4866200,0.0,1.0
41,ETFC,2011-01-04 00:00:00+00:00,16.37,16.475,16.18,16.39,3437100,15.976577215,16.0790537334,15.7911435148,15.9960965518,3437100,0.0,1.0
42,ETFC,2011-01-05 00:00:00+00:00,16.36,16.48,16.25,16.36,3629400,15.9668175465,16.0839335676,15.8594611938,15.9668175465,3629400,0.0,1.0
43,ETFC,2011-01-06 00:00:00+00:00,16.2825,16.45,16.16,16.35,2937600,15.8911801162,16.0546545624,15.771624178,15.9570578781,2937600,0.0,1.0
44,ETFC,2011-01-07 00:00:00+00:00,16.34,16.39,16.16,16.31,2872600,15.9472982097,15.9960965518,15.771624178,15.9180192044,2872600,0.0,1.0
45,ETFC,2011-01-10 00:00:00+00:00,16.45,16.48,16.09,16.25,2037700,16.0546545624,16.0839335676,15.703306499,15.8594611938,2037700,0.0,1.0
46,ETFC,2011-01-11 00:00:00+00:00,16.36,16.68,16.27,16.47,2386600,15.9668175465,16.2791269362,15.8789805307,16.0741738992,2386600,0.0,1.0
47,ETFC,2011-01-12 00:00:00+00:00,16.47,16.65,16.41,16.5,2946600,16.0741738992,16.2498479309,16.0156158887,16.1034529045,2946600,0.0,1.0
48,ETFC,2011-01-13 00:00:00+00:00,16.64,16.7,15.9,16.23,3504300,16.2400882625,16.298646273,15.5178727989,15.839941857,3504300,0.0,1.0
49,ETFC,2011-01-14 00:00:00+00:00,16.7,16.7,16.48,16.5,3458300,16.298646273,16.298646273,16.0839335676,16.1034529045,3458300,0.0,1.0
50,ETFC,2011-01-18 00:00:00+00:00,16.55,16.7,16.39,16.65,2237900,16.1522512466,16.298646273,15.9960965518,16.2498479309,2237900,0.0,1.0
51,ETFC,2011-01-19 00:00:00+00:00,16.08,16.48,15.96,16.41,2498000,15.6935468306,16.0839335676,15.5764308094,16.0156158887,2498000,0.0,1.0
52,ETFC,2011-01-20 00:00:00+00:00,16.05,16.1,15.795,16.08,3110200,15.6642678253,15.7130661674,15.4153962804,15.6935468306,3110200,0.0,1.0
53,ETFC,2011-01-21 00:00:00+00:00,15.92,16.19,15.86,16.12,2421500,15.5373921357,15.8009031833,15.4788341252,15.7325855043,2421500,0.0,1.0
54,ETFC,2011-01-24 00:00:00+00:00,15.75,15.96,15.595,15.91,3738900,15.3714777725,15.5764308094,15.2202029119,15.5276324673,3738900,0.0,1.0
55,ETFC,2011-01-25 00:00:00+00:00,15.53,15.82,15.3,15.7,3891300,15.1567650671,15.4397954515,14.9322926933,15.3226794303,3891300,0.0,1.0
56,ETFC,2011-01-26 00:00:00+00:00,15.79,15.85,15.48,15.6,4691100,15.4105164462,15.4690744567,15.1079667249,15.2250827461,4691100,0.0,1.0
57,ETFC,2011-01-27 00:00:00+00:00,16.74,16.85,15.86,16.0,8564800,16.3376849467,16.4450412994,15.4788341252,15.6154694832,8564800,0.0,1.0
58,ETFC,2011-01-28 00:00:00+00:00,16.35,17.05,16.32,16.75,4924800,15.9570578781,16.640234668,15.9277788728,16.3474446152,4924800,0.0,1.0
59,ETFC,2011-01-31 00:00:00+00:00,16.56,16.67,16.26,16.37,2781600,16.1620109151,16.2693672678,15.8692208623,15.976577215,2781600,0.0,1.0
60,ETFC,2011-02-01 00:00:00+00:00,17.2,17.25,16.62,16.68,5501400,16.7866296944,16.8354280365,16.2205689256,16.2791269362,5501400,0.0,1.0
61,ETFC,2011-02-02 00:00:00+00:00,17.19,17.34,17.05,17.12,2555800,16.776870026,16.9232650524,16.640234668,16.708552347,2555800,0.0,1.0
62,ETFC,2011-02-03 00:00:00+00:00,17.05,17.18,16.8,17.18,3596000,16.640234668,16.7671103575,16.3962429573,16.7671103575,3596000,0.0,1.0
63,ETFC,2011-02-04 00:00:00+00:00,17.17,17.25,16.83,17.03,2039800,16.7573506891,16.8354280365,16.4255219626,16.6207153311,2039800,0.0,1.0
64,ETFC,2011-02-07 00:00:00+00:00,17.55,17.78,17.12,17.18,3328100,17.1282180893,17.3526904632,16.708552347,16.7671103575,3328100,0.0,1.0
65,ETFC,2011-02-08 00:00:00+00:00,17.69,17.7,17.389,17.65,2186100,17.2648534473,17.2746131157,16.9710874277,17.2258147736,2186100,0.0,1.0
