,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ETR,2010-11-04 00:00:00+00:00,75.4,75.76,74.8705,75.18,2127100,48.1200806718,48.3498317201,47.7821551716,47.9796772534,2127100,0.0,1.0
1,ETR,2010-11-05 00:00:00+00:00,75.4,75.69,74.95,75.5,1278400,48.1200806718,48.3051579052,47.8328918614,48.1839004074,1278400,0.0,1.0
2,ETR,2010-11-08 00:00:00+00:00,75.21,75.23,74.64,75.01,1253000,47.9988231741,48.0115871212,47.635050681,47.8711837028,1253000,0.0,1.0
3,ETR,2010-11-09 00:00:00+00:00,73.84,74.73,73.72,74.5,1811200,47.6541966016,48.2285768153,47.5767520785,48.0801414792,1811200,0.83,1.0
4,ETR,2010-11-10 00:00:00+00:00,73.32,73.76,72.61,73.71,1714600,47.3186036678,47.6025669195,46.860390239,47.5702983682,1714600,0.0,1.0
5,ETR,2010-11-11 00:00:00+00:00,73.41,73.7,72.91,72.91,1951100,47.3766870602,47.5638446579,47.0540015469,47.0540015469,1951100,0.0,1.0
6,ETR,2010-11-12 00:00:00+00:00,72.26,73.18,72.16,73.06,1268800,46.6345103797,47.2282517241,46.569973277,47.1508072009,1268800,0.0,1.0
7,ETR,2010-11-15 00:00:00+00:00,72.55,72.85,72.38,72.4,1186700,46.8216679774,47.0152792853,46.7119549029,46.7248623234,1186700,0.0,1.0
8,ETR,2010-11-16 00:00:00+00:00,71.99,72.65,71.64,72.1,1438300,46.4602602025,46.88620508,46.2343803432,46.5312510154,1438300,0.0,1.0
9,ETR,2010-11-17 00:00:00+00:00,72.65,73.0,71.71,71.71,2474200,46.88620508,47.1120849393,46.2795563151,46.2795563151,2474200,0.0,1.0
10,ETR,2010-11-18 00:00:00+00:00,73.19,73.45,72.75,73.25,1672900,47.2347054344,47.4025019013,46.9507421827,47.273427696,1672900,0.0,1.0
11,ETR,2010-11-19 00:00:00+00:00,73.74,74.19,72.46,73.01,2611600,47.589659499,47.8800764609,46.763584585,47.1185386496,2611600,0.0,1.0
12,ETR,2010-11-22 00:00:00+00:00,73.42,73.55,72.57,73.28,1826000,47.3831407705,47.4670390039,46.8345753979,47.2927888268,1826000,0.0,1.0
13,ETR,2010-11-23 00:00:00+00:00,72.35,72.97,71.8,72.97,1558400,46.6925937721,47.0927238085,46.3376397075,47.0927238085,1558400,0.0,1.0
14,ETR,2010-11-24 00:00:00+00:00,72.49,72.85,72.25,72.52,1137700,46.7829457158,47.0152792853,46.6280566694,46.8023068466,1137700,0.0,1.0
15,ETR,2010-11-26 00:00:00+00:00,72.32,72.79,71.75,71.81,416300,46.6732326413,46.9765570238,46.3053711561,46.3440934177,416300,0.0,1.0
16,ETR,2010-11-29 00:00:00+00:00,71.95,72.05,71.22,72.03,948800,46.4344453614,46.4989824641,45.963324512,46.4860750436,948800,0.0,1.0
17,ETR,2010-11-30 00:00:00+00:00,71.24,71.74,71.12,71.66,2306200,45.9762319326,46.2989174459,45.8987874094,46.2472877637,2306200,0.0,1.0
18,ETR,2010-12-01 00:00:00+00:00,71.85,72.21,71.37,71.96,2053800,46.3699082588,46.6022418283,46.060130166,46.4408990717,2053800,0.0,1.0
