,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,EXC,2010-11-04 00:00:00+00:00,41.17,41.17,40.895,41.03,14800900,27.3298499309,27.3298499309,27.1472968891,27.2369138369,14800900,0.0,1.0
1,EXC,2010-11-05 00:00:00+00:00,41.17,41.28,40.95,41.17,8885400,27.3298499309,27.4028711476,27.1838074974,27.3298499309,8885400,0.0,1.0
2,EXC,2010-11-08 00:00:00+00:00,41.34,41.41,41.11,41.2,8817400,27.4427009022,27.4891689492,27.2900201763,27.3497648081,8817400,0.0,1.0
3,EXC,2010-11-09 00:00:00+00:00,41.55,41.82,41.4,41.46,6894900,27.5821050432,27.7613389388,27.4825306567,27.5223604113,6894900,0.0,1.0
4,EXC,2010-11-10 00:00:00+00:00,40.63,41.17,40.38,41.17,4831900,27.3198924922,27.6829922201,27.1517907663,27.6829922201,4831900,0.525,1.0
5,EXC,2010-11-11 00:00:00+00:00,40.6,40.72,40.3,40.47,3571500,27.2997202851,27.3804091135,27.097998214,27.2123073876,3571500,0.0,1.0
6,EXC,2010-11-12 00:00:00+00:00,40.05,40.38,39.95,40.34,6135700,26.9298964881,27.1517907663,26.8626557978,27.1248944902,6135700,0.0,1.0
7,EXC,2010-11-15 00:00:00+00:00,40.17,40.43,40.12,40.2,4355600,27.0105853166,27.1854111115,26.9769649714,27.0307575237,4355600,0.0,1.0
8,EXC,2010-11-16 00:00:00+00:00,39.82,40.15,39.72,40.08,5598300,26.7752429003,26.9971371785,26.70800221,26.9500686952,5598300,0.0,1.0
9,EXC,2010-11-17 00:00:00+00:00,40.0,40.19,39.69,39.76,4540600,26.896276143,27.0240334546,26.6878300029,26.7348984861,4540600,0.0,1.0
10,EXC,2010-11-18 00:00:00+00:00,40.02,40.4,39.88,40.39,4357400,26.909724281,27.1652389044,26.8155873145,27.1585148354,4357400,0.0,1.0
11,EXC,2010-11-19 00:00:00+00:00,40.0,40.09,39.32,39.93,4112300,26.896276143,26.9567927643,26.4390394485,26.8492076597,4112300,0.0,1.0
12,EXC,2010-11-22 00:00:00+00:00,39.88,40.0,39.49,39.96,2853100,26.8155873145,26.896276143,26.5533486221,26.8693798668,2853100,0.0,1.0
13,EXC,2010-11-23 00:00:00+00:00,39.58,39.74,39.4,39.64,3560100,26.6138652435,26.721450348,26.4928320008,26.6542096577,3560100,0.0,1.0
14,EXC,2010-11-24 00:00:00+00:00,39.72,39.82,39.41,39.78,3979600,26.70800221,26.7752429003,26.4995560699,26.7483466242,3979600,0.0,1.0
15,EXC,2010-11-26 00:00:00+00:00,39.53,39.74,39.31,39.49,1349300,26.5802448983,26.721450348,26.4323153795,26.5533486221,1349300,0.0,1.0
