,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,EXR,2010-11-04 00:00:00+00:00,17.25,17.26,16.893,17.01,942200,12.3065699187,12.3137041621,12.0518774282,12.1353480764,942200,0.0,1.0
1,EXR,2010-11-05 00:00:00+00:00,17.32,17.4199,17.2,17.24,470600,12.3565096227,12.4277807146,12.2708987016,12.2994356753,470600,0.0,1.0
2,EXR,2010-11-08 00:00:00+00:00,17.14,17.28,16.98,17.21,465200,12.228093241,12.327972649,12.1139453461,12.278032945,465200,0.0,1.0
3,EXR,2010-11-09 00:00:00+00:00,16.58,17.25,16.5,17.16,841400,11.8285756088,12.3065699187,11.7715016614,12.2423617278,841400,0.0,1.0
4,EXR,2010-11-10 00:00:00+00:00,16.6,16.83,16.46,16.64,429300,11.8428440957,12.0069316946,11.7429646876,11.8713810694,429300,0.0,1.0
5,EXR,2010-11-11 00:00:00+00:00,16.61,16.7497,16.445,16.445,391200,11.8499783391,11.9496437198,11.7322633225,11.7322633225,391200,0.0,1.0
6,EXR,2010-11-12 00:00:00+00:00,16.39,16.68,16.36,16.48,366900,11.6930249836,11.8999180431,11.6716222533,11.7572331745,366900,0.0,1.0
7,EXR,2010-11-15 00:00:00+00:00,16.15,16.49,16.11,16.44,426200,11.5218031413,11.7643674179,11.4932661676,11.7286962008,426200,0.0,1.0
8,EXR,2010-11-16 00:00:00+00:00,15.53,16.12,15.39,15.98,561400,11.0794800486,11.500400411,10.9796006405,11.400521003,561400,0.0,1.0
9,EXR,2010-11-17 00:00:00+00:00,15.67,15.73,15.44,15.52,325800,11.1793594566,11.2221649172,11.0152718577,11.0723458051,325800,0.0,1.0
10,EXR,2010-11-18 00:00:00+00:00,15.71,15.88,15.66,15.84,347600,11.2078964303,11.3291785686,11.1722252132,11.3006415949,347600,0.0,1.0
11,EXR,2010-11-19 00:00:00+00:00,15.69,15.73,15.54,15.58,312600,11.1936279434,11.2221649172,11.086614292,11.1151512657,312600,0.0,1.0
12,EXR,2010-11-22 00:00:00+00:00,15.78,15.84,15.6,15.61,302600,11.2578361343,11.3006415949,11.1294197526,11.136553996,302600,0.0,1.0
13,EXR,2010-11-23 00:00:00+00:00,15.64,15.78,15.52,15.58,528000,11.1579567263,11.2578361343,11.0723458051,11.1151512657,528000,0.0,1.0
14,EXR,2010-11-24 00:00:00+00:00,16.27,16.31,15.82,15.82,680200,11.6074140625,11.6359510362,11.2863731081,11.2863731081,680200,0.0,1.0
15,EXR,2010-11-26 00:00:00+00:00,16.29,16.37,16.14,16.14,148600,11.6216825493,11.6787564968,11.5146688979,11.5146688979,148600,0.0,1.0
16,EXR,2010-11-29 00:00:00+00:00,16.2,16.29,15.95,16.23,497500,11.5574743584,11.6216825493,11.3791182727,11.5788770887,497500,0.0,1.0
17,EXR,2010-11-30 00:00:00+00:00,16.02,16.15,15.95,16.03,1321200,11.4290579767,11.5218031413,11.3791182727,11.4361922201,1321200,0.0,1.0
18,EXR,2010-12-01 00:00:00+00:00,16.36,16.42,16.14,16.31,1144000,11.6716222533,11.7144277139,11.5146688979,11.6359510362,1144000,0.0,1.0
19,EXR,2010-12-02 00:00:00+00:00,16.59,16.6,16.32,16.41,1016600,11.8357098523,11.8428440957,11.6430852796,11.7072934705,1016600,0.0,1.0
20,EXR,2010-12-03 00:00:00+00:00,16.57,16.61,16.32,16.5,274900,11.8214413654,11.8499783391,11.6430852796,11.7715016614,274900,0.0,1.0
21,EXR,2010-12-06 00:00:00+00:00,16.77,16.82,16.31,16.55,682100,11.964126234,11.9997974512,11.6359510362,11.8071728785,682100,0.0,1.0
22,EXR,2010-12-07 00:00:00+00:00,17.23,17.35,16.9,16.94,1607800,12.2923014318,12.377912353,12.0568713986,12.0854083723,1607800,0.0,1.0
23,EXR,2010-12-08 00:00:00+00:00,17.07,17.27,16.96,17.27,1638900,12.2494959713,12.3930167208,12.170559559,12.3930167208,1638900,0.1,1.0
24,EXR,2010-12-09 00:00:00+00:00,17.08,17.2499,17.01,17.17,1206000,12.2566720087,12.3785928854,12.2064397464,12.321256346,1206000,0.0,1.0
25,EXR,2010-12-10 00:00:00+00:00,17.28,17.52,17.08,17.08,1242200,12.4001927582,12.5724176577,12.2566720087,12.2566720087,1242200,0.0,1.0
26,EXR,2010-12-13 00:00:00+00:00,17.5,17.7,17.33,17.36,1234100,12.5580655827,12.7015863322,12.4360729456,12.4576010581,1234100,0.0,1.0
27,EXR,2010-12-14 00:00:00+00:00,17.05,17.52,17.0,17.52,1664500,12.2351438963,12.5724176577,12.1992637089,12.5724176577,1664500,0.0,1.0
28,EXR,2010-12-15 00:00:00+00:00,16.86,17.22,16.86,16.98,1836300,12.0987991843,12.3571365334,12.0987991843,12.184911634,1836300,0.0,1.0
29,EXR,2010-12-16 00:00:00+00:00,17.02,17.09,16.83,16.9,927400,12.2136157839,12.2638480462,12.0772710718,12.1275033342,927400,0.0,1.0
30,EXR,2010-12-17 00:00:00+00:00,17.05,17.2,16.99,17.06,1240800,12.2351438963,12.3427844584,12.1920876715,12.2423199338,1240800,0.0,1.0
31,EXR,2010-12-20 00:00:00+00:00,17.18,17.3,17.1,17.1,517700,12.3284323835,12.4145448332,12.2710240837,12.2710240837,517700,0.0,1.0
