,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,FDX,2010-11-04 00:00:00+00:00,88.8,89.14,87.93,88.38,3501400,81.4047056372,81.7163903209,80.6071595346,81.0196833808,3501400,0.0,1.0
1,FDX,2010-11-05 00:00:00+00:00,90.0,90.55,88.73,88.73,2527100,82.5047692269,83.0089650388,81.3405352611,81.3405352611,2527100,0.0,1.0
2,FDX,2010-11-08 00:00:00+00:00,90.31,90.46,89.05,89.18,1995900,82.7889523209,82.9264602696,81.6338855517,81.7530591072,1995900,0.0,1.0
3,FDX,2010-11-09 00:00:00+00:00,88.12,90.65,87.79,90.42,2330600,80.7813362697,83.1006370046,80.4788187825,82.8897914832,2330600,0.0,1.0
4,FDX,2010-11-10 00:00:00+00:00,88.48,88.75,87.25,88.33,1468600,81.1113553466,81.3588696543,79.9837901671,80.9738473979,1468600,0.0,1.0
5,FDX,2010-11-11 00:00:00+00:00,87.98,88.45,87.35,87.48,1831400,80.6529955175,81.0838537568,80.075462133,80.1946356885,1831400,0.0,1.0
6,FDX,2010-11-12 00:00:00+00:00,87.32,87.75,86.77,87.39,1533900,80.0479605432,80.4421499962,79.5437647313,80.1121309193,1533900,0.0,1.0
7,FDX,2010-11-15 00:00:00+00:00,86.39,88.25,86.23,87.68,2144000,79.1954112612,80.9005098252,79.0487361159,80.3779796201,2144000,0.0,1.0
8,FDX,2010-11-16 00:00:00+00:00,85.87,86.23,84.49,85.88,2382900,78.718717039,79.0487361159,77.4536439109,78.7278842356,2382900,0.0,1.0
9,FDX,2010-11-17 00:00:00+00:00,85.63,86.73,85.35,86.12,1745000,78.4987043211,79.5070959449,78.2420228168,78.9478969535,1745000,0.0,1.0
10,FDX,2010-11-18 00:00:00+00:00,87.09,87.59,86.14,86.76,2153600,79.9471213808,80.406112777,79.0750377281,79.6441870594,2153600,0.12,1.0
11,FDX,2010-11-19 00:00:00+00:00,86.79,87.97,86.55,87.35,1929600,79.6717265431,80.754946238,79.451410673,80.1857969068,1929600,0.0,1.0
12,FDX,2010-11-22 00:00:00+00:00,87.34,87.5,85.88,86.5,2326000,80.1766170789,80.3234943257,78.8363622021,79.4055115334,2326000,0.0,1.0
13,FDX,2010-11-23 00:00:00+00:00,86.14,86.9,85.81,86.32,1614300,79.0750377281,79.7727046503,78.7721034067,79.2402746308,1614300,0.0,1.0
14,FDX,2010-11-24 00:00:00+00:00,88.47,88.6,86.59,86.86,1936900,81.2139376342,81.3332753972,79.4881299847,79.7359853386,1936900,0.0,1.0
15,FDX,2010-11-26 00:00:00+00:00,87.5,87.9899,87.44,87.57,642600,80.3234943257,80.7732140956,80.2684153581,80.3877531211,642600,0.0,1.0
16,FDX,2010-11-29 00:00:00+00:00,91.59,91.98,88.47,89.0,5127600,84.0780439461,84.4360572351,81.2139376342,81.7004685141,5127600,0.0,1.0
17,FDX,2010-11-30 00:00:00+00:00,91.12,93.03,91.0,91.21,4810800,83.6465920338,85.399939167,83.5364340987,83.7292104851,4810800,0.0,1.0
