,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,FFIV,2010-11-04 00:00:00+00:00,120.89,125.39,120.38,124.53,3033800,120.89,125.39,120.38,124.53,3033800,0.0,1.0
1,FFIV,2010-11-05 00:00:00+00:00,123.0,124.22,119.32,121.92,2095900,123.0,124.22,119.32,121.92,2095900,0.0,1.0
2,FFIV,2010-11-08 00:00:00+00:00,122.82,124.31,120.85,122.86,1282300,122.82,124.31,120.85,122.86,1282300,0.0,1.0
3,FFIV,2010-11-09 00:00:00+00:00,120.42,124.0,119.84,122.94,1182700,120.42,124.0,119.84,122.94,1182700,0.0,1.0
4,FFIV,2010-11-10 00:00:00+00:00,122.89,124.85,119.77,120.26,2206100,122.89,124.85,119.77,120.26,2206100,0.0,1.0
5,FFIV,2010-11-11 00:00:00+00:00,123.7,123.99,117.43,119.19,2701900,123.7,123.99,117.43,119.19,2701900,0.0,1.0
6,FFIV,2010-11-12 00:00:00+00:00,123.86,127.95,121.11,123.21,2980400,123.86,127.95,121.11,123.21,2980400,0.0,1.0
7,FFIV,2010-11-15 00:00:00+00:00,119.55,124.68,118.91,124.36,2265800,119.55,124.68,118.91,124.36,2265800,0.0,1.0
8,FFIV,2010-11-16 00:00:00+00:00,115.95,120.3,115.37,118.43,2637300,115.95,120.3,115.37,118.43,2637300,0.0,1.0
9,FFIV,2010-11-17 00:00:00+00:00,115.01,118.9,112.1,116.52,3845000,115.01,118.9,112.1,116.52,3845000,0.0,1.0
10,FFIV,2010-11-18 00:00:00+00:00,120.51,121.9,117.73,117.99,2478700,120.51,121.9,117.73,117.99,2478700,0.0,1.0
11,FFIV,2010-11-19 00:00:00+00:00,122.69,123.63,119.7,121.18,2076700,122.69,123.63,119.7,121.18,2076700,0.0,1.0
12,FFIV,2010-11-22 00:00:00+00:00,131.935,132.2,122.13,122.51,3667400,131.935,132.2,122.13,122.51,3667400,0.0,1.0
13,FFIV,2010-11-23 00:00:00+00:00,129.14,131.5,127.21,129.65,2303000,129.14,131.5,127.21,129.65,2303000,0.0,1.0
14,FFIV,2010-11-24 00:00:00+00:00,132.55,133.7,131.087,132.25,2106100,132.55,133.7,131.087,132.25,2106100,0.0,1.0
15,FFIV,2010-11-26 00:00:00+00:00,135.04,135.23,130.5625,131.11,1225900,135.04,135.23,130.5625,131.11,1225900,0.0,1.0
16,FFIV,2010-11-29 00:00:00+00:00,134.18,136.0,131.93,134.67,1858400,134.18,136.0,131.93,134.67,1858400,0.0,1.0
17,FFIV,2010-11-30 00:00:00+00:00,131.88,133.0,131.26,132.43,1968700,131.88,133.0,131.26,132.43,1968700,0.0,1.0
18,FFIV,2010-12-01 00:00:00+00:00,138.96,139.875,134.11,134.11,3797200,138.96,139.875,134.11,134.11,3797200,0.0,1.0
19,FFIV,2010-12-02 00:00:00+00:00,137.15,139.59,135.84,138.66,2635900,137.15,139.59,135.84,138.66,2635900,0.0,1.0
20,FFIV,2010-12-03 00:00:00+00:00,139.28,141.62,135.52,135.84,2320400,139.28,141.62,135.52,135.84,2320400,0.0,1.0
21,FFIV,2010-12-06 00:00:00+00:00,139.8,140.58,137.61,139.48,1552800,139.8,140.58,137.61,139.48,1552800,0.0,1.0
22,FFIV,2010-12-07 00:00:00+00:00,137.61,143.0,137.32,142.3399,1638700,137.61,143.0,137.32,142.3399,1638700,0.0,1.0
23,FFIV,2010-12-08 00:00:00+00:00,137.17,139.17,135.72,138.32,1912300,137.17,139.17,135.72,138.32,1912300,0.0,1.0
24,FFIV,2010-12-09 00:00:00+00:00,138.92,139.33,136.0,138.3,1475500,138.92,139.33,136.0,138.3,1475500,0.0,1.0
25,FFIV,2010-12-10 00:00:00+00:00,143.09,143.55,138.68,142.94,4263100,143.09,143.55,138.68,142.94,4263100,0.0,1.0
26,FFIV,2010-12-13 00:00:00+00:00,139.06,143.75,138.71,143.72,2332400,139.06,143.75,138.71,143.72,2332400,0.0,1.0
