,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,FLIR,2010-11-04 00:00:00+00:00,28.46,28.99,28.21,28.47,1093400,24.9869695894,25.4522926351,24.7674775867,24.9957492695,1093400,0.0,1.0
1,FLIR,2010-11-05 00:00:00+00:00,28.61,28.61,28.19,28.44,983300,25.118664791,25.118664791,24.7499182264,24.9694102292,983300,0.0,1.0
2,FLIR,2010-11-08 00:00:00+00:00,28.64,28.65,28.28,28.39,951300,25.1450038313,25.1537835114,24.8289353474,24.9255118286,951300,0.0,1.0
3,FLIR,2010-11-09 00:00:00+00:00,28.35,28.69,28.19,28.67,800800,24.8903931082,25.1889022319,24.7499182264,25.1713428717,800800,0.0,1.0
4,FLIR,2010-11-10 00:00:00+00:00,28.82,28.97,28.39,28.39,1536400,25.3030380733,25.4347332749,24.9255118286,24.9255118286,1536400,0.0,1.0
5,FLIR,2010-11-11 00:00:00+00:00,28.18,28.58,27.93,28.53,1475000,24.7411385463,25.0923257507,24.5216465436,25.0484273501,1475000,0.0,1.0
6,FLIR,2010-11-12 00:00:00+00:00,27.74,28.08,27.48,27.98,1394300,24.3548326216,24.6533417452,24.1265609387,24.5655449442,1394300,0.0,1.0
7,FLIR,2010-11-15 00:00:00+00:00,28.12,28.81,27.92,28.02,1119800,24.6884604657,25.2942583932,24.5128668635,24.6006636646,1119800,0.0,1.0
8,FLIR,2010-11-16 00:00:00+00:00,27.3,27.97,27.2,27.85,1436400,23.9685266968,24.5567652641,23.8807298957,24.4514091027,1436400,0.0,1.0
9,FLIR,2010-11-17 00:00:00+00:00,26.99,27.77,26.955,27.38,1855500,23.6963566134,24.3811716619,23.665627733,24.0387641376,1855500,0.0,1.0
10,FLIR,2010-11-18 00:00:00+00:00,27.38,27.61,27.25,27.4,1746100,24.0387641376,24.2406967801,23.9246282962,24.0563234979,1746100,0.0,1.0
11,FLIR,2010-11-19 00:00:00+00:00,27.34,27.47,27.05,27.35,1244000,24.0036454172,24.1177812586,23.7490346941,24.0124250973,1244000,0.0,1.0
12,FLIR,2010-11-22 00:00:00+00:00,27.35,27.35,26.9,27.13,1246600,24.0124250973,24.0124250973,23.6173394924,23.8192721349,1246600,0.0,1.0
13,FLIR,2010-11-23 00:00:00+00:00,26.62,27.02,26.59,26.96,1499500,23.3715084494,23.7226956537,23.345169409,23.6700175731,1499500,0.0,1.0
14,FLIR,2010-11-24 00:00:00+00:00,27.62,27.83,26.93,26.96,1889800,24.2494764602,24.4338497425,23.6436785327,23.6700175731,1889800,0.0,1.0
15,FLIR,2010-11-26 00:00:00+00:00,27.4,27.585,27.245,27.36,406400,24.0563234979,24.2187475799,23.9202384562,24.0212047774,406400,0.0,1.0
16,FLIR,2010-11-29 00:00:00+00:00,27.18,27.3,26.705,27.2,1414300,23.8631705355,23.9685266968,23.4461357303,23.8807298957,1414300,0.0,1.0
17,FLIR,2010-11-30 00:00:00+00:00,26.805,27.077,26.7,26.8,1766900,23.5339325314,23.7727398303,23.4417458902,23.5295426913,1766900,0.0,1.0
18,FLIR,2010-12-01 00:00:00+00:00,27.69,27.82,27.16,27.22,2036300,24.310934221,24.4250700624,23.8456111752,23.8982892559,2036300,0.0,1.0
19,FLIR,2010-12-02 00:00:00+00:00,28.36,28.43,27.42,27.62,3355800,24.8991727883,24.9606305491,24.0738828581,24.2494764602,3355800,0.0,1.0
20,FLIR,2010-12-03 00:00:00+00:00,28.385,28.56,27.98,28.36,2138200,24.9211219886,25.0747663905,24.5655449442,24.8991727883,2138200,0.0,1.0
21,FLIR,2010-12-06 00:00:00+00:00,28.05,28.38,27.955,28.37,1225600,24.6270027049,24.9167321485,24.5435957439,24.9079524684,1225600,0.0,1.0
22,FLIR,2010-12-07 00:00:00+00:00,27.75,28.33,27.54,28.29,2129300,24.3636123017,24.872833748,24.1792390194,24.8377150275,2129300,0.0,1.0
23,FLIR,2010-12-08 00:00:00+00:00,27.81,28.385,27.7,27.78,1833100,24.4162903823,24.9211219886,24.3197139011,24.389951342,1833100,0.0,1.0
24,FLIR,2010-12-09 00:00:00+00:00,27.76,28.17,27.73,27.95,1487900,24.3723919818,24.7323588662,24.3460529414,24.5392059038,1487900,0.0,1.0
25,FLIR,2010-12-10 00:00:00+00:00,27.97,28.12,27.8,27.8,1942300,24.5567652641,24.6884604657,24.4075107022,24.4075107022,1942300,0.0,1.0
26,FLIR,2010-12-13 00:00:00+00:00,27.82,28.08,27.8,28.07,1414900,24.4250700624,24.6533417452,24.4075107022,24.6445620651,1414900,0.0,1.0
27,FLIR,2010-12-14 00:00:00+00:00,27.39,27.88,27.3,27.86,1418300,24.0475438177,24.4777481431,23.9685266968,24.4601887829,1418300,0.0,1.0
28,FLIR,2010-12-15 00:00:00+00:00,27.22,27.57,27.1,27.42,1259100,23.8982892559,24.2055780597,23.7929330946,24.0738828581,1259100,0.0,1.0
29,FLIR,2010-12-16 00:00:00+00:00,28.04,28.54,27.31,27.35,1685700,24.6182230248,25.0572070302,23.9773063769,24.0124250973,1685700,0.0,1.0
