,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,FLS,2010-11-04 00:00:00+00:00,98.84,99.45,97.64,98.3,1819600,27.425394713,27.5946530171,27.0924275575,27.275559493,5458805,0.0,1.0
1,FLS,2010-11-05 00:00:00+00:00,104.18,104.55,98.59,98.82,2217800,28.9070985553,29.0097634283,27.3560265556,27.4198452605,6653406,0.0,1.0
2,FLS,2010-11-08 00:00:00+00:00,105.67,105.78,102.73,103.84,1052900,29.3205327734,29.3510547627,28.5047632423,28.8127578612,3158703,0.0,1.0
3,FLS,2010-11-09 00:00:00+00:00,105.52,107.5993,105.17,106.34,1425000,29.278911879,29.8558607178,29.1817964586,29.5064394353,4275004,0.0,1.0
4,FLS,2010-11-10 00:00:00+00:00,107.05,107.46,104.5,105.66,1300100,29.7034450023,29.8172087805,28.9958897968,29.3177580472,3900303,0.0,1.0
5,FLS,2010-11-11 00:00:00+00:00,108.02,110.48,106.09,106.09,1120300,29.9725934531,30.655176122,29.4370712779,29.4370712779,3360903,0.0,1.0
6,FLS,2010-11-12 00:00:00+00:00,106.0,107.89,105.81,106.44,1318800,29.4120987412,29.9365220112,29.3593789416,29.5341866983,3956403,0.0,1.0
7,FLS,2010-11-15 00:00:00+00:00,106.0,107.38,105.83,106.83,934100,29.4120987412,29.7950109701,29.3649283942,29.6424010238,2802302,0.0,1.0
8,FLS,2010-11-16 00:00:00+00:00,105.24,106.01,104.0609,105.04,1405000,29.2012195427,29.4148734675,28.8740515651,29.1457250168,4215004,0.0,1.0
9,FLS,2010-11-17 00:00:00+00:00,105.01,105.59,104.7701,105.19,749300,29.1374008379,29.2983349631,29.070835154,29.1873459112,2247902,0.0,1.0
10,FLS,2010-11-18 00:00:00+00:00,106.51,107.58,105.76,106.31,668500,29.5536097823,29.850505496,29.3455053101,29.4981152564,2005502,0.0,1.0
11,FLS,2010-11-19 00:00:00+00:00,107.67,107.77,105.74,106.76,476900,29.8754780327,29.9032252957,29.3399558575,29.6229779397,1430701,0.0,1.0
12,FLS,2010-11-22 00:00:00+00:00,107.52,107.9994,105.62,107.19,500600,29.8338571383,29.9668775169,29.306659142,29.7422911705,1501801,0.0,1.0
13,FLS,2010-11-23 00:00:00+00:00,105.48,106.63,105.12,106.01,627500,29.2678129738,29.5869064979,29.1679228271,29.4148734675,1882501,0.0,1.0
14,FLS,2010-11-24 00:00:00+00:00,108.1,108.35,105.83,106.31,570100,29.9947912635,30.0641594209,29.3649283942,29.4981152564,1710301,0.0,1.0
15,FLS,2010-11-26 00:00:00+00:00,107.13,107.57,105.9,106.99,160400,29.7256428127,29.8477307698,29.3843514783,29.6867966446,481200,0.0,1.0
16,FLS,2010-11-29 00:00:00+00:00,106.13,106.59,104.22,106.17,571800,29.4481701831,29.5758075927,28.9181974605,29.4592690883,1715401,0.0,1.0
17,FLS,2010-11-30 00:00:00+00:00,105.46,106.82,104.69,104.81,421200,29.2622635212,29.6396262975,29.0486095964,29.081906312,1263601,0.0,1.0
18,FLS,2010-12-01 00:00:00+00:00,107.98,108.72,106.88,107.35,675800,29.9614945479,30.1668242938,29.6562746553,29.7866867912,2027402,0.0,1.0
19,FLS,2010-12-02 00:00:00+00:00,109.34,109.75,107.5,107.75,566000,30.3388573242,30.4526211024,29.8283076857,29.8976758431,1698001,0.0,1.0
20,FLS,2010-12-03 00:00:00+00:00,111.32,112.08,108.475,108.475,564000,30.8882531309,31.0991323294,30.0988434996,30.0988434996,1692001,0.0,1.0
21,FLS,2010-12-06 00:00:00+00:00,113.64,113.94,110.9,111.14,591600,31.5319896316,31.6152314205,30.7717146264,30.8383080575,1774801,0.0,1.0
22,FLS,2010-12-07 00:00:00+00:00,114.27,115.95,114.06,114.6,527900,31.7067973883,32.1729514061,31.6485281361,31.7983633561,1583701,0.0,1.0
23,FLS,2010-12-08 00:00:00+00:00,113.4,115.41,113.17,114.2,483500,31.4653962005,32.0231161861,31.4015774957,31.6873743042,1450501,0.0,1.0
24,FLS,2010-12-09 00:00:00+00:00,113.94,114.83,112.37,114.39,361300,31.6152314205,31.8621820609,31.179599392,31.7400941039,1083901,0.0,1.0
25,FLS,2010-12-10 00:00:00+00:00,116.07,116.19,113.4201,114.16,342200,32.2062481216,32.2395448372,31.4709734004,31.676275399,1026601,0.0,1.0
26,FLS,2010-12-13 00:00:00+00:00,116.52,117.58,116.29,116.64,644700,32.331110805,32.6252317924,32.2672921002,32.3644075205,1934101,0.0,1.0
27,FLS,2010-12-14 00:00:00+00:00,116.31,117.58,115.66,116.76,401200,32.2728415528,32.6252317924,32.0924843435,32.3977042361,1203601,0.0,1.0
28,FLS,2010-12-15 00:00:00+00:00,115.72,117.93,115.2101,116.11,329900,32.1091327013,32.7223472128,31.9676494074,32.2173470268,989700,0.0,1.0
29,FLS,2010-12-16 00:00:00+00:00,116.0,116.44,114.39,115.88,448400,32.1868250376,32.3089129946,31.7400941039,32.153528322,1345201,0.0,1.0
