,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,FTI,2010-11-04 00:00:00+00:00,77.41,77.44,75.8,75.8,1202100,36.2090441196,36.2230768198,35.4559558747,35.4559558747,2404200,0.0,1.0
1,FTI,2010-11-05 00:00:00+00:00,78.06,78.19,76.35,77.31,1031000,36.5130859575,36.5738943251,35.7132220453,36.1622684522,2062000,0.0,1.0
2,FTI,2010-11-08 00:00:00+00:00,78.53,78.74,77.38,77.61,832000,36.7329315942,36.8311604957,36.1950114194,36.3025954543,1664000,0.0,1.0
3,FTI,2010-11-09 00:00:00+00:00,77.25,79.99,76.71,79.2,1080300,36.1342030518,37.415856338,35.8816144479,37.0463285657,2160600,0.0,1.0
4,FTI,2010-11-10 00:00:00+00:00,78.59,78.62,76.43,77.46,866300,36.7609969947,36.7750296949,35.7506425792,36.2324319533,1732600,0.0,1.0
5,FTI,2010-11-11 00:00:00+00:00,79.11,79.52,77.32,77.88,773400,37.004230465,37.1960107013,36.1669460189,36.4288897563,1546800,0.0,1.0
6,FTI,2010-11-12 00:00:00+00:00,76.71,78.0198,75.58,77.29,863200,35.8816144479,36.4942821393,35.3530494065,36.1529133187,1726400,0.0,1.0
7,FTI,2010-11-15 00:00:00+00:00,77.6,78.65,76.71,77.26,860000,36.2979178876,36.7890623951,35.8816144479,36.1388806185,1720000,0.0,1.0
8,FTI,2010-11-16 00:00:00+00:00,76.44,77.25,75.77,76.66,650500,35.755320146,36.1342030518,35.4419231745,35.8582266142,1301000,0.0,1.0
9,FTI,2010-11-17 00:00:00+00:00,77.43,77.62,75.98,76.23,540700,36.218399253,36.3072730211,35.540152076,35.6570912445,1081400,0.0,1.0
10,FTI,2010-11-18 00:00:00+00:00,80.21,80.46,78.65,78.73,967100,37.5187628062,37.6357019747,36.7890623951,36.826482929,1934200,0.0,1.0
11,FTI,2010-11-19 00:00:00+00:00,82.8,82.86,79.35,79.86,1188100,38.7302525914,38.7583179918,37.1164920668,37.3550479704,2376200,0.0,1.0
12,FTI,2010-11-22 00:00:00+00:00,83.07,83.245,80.73,82.02,1055500,38.8565468933,38.9384043112,37.7619962766,38.3654023858,2111000,0.0,1.0
13,FTI,2010-11-23 00:00:00+00:00,81.43,81.95,80.33,81.54,943400,38.0894259483,38.3326594187,37.5748936071,38.1408791824,1886800,0.0,1.0
14,FTI,2010-11-24 00:00:00+00:00,84.26,84.29,81.15,81.15,845700,39.4131773352,39.4272100354,37.9584540796,37.9584540796,1691400,0.0,1.0
15,FTI,2010-11-26 00:00:00+00:00,83.5,83.88,82.79,83.33,526600,39.0576822631,39.2354297991,38.7255750247,38.9781636285,1053200,0.0,1.0
16,FTI,2010-11-29 00:00:00+00:00,84.54,84.96,81.96,83.25,1078400,39.5441492038,39.7406070068,38.3373369854,38.9407430946,2156800,0.0,1.0
17,FTI,2010-11-30 00:00:00+00:00,84.24,85.69,82.79,82.99,1117900,39.4038222017,40.0820693787,38.7255750247,38.8191263594,2235800,0.0,1.0
18,FTI,2010-12-01 00:00:00+00:00,87.15,87.59,85.47,86.02,892900,40.7649941225,40.9708070589,39.9791629105,40.2364290811,1785800,0.0,1.0
19,FTI,2010-12-02 00:00:00+00:00,88.74,89.0,86.15,86.15,1157500,41.5087272338,41.630343969,40.2972374487,40.2972374487,2315000,0.0,1.0
20,FTI,2010-12-03 00:00:00+00:00,88.86,89.13,87.34,87.71,926000,41.5648580347,41.6911523366,40.8538678905,41.0269378598,1852000,0.0,1.0
21,FTI,2010-12-06 00:00:00+00:00,89.12,89.2,88.2,88.22,736900,41.6864747699,41.7238953038,41.25613863,41.2654937634,1473800,0.0,1.0
