,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,F,2010-11-04 00:00:00+00:00,15.86,15.98,15.4,15.51,193232000,10.7049306455,10.7859263377,10.3944471589,10.4686932101,193232000,0.0,1.0
1,F,2010-11-05 00:00:00+00:00,16.21,16.26,15.81,15.98,141539900,10.9411680809,10.974916286,10.6711824405,10.7859263377,141539900,0.0,1.0
2,F,2010-11-08 00:00:00+00:00,16.41,16.49,16.06,16.36,127386000,11.0761609012,11.1301580293,10.8399234658,11.0424126961,127386000,0.0,1.0
3,F,2010-11-09 00:00:00+00:00,16.07,16.58,15.88,16.53,133717300,10.8466731068,11.1909047984,10.7184299275,11.1571565933,133717300,0.0,1.0
4,F,2010-11-10 00:00:00+00:00,16.63,16.71,16.08,16.32,139738200,11.2246530035,11.2786501316,10.8534227478,11.0154141321,139738200,0.0,1.0
5,F,2010-11-11 00:00:00+00:00,16.61,16.66,16.2,16.54,94746200,11.2111537214,11.2449019265,10.9344184399,11.1639062343,94746200,0.0,1.0
6,F,2010-11-12 00:00:00+00:00,16.3,16.53,16.04,16.46,91657100,11.0019148501,11.1571565933,10.8264241837,11.1099091063,91657100,0.0,1.0
7,F,2010-11-15 00:00:00+00:00,17.0,17.41,16.68,16.81,233268400,11.4743897209,11.7511250024,11.2584012085,11.3461465417,233268400,0.0,1.0
8,F,2010-11-16 00:00:00+00:00,16.51,17.42,16.36,17.19,234481200,11.1436573113,11.7578746434,11.0424126961,11.6026329001,234481200,0.0,1.0
9,F,2010-11-17 00:00:00+00:00,16.68,16.9,16.52,16.76,127748600,11.2584012085,11.4068933108,11.1504069523,11.3123983366,127748600,0.0,1.0
10,F,2010-11-18 00:00:00+00:00,16.12,16.87,16.05,16.77,256937900,10.8804213118,11.3866443878,10.8331738247,11.3191479776,256937900,0.0,1.0
11,F,2010-11-19 00:00:00+00:00,16.28,16.38,15.83,16.02,130323600,10.988415568,11.0559119782,10.6846817225,10.8129249017,130323600,0.0,1.0
12,F,2010-11-22 00:00:00+00:00,16.2,16.54,16.11,16.26,91288900,10.9344184399,11.1639062343,10.8736716708,10.974916286,91288900,0.0,1.0
13,F,2010-11-23 00:00:00+00:00,15.7,16.16,15.62,16.01,96689100,10.5969363893,10.9074198759,10.5429392612,10.8061752607,96689100,0.0,1.0
14,F,2010-11-24 00:00:00+00:00,15.95,16.06,15.81,15.95,66727700,10.7656774146,10.8399234658,10.6711824405,10.7656774146,66727700,0.0,1.0
15,F,2010-11-26 00:00:00+00:00,16.1,16.18,15.75,15.81,31557200,10.8669220298,10.9209191579,10.6306845944,10.6711824405,31557200,0.0,1.0
16,F,2010-11-29 00:00:00+00:00,16.06,16.12,15.86,16.12,61577500,10.8399234658,10.8804213118,10.7049306455,10.8804213118,61577500,0.0,1.0
17,F,2010-11-30 00:00:00+00:00,15.94,15.99,15.83,15.92,71737400,10.7589277736,10.7926759787,10.6846817225,10.7454284916,71737400,0.0,1.0
18,F,2010-12-01 00:00:00+00:00,16.46,16.5,16.14,16.24,100724400,11.1099091063,11.1369076703,10.8939205939,10.961417004,100724400,0.0,1.0
19,F,2010-12-02 00:00:00+00:00,16.78,16.86,16.63,16.72,82484500,11.3258976186,11.3798947467,11.2246530035,11.2853997726,82484500,0.0,1.0
20,F,2010-12-03 00:00:00+00:00,16.8,16.83,16.6,16.63,67399500,11.3393969007,11.3596458237,11.2044040804,11.2246530035,67399500,0.0,1.0
21,F,2010-12-06 00:00:00+00:00,16.65,16.78,16.52,16.66,57290300,11.2381522855,11.3258976186,11.1504069523,11.2449019265,57290300,0.0,1.0
22,F,2010-12-07 00:00:00+00:00,16.56,16.92,16.55,16.91,64104300,11.1774055164,11.4203925928,11.1706558754,11.4136429518,64104300,0.0,1.0
23,F,2010-12-08 00:00:00+00:00,16.69,16.73,16.35,16.66,106700000,11.2651508495,11.2921494136,11.0356630551,11.2449019265,106700000,0.0,1.0
24,F,2010-12-09 00:00:00+00:00,16.76,16.85,16.66,16.82,47280900,11.3123983366,11.3731451057,11.2449019265,11.3528961827,47280900,0.0,1.0
25,F,2010-12-10 00:00:00+00:00,16.73,16.77,16.65,16.68,38196000,11.2921494136,11.3191479776,11.2381522855,11.2584012085,38196000,0.0,1.0
26,F,2010-12-13 00:00:00+00:00,16.47,16.72,16.47,16.65,53899700,11.1166587473,11.2853997726,11.1166587473,11.2381522855,53899700,0.0,1.0
27,F,2010-12-14 00:00:00+00:00,16.42,16.58,16.39,16.5,43070000,11.0829105422,11.1909047984,11.0626616192,11.1369076703,43070000,0.0,1.0
28,F,2010-12-15 00:00:00+00:00,16.55,16.66,16.35,16.37,44901200,11.1706558754,11.2449019265,11.0356630551,11.0491623371,44901200,0.0,1.0
29,F,2010-12-16 00:00:00+00:00,16.77,16.77,16.44,16.52,49567600,11.3191479776,11.3191479776,11.0964098242,11.1504069523,49567600,0.0,1.0
30,F,2010-12-17 00:00:00+00:00,16.8,16.85,16.68,16.76,51948100,11.3393969007,11.3731451057,11.2584012085,11.3123983366,51948100,0.0,1.0
31,F,2010-12-20 00:00:00+00:00,16.85,16.9,16.63,16.85,41880000,11.3731451057,11.4068933108,11.2246530035,11.3731451057,41880000,0.0,1.0
