,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,GD,2010-11-04 00:00:00+00:00,69.17,69.3,68.25,68.81,2283900,54.7374662123,54.8403413115,54.0094270492,54.4525813224,2283900,0.0,1.0
1,GD,2010-11-05 00:00:00+00:00,69.66,69.975,68.9,69.1,1778300,55.1252262014,55.3745004801,54.5238025449,54.6820719282,1778300,0.0,1.0
2,GD,2010-11-08 00:00:00+00:00,69.4,69.8,68.96,69.14,1342900,54.9194760031,55.2360147697,54.5712833599,54.7137258049,1342900,0.0,1.0
3,GD,2010-11-09 00:00:00+00:00,69.2,69.6053,68.9,69.53,1714000,54.7612066198,55.0819395251,54.5238025449,55.0223511023,1714000,0.0,1.0
4,GD,2010-11-10 00:00:00+00:00,68.21,69.1,67.98,69.06,1632100,53.9777731725,54.6820719282,53.7957633817,54.6504180515,1632100,0.0,1.0
5,GD,2010-11-11 00:00:00+00:00,67.42,68.0,67.08,67.72,1976300,53.3526091085,53.8115903201,53.0835511569,53.5900131835,1976300,0.0,1.0
6,GD,2010-11-12 00:00:00+00:00,66.5,67.18,66.25,67.06,1752400,52.6245699454,53.1626858486,52.4267332162,53.0677242186,1752400,0.0,1.0
7,GD,2010-11-15 00:00:00+00:00,66.55,67.19,66.22,66.59,1278200,52.6641372912,53.1705993177,52.4029928088,52.6957911678,1278200,0.0,1.0
8,GD,2010-11-16 00:00:00+00:00,65.54,66.38,65.08,66.04,2031300,51.8648769056,52.5296083154,51.500857324,52.2605503638,2031300,0.0,1.0
9,GD,2010-11-17 00:00:00+00:00,65.39,65.73,64.83,65.59,1722100,51.7461748681,52.0152328197,51.3030205949,51.9044442514,1722100,0.0,1.0
10,GD,2010-11-18 00:00:00+00:00,67.05,67.06,65.44,65.92,2321900,53.0598107494,53.0677242186,51.7857422139,52.1655887338,2321900,0.0,1.0
