,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,GE,2010-11-04 00:00:00+00:00,16.51,16.59,16.18,16.2,87201200,12.0600452452,12.1184827752,11.8189904342,11.8335998166,90639193,0.0,1.0
1,GE,2010-11-05 00:00:00+00:00,16.73,16.86,16.51,16.52,69827400,12.2207484526,12.3157094388,12.0600452452,12.0673499365,72580414,0.0,1.0
2,GE,2010-11-08 00:00:00+00:00,16.71,16.84,16.62,16.62,47818100,12.2061390701,12.3011000563,12.1403968489,12.1403968489,49703375,0.0,1.0
3,GE,2010-11-09 00:00:00+00:00,16.62,16.82,16.54,16.82,49927700,12.1403968489,12.2864906738,12.081959319,12.2864906738,51896148,0.0,1.0
4,GE,2010-11-10 00:00:00+00:00,16.55,16.67,16.37,16.64,49697700,12.0892640102,12.1769203052,11.9577795678,12.1550062314,51657080,0.0,1.0
5,GE,2010-11-11 00:00:00+00:00,16.35,16.52,16.22,16.44,46617600,11.9431701853,12.0673499365,11.8482091991,12.0089124065,48455544,0.0,1.0
6,GE,2010-11-12 00:00:00+00:00,16.25,16.39,16.11,16.25,48319000,11.8701232729,11.9723889503,11.7678575954,11.8701232729,50224024,0.0,1.0
7,GE,2010-11-15 00:00:00+00:00,16.2,16.43,16.18,16.23,39185900,11.8335998166,12.0016077153,11.8189904342,11.8555138904,40730842,0.0,1.0
8,GE,2010-11-16 00:00:00+00:00,15.86,16.16,15.76,16.14,73949100,11.5852403143,11.8043810517,11.5121934019,11.7897716692,76864616,0.0,1.0
9,GE,2010-11-17 00:00:00+00:00,15.81,15.92,15.76,15.87,36296500,11.5487168581,11.6290684618,11.5121934019,11.5925450056,37727525,0.0,1.0
10,GE,2010-11-18 00:00:00+00:00,16.04,16.2,16.0,16.0,50090500,11.7167247567,11.8335998166,11.6875059917,11.6875059917,52065367,0.0,1.0
11,GE,2010-11-19 00:00:00+00:00,16.22,16.23,15.95,16.06,49262500,11.8482091991,11.8555138904,11.6509825355,11.7313341392,51204722,0.0,1.0
12,GE,2010-11-22 00:00:00+00:00,16.03,16.14,15.78,16.14,65706700,11.7094200655,11.7897716692,11.5268027844,11.7897716692,68297251,0.0,1.0
13,GE,2010-11-23 00:00:00+00:00,15.76,15.89,15.63,15.83,55949000,11.5121934019,11.6071543881,11.4172324157,11.5633262406,58154844,0.0,1.0
14,GE,2010-11-24 00:00:00+00:00,15.94,15.98,15.78,15.81,42404100,11.6436778443,11.6728966093,11.5268027844,11.5487168581,44075923,0.0,1.0
15,GE,2010-11-26 00:00:00+00:00,15.8,15.88,15.75,15.78,17440100,11.5414121669,11.5998496968,11.5048887106,11.5268027844,18127693,0.0,1.0
16,GE,2010-11-29 00:00:00+00:00,15.97,16.05,15.68,15.73,56507800,11.665591918,11.724029448,11.4537558719,11.4902793281,58735675,0.0,1.0
17,GE,2010-11-30 00:00:00+00:00,15.83,15.95,15.72,15.75,53884800,11.5633262406,11.6509825355,11.4829746369,11.5048887106,56009261,0.0,1.0
18,GE,2010-12-01 00:00:00+00:00,16.3,16.3,16.03,16.03,68945200,11.9066467291,11.9066467291,11.7094200655,11.7094200655,71663432,0.0,1.0
19,GE,2010-12-02 00:00:00+00:00,16.68,16.68,16.2801,16.29,80788100,12.1842249964,12.1842249964,11.8921103935,11.8993420378,83973250,0.0,1.0
20,GE,2010-12-03 00:00:00+00:00,16.78,16.8,16.46,16.49,50259400,12.2572719088,12.2718812913,12.023521789,12.0454358627,52240926,0.0,1.0
21,GE,2010-12-06 00:00:00+00:00,16.7,16.86,16.63,16.7,58776400,12.1988343789,12.3157094388,12.1477015402,12.1988343789,61093717,0.0,1.0
22,GE,2010-12-07 00:00:00+00:00,17.03,17.28,16.88,16.92,96459900,12.43988919,12.6225064711,12.3303188213,12.3595375863,100262926,0.0,1.0
23,GE,2010-12-08 00:00:00+00:00,17.04,17.13,16.86,17.01,47551200,12.4471938812,12.5129361024,12.3157094388,12.4252798075,49425952,0.0,1.0
24,GE,2010-12-09 00:00:00+00:00,17.13,17.23,17.06,17.21,39089700,12.5129361024,12.5859830149,12.4618032637,12.5713736324,40630849,0.0,1.0
25,GE,2010-12-10 00:00:00+00:00,17.72,17.88,17.2,17.22,125890700,12.9439128859,13.0607879458,12.5640689411,12.5786783236,130854064,0.0,1.0
26,GE,2010-12-13 00:00:00+00:00,17.62,17.9,17.55,17.89,67875600,12.8708659734,13.0753973283,12.8197331347,13.068092637,70551662,0.0,1.0
27,GE,2010-12-14 00:00:00+00:00,17.69,17.895,17.58,17.6601,76366600,12.9219988121,13.0717449826,12.8416472084,12.9001577853,79377428,0.0,1.0
28,GE,2010-12-15 00:00:00+00:00,17.49,17.71,17.37,17.64,70749600,12.7759049872,12.9366081946,12.6882486923,12.8854753559,73538972,0.0,1.0
29,GE,2010-12-16 00:00:00+00:00,17.77,17.87,17.47,17.53,53915300,12.9804363421,13.0534832545,12.7612956047,12.8051237522,56040963,0.0,1.0
30,GE,2010-12-17 00:00:00+00:00,17.7,17.77,17.57,17.73,65250600,12.9293035034,12.9804363421,12.8343425172,12.9512175771,67823169,0.0,1.0
31,GE,2010-12-20 00:00:00+00:00,17.7,17.8,17.65,17.77,40548600,12.9293035034,13.0023504158,12.8927800471,12.9804363421,42147268,0.0,1.0
32,GE,2010-12-21 00:00:00+00:00,17.9,18.0,17.74,17.78,41837000,13.0753973283,13.1484442407,12.9585222684,12.9877410333,43486464,0.0,1.0
33,GE,2010-12-22 00:00:00+00:00,18.06,18.08,17.82,17.83,42977200,13.2945380656,13.3092606991,13.1178664634,13.1252277802,44671618,0.14,1.0
34,GE,2010-12-23 00:00:00+00:00,18.04,18.15,17.98,18.0,30958900,13.2798154321,13.3607899164,13.2356475315,13.2503701651,32179485,0.0,1.0
35,GE,2010-12-27 00:00:00+00:00,18.19,18.23,17.92,17.92,33318000,13.3902351835,13.4196804505,13.191479631,13.191479631,34631594,0.0,1.0
36,GE,2010-12-28 00:00:00+00:00,18.32,18.41,18.16,18.21,47724000,13.4859323013,13.5521841522,13.3681512332,13.404957817,49605565,0.0,1.0
37,GE,2010-12-29 00:00:00+00:00,18.27,18.49,18.26,18.37,34569300,13.4491257175,13.6110746862,13.4417644008,13.5227388851,35932228,0.0,1.0
38,GE,2010-12-30 00:00:00+00:00,18.19,18.35,18.16,18.28,28894300,13.3902351835,13.5080162516,13.3681512332,13.4564870343,30033486,0.0,1.0
39,GE,2010-12-31 00:00:00+00:00,18.29,18.35,18.13,18.15,27074100,13.4638483511,13.5080162516,13.3460672829,13.3607899164,28141523,0.0,1.0
40,GE,2011-01-03 00:00:00+00:00,18.28,18.5,18.22,18.49,52828200,13.4564870343,13.618436003,13.4123191337,13.6110746862,54911003,0.0,1.0
41,GE,2011-01-04 00:00:00+00:00,18.61,18.61,18.12,18.34,79019500,13.6994104873,13.6994104873,13.3387059662,13.5006549348,82134921,0.0,1.0
42,GE,2011-01-05 00:00:00+00:00,18.64,18.72,18.42,18.52,51322400,13.7214944376,13.7803849717,13.5595454689,13.6331586365,53345836,0.0,1.0
43,GE,2011-01-06 00:00:00+00:00,18.56,18.72,18.42,18.69,39640100,13.6626039035,13.7803849717,13.5595454689,13.7583010214,41202949,0.0,1.0
44,GE,2011-01-07 00:00:00+00:00,18.43,18.66,18.2,18.58,57336500,13.5669067857,13.7362170711,13.3975965002,13.677326537,59597047,0.0,1.0
45,GE,2011-01-10 00:00:00+00:00,18.51,18.75,18.46,18.61,62996500,13.6257973197,13.8024689219,13.5889907359,13.6994104873,65480199,0.0,1.0
46,GE,2011-01-11 00:00:00+00:00,18.63,18.81,18.575,18.705,46593300,13.7141331208,13.8466368225,13.6736458787,13.7693429965,48430286,0.0,1.0
47,GE,2011-01-12 00:00:00+00:00,18.67,18.73,18.48,18.57,61213300,13.7435783879,13.7877462884,13.6037133695,13.6699652203,63626694,0.0,1.0
48,GE,2011-01-13 00:00:00+00:00,18.6,18.8,18.56,18.73,44802900,13.6920491706,13.8392755057,13.6626039035,13.7877462884,46569298,0.0,1.0
49,GE,2011-01-14 00:00:00+00:00,18.8175,18.84,18.55,18.61,42235700,13.8521578101,13.8687207728,13.6552425868,13.6994104873,43900884,0.0,1.0
50,GE,2011-01-18 00:00:00+00:00,18.6,18.99,18.56,18.98,70505900,13.6920491706,13.9791405241,13.6626039035,13.9717792074,73285664,0.0,1.0
51,GE,2011-01-19 00:00:00+00:00,18.33,18.635,18.19,18.61,82190100,13.4932936181,13.7178137792,13.3902351835,13.6994104873,85430525,0.0,1.0
52,GE,2011-01-20 00:00:00+00:00,18.43,18.59,18.17,18.46,67732800,13.5669067857,13.6846878538,13.37551255,13.5889907359,70403232,0.0,1.0
53,GE,2011-01-21 00:00:00+00:00,19.74,19.97,19.25,19.31,229080200,14.531239281,14.7005495665,14.1705347599,14.2147026604,238111912,0.0,1.0
54,GE,2011-01-24 00:00:00+00:00,20.04,20.12,19.74,19.93,98547300,14.7520787838,14.8109693178,14.531239281,14.6711042994,102432624,0.0,1.0
55,GE,2011-01-25 00:00:00+00:00,19.98,20.28,19.8,19.98,100987100,14.7079108832,14.928750386,14.5754071816,14.7079108832,104968615,0.0,1.0
56,GE,2011-01-26 00:00:00+00:00,19.92,20.2,19.92,20.18,67753600,14.6637429827,14.8698598519,14.6637429827,14.8551372184,70424852,0.0,1.0
57,GE,2011-01-27 00:00:00+00:00,20.28,20.33,19.9,19.96,67840600,14.928750386,14.9655569698,14.6490203492,14.6931882497,70515282,0.0,1.0
58,GE,2011-01-28 00:00:00+00:00,20.2,20.74,20.12,20.39,102189700,14.8698598519,15.2673709569,14.8109693178,15.0097248703,106218629,0.0,1.0
59,GE,2011-01-31 00:00:00+00:00,20.14,20.29,20.1,20.13,51723400,14.8256919514,14.9361117027,14.7962466843,14.8183306346,53762645,0.0,1.0
60,GE,2011-02-01 00:00:00+00:00,20.8,20.9,20.3,20.38,68304300,15.3115388574,15.385152025,14.9434730195,15.0023635536,70997264,0.0,1.0
61,GE,2011-02-02 00:00:00+00:00,20.71,20.96,20.65,20.84,42276300,15.2452870066,15.4293199255,15.201119106,15.3409841244,43943084,0.0,1.0
62,GE,2011-02-03 00:00:00+00:00,20.75,20.765,20.42,20.65,41117700,15.2747322736,15.2857742488,15.0318088206,15.201119106,42738805,0.0,1.0
63,GE,2011-02-04 00:00:00+00:00,20.56,20.8,20.4,20.79,43108100,15.1348672552,15.3115388574,15.0170861871,15.3041775406,44807679,0.0,1.0
64,GE,2011-02-07 00:00:00+00:00,20.87,21.0,20.73,20.77,45386900,15.3630680747,15.4587651926,15.2600096401,15.2894549071,47176323,0.0,1.0
65,GE,2011-02-08 00:00:00+00:00,21.28,21.31,20.91,20.955,54940300,15.6648820618,15.6869660121,15.3925133417,15.4256392672,57106375,0.0,1.0
