,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,GM,2010-11-18 00:00:00+00:00,34.19,35.99,33.89,35.0,457044300,26.4307042179,27.8222007839,26.1987881235,27.0568776726,457044300,0.0,1.0
1,GM,2010-11-19 00:00:00+00:00,34.26,34.5,33.11,34.15,107842000,26.4848179732,26.6703508487,25.5958062783,26.399782072,107842000,0.0,1.0
2,GM,2010-11-22 00:00:00+00:00,34.08,34.48,33.81,34.2,36650600,26.3456683166,26.6548897757,26.1369438317,26.4384347543,36650600,0.0,1.0
3,GM,2010-11-23 00:00:00+00:00,33.25,33.99,33.19,33.95,31170200,25.7040337889,26.2760934883,25.6576505701,26.2451713424,31170200,0.0,1.0
4,GM,2010-11-24 00:00:00+00:00,33.48,33.8,33.22,33.73,26138000,25.8818361279,26.1292132952,25.6808421795,26.0750995399,26138000,0.0,1.0
5,GM,2010-11-26 00:00:00+00:00,33.8,33.81,33.21,33.41,12301200,26.1292132952,26.1369438317,25.673111643,25.8277223726,12301200,0.0,1.0
6,GM,2010-11-29 00:00:00+00:00,33.8,33.81,33.07,33.8,27776900,26.1292132952,26.1369438317,25.5648841323,26.1292132952,27776900,0.0,1.0
7,GM,2010-11-30 00:00:00+00:00,34.2,34.25,33.36,33.53,57476900,26.4384347543,26.4770874367,25.7890696902,25.9204888103,57476900,0.0,1.0
8,GM,2010-12-01 00:00:00+00:00,34.78,34.95,34.42,34.65,34633200,26.8868058701,27.0182249902,26.6085065569,26.7863088959,34633200,0.0,1.0
9,GM,2010-12-02 00:00:00+00:00,34.68,34.98,34.51,34.92,23196100,26.8095005053,27.0414165996,26.6780813852,26.9950333808,23196100,0.0,1.0
10,GM,2010-12-03 00:00:00+00:00,34.55,34.6,33.97,34.55,19395200,26.7090035311,26.7476562135,26.2606324154,26.7090035311,19395200,0.0,1.0
11,GM,2010-12-06 00:00:00+00:00,34.48,34.78,34.41,34.48,11676500,26.6548897757,26.8868058701,26.6007760204,26.6548897757,11676500,0.0,1.0
12,GM,2010-12-07 00:00:00+00:00,34.68,34.89,34.46,34.75,20823000,26.8095005053,26.9718417713,26.6394287028,26.8636142606,20823000,0.0,1.0
13,GM,2010-12-08 00:00:00+00:00,34.45,34.73,34.33,34.61,12603900,26.6316981663,26.8481531877,26.5389317286,26.7553867499,12603900,0.0,1.0
14,GM,2010-12-09 00:00:00+00:00,33.74,34.43,33.62,34.36,18402200,26.0828300764,26.6162370933,25.9900636386,26.562123338,18402200,0.0,1.0
15,GM,2010-12-10 00:00:00+00:00,33.81,33.99,33.53,33.85,11741700,26.1369438317,26.2760934883,25.9204888103,26.1678659776,11741700,0.0,1.0
16,GM,2010-12-13 00:00:00+00:00,33.8,34.05,33.7,33.96,11029300,26.1292132952,26.3224767072,26.0519079305,26.2529018789,11029300,0.0,1.0
17,GM,2010-12-14 00:00:00+00:00,33.89,33.92,33.45,33.73,15165600,26.1987881235,26.221979733,25.8586445185,26.0750995399,15165600,0.0,1.0
18,GM,2010-12-15 00:00:00+00:00,33.61,34.01,33.61,33.81,10182700,25.9823331022,26.2915545613,25.9823331022,26.1369438317,10182700,0.0,1.0
19,GM,2010-12-16 00:00:00+00:00,33.61,33.86,33.56,33.57,9885700,25.9823331022,26.1755965141,25.9436804198,25.9514109562,9885700,0.0,1.0
20,GM,2010-12-17 00:00:00+00:00,34.0,34.0,33.19,33.53,35681600,26.2838240248,26.2838240248,25.6576505701,25.9204888103,35681600,0.0,1.0
21,GM,2010-12-20 00:00:00+00:00,33.76,34.05,33.74,33.91,12476400,26.0982911493,26.3224767072,26.0828300764,26.2142491965,12476400,0.0,1.0
22,GM,2010-12-21 00:00:00+00:00,33.85,33.94,33.72,33.86,9012400,26.1678659776,26.2374408059,26.0673690034,26.1755965141,9012400,0.0,1.0
23,GM,2010-12-22 00:00:00+00:00,34.92,34.95,33.53,33.72,20935100,26.9950333808,27.0182249902,25.9204888103,26.0673690034,20935100,0.0,1.0
24,GM,2010-12-23 00:00:00+00:00,34.81,35.52,34.62,34.67,20529200,26.9099974795,27.4588655694,26.7631172864,26.8017699688,20529200,0.0,1.0
25,GM,2010-12-27 00:00:00+00:00,34.6,34.89,34.19,34.41,7368300,26.7476562135,26.9718417713,26.4307042179,26.6007760204,7368300,0.0,1.0
26,GM,2010-12-28 00:00:00+00:00,35.32,35.67,35.07,35.38,23489000,27.3042548399,27.5748236166,27.1109914279,27.3506380587,23489000,0.0,1.0
27,GM,2010-12-29 00:00:00+00:00,36.02,36.3,35.25,35.47,20960800,27.8453923933,28.0618474147,27.2501410845,27.420212887,20960800,0.0,1.0
28,GM,2010-12-30 00:00:00+00:00,36.82,36.98,36.02,36.1,16980800,28.4638353116,28.5875238952,27.8453923933,27.9072366851,16980800,0.0,1.0
