,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,GWW,2010-11-04 00:00:00+00:00,126.34,126.42,124.88,125.74,479900,105.2105489955,105.2771695742,103.9947234332,104.7108946548,479900,0.54,1.0
1,GWW,2010-11-05 00:00:00+00:00,128.19,128.2699,125.96,126.34,410700,106.7511498791,106.8176871822,104.8941012464,105.2105489955,410700,0.0,1.0
2,GWW,2010-11-08 00:00:00+00:00,127.03,127.93,126.67,127.93,346300,105.7851514872,106.5346329982,105.4853588828,106.5346329982,346300,0.0,1.0
3,GWW,2010-11-09 00:00:00+00:00,125.82,127.12,125.17,127.12,310400,104.7775152336,105.8600996383,104.2362230312,105.8600996383,310400,0.0,1.0
4,GWW,2010-11-10 00:00:00+00:00,126.37,126.38,124.9,125.66,254800,105.2355317125,105.2438592848,104.0113785779,104.6442740761,254800,0.0,1.0
5,GWW,2010-11-11 00:00:00+00:00,126.7,126.84,123.35,124.47,728200,105.5103415998,105.6269276127,102.7206048646,103.6532929671,728200,0.0,1.0
6,GWW,2010-11-12 00:00:00+00:00,125.5,126.66,124.45,125.96,584500,104.5110329186,105.4770313105,103.6366378224,104.8941012464,584500,0.0,1.0
7,GWW,2010-11-15 00:00:00+00:00,125.37,127.13,125.34,126.12,477500,104.4027744781,105.8684272106,104.3777917611,105.0273424039,477500,0.0,1.0
8,GWW,2010-11-16 00:00:00+00:00,124.53,125.29,123.47,124.77,885900,103.7032584012,104.3361538993,102.8205357327,103.9031201374,885900,0.0,1.0
9,GWW,2010-11-17 00:00:00+00:00,124.86,125.39,123.0,124.29,1213200,103.9780682885,104.4194296228,102.4291398325,103.5033966649,1213200,0.0,1.0
10,GWW,2010-11-18 00:00:00+00:00,125.24,126.63,124.15,125.93,864000,104.2945160376,105.4520485934,103.3868106521,104.8691185294,864000,0.0,1.0
11,GWW,2010-11-19 00:00:00+00:00,125.78,125.86,124.27,124.88,509200,104.7442049442,104.8108255229,103.4867415202,103.9947234332,509200,0.0,1.0
12,GWW,2010-11-22 00:00:00+00:00,125.95,126.1999,124.52,125.5,422700,104.885773674,105.0938797069,103.6949308288,104.5110329186,422700,0.0,1.0
13,GWW,2010-11-23 00:00:00+00:00,124.06,124.93,123.62,124.58,756800,103.311862501,104.0363612949,102.9454493179,103.7448962629,756800,0.0,1.0
14,GWW,2010-11-24 00:00:00+00:00,126.7,127.03,124.83,124.88,479900,105.5103415998,105.7851514872,103.9530855715,103.9947234332,479900,0.0,1.0
15,GWW,2010-11-26 00:00:00+00:00,125.75,126.33,125.69,125.75,163100,104.7192222272,105.2022214231,104.6692567931,104.7192222272,163100,0.0,1.0
16,GWW,2010-11-29 00:00:00+00:00,125.06,125.42,123.78,124.88,440800,104.1446197354,104.4444123398,103.0786904754,103.9947234332,440800,0.0,1.0
17,GWW,2010-11-30 00:00:00+00:00,124.93,125.83,123.62,123.62,767300,104.0363612949,104.7858428059,102.9454493179,102.9454493179,767300,0.0,1.0
18,GWW,2010-12-01 00:00:00+00:00,127.27,128.26,125.97,125.99,659200,105.9850132235,106.8094428855,104.9024288187,104.9190839634,659200,0.0,1.0
19,GWW,2010-12-02 00:00:00+00:00,131.16,131.31,127.27,127.42,728300,109.2244388653,109.3493524505,105.9850132235,106.1099268086,728300,0.0,1.0
20,GWW,2010-12-03 00:00:00+00:00,131.59,131.93,130.51,130.69,333000,109.5825244761,109.8656619358,108.683146663,108.8330429651,333000,0.0,1.0
21,GWW,2010-12-06 00:00:00+00:00,131.95,132.38,130.91,131.4,304100,109.8823170805,110.2404026913,109.0162495567,109.4243006016,304100,0.0,1.0
22,GWW,2010-12-07 00:00:00+00:00,132.63,134.08,132.21,134.08,578700,110.4485919999,111.6560899898,110.0988339615,111.6560899898,578700,0.0,1.0
23,GWW,2010-12-08 00:00:00+00:00,132.13,132.79,131.39,132.79,508100,110.0322133827,110.5818331574,109.4159730292,110.5818331574,508100,0.0,1.0
24,GWW,2010-12-09 00:00:00+00:00,132.35,132.99,131.76,132.99,285100,110.2154199743,110.7483846043,109.724093206,110.7483846043,285100,0.0,1.0
25,GWW,2010-12-10 00:00:00+00:00,133.67,133.7599,132.08,132.57,230100,111.3146595237,111.3895243991,109.990575521,110.3986265658,230100,0.0,1.0
26,GWW,2010-12-13 00:00:00+00:00,133.77,134.79,133.34,134.15,426400,111.3979352471,112.2473476262,111.0398496363,111.7143829962,426400,0.0,1.0
27,GWW,2010-12-14 00:00:00+00:00,134.83,135.25,133.82,134.09,356600,112.2806579156,112.6304159541,111.4395731089,111.6644175621,356600,0.0,1.0
28,GWW,2010-12-15 00:00:00+00:00,135.38,136.26,134.315,134.43,554300,112.7386743945,113.4715007608,111.8517879399,111.9475550218,554300,0.0,1.0
29,GWW,2010-12-16 00:00:00+00:00,136.8,136.92,134.65,135.24,349300,113.9211896674,114.0211205355,112.1307616134,112.6220883817,349300,0.0,1.0
30,GWW,2010-12-17 00:00:00+00:00,136.19,136.84,136.08,136.84,605400,113.4132077544,113.9544999568,113.3216044586,113.9544999568,605400,0.0,1.0
31,GWW,2010-12-20 00:00:00+00:00,137.3,137.85,136.41,136.52,274200,114.3375682846,114.7955847635,113.596414346,113.6880176418,274200,0.0,1.0
32,GWW,2010-12-21 00:00:00+00:00,138.5,138.5,137.53,137.72,273200,115.3368769659,115.3368769659,114.5291024485,114.6873263231,273200,0.0,1.0
33,GWW,2010-12-22 00:00:00+00:00,138.01,138.59,137.71,138.59,237200,114.928825921,115.411825117,114.6789987507,115.411825117,237200,0.0,1.0
34,GWW,2010-12-23 00:00:00+00:00,138.07,138.3,137.77,137.99,133100,114.9787913551,115.170325519,114.7289641848,114.9121707763,133100,0.0,1.0
35,GWW,2010-12-27 00:00:00+00:00,138.65,138.86,137.41,138.0,127800,115.4617905511,115.6366695703,114.4291715804,114.9204983487,127800,0.0,1.0
36,GWW,2010-12-28 00:00:00+00:00,138.01,139.07,137.51,138.87,206600,114.928825921,115.8115485895,114.5124473038,115.6449971426,206600,0.0,1.0
37,GWW,2010-12-29 00:00:00+00:00,137.95,139.08,137.94,138.42,239900,114.878860487,115.8198761619,114.8705329146,115.2702563871,239900,0.0,1.0
