,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,HCA,2011-03-10 00:00:00+00:00,31.02,31.5,30.7,31.2,64599900,24.1071944827,24.4802265057,23.8585064674,24.2470814913,64599900,0.0,1.0
1,HCA,2011-03-11 00:00:00+00:00,31.12,31.29,30.5,30.5,9531600,24.1849094875,24.3170249956,23.7030764579,23.7030764579,9531600,0.0,1.0
2,HCA,2011-03-14 00:00:00+00:00,30.91,31.05,30.57,30.96,8663800,24.0217079775,24.1305089842,23.7574769612,24.0605654799,8663800,0.0,1.0
3,HCA,2011-03-15 00:00:00+00:00,31.34,31.5,30.36,30.39,7121200,24.355882498,24.4802265057,23.5942754512,23.6175899526,7121200,0.0,1.0
4,HCA,2011-03-16 00:00:00+00:00,31.25,31.95,31.12,31.25,6157900,24.2859389937,24.8299440272,24.1849094875,24.2859389937,6157900,0.0,1.0
5,HCA,2011-03-17 00:00:00+00:00,31.91,31.93,31.4,31.54,3332400,24.7988580253,24.8144010262,24.4025115009,24.5113125076,3332400,0.0,1.0
6,HCA,2011-03-18 00:00:00+00:00,33.06,33.08,31.9,32.11,5463200,25.6925805802,25.7081235812,24.7910865248,24.9542880348,5463200,0.0,1.0
7,HCA,2011-03-21 00:00:00+00:00,32.25,33.39,32.0,33.39,3823500,25.0630890415,25.949040096,24.8688015296,25.949040096,3823500,0.0,1.0
8,HCA,2011-03-22 00:00:00+00:00,31.87,32.39,31.3904,32.37,3943900,24.7677720234,25.1718900482,24.3950508604,25.1563470473,3943900,0.0,1.0
9,HCA,2011-03-23 00:00:00+00:00,32.68,32.68,31.5,31.7,4216300,25.3972635621,25.3972635621,24.4802265057,24.6356565152,4216300,0.0,1.0
10,HCA,2011-03-24 00:00:00+00:00,32.69,32.95,32.5,32.53,2125600,25.4050350626,25.607094075,25.2573765535,25.2806910549,2125600,0.0,1.0
11,HCA,2011-03-25 00:00:00+00:00,32.95,33.1,32.58,32.71,3026600,25.607094075,25.7236665822,25.3195485573,25.4205780635,3026600,0.0,1.0
12,HCA,2011-03-28 00:00:00+00:00,33.04,33.11,32.75,32.87,2098300,25.6770375793,25.7314380826,25.4516640654,25.5449220712,2098300,0.0,1.0
13,HCA,2011-03-29 00:00:00+00:00,33.89,34.01,33.05,33.44,5137300,26.3376151199,26.4308731257,25.6848090798,25.9878975984,5137300,0.0,1.0
14,HCA,2011-03-30 00:00:00+00:00,34.24,34.57,33.93,34.57,3049500,26.6096176367,26.8660771524,26.3687011218,26.8660771524,3049500,0.0,1.0
15,HCA,2011-03-31 00:00:00+00:00,33.87,34.11,33.665,34.0,1960600,26.322072119,26.5085881304,26.1627563592,26.4231016252,1960600,0.0,1.0
16,HCA,2011-04-01 00:00:00+00:00,33.74,34.1,33.66,33.89,1822100,26.2210426128,26.50081663,26.1588706089,26.3376151199,1822100,0.0,1.0
17,HCA,2011-04-04 00:00:00+00:00,33.67,33.87,33.31,33.87,2648000,26.1666421094,26.322072119,25.8868680922,26.322072119,2648000,0.0,1.0
18,HCA,2011-04-05 00:00:00+00:00,34.02,34.05,33.25,33.7,3607100,26.4386446261,26.4619591276,25.8402390893,26.1899566108,3607100,0.0,1.0
19,HCA,2011-04-06 00:00:00+00:00,33.3,34.2,33.24,33.75,2718500,25.8790965917,26.5785316347,25.8324675889,26.2288141132,2718500,0.0,1.0
20,HCA,2011-04-07 00:00:00+00:00,33.66,33.85,32.85,33.28,1946900,26.1588706089,26.306529118,25.5293790702,25.8635535908,1946900,0.0,1.0
21,HCA,2011-04-08 00:00:00+00:00,33.17,33.99,32.99,33.52,2339800,25.7780670855,26.4153301247,25.6381800769,26.0500696022,2339800,0.0,1.0
22,HCA,2011-04-11 00:00:00+00:00,32.12,33.34,30.79,33.34,15028000,24.9620595353,25.9101825936,23.9284499717,25.9101825936,15028000,0.0,1.0
23,HCA,2011-04-12 00:00:00+00:00,31.53,32.59,31.33,32.11,3848800,24.5035410071,25.3273200578,24.3481109976,24.9542880348,3848800,0.0,1.0
24,HCA,2011-04-13 00:00:00+00:00,32.06,32.45,31.7,32.0,3969800,24.9154305324,25.2185190511,24.6356565152,24.8688015296,3969800,0.0,1.0
25,HCA,2011-04-14 00:00:00+00:00,32.14,32.5,31.79,31.89,1565900,24.9776025363,25.2573765535,24.7056000195,24.7833150243,1565900,0.0,1.0
26,HCA,2011-04-15 00:00:00+00:00,31.98,32.38,31.89,32.3,3072800,24.8532585286,25.1641185477,24.7833150243,25.1019465439,3072800,0.0,1.0
27,HCA,2011-04-18 00:00:00+00:00,32.08,32.54,30.75,31.82,2911100,24.9309735334,25.2884625554,23.8973639698,24.728914521,2911100,0.0,1.0
28,HCA,2011-04-19 00:00:00+00:00,31.74,33.1,31.66,33.08,3838100,24.6667425172,25.7236665822,24.6045705133,25.7081235812,3838100,0.0,1.0
29,HCA,2011-04-20 00:00:00+00:00,31.65,32.1897,31.15,32.0,3866100,24.5967990129,25.0162268936,24.208223989,24.8688015296,3866100,0.0,1.0
30,HCA,2011-04-21 00:00:00+00:00,31.4,31.98,31.27,31.81,1462000,24.4025115009,24.8532585286,24.3014819947,24.7211430205,1462000,0.0,1.0
31,HCA,2011-04-25 00:00:00+00:00,31.4,31.5999,31.1,31.56,732700,24.4025115009,24.5578637955,24.1693664866,24.5268555085,732700,0.0,1.0
32,HCA,2011-04-26 00:00:00+00:00,32.0,32.07,31.16,31.35,1800000,24.8688015296,24.9232020329,24.2159954894,24.3636539985,1800000,0.0,1.0
33,HCA,2011-04-27 00:00:00+00:00,32.65,33.0,32.2503,32.26,3354500,25.3739490606,25.6459515774,25.0633221865,25.070860542,3354500,0.0,1.0
34,HCA,2011-04-28 00:00:00+00:00,32.57,32.99,32.25,32.51,1600000,25.3117770568,25.6381800769,25.0630890415,25.265148054,1600000,0.0,1.0
35,HCA,2011-04-29 00:00:00+00:00,32.8,32.86,32.03,32.5,1233900,25.4905215678,25.5371505707,24.892116031,25.2573765535,1233900,0.0,1.0
36,HCA,2011-05-02 00:00:00+00:00,33.44,33.79,32.8,32.8,2786200,25.9878975984,26.2599001151,25.4905215678,25.4905215678,2786200,0.0,1.0
37,HCA,2011-05-03 00:00:00+00:00,32.61,33.882,31.94,33.59,3429400,25.3428630587,26.3313979195,24.8221725267,26.1044701056,3429400,0.0,1.0
38,HCA,2011-05-04 00:00:00+00:00,33.55,33.96,32.79,33.1,4518300,26.0733841037,26.3920156233,25.4827500673,25.7236665822,4518300,0.0,1.0
39,HCA,2011-05-05 00:00:00+00:00,34.34,34.74,33.15,33.45,2613000,26.6873326414,26.9981926606,25.7625240845,25.9956690989,2613000,0.0,1.0
40,HCA,2011-05-06 00:00:00+00:00,34.25,34.5,33.89,34.06,1601300,26.6173891371,26.8116766491,26.3376151199,26.469730628,1601300,0.0,1.0
41,HCA,2011-05-09 00:00:00+00:00,34.49,34.75,34.14,34.35,1996100,26.8039051486,27.005964161,26.5319026319,26.6951041419,1996100,0.0,1.0
42,HCA,2011-05-10 00:00:00+00:00,34.59,34.86,34.0,34.03,1475100,26.8816201534,27.0914506663,26.4231016252,26.4464161266,1475100,0.0,1.0
43,HCA,2011-05-11 00:00:00+00:00,34.54,34.79,34.06,34.2,1431700,26.842762651,27.0370501629,26.469730628,26.5785316347,1431700,0.0,1.0
44,HCA,2011-05-12 00:00:00+00:00,34.51,34.59,34.12,34.3,814000,26.8194481496,26.8816201534,26.5163596309,26.6562466395,814000,0.0,1.0
45,HCA,2011-05-13 00:00:00+00:00,34.6,34.769,34.232,34.43,1694000,26.8893916539,27.0207300119,26.6034004363,26.7572761457,1694000,0.0,1.0
46,HCA,2011-05-16 00:00:00+00:00,34.25,34.6,34.05,34.3,1719900,26.6173891371,26.8893916539,26.4619591276,26.6562466395,1719900,0.0,1.0
47,HCA,2011-05-17 00:00:00+00:00,34.54,34.95,34.0,34.21,3131000,26.842762651,27.1613941706,26.4231016252,26.5863031352,3131000,0.0,1.0
48,HCA,2011-05-18 00:00:00+00:00,35.07,35.24,34.15,34.4,2070300,27.2546521763,27.3867676845,26.5396741323,26.7339616443,2070300,0.0,1.0
49,HCA,2011-05-19 00:00:00+00:00,35.05,35.23,34.5,35.02,1183900,27.2391091754,27.378996184,26.8116766491,27.2157946739,1183900,0.0,1.0
50,HCA,2011-05-20 00:00:00+00:00,34.63,35.04,34.15,34.9,2012400,26.9127061553,27.2313376749,26.5396741323,27.1225366682,2012400,0.0,1.0
51,HCA,2011-05-23 00:00:00+00:00,34.41,34.55,34.0,34.4,2200000,26.7417331448,26.8505341515,26.4231016252,26.7339616443,2200000,0.0,1.0
52,HCA,2011-05-24 00:00:00+00:00,34.49,34.64,34.07,34.53,3000000,26.8039051486,26.9204776558,26.4775021285,26.8349911505,3000000,0.0,1.0
53,HCA,2011-05-25 00:00:00+00:00,34.68,35.0,34.24,34.57,2539100,26.9515636577,27.200251673,26.6096176367,26.8660771524,2539100,0.0,1.0
54,HCA,2011-05-26 00:00:00+00:00,34.83,34.91,34.05,34.9,1796500,27.0681361649,27.1303081687,26.4619591276,27.1225366682,1796500,0.0,1.0
55,HCA,2011-05-27 00:00:00+00:00,34.74,35.1,34.41,34.92,1474700,26.9981926606,27.2779666778,26.7417331448,27.1380796692,1474700,0.0,1.0
56,HCA,2011-05-31 00:00:00+00:00,34.89,35.31,34.56,34.99,8113400,27.1147651677,27.4411681878,26.8583056519,27.1924801725,8113400,0.0,1.0
57,HCA,2011-06-01 00:00:00+00:00,34.77,35.27,34.42,35.0,3049800,27.021507162,27.4100821859,26.7495046453,27.200251673,3049800,0.0,1.0
58,HCA,2011-06-02 00:00:00+00:00,34.36,35.05,34.25,34.84,2160100,26.7028756424,27.2391091754,26.6173891371,27.0759076653,2160100,0.0,1.0
59,HCA,2011-06-03 00:00:00+00:00,34.14,34.15,33.72,34.0,2519100,26.5319026319,26.5396741323,26.2054996118,26.4231016252,2519100,0.0,1.0
60,HCA,2011-06-06 00:00:00+00:00,33.74,34.28,33.06,33.98,2361000,26.2210426128,26.6407036386,25.6925805802,26.4075586242,2361000,0.0,1.0
61,HCA,2011-06-07 00:00:00+00:00,34.52,34.9,33.73,33.79,1896300,26.82721965,27.1225366682,26.2132711123,26.2599001151,1896300,0.0,1.0
62,HCA,2011-06-08 00:00:00+00:00,34.76,34.99,34.25,34.57,1458400,27.0137356615,27.1924801725,26.6173891371,26.8660771524,1458400,0.0,1.0
63,HCA,2011-06-09 00:00:00+00:00,35.24,35.37,34.58,35.03,1634100,27.3867676845,27.4877971907,26.8738486529,27.2235661744,1634100,0.0,1.0
64,HCA,2011-06-10 00:00:00+00:00,33.9,35.0,33.86,35.0,2222700,26.3453866204,27.200251673,26.3143006185,27.200251673,2222700,0.0,1.0
