,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,HII,2011-03-22 00:00:00+00:00,37.49,37.6,34.0,35.72,491400,33.7748544473,33.8739537802,30.6307028863,32.1802560912,491400,0.0,1.0
1,HII,2011-03-23 00:00:00+00:00,37.25,37.8,36.95,37.07,601200,33.558637721,34.0541343854,33.2883668132,33.3964751763,601200,0.0,1.0
2,HII,2011-03-24 00:00:00+00:00,37.25,37.5,37.15,37.5,230400,33.558637721,33.7838634776,33.4685474184,33.7838634776,230400,0.0,1.0
3,HII,2011-03-25 00:00:00+00:00,39.25,39.25,37.25,37.5,497400,35.3604437732,35.3604437732,33.558637721,33.7838634776,497400,0.0,1.0
4,HII,2011-03-28 00:00:00+00:00,37.75,39.0,37.75,39.0,53100,34.0090892341,35.1352180167,34.0090892341,35.1352180167,53100,0.0,1.0
5,HII,2011-03-29 00:00:00+00:00,37.5,37.95,37.47,37.76,269300,33.7838634776,34.1892698393,33.7568363868,34.0180982643,269300,0.0,1.0
6,HII,2011-03-30 00:00:00+00:00,38.2,38.49,36.58,37.95,8573500,34.4144955958,34.6757574734,32.9550326936,34.1892698393,8573500,0.0,1.0
7,HII,2011-03-31 00:00:00+00:00,41.5,42.74,38.0,38.45,2653000,37.3874755818,38.5045953342,34.2343149906,34.6397213523,2653000,0.0,1.0
8,HII,2011-04-01 00:00:00+00:00,40.04,42.44,39.84,40.99,2222900,36.0721571638,38.2343244263,35.8919765586,36.9280150385,2222900,0.0,1.0
9,HII,2011-04-04 00:00:00+00:00,40.15,41.02,39.14,39.86,1122700,36.1712564966,36.9550421293,35.2613444403,35.9099946191,1122700,0.0,1.0
10,HII,2011-04-05 00:00:00+00:00,40.25,40.33,38.73,39.53,1373400,36.2613467992,36.3334190413,34.8919741996,35.6126966205,1373400,0.0,1.0
11,HII,2011-04-06 00:00:00+00:00,39.68,40.31,39.12,39.86,2080100,35.7478320744,36.3154009808,35.2433263798,35.9099946191,2080100,0.0,1.0
12,HII,2011-04-07 00:00:00+00:00,38.8,39.25,37.51,38.25,2134600,34.9550374114,35.3604437732,33.7928725078,34.4595407471,2134600,0.0,1.0
13,HII,2011-04-08 00:00:00+00:00,38.5,38.88,38.2,38.33,1307200,34.6847665036,35.0271096535,34.4144955958,34.5316129892,1307200,0.0,1.0
14,HII,2011-04-11 00:00:00+00:00,38.32,38.58,38.28,38.5,1563100,34.5226039589,34.7568387457,34.4865678379,34.6847665036,1563100,0.0,1.0
15,HII,2011-04-12 00:00:00+00:00,38.05,38.42,37.66,37.91,1637500,34.2793601419,34.6126942615,33.9280079617,34.1532337182,1637500,0.0,1.0
16,HII,2011-04-13 00:00:00+00:00,38.0,38.37,37.28,37.71,1649100,34.2343149906,34.5676491102,33.5856648118,33.973053113,1649100,0.0,1.0
17,HII,2011-04-14 00:00:00+00:00,38.77,39.36,37.85,37.9,1232400,34.9280103207,35.459543106,34.0991795367,34.144224688,1232400,0.0,1.0
18,HII,2011-04-15 00:00:00+00:00,40.14,40.75,38.81,38.89,1502100,36.1622474664,36.7117983123,34.9640464417,35.0361186838,1502100,0.0,1.0
19,HII,2011-04-18 00:00:00+00:00,40.05,40.22,38.59,39.45,793700,36.081166194,36.2343197085,34.765847776,35.5406243784,793700,0.0,1.0
20,HII,2011-04-19 00:00:00+00:00,39.78,40.12,39.49,40.08,802400,35.837922377,36.1442294059,35.5766604994,36.1081932848,802400,0.0,1.0
21,HII,2011-04-20 00:00:00+00:00,40.06,40.36,39.5,40.14,358200,36.0901752243,36.3604461321,35.5856695297,36.1622474664,358200,0.0,1.0
22,HII,2011-04-21 00:00:00+00:00,39.31,40.19,39.18,40.03,799400,35.4144979547,36.2072926177,35.2973805614,36.0631481335,799400,0.0,1.0
