,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,HLT,2013-12-12 00:00:00+00:00,21.5,21.92,21.25,21.3,26543600,43.4275873931,44.2759402631,42.9226154466,43.0236098359,8847866,0.0,1.0
1,HLT,2013-12-13 00:00:00+00:00,22.1,22.38,21.55,21.99,2513400,44.6395200645,45.2050886445,43.5285817823,44.4173324081,837799,0.0,1.0
2,HLT,2013-12-16 00:00:00+00:00,21.52,25.95,21.52,23.13,9680700,43.4679851488,52.4160880395,43.4679851488,46.7200044838,3226899,0.0,1.0
3,HLT,2013-12-17 00:00:00+00:00,21.81,21.99,21.58,21.61,4748000,44.0537526066,44.4173324081,43.5891784159,43.6497750495,1582666,0.0,1.0
4,HLT,2013-12-18 00:00:00+00:00,21.83,22.18,21.66,21.83,5864300,44.0941503623,44.8011110873,43.7507694388,44.0941503623,1954766,0.0,1.0
5,HLT,2013-12-19 00:00:00+00:00,22.28,22.41,21.55,21.75,3014600,45.0030998659,45.2656852781,43.5285817823,43.9325593395,1004866,0.0,1.0
6,HLT,2013-12-20 00:00:00+00:00,21.93,22.55,21.86,22.5,2041400,44.2961391409,45.5484695681,44.1547469959,45.4474751788,680466,0.0,1.0
7,HLT,2013-12-23 00:00:00+00:00,21.56,22.19,21.56,22.01,2504900,43.5487806602,44.8213099652,43.5487806602,44.4577301638,834966,0.0,1.0
8,HLT,2013-12-24 00:00:00+00:00,21.51,21.67,21.15,21.6,2532300,43.4477862709,43.7709683166,42.720626668,43.6295761716,844099,0.0,1.0
9,HLT,2013-12-26 00:00:00+00:00,21.7,21.96,21.55,21.56,2686500,43.8315649502,44.3567357745,43.5285817823,43.5487806602,895499,0.0,1.0
10,HLT,2013-12-27 00:00:00+00:00,21.6,21.84,21.55,21.6,2237300,43.6295761716,44.1143492402,43.5285817823,43.6295761716,745766,0.0,1.0
11,HLT,2013-12-30 00:00:00+00:00,21.89,21.97,21.6,21.72,1789000,44.2153436295,44.3769346523,43.6295761716,43.8719627059,596333,0.0,1.0
12,HLT,2013-12-31 00:00:00+00:00,22.25,22.47,21.95,22.0,2327600,44.9425032323,45.3868785452,44.3365368966,44.4375312859,775866,0.0,1.0
13,HLT,2014-01-02 00:00:00+00:00,21.86,22.35,21.77,22.25,3619300,44.1547469959,45.1444920109,43.9729570952,44.9425032323,1206433,0.0,1.0
14,HLT,2014-01-03 00:00:00+00:00,22.01,22.09,21.75,21.8,946500,44.4577301638,44.6193211866,43.9325593395,44.0335537288,315499,0.0,1.0
15,HLT,2014-01-06 00:00:00+00:00,22.0,22.12,21.76,21.99,2405600,44.4375312859,44.6799178202,43.9527582173,44.4173324081,801866,0.0,1.0
16,HLT,2014-01-07 00:00:00+00:00,22.0,22.1,21.9,22.0,4088800,44.4375312859,44.6395200645,44.2355425073,44.4375312859,1362933,0.0,1.0
17,HLT,2014-01-08 00:00:00+00:00,22.03,22.03,21.8,22.03,2368500,44.4981279195,44.4981279195,44.0335537288,44.4981279195,789499,0.0,1.0
18,HLT,2014-01-09 00:00:00+00:00,21.87,22.02,21.71,22.0,943100,44.1749458738,44.4779290416,43.8517638281,44.4375312859,314366,0.0,1.0
19,HLT,2014-01-10 00:00:00+00:00,21.69,21.86,21.57,21.76,1666900,43.8113660723,44.1547469959,43.5689795381,43.9527582173,555633,0.0,1.0
20,HLT,2014-01-13 00:00:00+00:00,21.72,21.83,21.56,21.56,1494300,43.8719627059,44.0941503623,43.5487806602,43.5487806602,498099,0.0,1.0
21,HLT,2014-01-14 00:00:00+00:00,22.1,22.11,21.64,21.71,2568300,44.6395200645,44.6597189423,43.7103716831,43.8517638281,856099,0.0,1.0
22,HLT,2014-01-15 00:00:00+00:00,21.91,22.17,21.83,22.05,1878100,44.2557413852,44.7809122095,44.0941503623,44.5385256752,626033,0.0,1.0
23,HLT,2014-01-16 00:00:00+00:00,21.96,22.03,21.69,21.9,2318800,44.3567357745,44.4981279195,43.8113660723,44.2355425073,772933,0.0,1.0
24,HLT,2014-01-17 00:00:00+00:00,22.25,22.56,21.8,21.96,5545100,44.9425032323,45.5686684459,44.0335537288,44.3567357745,1848366,0.0,1.0
25,HLT,2014-01-21 00:00:00+00:00,21.92,22.59,21.8361,22.51,2627000,44.2759402631,45.6292650795,44.1064716778,45.4676740566,875666,0.0,1.0
26,HLT,2014-01-22 00:00:00+00:00,22.46,22.49,21.9,21.99,2931600,45.3666796673,45.4272763009,44.2355425073,44.4173324081,977199,0.0,1.0
27,HLT,2014-01-23 00:00:00+00:00,22.66,22.66,22.1,22.43,1920800,45.7706572245,45.7706572245,44.6395200645,45.3060830338,640266,0.0,1.0
28,HLT,2014-01-24 00:00:00+00:00,22.45,22.48,22.09,22.35,1828400,45.3464807895,45.4070774231,44.6193211866,45.1444920109,609466,0.0,1.0
29,HLT,2014-01-27 00:00:00+00:00,21.99,22.45,21.89,22.45,2256400,44.4173324081,45.3464807895,44.2153436295,45.3464807895,752133,0.0,1.0
30,HLT,2014-01-28 00:00:00+00:00,21.9,22.0,21.75,21.84,1408100,44.2355425073,44.4375312859,43.9325593395,44.1143492402,469366,0.0,1.0
31,HLT,2014-01-29 00:00:00+00:00,21.66,21.88,21.56,21.81,898500,43.7507694388,44.1951447516,43.5487806602,44.0537526066,299499,0.0,1.0
32,HLT,2014-01-30 00:00:00+00:00,21.66,21.82,21.6,21.76,1067600,43.7507694388,44.0739514845,43.6295761716,43.9527582173,355866,0.0,1.0
33,HLT,2014-01-31 00:00:00+00:00,21.65,21.69,21.34,21.51,879500,43.7305705609,43.8113660723,43.1044053473,43.4477862709,293166,0.0,1.0
34,HLT,2014-02-03 00:00:00+00:00,20.95,21.7,20.84,21.65,2288000,42.3166491109,43.8315649502,42.0944614545,43.7305705609,762666,0.0,1.0
35,HLT,2014-02-04 00:00:00+00:00,21.03,21.0799,20.835,21.0,1715000,42.4782401338,42.5790325343,42.0843620155,42.4176435002,571666,0.0,1.0
36,HLT,2014-02-05 00:00:00+00:00,20.8,20.96,20.55,20.85,1425700,42.013665943,42.3368479888,41.5086939966,42.1146603323,475233,0.0,1.0
37,HLT,2014-02-06 00:00:00+00:00,21.2,21.2,20.82,20.84,603500,42.8216210573,42.8216210573,42.0540636988,42.0944614545,201166,0.0,1.0
38,HLT,2014-02-07 00:00:00+00:00,21.65,21.87,21.22,21.26,1052700,43.7305705609,44.1749458738,42.862018813,42.9428143245,350899,0.0,1.0
39,HLT,2014-02-10 00:00:00+00:00,21.41,21.69,21.3,21.67,1154100,43.2457974923,43.8113660723,43.0236098359,43.7709683166,384699,0.0,1.0
40,HLT,2014-02-11 00:00:00+00:00,21.69,21.77,21.46,21.73,1318300,43.8113660723,43.9729570952,43.3467918816,43.8921615838,439433,0.0,1.0
41,HLT,2014-02-12 00:00:00+00:00,21.89,21.95,21.62,21.74,896000,44.2153436295,44.3365368966,43.6699739273,43.9123604616,298666,0.0,1.0
42,HLT,2014-02-13 00:00:00+00:00,21.95,22.02,21.65,21.78,1131900,44.3365368966,44.4779290416,43.7305705609,43.9931559731,377299,0.0,1.0
43,HLT,2014-02-14 00:00:00+00:00,22.0,22.05,21.86,22.0,1329400,44.4375312859,44.5385256752,44.1547469959,44.4375312859,443133,0.0,1.0
44,HLT,2014-02-18 00:00:00+00:00,21.76,22.0,21.73,22.0,1264400,43.9527582173,44.4375312859,43.8921615838,44.4375312859,421466,0.0,1.0
45,HLT,2014-02-19 00:00:00+00:00,21.53,21.95,21.5,21.76,905000,43.4881840266,44.3365368966,43.4275873931,43.9527582173,301666,0.0,1.0
46,HLT,2014-02-20 00:00:00+00:00,21.49,21.67,21.31,21.5,1235500,43.4073885152,43.7709683166,43.0438087138,43.4275873931,411833,0.0,1.0
47,HLT,2014-02-21 00:00:00+00:00,22.15,22.19,21.47,21.5,2392800,44.7405144538,44.8213099652,43.3669907595,43.4275873931,797599,0.0,1.0
48,HLT,2014-02-24 00:00:00+00:00,22.26,22.5,22.0401,22.21,1525000,44.9627021102,45.4474751788,44.5185287861,44.8617077209,508333,0.0,1.0
49,HLT,2014-02-25 00:00:00+00:00,22.37,22.58,22.21,22.25,1689200,45.1848897666,45.6090662016,44.8617077209,44.9425032323,563066,0.0,1.0
50,HLT,2014-02-26 00:00:00+00:00,22.54,22.68,22.3,22.41,2199800,45.5282706902,45.8110549802,45.0434976216,45.2656852781,733266,0.0,1.0
51,HLT,2014-02-27 00:00:00+00:00,22.49,22.8601,21.8,22.41,4489400,45.4272763009,46.1748367704,44.0335537288,45.2656852781,1496466,0.0,1.0
52,HLT,2014-02-28 00:00:00+00:00,22.36,22.58,22.08,22.5,1991600,45.1646908888,45.6090662016,44.5991223088,45.4474751788,663866,0.0,1.0
53,HLT,2014-03-03 00:00:00+00:00,22.49,22.5,22.11,22.22,1388700,45.4272763009,45.4474751788,44.6597189423,44.8819065988,462899,0.0,1.0
54,HLT,2014-03-04 00:00:00+00:00,22.56,23.1,22.455,22.91,4734000,45.5686684459,46.6594078502,45.3565802284,46.2756291709,1577999,0.0,1.0
55,HLT,2014-03-05 00:00:00+00:00,22.77,22.89,22.45,22.47,1372200,45.9928448809,46.2352314152,45.3464807895,45.3868785452,457399,0.0,1.0
56,HLT,2014-03-06 00:00:00+00:00,22.48,22.86,22.4,22.77,1400300,45.4070774231,46.1746347816,45.2454864002,45.9928448809,466766,0.0,1.0
57,HLT,2014-03-07 00:00:00+00:00,22.71,22.83,22.4,22.45,1318100,45.8716516138,46.1140381481,45.2454864002,45.3464807895,439366,0.0,1.0
58,HLT,2014-03-10 00:00:00+00:00,22.38,22.85,22.23,22.76,1892000,45.2050886445,46.1544359038,44.9021054766,45.9726460031,630666,0.0,1.0
59,HLT,2014-03-11 00:00:00+00:00,22.11,22.46,22.0,22.39,1714300,44.6597189423,45.3666796673,44.4375312859,45.2252875223,571433,0.0,1.0
60,HLT,2014-03-12 00:00:00+00:00,22.35,22.3993,21.77,22.04,1618300,45.1444920109,45.2440724788,43.9729570952,44.5183267973,539433,0.0,1.0
61,HLT,2014-03-13 00:00:00+00:00,22.05,22.43,21.96,22.23,2037000,44.5385256752,45.3060830338,44.3567357745,44.9021054766,678999,0.0,1.0
62,HLT,2014-03-14 00:00:00+00:00,22.03,22.26,21.87,21.96,1249800,44.4981279195,44.9627021102,44.1749458738,44.3567357745,416599,0.0,1.0
63,HLT,2014-03-17 00:00:00+00:00,22.12,22.39,22.09,22.11,757700,44.6799178202,45.2252875223,44.6193211866,44.6597189423,252566,0.0,1.0
64,HLT,2014-03-18 00:00:00+00:00,22.57,22.59,22.06,22.1,1390800,45.5888673238,45.6292650795,44.5587245531,44.6395200645,463599,0.0,1.0
65,HLT,2014-03-19 00:00:00+00:00,22.26,22.525,22.16,22.52,1504900,44.9627021102,45.4979723734,44.7607133316,45.4878729345,501633,0.0,1.0
66,HLT,2014-03-20 00:00:00+00:00,22.17,22.42,22.11,22.25,1339400,44.7809122095,45.2858841559,44.6597189423,44.9425032323,446466,0.0,1.0
67,HLT,2014-03-21 00:00:00+00:00,22.99,22.99,22.15,22.27,6210900,46.4372201938,46.4372201938,44.7405144538,44.9829009881,2070299,0.0,1.0
68,HLT,2014-03-24 00:00:00+00:00,22.76,23.09,22.46,22.94,1982300,45.9726460031,46.6392089724,45.3666796673,46.3362258045,660766,0.0,1.0
