,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,HOG,2010-11-04 00:00:00+00:00,33.4,33.51,32.27,32.39,2813500,26.5022963617,26.5895793736,25.6056617842,25.7008796154,2813500,0.0,1.0
1,HOG,2010-11-05 00:00:00+00:00,33.63,33.74,33.24,33.52,1754000,26.6847972049,26.7720802168,26.3753392533,26.5975141929,1754000,0.0,1.0
2,HOG,2010-11-08 00:00:00+00:00,32.42,33.11,32.115,33.11,3796400,25.7246840732,26.2721866028,25.4826720855,26.2721866028,3796400,0.0,1.0
3,HOG,2010-11-09 00:00:00+00:00,31.75,32.6002,31.58,32.48,1880100,25.1930511821,25.8676695164,25.0581592545,25.7722929888,1880100,0.0,1.0
4,HOG,2010-11-10 00:00:00+00:00,32.28,32.3,31.54,31.74,1624100,25.6135966034,25.629466242,25.0264199774,25.1851163628,1624100,0.0,1.0
5,HOG,2010-11-11 00:00:00+00:00,32.33,32.49,31.63,31.92,1541200,25.6532706998,25.7802278081,25.0978333509,25.3279431097,1541200,0.0,1.0
6,HOG,2010-11-12 00:00:00+00:00,31.7,32.36,31.45,31.98,1537400,25.1533770858,25.6770751576,24.955006604,25.3755520253,1537400,0.0,1.0
7,HOG,2010-11-15 00:00:00+00:00,31.47,32.07,31.27,31.27,1574400,24.9708762426,25.4469653988,24.8121798572,24.8121798572,1574400,0.0,1.0
8,HOG,2010-11-16 00:00:00+00:00,30.76,31.29,30.485,31.07,1878300,24.4075040744,24.8280494957,24.1892965445,24.6534834718,1878300,0.0,1.0
9,HOG,2010-11-17 00:00:00+00:00,31.12,31.37,30.66,30.8,1395900,24.6931575681,24.8915280499,24.3281558817,24.4392433515,1395900,0.0,1.0
10,HOG,2010-11-18 00:00:00+00:00,31.74,32.21,31.48,31.6,1959600,25.1851163628,25.5580528685,24.9788110618,25.0740288931,1959600,0.0,1.0
11,HOG,2010-11-19 00:00:00+00:00,31.9,31.93,31.47,31.64,2923200,25.3120734712,25.335877929,24.9708762426,25.1057681701,2923200,0.0,1.0
12,HOG,2010-11-22 00:00:00+00:00,31.58,31.75,31.19,31.75,2063500,25.0581592545,25.1930511821,24.748701303,25.1930511821,2063500,0.0,1.0
13,HOG,2010-11-23 00:00:00+00:00,31.14,31.44,30.77,30.94,2096500,24.7090272066,24.9470717847,24.4154388937,24.5503308212,2096500,0.0,1.0
14,HOG,2010-11-24 00:00:00+00:00,31.8,31.89,31.38,31.49,1330200,25.2327252785,25.3041386519,24.8994628691,24.9867458811,1330200,0.0,1.0
15,HOG,2010-11-26 00:00:00+00:00,31.33,31.56,30.67,30.89,719400,24.8597887728,25.042289616,24.336090701,24.5106567249,719400,0.0,1.0
16,HOG,2010-11-29 00:00:00+00:00,31.46,31.64,30.9,30.95,1752300,24.9629414233,25.1057681701,24.5185915442,24.5582656405,1752300,0.0,1.0
17,HOG,2010-11-30 00:00:00+00:00,31.28,31.62,30.89,30.97,1992100,24.8201146764,25.0898985316,24.5106567249,24.5741352791,1992100,0.0,1.0
18,HOG,2010-12-01 00:00:00+00:00,32.26,32.825,31.9,31.94,2454500,25.5977269649,26.0460442536,25.3120734712,25.3438127482,2454500,0.0,1.0
19,HOG,2010-12-02 00:00:00+00:00,33.05,33.27,32.07,32.24,1625200,26.2245776872,26.3991437111,25.4469653988,25.5818573263,1625200,0.0,1.0
20,HOG,2010-12-03 00:00:00+00:00,33.25,33.31,32.68,32.9,1229500,26.3832740726,26.4308829882,25.9309893742,26.1055553982,1229500,0.0,1.0
21,HOG,2010-12-06 00:00:00+00:00,33.42,33.58,32.96,33.19,1394200,26.5181660002,26.6451231085,26.1531643138,26.335665157,1394200,0.0,1.0
22,HOG,2010-12-07 00:00:00+00:00,33.59,34.14,33.52,34.02,1889200,26.6530579278,27.0894729876,26.5975141929,26.9942551564,1889200,0.0,1.0
23,HOG,2010-12-08 00:00:00+00:00,33.72,34.12,33.41,33.58,1468400,26.7562105783,27.0736033491,26.5102311809,26.6451231085,1468400,0.0,1.0
24,HOG,2010-12-09 00:00:00+00:00,33.51,34.07,33.41,34.07,1721300,26.5895793736,27.0339292527,26.5102311809,27.0339292527,1721300,0.0,1.0
25,HOG,2010-12-10 00:00:00+00:00,33.69,33.92,33.25,33.64,1171300,26.7324061205,26.9149069637,26.3832740726,26.6927320241,1171300,0.0,1.0
26,HOG,2010-12-13 00:00:00+00:00,33.41,33.94,33.4,33.84,1498900,26.5102311809,26.9307766022,26.5022963617,26.8514284095,1498900,0.0,1.0
27,HOG,2010-12-14 00:00:00+00:00,33.66,33.91,33.39,33.6,1112900,26.7086016627,26.9069721444,26.4943615424,26.6609927471,1112900,0.0,1.0
28,HOG,2010-12-15 00:00:00+00:00,33.93,34.1,33.56,33.56,1425400,26.922841783,27.0577337106,26.62925347,26.62925347,1425400,0.0,1.0
29,HOG,2010-12-16 00:00:00+00:00,34.23,34.26,33.8,34.0,1514000,27.1608863611,27.1846908189,26.8196891325,26.9783855179,1514000,0.0,1.0
30,HOG,2010-12-17 00:00:00+00:00,34.5,34.55,33.98,34.22,2072500,27.4544746741,27.4942637678,27.0406680993,27.2316557492,2072500,0.1,1.0
31,HOG,2010-12-20 00:00:00+00:00,34.38,34.6,34.13,34.57,1403500,27.3589808491,27.5340528615,27.1600353804,27.5101794053,1403500,0.0,1.0
