,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,HON,2010-11-04 00:00:00+00:00,49.01,49.02,47.85,47.97,8076900,37.6865967188,37.6942862917,36.7946062639,36.8868811386,8427049,0.0,1.0
1,HON,2010-11-05 00:00:00+00:00,49.28,49.34,48.75,49.0,7749200,37.8942151867,37.9403526241,37.4866678237,37.6789071459,8085143,0.0,1.0
2,HON,2010-11-08 00:00:00+00:00,49.11,49.38,48.75,48.97,5709900,37.7634924477,37.9711109156,37.4866678237,37.6558384273,5957435,0.0,1.0
3,HON,2010-11-09 00:00:00+00:00,49.02,49.33,48.75,49.33,6468800,37.6942862917,37.9326630512,37.4866678237,37.9326630512,6749235,0.0,1.0
4,HON,2010-11-10 00:00:00+00:00,48.83,48.98,48.48,48.98,4554300,37.5481844068,37.6635280001,37.2790493558,37.6635280001,4751738,0.0,1.0
5,HON,2010-11-11 00:00:00+00:00,48.31,48.71,47.9,48.49,4345700,37.1483266167,37.4559095322,36.8330541284,37.2867389287,4534094,0.0,1.0
6,HON,2010-11-12 00:00:00+00:00,47.52,48.2,47.2,48.04,4981400,36.5408503586,37.063741315,36.2947840263,36.9407081488,5197353,0.0,1.0
7,HON,2010-11-15 00:00:00+00:00,47.59,48.07,47.52,47.65,3194400,36.5946773689,36.9637768674,36.5408503586,36.6408148062,3332883,0.0,1.0
8,HON,2010-11-16 00:00:00+00:00,48.44,49.5,47.95,47.95,13878700,37.2482910642,38.0633857903,36.8715019928,36.8715019928,14480369,0.0,1.0
9,HON,2010-11-17 00:00:00+00:00,48.82,49.12,48.17,48.5,8913400,37.7731044138,38.0052209915,37.2701851621,37.5255133975,9299813,0.3025,1.0
10,HON,2010-11-18 00:00:00+00:00,49.74,49.97,49.31,49.44,4737000,38.4849285854,38.6628846284,38.1522281574,38.2528120077,4942358,0.0,1.0
11,HON,2010-11-19 00:00:00+00:00,49.78,49.79,49.13,49.64,4687200,38.5158774625,38.5236146817,38.0129582108,38.4075563929,4890399,0.0,1.0
12,HON,2010-11-22 00:00:00+00:00,49.65,50.05,49.03,49.39,4386300,38.4152936121,38.7247823824,37.9355860182,38.2141259114,4576454,0.0,1.0
13,HON,2010-11-23 00:00:00+00:00,49.6,49.92,49.08,49.2,4740600,38.3766075158,38.6241985321,37.9742721145,38.0671187456,4946114,0.0,1.0
14,HON,2010-11-24 00:00:00+00:00,50.41,50.44,49.73,49.83,5072500,39.0033222757,39.0265339334,38.4771913662,38.5545635588,5292403,0.0,1.0
15,HON,2010-11-26 00:00:00+00:00,50.13,50.29,49.55,49.79,1582600,38.7866801365,38.9104756446,38.3379214196,38.5236146817,1651208,0.0,1.0
16,HON,2010-11-29 00:00:00+00:00,49.93,50.05,49.19,49.78,3821900,38.6319357513,38.7247823824,38.0593815263,38.5158774625,3987587,0.0,1.0
17,HON,2010-11-30 00:00:00+00:00,49.71,50.04,49.1,49.62,4131600,38.4617169277,38.7170451632,37.989746553,38.3920819544,4310713,0.0,1.0
18,HON,2010-12-01 00:00:00+00:00,50.88,51.23,50.41,50.41,5098400,39.3669715808,39.6377742548,39.0033222757,39.0033222757,5319425,0.0,1.0
19,HON,2010-12-02 00:00:00+00:00,51.19,51.49,50.6,50.84,5237100,39.6068253777,39.8389419555,39.1503294416,39.3360227037,5464138,0.0,1.0
20,HON,2010-12-03 00:00:00+00:00,51.45,51.54,50.77,51.09,3717000,39.8079930784,39.8776280517,39.2818621689,39.5294531852,3878139,0.0,1.0
21,HON,2010-12-06 00:00:00+00:00,51.17,51.41,50.95,51.28,3109600,39.5913509392,39.7770442014,39.4211321156,39.6764603511,3244407,0.0,1.0
22,HON,2010-12-07 00:00:00+00:00,51.43,51.93,51.3,51.63,4433200,39.7925186399,40.1793796028,39.6919347896,39.9472630251,4625388,0.0,1.0
23,HON,2010-12-08 00:00:00+00:00,51.37,51.82,51.13,51.43,3729300,39.7460953244,40.0942701909,39.5604020622,39.7925186399,3890972,0.0,1.0
24,HON,2010-12-09 00:00:00+00:00,51.34,51.77,51.25,51.66,2952500,39.7228836666,40.0555840947,39.6532486933,39.9704746828,3080496,0.0,1.0
25,HON,2010-12-10 00:00:00+00:00,51.98,52.29,51.37,51.51,5347500,40.2180656991,40.457919496,39.7460953244,39.854416394,5579324,0.0,1.0
26,HON,2010-12-13 00:00:00+00:00,52.0,52.4,51.89,52.23,3439400,40.2335401376,40.5430289079,40.1484307257,40.4114961805,3588504,0.0,1.0
27,HON,2010-12-14 00:00:00+00:00,52.53,52.81,52.0,52.27,5027600,40.6436127582,40.8602548974,40.2335401376,40.4424450575,5245556,0.0,1.0
28,HON,2010-12-15 00:00:00+00:00,51.54,52.55,51.35,51.98,9245100,39.8776280517,40.6590871967,39.7306208859,40.2180656991,9645893,0.0,1.0
29,HON,2010-12-16 00:00:00+00:00,53.41,53.42,51.54,51.54,6652500,41.3244880528,41.3322252721,39.8776280517,39.8776280517,6940899,0.0,1.0
30,HON,2010-12-17 00:00:00+00:00,52.99,53.34,52.39,52.99,7759100,40.999524844,41.270327518,40.5352916886,40.999524844,8095472,0.0,1.0
31,HON,2010-12-20 00:00:00+00:00,52.91,53.29,52.83,53.23,3425000,40.93762709,41.2316414218,40.8757293359,41.1852181062,3573480,0.0,1.0
