,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,HP,2010-11-04 00:00:00+00:00,43.99,44.18,43.18,43.27,1094800,30.3981365218,30.5294310419,29.8384072519,29.900599393,1094800,0.0,1.0
1,HP,2010-11-05 00:00:00+00:00,43.7,44.09,43.51,43.98,782400,30.1977396227,30.4672389008,30.0664451026,30.3912262839,782400,0.0,1.0
2,HP,2010-11-08 00:00:00+00:00,43.74,43.97,43.29,43.29,1044400,30.2253805743,30.384316046,29.9144198688,29.9144198688,1044400,0.0,1.0
3,HP,2010-11-09 00:00:00+00:00,43.99,45.1158,43.58,44.03,2153200,30.3981365218,31.1760911046,30.1148167679,30.4257774734,2153200,0.0,1.0
4,HP,2010-11-10 00:00:00+00:00,45.0,45.08,43.77,44.03,1096300,31.1375319771,31.1928875895,30.2864394364,30.4663451767,1096300,0.06,1.0
5,HP,2010-11-11 00:00:00+00:00,46.47,46.8,44.52,44.69,2790900,32.154691355,32.3830332562,30.8053983027,30.9230289791,2790900,0.0,1.0
6,HP,2010-11-12 00:00:00+00:00,45.69,46.26,45.15,46.02,1931500,31.6149741341,32.0093828725,31.2413237504,31.8433160353,1931500,0.0,1.0
7,HP,2010-11-15 00:00:00+00:00,45.43,46.08,45.43,45.96,1003700,31.4350683938,31.8848327446,31.4350683938,31.801799326,1003700,0.0,1.0
8,HP,2010-11-16 00:00:00+00:00,44.97,45.22,44.3952,44.9,1652900,31.1167736225,31.2897599112,30.7190435473,31.0683374616,1652900,0.0,1.0
9,HP,2010-11-17 00:00:00+00:00,45.33,45.77,44.9,44.91,994900,31.3658738783,31.6703297465,31.0683374616,31.0752569132,994900,0.0,1.0
10,HP,2010-11-18 00:00:00+00:00,47.38,47.55,45.53,46.56,2418300,32.7843614461,32.9019921225,31.5042629093,32.216966419,2418300,0.0,1.0
11,HP,2010-11-19 00:00:00+00:00,46.56,47.37,46.29,47.26,1631700,32.216966419,32.7774419946,32.0301412271,32.7013280275,1631700,0.0,1.0
12,HP,2010-11-22 00:00:00+00:00,46.0,46.63,45.71,46.32,2320900,31.8294771322,32.2654025798,31.6288130372,32.0508995818,2320900,0.0,1.0
13,HP,2010-11-23 00:00:00+00:00,44.87,45.62,44.57,45.55,2032100,31.047579107,31.5665379732,30.8399955604,31.5181018124,2032100,0.0,1.0
14,HP,2010-11-24 00:00:00+00:00,45.7,45.92,45.11,45.23,1273100,31.6218935857,31.7741215198,31.2136459442,31.2966793628,1273100,0.0,1.0
15,HP,2010-11-26 00:00:00+00:00,45.39,45.87,45.19,45.24,385900,31.4073905876,31.739524262,31.2690015566,31.3035988143,385900,0.0,1.0
16,HP,2010-11-29 00:00:00+00:00,45.47,45.72,44.265,45.21,1040300,31.4627462,31.6357324888,30.6289522882,31.2828404597,1040300,0.0,1.0
17,HP,2010-11-30 00:00:00+00:00,45.36,45.67,44.6,44.82,1245400,31.3866322329,31.601135231,30.8607539151,31.0129818492,1245400,0.0,1.0
18,HP,2010-12-01 00:00:00+00:00,46.86,46.94,45.79,46.29,913200,32.4245499655,32.4799055779,31.6841686496,32.0301412271,913200,0.0,1.0
19,HP,2010-12-02 00:00:00+00:00,48.33,48.47,46.76,46.94,1327800,33.4417093434,33.5385816651,32.35535545,32.4799055779,1327800,0.0,1.0
20,HP,2010-12-03 00:00:00+00:00,48.29,48.74,47.91,48.14,788900,33.4140315372,33.725406857,33.1510923783,33.310239764,788900,0.0,1.0
21,HP,2010-12-06 00:00:00+00:00,47.89,48.2,47.61,48.17,754000,33.1372534752,33.3517564733,32.9435088318,33.3309981186,754000,0.0,1.0
22,HP,2010-12-07 00:00:00+00:00,47.37,48.71,47.16,48.47,1016100,32.7774419946,33.7046485023,32.632133512,33.5385816651,1016100,0.0,1.0
23,HP,2010-12-08 00:00:00+00:00,47.22,47.64,46.675,47.42,1208200,32.6736502213,32.9642671864,32.2965401118,32.8120392523,1208200,0.0,1.0
24,HP,2010-12-09 00:00:00+00:00,47.4,47.62,46.72,47.39,694900,32.7982003492,32.9504282833,32.3276776438,32.7912808977,694900,0.0,1.0
25,HP,2010-12-10 00:00:00+00:00,47.74,47.78,47.22,47.49,839800,33.0334617019,33.0611395081,32.6736502213,32.8604754132,839800,0.0,1.0
26,HP,2010-12-13 00:00:00+00:00,48.1,48.6,47.93,48.15,929000,33.2825619578,33.6285345353,33.1649312814,33.3171592155,929000,0.0,1.0
27,HP,2010-12-14 00:00:00+00:00,47.89,48.39,47.73,48.22,747300,33.1372534752,33.4832260527,33.0265422504,33.3655953764,747300,0.0,1.0
28,HP,2010-12-15 00:00:00+00:00,47.95,48.75,47.63,47.63,1077300,33.1787701845,33.7323263085,32.9573477349,32.9573477349,1077300,0.0,1.0
29,HP,2010-12-16 00:00:00+00:00,48.68,48.78,47.75,48.0,1022000,33.6838901477,33.7530846632,33.0403811535,33.2133674423,1022000,0.0,1.0
30,HP,2010-12-17 00:00:00+00:00,48.74,49.0,48.23,48.69,1145800,33.725406857,33.9053125973,33.3725148279,33.6908095992,1145800,0.0,1.0
31,HP,2010-12-20 00:00:00+00:00,48.59,48.87,48.21,48.51,1181900,33.6216150837,33.8153597272,33.3586759248,33.5662594713,1181900,0.0,1.0
32,HP,2010-12-21 00:00:00+00:00,48.56,48.78,48.45,48.78,1288500,33.6008567291,33.7530846632,33.524742762,33.7530846632,1288500,0.0,1.0
33,HP,2010-12-22 00:00:00+00:00,48.74,48.9,48.61,48.7,605700,33.725406857,33.8361180818,33.6354539868,33.6977290508,605700,0.0,1.0
34,HP,2010-12-23 00:00:00+00:00,48.72,48.74,48.38,48.56,568500,33.7115679539,33.725406857,33.4763066012,33.6008567291,568500,0.0,1.0
35,HP,2010-12-27 00:00:00+00:00,48.41,48.6,48.02,48.6,293000,33.4970649558,33.6285345353,33.2272063454,33.6285345353,293000,0.0,1.0
36,HP,2010-12-28 00:00:00+00:00,48.49,48.77,48.28,48.49,346000,33.5524205682,33.7461652116,33.4071120857,33.5524205682,346000,0.0,1.0
37,HP,2010-12-29 00:00:00+00:00,49.06,49.271,48.57,48.62,476300,33.9468293066,34.0928297343,33.6077761806,33.6423734384,476300,0.0,1.0
38,HP,2010-12-30 00:00:00+00:00,48.88,49.46,48.87,49.02,393200,33.8222791787,34.2236073686,33.8153597272,33.9191515004,393200,0.0,1.0
39,HP,2010-12-31 00:00:00+00:00,48.48,48.99,48.45,48.91,584500,33.5455011167,33.8983931458,33.524742762,33.8430375334,584500,0.0,1.0
40,HP,2011-01-03 00:00:00+00:00,49.04,49.46,48.85,49.1,1024000,33.9329904035,34.2236073686,33.8015208241,33.9745071128,1024000,0.0,1.0
41,HP,2011-01-04 00:00:00+00:00,48.11,49.49,47.76,49.29,822900,33.2894814093,34.2443657233,33.047300605,34.1059766923,822900,0.0,1.0
42,HP,2011-01-05 00:00:00+00:00,49.22,49.57,47.53,47.78,1265400,34.0575405314,34.2997213357,32.8881532194,33.0611395081,1265400,0.0,1.0
43,HP,2011-01-06 00:00:00+00:00,48.41,49.33,47.7,49.26,1535500,33.4970649558,34.1336544985,33.0057838957,34.0852183376,1535500,0.0,1.0
44,HP,2011-01-07 00:00:00+00:00,48.89,49.0,48.18,48.42,1165400,33.8291986303,33.9053125973,33.3379175702,33.5039844074,1165400,0.0,1.0
45,HP,2011-01-10 00:00:00+00:00,48.56,48.67,47.78,48.67,785200,33.6008567291,33.6769706961,33.0611395081,33.6769706961,785200,0.0,1.0
46,HP,2011-01-11 00:00:00+00:00,48.85,49.72,48.68,48.76,947900,33.8015208241,34.4035131089,33.6838901477,33.7392457601,947900,0.0,1.0
47,HP,2011-01-12 00:00:00+00:00,50.09,50.31,49.14,49.34,917900,34.6595328163,34.8117607504,34.002184919,34.14057395,917900,0.0,1.0
48,HP,2011-01-13 00:00:00+00:00,49.72,50.55,49.38,50.0,1031700,34.4035131089,34.9778275876,34.1682517562,34.5972577524,1031700,0.0,1.0
49,HP,2011-01-14 00:00:00+00:00,50.76,50.86,49.34,49.55,811200,35.1231360702,35.1923305857,34.14057395,34.2858824326,811200,0.0,1.0
50,HP,2011-01-18 00:00:00+00:00,51.95,52.0,50.62,50.62,1050200,35.9465508047,35.9811480624,35.0262637485,35.0262637485,1050200,0.0,1.0
51,HP,2011-01-19 00:00:00+00:00,51.04,51.95,50.93,51.89,678700,35.3168807136,35.9465508047,35.2407667465,35.9050340954,678700,0.0,1.0
52,HP,2011-01-20 00:00:00+00:00,50.62,50.65,49.27,50.63,1211300,35.0262637485,35.0470221031,34.0921377892,35.0331832,1211300,0.0,1.0
53,HP,2011-01-21 00:00:00+00:00,50.63,51.36,49.77,51.2,983300,35.0331832,35.5383031632,34.4381103667,35.4275919384,983300,0.0,1.0
54,HP,2011-01-24 00:00:00+00:00,50.57,51.14,49.92,50.42,710100,34.9916664907,35.3860752291,34.54190214,34.8878747175,710100,0.0,1.0
55,HP,2011-01-25 00:00:00+00:00,49.85,50.48,49.19,50.33,976800,34.4934659791,34.9293914268,34.0367821768,34.8255996535,976800,0.0,1.0
56,HP,2011-01-26 00:00:00+00:00,51.81,52.0899,49.84,49.86,1696300,35.849678483,36.0433539319,34.4865465275,34.5003854306,1696300,0.0,1.0
57,HP,2011-01-27 00:00:00+00:00,56.74,57.55,52.44,52.46,5085300,39.2609680974,39.821443673,36.2856039307,36.2994428338,5085300,0.0,1.0
58,HP,2011-01-28 00:00:00+00:00,56.37,58.24,56.15,57.22,2541600,39.00494839,40.2988858299,38.8527204559,39.5931017718,2541600,0.0,1.0
59,HP,2011-01-31 00:00:00+00:00,58.73,58.78,56.69,56.73,1995300,40.6379389559,40.6725362137,39.2263708396,39.2540486458,1995300,0.0,1.0
60,HP,2011-02-01 00:00:00+00:00,58.98,59.5,58.27,58.97,2418000,40.8109252447,41.1707367253,40.3196441846,40.8040057931,2418000,0.0,1.0
61,HP,2011-02-02 00:00:00+00:00,59.06,59.42,58.29,58.95,1639100,40.8662808571,41.1153811129,40.3334830877,40.79016689,1639100,0.0,1.0
62,HP,2011-02-03 00:00:00+00:00,59.17,59.32,57.65,59.04,1187800,40.9423948241,41.0461865974,39.8906381885,40.852441954,1187800,0.0,1.0
63,HP,2011-02-04 00:00:00+00:00,59.1,59.58,58.31,59.4,1121500,40.8939586633,41.2260923377,40.3473219908,41.1015422098,1121500,0.0,1.0
64,HP,2011-02-07 00:00:00+00:00,59.6,61.09,59.34,59.34,1064000,41.2399312408,42.2709295218,41.0600255005,41.0600255005,1064000,0.0,1.0
65,HP,2011-02-08 00:00:00+00:00,60.0,60.03,58.35,59.64,820500,41.5167093028,41.5374676575,40.374999797,41.267609047,820500,0.0,1.0
66,HP,2011-02-09 00:00:00+00:00,58.95,60.24,58.59,59.64,907300,40.79016689,41.68277614,40.5410666342,41.267609047,907300,0.0,1.0
67,HP,2011-02-10 00:00:00+00:00,59.5,59.67,58.17,58.65,1155900,41.1707367253,41.2883674017,40.2504496691,40.5825833435,1155900,0.0,1.0
68,HP,2011-02-11 00:00:00+00:00,59.24,59.76,58.88,59.15,975900,41.0323476943,41.3925236025,40.7829951425,40.9700095563,975900,0.06,1.0
69,HP,2011-02-14 00:00:00+00:00,60.15,60.36,59.04,59.15,974000,41.6626555336,41.8081111889,40.8938184988,40.9700095563,974000,0.0,1.0
70,HP,2011-02-15 00:00:00+00:00,60.16,60.55,59.67,59.96,971500,41.6695819934,41.9397139245,41.3301854645,41.5310527979,971500,0.0,1.0
71,HP,2011-02-16 00:00:00+00:00,61.63,62.33,60.18,60.28,1247400,42.68777158,43.1726237641,41.6834349129,41.7526995107,1247400,0.0,1.0
72,HP,2011-02-17 00:00:00+00:00,61.58,61.7,60.52,61.24,1388400,42.6531392811,42.7362567984,41.9189345452,42.4176396489,1388400,0.0,1.0
73,HP,2011-02-18 00:00:00+00:00,62.15,62.62,61.54,61.72,1220100,43.0479474882,43.3734910975,42.625433442,42.750109718,1220100,0.0,1.0
74,HP,2011-02-22 00:00:00+00:00,61.75,62.99,60.89,61.78,1258700,42.7708890973,43.6297701091,42.1752135568,42.7916684766,1258700,0.0,1.0
75,HP,2011-02-23 00:00:00+00:00,63.03,63.75,61.76,61.85,1245200,43.6574759482,44.1561810518,42.777815557,42.840153695,1245200,0.0,1.0
76,HP,2011-02-24 00:00:00+00:00,61.93,63.62,61.5,63.32,1156500,42.8955653732,44.0661370748,42.597727603,43.8583432816,1156500,0.0,1.0
77,HP,2011-02-25 00:00:00+00:00,64.78,64.86,61.985,62.4,1215700,44.8696064084,44.9250180866,42.9336609019,43.2211089825,1215700,0.0,1.0
78,HP,2011-02-28 00:00:00+00:00,64.99,65.5,63.5035,65.0,1386900,45.0150620637,45.3683115121,43.9854438184,45.0219885234,1386900,0.0,1.0
79,HP,2011-03-01 00:00:00+00:00,63.24,65.8999,63.11,65.69,1620000,43.8029316034,45.6453006384,43.7128876264,45.4999142478,1620000,0.0,1.0
80,HP,2011-03-02 00:00:00+00:00,63.73,64.53,62.99,63.08,1591100,44.1423281323,44.6964449141,43.6297701091,43.6921082471,1591100,0.0,1.0
81,HP,2011-03-03 00:00:00+00:00,64.33,64.48,63.47,64.0,958200,44.5579157187,44.6618126153,43.9622401782,44.3293425462,958200,0.0,1.0
82,HP,2011-03-04 00:00:00+00:00,64.06,64.68,63.28,64.4,758000,44.3709013048,44.8003418107,43.8306374425,44.6064009371,758000,0.0,1.0
83,HP,2011-03-07 00:00:00+00:00,63.33,64.69,62.58,64.23,1077300,43.8652697414,44.8072682705,43.3457852584,44.4886511209,1077300,0.0,1.0
84,HP,2011-03-08 00:00:00+00:00,63.22,63.87,62.46,63.65,1015300,43.7890786839,44.2392985691,43.2626677411,44.0869164541,1015300,0.0,1.0
85,HP,2011-03-09 00:00:00+00:00,62.39,63.74,62.15,63.2,1229400,43.2141825227,44.1492545921,43.0479474882,43.7752257643,1229400,0.0,1.0
86,HP,2011-03-10 00:00:00+00:00,60.44,61.73,59.89,61.73,1319600,41.863522867,42.7570361777,41.4825675795,42.7570361777,1319600,0.0,1.0
87,HP,2011-03-11 00:00:00+00:00,61.65,62.04,59.51,60.075,930700,42.7016244995,42.9717564307,41.2193621082,41.6107070853,930700,0.0,1.0
88,HP,2011-03-14 00:00:00+00:00,61.91,62.07,60.45,61.24,936600,42.8817124536,42.99253581,41.8704493268,42.4176396489,936600,0.0,1.0
89,HP,2011-03-15 00:00:00+00:00,61.87,62.38,59.14,59.81,1670500,42.8540066145,43.207256063,40.9630830966,41.4271559013,1670500,0.0,1.0
