,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,HRB,2010-11-04 00:00:00+00:00,11.76,11.85,11.15,11.72,10534700,8.0133902946,8.0747172611,7.5977297436,7.986133865,10534700,0.0,1.0
1,HRB,2010-11-05 00:00:00+00:00,12.22,12.87,11.91,11.91,14051900,8.3268392346,8.7697562152,8.1156019055,8.1156019055,14051900,0.0,1.0
2,HRB,2010-11-08 00:00:00+00:00,12.35,12.53,12.02,12.33,5994800,8.4154226308,8.5380765638,8.1905570868,8.401794416,5994800,0.0,1.0
3,HRB,2010-11-09 00:00:00+00:00,12.25,12.52,12.16,12.41,4544300,8.3472815568,8.5312624564,8.2859545903,8.4563072751,4544300,0.0,1.0
4,HRB,2010-11-10 00:00:00+00:00,12.26,12.285,11.86,12.28,7625500,8.3540956642,8.3711309327,8.0815313685,8.367723879,7625500,0.0,1.0
5,HRB,2010-11-11 00:00:00+00:00,12.8,12.99,12.0975,12.18,9827100,8.7220574635,8.8515255039,8.2433664191,8.2995828051,9827100,0.0,1.0
6,HRB,2010-11-12 00:00:00+00:00,12.85,13.2,12.6,12.75,8653500,8.7561280004,8.9946217592,8.5857753156,8.6879869265,8653500,0.0,1.0
7,HRB,2010-11-15 00:00:00+00:00,12.82,13.09,12.81,12.93,5026900,8.7356856782,8.9196665779,8.7288715709,8.8106408596,5026900,0.0,1.0
8,HRB,2010-11-16 00:00:00+00:00,12.46,12.77,12.26,12.67,5779300,8.4903778121,8.7016151413,8.3540956642,8.6334740673,5779300,0.0,1.0
9,HRB,2010-11-17 00:00:00+00:00,12.38,12.59,12.31,12.48,4453100,8.4358649529,8.5789612082,8.3881662012,8.5040060269,4453100,0.0,1.0
10,HRB,2010-11-18 00:00:00+00:00,12.53,12.935,12.47,12.56,5164700,8.5380765638,8.8140479133,8.4971919195,8.558518886,5164700,0.0,1.0
11,HRB,2010-11-19 00:00:00+00:00,12.56,12.57,12.0,12.5,7826100,8.558518886,8.5653329934,8.176928872,8.5176342417,7826100,0.0,1.0
12,HRB,2010-11-22 00:00:00+00:00,12.76,12.76,12.37,12.51,4214600,8.6948010339,8.6948010339,8.4290508455,8.5244483491,4214600,0.0,1.0
13,HRB,2010-11-23 00:00:00+00:00,12.67,12.68,12.373,12.61,4776300,8.6334740673,8.6402881747,8.4310950778,8.592589423,4776300,0.0,1.0
