,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,ICE,2010-11-04 00:00:00+00:00,114.72,114.77,112.85,113.59,837700,20.8699670272,20.8790630728,20.5297749218,20.6643963967,4188500,0.0,1.0
1,ICE,2010-11-05 00:00:00+00:00,117.44,117.67,114.76,115.16,936500,21.3647919079,21.4066337177,20.8772438637,20.9500122285,4682500,0.0,1.0
2,ICE,2010-11-08 00:00:00+00:00,117.33,117.46,115.33,116.84,648700,21.3447806076,21.3684303262,20.9809387836,21.2556393607,3243500,0.0,1.0
3,ICE,2010-11-09 00:00:00+00:00,115.13,117.5,114.86,117.5,386100,20.9445546012,21.3757071627,20.8954359549,21.3757071627,1930500,0.0,1.0
4,ICE,2010-11-10 00:00:00+00:00,115.96,116.19,113.77,115.15,384200,21.0955489582,21.1373907679,20.6971421608,20.9481930194,1921000,0.0,1.0
5,ICE,2010-11-11 00:00:00+00:00,114.68,115.9,114.12,114.97,419900,20.8626901908,21.0846337034,20.76081448,20.9154472552,2099500,0.0,1.0
6,ICE,2010-11-12 00:00:00+00:00,112.26,114.48,111.86,114.0,524500,20.4224415837,20.8263060084,20.3496732189,20.7389839706,2622500,0.0,1.0
7,ICE,2010-11-15 00:00:00+00:00,113.35,114.41,112.57,112.76,448100,20.6207353778,20.8135715445,20.4788370664,20.5134020397,2240500,0.0,1.0
8,ICE,2010-11-16 00:00:00+00:00,110.76,113.56,110.58,112.76,504700,20.1495602156,20.6589387693,20.1168144515,20.5134020397,2523500,0.0,1.0
9,ICE,2010-11-17 00:00:00+00:00,111.68,111.86,110.36,110.93,470000,20.3169274547,20.3496732189,20.0767918508,20.1804867707,2350000,0.0,1.0
10,ICE,2010-11-18 00:00:00+00:00,113.15,113.94,111.82,112.75,639300,20.5843511954,20.7280687159,20.3423963824,20.5115828306,3196500,0.0,1.0
11,ICE,2010-11-19 00:00:00+00:00,114.78,115.01,112.46,113.15,657500,20.880882282,20.9227240917,20.4588257661,20.5843511954,3287500,0.0,1.0
12,ICE,2010-11-22 00:00:00+00:00,112.96,114.08,112.49,113.96,487700,20.5497862221,20.7535376435,20.4642833934,20.7317071341,2438500,0.0,1.0
13,ICE,2010-11-23 00:00:00+00:00,111.81,112.83,111.01,111.68,484200,20.3405771733,20.5261365035,20.1950404436,20.3169274547,2421000,0.0,1.0
14,ICE,2010-11-24 00:00:00+00:00,114.23,114.3,111.95,112.32,436300,20.7808257804,20.7935602442,20.3660461009,20.4333568384,2181500,0.0,1.0
15,ICE,2010-11-26 00:00:00+00:00,113.07,114.48,112.69,113.26,273800,20.5697975224,20.8263060084,20.5006675758,20.6043624957,1369000,0.0,1.0
16,ICE,2010-11-29 00:00:00+00:00,112.92,113.43,111.68,112.49,390600,20.5425093856,20.6352890507,20.3169274547,20.4642833934,1953000,0.0,1.0
17,ICE,2010-11-30 00:00:00+00:00,112.7,113.0,111.35,111.81,444900,20.502486785,20.5570630586,20.2568935537,20.3405771733,2224500,0.0,1.0
18,ICE,2010-12-01 00:00:00+00:00,115.62,115.69,113.5,114.22,605700,21.0336958481,21.0464303119,20.6480235146,20.7790065712,3028500,0.0,1.0
19,ICE,2010-12-02 00:00:00+00:00,120.34,120.81,115.63,115.97,920400,21.8923625528,21.9778653815,21.0355150572,21.0973681673,4602000,0.0,1.0
20,ICE,2010-12-03 00:00:00+00:00,116.76,120.0,115.38,119.85,992300,21.2410856878,21.8305094427,20.9900348292,21.8032213059,4961500,0.0,1.0
21,ICE,2010-12-06 00:00:00+00:00,117.94,118.03,116.34,116.5,510500,21.455752364,21.472125246,21.1646789047,21.1937862506,2552500,0.0,1.0
22,ICE,2010-12-07 00:00:00+00:00,116.2,119.42,116.1,117.94,535800,21.139209977,21.7249953137,21.1210178858,21.455752364,2679000,0.0,1.0
23,ICE,2010-12-08 00:00:00+00:00,118.04,118.13,116.22,116.39,456600,21.4739444552,21.4903173372,21.1428483953,21.1737749503,2283000,0.0,1.0
24,ICE,2010-12-09 00:00:00+00:00,117.72,118.64,116.73,118.11,329200,21.4157297633,21.5830970024,21.2356280604,21.486678919,1646000,0.0,1.0
25,ICE,2010-12-10 00:00:00+00:00,117.55,118.29,116.82,117.72,396100,21.3848032083,21.5194246832,21.2520009425,21.4157297633,1980500,0.0,1.0
26,ICE,2010-12-13 00:00:00+00:00,117.75,120.57,117.75,118.5,796000,21.4211873907,21.9342043626,21.4211873907,21.5576280747,3980000,0.0,1.0
27,ICE,2010-12-14 00:00:00+00:00,116.38,117.67,115.83,117.67,447600,21.1719557412,21.4066337177,21.0718992396,21.4066337177,2238000,0.0,1.0
28,ICE,2010-12-15 00:00:00+00:00,117.8,118.46,115.61,116.14,668200,21.4302834363,21.5503512382,21.0318766389,21.1282947223,3341000,0.0,1.0
29,ICE,2010-12-16 00:00:00+00:00,117.36,118.4,116.36,117.66,670100,21.350238235,21.5394359835,21.168317323,21.4048145086,3350500,0.0,1.0
30,ICE,2010-12-17 00:00:00+00:00,119.23,120.26,117.02,118.99,811500,21.6904303405,21.8778088798,21.2883851249,21.6467693216,4057500,0.0,1.0
31,ICE,2010-12-20 00:00:00+00:00,119.06,120.49,118.94,119.35,418600,21.6595037854,21.9196506896,21.637673276,21.7122608499,2093000,0.0,1.0
