,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,IFF,2010-11-04 00:00:00+00:00,53.34,53.37,51.53,51.53,1006400,43.5693767595,43.5938814709,42.0909258421,42.0909258421,1006400,0.0,1.0
1,IFF,2010-11-05 00:00:00+00:00,53.23,53.65,52.93,53.5,698200,43.4795261513,43.82259211,43.2344790379,43.7000685533,698200,0.0,1.0
2,IFF,2010-11-08 00:00:00+00:00,53.62,53.92,53.09,53.19,551300,43.7980873987,44.0431345121,43.3651708317,43.4468532028,551300,0.0,1.0
3,IFF,2010-11-09 00:00:00+00:00,52.88,53.83,52.59,53.71,527500,43.1936378523,43.969620378,42.9567589761,43.8716015327,527500,0.0,1.0
4,IFF,2010-11-10 00:00:00+00:00,53.33,53.33,52.22,52.87,408300,43.5612085224,43.5612085224,42.6545342029,43.1854696152,408300,0.0,1.0
5,IFF,2010-11-11 00:00:00+00:00,53.35,53.44,52.71,52.9,374500,43.5775449966,43.6510591306,43.0547778214,43.2099743266,374500,0.0,1.0
6,IFF,2010-11-12 00:00:00+00:00,52.46,52.93,51.87,52.93,465000,42.8505718936,43.2344790379,42.3686459039,43.2344790379,465000,0.0,1.0
7,IFF,2010-11-15 00:00:00+00:00,51.82,52.555,51.82,52.52,467700,42.3278047184,42.9281701462,42.3278047184,42.8995813163,467700,0.0,1.0
8,IFF,2010-11-16 00:00:00+00:00,50.74,51.75,50.47,51.44,534400,41.4456351102,42.2706270586,41.2250927081,42.0174117081,534400,0.0,1.0
9,IFF,2010-11-17 00:00:00+00:00,50.65,51.09,50.4,50.81,331100,41.3721209762,41.7315234091,41.1679150484,41.50281277,331100,0.0,1.0
10,IFF,2010-11-18 00:00:00+00:00,51.3,51.81,51.18,51.2,289700,41.9030563885,42.3196364813,41.8050375432,41.8213740174,289700,0.0,1.0
11,IFF,2010-11-19 00:00:00+00:00,51.58,51.74,51.11,51.34,461100,42.1317670277,42.2624588215,41.7478598834,41.935729337,461100,0.0,1.0
12,IFF,2010-11-22 00:00:00+00:00,51.99,52.05,50.98,51.26,300000,42.4666647493,42.515674172,41.6416728009,41.8703834401,300000,0.0,1.0
13,IFF,2010-11-23 00:00:00+00:00,51.53,51.68,51.17,51.41,537900,42.0909258421,42.2134493988,41.796869306,41.9929069967,537900,0.0,1.0
14,IFF,2010-11-24 00:00:00+00:00,52.48,52.5,51.98,52.1,349100,42.8669083678,42.883244842,42.4584965122,42.5565153575,349100,0.0,1.0
15,IFF,2010-11-26 00:00:00+00:00,52.96,53.12,52.07,52.2,468400,43.2589837492,43.389675543,42.5320106462,42.6381977287,468400,0.0,1.0
16,IFF,2010-11-29 00:00:00+00:00,52.79,52.92,51.94,52.47,494100,43.1201237183,43.2263108008,42.4258235637,42.8587401307,494100,0.0,1.0
17,IFF,2010-11-30 00:00:00+00:00,52.52,52.92,52.1,52.42,534400,42.8995813163,43.2263108008,42.5565153575,42.8178989451,534400,0.0,1.0
18,IFF,2010-12-01 00:00:00+00:00,53.55,53.66,52.98,53.27,417300,43.7409097389,43.8307603471,43.2753202235,43.5121990997,417300,0.0,1.0
19,IFF,2010-12-02 00:00:00+00:00,54.27,54.29,53.55,53.61,456000,44.329022811,44.3453592852,43.7409097389,43.7899191616,456000,0.0,1.0
20,IFF,2010-12-03 00:00:00+00:00,55.03,55.09,54.11,54.33,598300,44.9498088316,44.9988182542,44.1983310172,44.3780322337,598300,0.0,1.0
21,IFF,2010-12-06 00:00:00+00:00,54.71,54.97,54.4,54.97,407100,44.688425244,44.9007994089,44.4352098935,44.9007994089,407100,0.0,1.0
22,IFF,2010-12-07 00:00:00+00:00,55.17,55.5,54.9,55.27,559300,45.0641641512,45.3337159759,44.8436217491,45.1458465223,559300,0.0,1.0
23,IFF,2010-12-08 00:00:00+00:00,55.02,55.3299,54.68,55.17,385100,44.9416405945,45.1947742626,44.6639205326,45.0641641512,385100,0.0,1.0
24,IFF,2010-12-09 00:00:00+00:00,55.12,55.4,54.77,55.31,302900,45.0233229656,45.2520336047,44.7374346666,45.1785194707,302900,0.0,1.0
25,IFF,2010-12-10 00:00:00+00:00,55.77,55.89,55.19,55.38,422800,45.5542583779,45.6522772233,45.0805006254,45.2356971305,422800,0.0,1.0
26,IFF,2010-12-13 00:00:00+00:00,55.45,56.1,55.38,55.91,356400,45.2928747903,45.8238102026,45.2356971305,45.6686136975,356400,0.0,1.0
27,IFF,2010-12-14 00:00:00+00:00,55.67,55.87,55.45,55.62,276900,45.4725760068,45.635940749,45.2928747903,45.4317348212,276900,0.0,1.0
28,IFF,2010-12-15 00:00:00+00:00,55.25,55.83,55.2,55.57,381300,45.1295100481,45.6032678006,45.0886688625,45.3908936357,381300,0.0,1.0
29,IFF,2010-12-16 00:00:00+00:00,55.25,55.51,54.94,55.43,652700,45.1295100481,45.341884213,44.8762946976,45.2765383161,652700,0.0,1.0
30,IFF,2010-12-17 00:00:00+00:00,55.1,55.27,54.92,55.24,714300,45.0069864914,45.1458465223,44.8599582233,45.1213418109,714300,0.0,1.0
31,IFF,2010-12-20 00:00:00+00:00,55.49,55.68,54.94,55.43,380400,45.3255477388,45.4807442439,44.8762946976,45.2765383161,380400,0.0,1.0
32,IFF,2010-12-21 00:00:00+00:00,55.61,56.0,55.41,55.78,348100,45.4235665841,45.7421278315,45.2602018419,45.562426615,348100,0.0,1.0
33,IFF,2010-12-22 00:00:00+00:00,55.76,55.7999,55.46,55.73,315200,45.5460901408,45.5786814069,45.3010430274,45.5215854295,315200,0.0,1.0
34,IFF,2010-12-23 00:00:00+00:00,55.4,55.8467,55.32,55.62,317200,45.2520336047,45.6169087566,45.1866877078,45.4317348212,317200,0.0,1.0
35,IFF,2010-12-27 00:00:00+00:00,55.32,55.44,54.86,55.11,117200,45.4072301099,45.5057273552,45.029657336,45.2348599305,117200,0.27,1.0
36,IFF,2010-12-28 00:00:00+00:00,55.38,55.49,55.13,55.49,180900,45.4564787326,45.5467678741,45.2512761381,45.5467678741,180900,0.0,1.0
