,Name,Date,Close,High,Low,Open,Volume,Adj Close,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
0,IPG,2010-11-04 00:00:00+00:00,10.38,10.55,10.29,10.52,11619200,7.7860595238,7.9135768763,7.7185503372,7.8910738141,11619200,0.0,1.0
1,IPG,2010-11-05 00:00:00+00:00,10.64,10.66,10.39,10.44,8425300,7.9810860629,7.9960881044,7.7935605445,7.8310656482,8425300,0.0,1.0
2,IPG,2010-11-08 00:00:00+00:00,10.53,10.72,10.51,10.6,3977600,7.8985748348,8.0410942288,7.8835727933,7.95108198,3977600,0.0,1.0
3,IPG,2010-11-09 00:00:00+00:00,10.39,10.58,10.34,10.58,5650500,7.7935605445,7.9360799385,7.7560554408,7.9360799385,5650500,0.0,1.0
4,IPG,2010-11-10 00:00:00+00:00,10.68,10.75,10.3775,10.44,6327400,8.0110901458,8.063597291,7.7841842686,7.8310656482,6327400,0.0,1.0
5,IPG,2010-11-11 00:00:00+00:00,10.7,10.77,10.49,10.59,5418300,8.0260921873,8.0785993325,7.8685707519,7.9435809592,5418300,0.0,1.0
6,IPG,2010-11-12 00:00:00+00:00,10.54,10.7,10.38,10.63,10197000,7.9060758555,8.0260921873,7.7860595238,7.9735850422,10197000,0.0,1.0
7,IPG,2010-11-15 00:00:00+00:00,10.53,10.71,10.49,10.6,4365300,7.8985748348,8.0335932081,7.8685707519,7.95108198,4365300,0.0,1.0
8,IPG,2010-11-16 00:00:00+00:00,10.52,10.55,10.3,10.42,8110500,7.8910738141,7.9135768763,7.7260513579,7.8160636067,8110500,0.0,1.0
9,IPG,2010-11-17 00:00:00+00:00,10.46,10.53,10.36,10.48,3506500,7.8460676897,7.8985748348,7.7710574823,7.8610697311,3506500,0.0,1.0
10,IPG,2010-11-18 00:00:00+00:00,10.53,10.84,10.49,10.57,8909900,7.8985748348,8.1311064776,7.8685707519,7.9285789178,8909900,0.0,1.0
11,IPG,2010-11-19 00:00:00+00:00,10.57,10.62,10.43,10.5,3701700,7.9285789178,7.9660840214,7.8235646275,7.8760717726,3701700,0.0,1.0
12,IPG,2010-11-22 00:00:00+00:00,10.6,10.61,10.38,10.46,4390600,7.95108198,7.9585830007,7.7860595238,7.8460676897,4390600,0.0,1.0
13,IPG,2010-11-23 00:00:00+00:00,10.32,10.47,10.25,10.46,4091100,7.7410533994,7.8535687104,7.6885462542,7.8460676897,4091100,0.0,1.0
14,IPG,2010-11-24 00:00:00+00:00,10.69,10.72,10.32,10.39,4508800,8.0185911666,8.0410942288,7.7410533994,7.7935605445,4508800,0.0,1.0
15,IPG,2010-11-26 00:00:00+00:00,10.6,10.64,10.5,10.59,1447600,7.95108198,7.9810860629,7.8760717726,7.9435809592,1447600,0.0,1.0
16,IPG,2010-11-29 00:00:00+00:00,10.52,10.59,10.29,10.5,4992100,7.8910738141,7.9435809592,7.7185503372,7.8760717726,4992100,0.0,1.0
17,IPG,2010-11-30 00:00:00+00:00,10.65,10.68,10.33,10.37,6370900,7.9885870836,8.0110901458,7.7485544201,7.778558503,6370900,0.0,1.0
18,IPG,2010-12-01 00:00:00+00:00,10.73,10.92,10.66,10.8,7457700,8.0485952495,8.1911146435,7.9960881044,8.1011023947,7457700,0.0,1.0
19,IPG,2010-12-02 00:00:00+00:00,11.02,11.03,10.72,10.73,5399800,8.2661248509,8.2736258716,8.0410942288,8.0485952495,5399800,0.0,1.0
20,IPG,2010-12-03 00:00:00+00:00,10.82,10.99,10.8,10.98,7059100,8.1161044361,8.2436217887,8.1011023947,8.2361207679,7059100,0.0,1.0
21,IPG,2010-12-06 00:00:00+00:00,10.96,11.01,10.76,10.76,8598800,8.2211187265,8.2586238301,8.0710983117,8.0710983117,8598800,0.0,1.0
22,IPG,2010-12-07 00:00:00+00:00,10.96,11.1,10.92,11.05,6560800,8.2211187265,8.3261330168,8.1911146435,8.2886279131,6560800,0.0,1.0
23,IPG,2010-12-08 00:00:00+00:00,10.96,10.985,10.73,10.93,7938600,8.2211187265,8.2398712783,8.0485952495,8.1986156642,7938600,0.0,1.0
24,IPG,2010-12-09 00:00:00+00:00,11.05,11.14,10.98,11.0,7184200,8.2886279131,8.3561370997,8.2361207679,8.2511228094,7184200,0.0,1.0
25,IPG,2010-12-10 00:00:00+00:00,11.11,11.16,10.98,11.11,5089100,8.3336340375,8.3711391412,8.2361207679,8.3336340375,5089100,0.0,1.0
26,IPG,2010-12-13 00:00:00+00:00,11.11,11.24,11.03,11.19,5023900,8.3336340375,8.4311473071,8.2736258716,8.3936422034,5023900,0.0,1.0
27,IPG,2010-12-14 00:00:00+00:00,11.0,11.18,10.98,11.11,6672200,8.2511228094,8.3861411826,8.2361207679,8.3336340375,6672200,0.0,1.0
28,IPG,2010-12-15 00:00:00+00:00,10.9,11.0,10.84,10.97,5751200,8.176112602,8.2511228094,8.1311064776,8.2286197472,5751200,0.0,1.0
29,IPG,2010-12-16 00:00:00+00:00,10.94,11.01,10.89,10.93,5696600,8.206116685,8.2586238301,8.1686115813,8.1986156642,5696600,0.0,1.0
30,IPG,2010-12-17 00:00:00+00:00,10.83,10.93,10.83,10.92,5310200,8.1236054569,8.1986156642,8.1236054569,8.1911146435,5310200,0.0,1.0
31,IPG,2010-12-20 00:00:00+00:00,10.69,10.93,10.52,10.89,9983700,8.0185911666,8.1986156642,7.8910738141,8.1686115813,9983700,0.0,1.0
32,IPG,2010-12-21 00:00:00+00:00,10.91,10.95,10.72,10.76,9321400,8.1836136228,8.2136177057,8.0410942288,8.0710983117,9321400,0.0,1.0
33,IPG,2010-12-22 00:00:00+00:00,10.78,10.97,10.75,10.94,5886900,8.0861003532,8.2286197472,8.063597291,8.206116685,5886900,0.0,1.0
34,IPG,2010-12-23 00:00:00+00:00,10.76,10.93,10.7075,10.78,3429300,8.0710983117,8.1986156642,8.0317179529,8.0861003532,3429300,0.0,1.0
35,IPG,2010-12-27 00:00:00+00:00,10.69,10.755,10.57,10.74,2206100,8.0185911666,8.0673478014,7.9285789178,8.0560962703,2206100,0.0,1.0
36,IPG,2010-12-28 00:00:00+00:00,10.62,10.75,10.61,10.73,4410400,7.9660840214,8.063597291,7.9585830007,8.0485952495,4410400,0.0,1.0
37,IPG,2010-12-29 00:00:00+00:00,10.62,10.76,10.59,10.63,3384500,7.9660840214,8.0710983117,7.9435809592,7.9735850422,3384500,0.0,1.0
38,IPG,2010-12-30 00:00:00+00:00,10.63,10.72,10.58,10.62,2647600,7.9735850422,8.0410942288,7.9360799385,7.9660840214,2647600,0.0,1.0
39,IPG,2010-12-31 00:00:00+00:00,10.62,10.69,10.54,10.59,2807400,7.9660840214,8.0185911666,7.9060758555,7.9435809592,2807400,0.0,1.0
